Press or Release,Key,Time
P,t,1735660017122
R,t,1735660017199
P,Key.backspace,1735660017870
R,Key.backspace,1735660017935
P,i,1735660018254
R,i,1735660018351
P,t,1735660018589
R,t,1735660018672
P,Key.space,1735660019985
R,Key.space,1735660020094
P,w,1735660020510
R,w,1735660020607
P,a,1735660020704
P,s,1735660020783
R,a,1735660020830
R,s,1735660020879
P,Key.space,1735660021119
R,Key.space,1735660021205
P,a,1735660021247
R,a,1735660021376
P,Key.space,1735660022159
R,Key.space,1735660022222
P,m,1735660022782
R,m,1735660022862
P,o,1735660023022
R,o,1735660023118
P,m,1735660023311
R,m,1735660023406
P,e,1735660023694
R,e,1735660023806
P,n,1735660023998
R,n,1735660024113
P,t,1735660024305
R,t,1735660024398
P,Key.space,1735660026112
R,Key.space,1735660026222
P,t,1735660026880
R,t,1735660027006
P,h,1735660027089
R,h,1735660027183
P,s,1735660027407
R,s,1735660027502
P,Key.backspace,1735660029089
R,Key.backspace,1735660029169
P,a,1735660029295
R,a,1735660029423
P,t,1735660029583
R,t,1735660029664
P,Key.space,1735660029870
R,Key.space,1735660029934
P,h,1735660030463
R,h,1735660030543
P,i,1735660030926
R,i,1735660030993
P,l,1735660031168
R,l,1735660031247
P,i,1735660031407
R,i,1735660031487
P,Key.backspace,1735660033232
R,Key.backspace,1735660033311
P,Key.backspace,1735660033455
R,Key.backspace,1735660033535
P,g,1735660034958
R,g,1735660035087
P,h,1735660035193
R,h,1735660035262
P,l,1735660035666
R,l,1735660035776
P,i,1735660035906
R,i,1735660035999
P,g,1735660036688
R,g,1735660036831
P,h,1735660036949
R,h,1735660037022
P,t,1735660037919
R,t,1735660037999
P,e,1735660038097
R,e,1735660038255
P,d,1735660038463
R,d,1735660038543
P,Key.space,1735660040448
R,Key.space,1735660040592
P,h,1735660041071
R,h,1735660041199
P,o,1735660041311
R,o,1735660041438
P,w,1735660041807
R,w,1735660041984
P,Key.space,1735660043776
R,Key.space,1735660043953
P,i,1735660044287
R,i,1735660044415
P,n,1735660044577
R,n,1735660044704
P,t,1735660044944
R,t,1735660045057
P,e,1735660045425
R,e,1735660045599
P,n,1735660046064
R,n,1735660046160
P,s,1735660046672
R,s,1735660046768
P,e,1735660046899
R,e,1735660046976
P,Key.space,1735660047791
R,Key.space,1735660047922
P,e,1735660048943
R,e,1735660049103
P,m,1735660049295
R,m,1735660049424
P,t,1735660049823
R,t,1735660049951
P,i,1735660050064
R,i,1735660050161
P,o,1735660050321
R,o,1735660050433
P,n,1735660050688
R,n,1735660050799
P,s,1735660052166
R,s,1735660052335
P,Key.space,1735660052368
R,Key.space,1735660052512
P,c,1735660052977
R,c,1735660053072
P,a,1735660053154
R,a,1735660053312
P,n,1735660053919
