Press or Release,Key,Time
P,t,1735660003893
R,t,1735660003957
P,r,1735660004164
R,r,1735660004324
P,u,1735660005508
R,u,1735660005652
P,m,1735660005796
R,m,1735660005876
P,p,1735660006164
R,p,1735660006245
P,Key.space,1735660006805
R,Key.space,1735660006971
P,/,1735660007637
R,/,1735660007716
P,j,1735660008372
R,j,1735660008469
P,d,1735660008613
R,d,1735660008709
P,Key.space,1735660008788
R,Key.space,1735660008884
P,v,1735660009028
R,v,1735660009108
P,a,1735660009204
R,a,1735660009333
P,n,1735660009397
R,n,1735660009476
P,c,1735660009604
P,e,1735660009764
R,c,1735660009796
R,e,1735660009876
P,Key.space,1735660010118
R,Key.space,1735660010213
P,a,1735660011108
R,a,1735660011236
P,n,1735660011445
R,n,1735660011508
P,d,1735660011636
R,d,1735660011733
P,Key.space,1735660011781
R,Key.space,1735660011844
P,z,1735660012870
R,z,1735660012997
P,e,1735660013348
R,e,1735660013492
P,l,1735660013781
R,l,1735660013876
P,e,1735660014500
R,e,1735660014581
P,n,1735660015269
R,n,1735660015380
P,s,1735660016181
R,s,1735660016292
P,k,1735660016678
R,k,1735660016756
P,y,1735660017061
R,y,1735660017125
P,y,1735660017189
R,y,1735660017284
P,Key.space,1735660018117
R,Key.space,1735660018196
P,a,1735660018390
R,a,1735660018500
P,r,1735660018693
R,r,1735660018756
P,e,1735660018980
R,e,1735660019060
P,Key.space,1735660019252
R,Key.space,1735660019366
P,t,1735660019573
R,t,1735660019636
P,h,1735660019733
R,h,1735660019829
P,r,1735660020949
R,r,1735660021061
P,e,1735660021429
R,e,1735660021508
P,e,1735660021621
R,e,1735660021733
P,Key.space,1735660022629
R,Key.space,1735660022693
P,i,1735660023175
R,i,1735660023269
P,m,1735660023462
R,m,1735660023541
P,p,1735660023862
R,p,1735660023941
P,o,1735660024117
R,o,1735660024197
P,r,1735660024485
R,r,1735660024549
P,t,1735660024885
R,t,1735660024949
P,a,1735660025173
R,a,1735660025301
P,n,1735660025317
R,n,1735660025397
P,t,1735660025557
R,t,1735660025621
P,Key.space,1735660025750
R,Key.space,1735660025812
P,l,1735660026693
R,l,1735660026805
P,e,1735660027124
R,e,1735660027205
P,a,1735660027412
R,a,1735660027477
P,d,1735660027670
R,d,1735660027733
P,e,1735660027877
P,r,1735660028037
R,e,1735660028069
R,r,1735660028101
P,s,1735660028453
R,s,1735660028517
P,Key.space,1735660031045
R,Key.space,1735660031125
P,o,1735660031781
R,o,1735660031845
P,f,1735660032949
R,f,1735660033013
P,f,1735660033093
R,f,1735660033158
P,i,1735660033300
R,i,1735660033365
P,c,1735660033556
P,e,1735660033701
R,c,1735660033748
R,e,1735660033812
P,Key.space,1735660033877
R,Key.space,1735660033941
P,m,1735660034180
R,m,1735660034245
P,e,1735660034484
R,e,1735660034645
P,e,1735660034724
R,e,1735660034789
P,t,1735660035189
R,t,1735660035285
P,i,1735660035476
R,i,1735660035541
P,n,1735660035671
R,n,1735660035733
P,g,1735660035862
R,g,1735660035925
P,Key.space,1735660038678
R,Key.space,1735660038756
P,c,1735660039109
R,c,1735660039205
P,l,1735660039252
R,l,1735660039381
P,i,1735660039526
R,i,1735660039605
P,p,1735660039686
R,p,1735660039797
P,s,1735660039926
R,s,1735660040022
P,Key.comma,1735660041686
R,Key.comma,1735660041781
P,Key.space,1735660042037
R,Key.space,1735660042134
P,Key.space,1735660043909
R,Key.space,1735660044020
P,h,1735660044293
R,h,1735660044372
P,e,1735660044469
R,e,1735660044532
P,Key.space,1735660044597
R,Key.space,1735660044661
P,d,1735660045156
R,d,1735660045236
P,i,1735660045412
R,i,1735660045477
P,s,1735660045926
R,s,1735660045990
P,s,1735660046101
R,s,1735660046165
P,Key.backspace,1735660048070
R,Key.backspace,1735660048133
P,c,1735660048374
R,c,1735660048453
P,u,1735660048663
R,u,1735660048725
P,s,1735660049061
R,s,1735660049125
P,s,1735660049206
R,s,1735660049285
P,Key.space,1735660050086
R,Key.space,1735660050164
P,i,1735660050453
R,i,1735660050501
P,m,1735660050692
R,m,1735660050757
P,p,1735660051045
R,p,1735660051109
P,o,1735660051237
R,o,1735660051302
P,r,1735660051637
R,r,1735660051701
P,t,1735660051877
R,t,1735660051926
P,a,1735660052053
R,a,1735660052165
P,n,1735660052261
R,n,1735660052324
P,t,1735660052549
R,t,1735660052597
P,Key.space,1735660052757
R,Key.space,1735660052821
P,s,1735660054647
R,s,1735660054741
P,e,1735660054949
R,e,1735660055013
P,g,1735660055255
R,g,1735660055334
P,m,1735660055540
R,m,1735660055621
P,e,1735660055749
R,e,1735660055829
P,n,1735660055958
R,n,1735660056037
P,t,1735660056181
R,t,1735660056260
P,Key.space,1735660056372
R,Key.space,1735660056437
P,o,1735660056710
R,o,1735660056773
P,Key.backspace,1735660063478
R,Key.backspace,1735660063558
P,Key.backspace,1735660063829
R,Key.backspace,1735660063927
P,Key.backspace,1735660064037
R,Key.backspace,1735660064133
P,Key.backspace,1735660064245
R,Key.backspace,1735660064357
P,Key.backspace,1735660064517
R,Key.backspace,1735660064645
P,e,1735660066918
R,e,1735660066997
P,n,1735660067126
R,n,1735660067237
P,t,1735660067349
R,t,1735660067432
P,Key.space,1735660067477
R,Key.space,1735660067541
P,o,1735660067813
R,o,1735660067877
P,r,1735660068102
R,r,1735660068165
P,Key.space,1735660068309
R,Key.space,1735660068373
P,d,1735660068709
P,e,1735660068885
R,d,1735660068917
R,e,1735660068998
P,c,1735660069446
R,c,1735660069557
P,i,1735660069845
R,i,1735660069909
P,s,1735660070261
R,s,1735660070373
P,i,1735660070565
R,i,1735660070613
P,o,1735660070726
R,o,1735660070789
P,n,1735660070934
R,n,1735660070998
P,Key.space,1735660072917
R,Key.space,1735660073029
P,o,1735660073381
R,o,1735660073461
P,f,1735660073621
R,f,1735660073704
P,Key.space,1735660073750
R,Key.space,1735660073813
P,o,1735660074341
R,o,1735660074406
P,u,1735660074757
R,u,1735660074838
P,r,1735660075093
R,r,1735660075157
P,Key.space,1735660075333
R,Key.space,1735660075413
P,c,1735660076357
R,c,1735660076437
P,o,1735660076565
R,o,1735660076661
P,u,1735660076838
R,u,1735660076902
P,n,1735660077173
R,n,1735660077237
P,t,1735660077573
R,t,1735660077637
P,r,1735660077782
R,r,1735660077845
P,y,1735660078213
R,y,1735660078245
P,Key.comma,1735660080678
R,Key.comma,1735660080774
P,t,1735660081174
R,t,1735660081221
P,h,1735660081366
R,h,1735660081430
P,i,1735660081877
R,i,1735660081926
P,s,1735660082054
R,s,1735660082165
P,Key.space,1735660082182
R,Key.space,1735660082245
P,i,1735660082789
R,i,1735660082853
P,s,1735660082949
R,s,1735660083061
P,Key.space,1735660083125
R,Key.space,1735660083189
P,r,1735660083477
R,r,1735660083526
P,a,1735660083590
R,a,1735660083701
P,r,1735660083771
R,r,1735660083814
P,e,1735660083973
R,e,1735660084054
P,Key.space,1735660084459
R,Key.space,1735660084517
P,v,1735660085045
R,v,1735660085142
P,i,1735660085894
R,i,1735660085990
P,d,1735660086132
P,e,1735660086278
R,d,1735660086312
R,e,1735660086405
P,o,1735660086501
R,o,1735660086565
P,Key.space,1735660086725
R,Key.space,1735660086773
P,c,1735660087045
R,c,1735660087174
P,l,1735660087285
R,l,1735660087366
P,i,1735660087493
R,i,1735660087558
P,p,1735660087623
R,p,1735660087733
P,s,1735660087845
R,s,1735660087959
P,Key.space,1735660088022
R,Key.space,1735660088069
P,i,1735660088454
R,i,1735660088518
P,Key.space,1735660088662
R,Key.space,1735660088725
P,l,1735660088917
R,l,1735660089029
P,i,1735660089765
R,i,1735660089829
P,k,1735660089941
R,k,1735660090037
P,e,1735660090182
R,e,1735660090244
P,Key.space,1735660090309
R,Key.space,1735660090390
P,i,1735660090742
R,i,1735660090838
P,t,1735660091142
R,t,1735660091207
P,Key.space,1735660096918
R,Key.space,1735660097045
