Press or Release,Key,Time
P,s,1735660005139
R,s,1735660005267
P,t,1735660005395
R,t,1735660005477
P,u,1735660005652
R,u,1735660005732
P,r,1735660005877
R,r,1735660005971
P,Key.backspace,1735660007443
R,Key.backspace,1735660007523
P,d,1735660007859
R,d,1735660007970
P,e,1735660008083
R,e,1735660008165
P,n,1735660008227
R,n,1735660008338
P,t,1735660008499
R,t,1735660008562
P,Key.space,1735660008690
R,Key.space,1735660008771
P,g,1735660009699
R,g,1735660009779
P,e,1735660009795
R,e,1735660009875
P,t,1735660009923
R,t,1735660010003
P,Key.space,1735660010168
R,Key.space,1735660010242
P,m,1735660011842
R,m,1735660011923
P,o,1735660012051
R,o,1735660012130
P,t,1735660012307
R,t,1735660012389
P,i,1735660012579
R,i,1735660012659
P,v,1735660012822
R,v,1735660012914
P,a,1735660012930
R,a,1735660013026
P,t,1735660013107
R,t,1735660013187
P,e,1735660013218
R,e,1735660013299
P,d,1735660013410
R,d,1735660013490
P,Key.space,1735660013540
R,Key.space,1735660013587
P,a,1735660013827
R,a,1735660013971
P,n,1735660014003
P,d,1735660014039
R,n,1735660014083
R,d,1735660014133
P,Key.space,1735660014212
R,Key.space,1735660014277
P,t,1735660015075
R,t,1735660015155
P,r,1735660015251
R,r,1735660015331
P,y,1735660015491
R,y,1735660015556
P,Key.space,1735660015700
R,Key.space,1735660015779
P,t,1735660015955
R,t,1735660016035
P,o,1735660016196
R,o,1735660016278
P,Key.space,1735660016387
R,Key.space,1735660016466
P,c,1735660016563
R,c,1735660016707
P,o,1735660016755
R,o,1735660016837
P,n,1735660016948
R,n,1735660017044
P,v,1735660017251
R,v,1735660017331
P,e,1735660017395
R,e,1735660017540
P,y,1735660017683
R,y,1735660017749
P,Key.space,1735660017907
R,Key.space,1735660018005
P,t,1735660018917
R,t,1735660018996
P,a,1735660019059
P,h,1735660019107
R,a,1735660019171
R,h,1735660019187
P,t,1735660019315
R,t,1735660019397
P,Key.space,1735660019555
R,Key.space,1735660019636
P,Key.backspace,1735660020243
R,Key.backspace,1735660020307
P,Key.backspace,1735660020403
R,Key.backspace,1735660020468
P,Key.backspace,1735660020594
R,Key.backspace,1735660020627
P,Key.backspace,1735660020738
R,Key.backspace,1735660020802
P,h,1735660021810
R,h,1735660021874
P,a,1735660021875
R,a,1735660021971
P,t,1735660022035
R,t,1735660022083
P,Key.space,1735660022243
R,Key.space,1735660022325
P,w,1735660023012
R,w,1735660023090
P,i,1735660023283
R,i,1735660023379
P,t,1735660023522
R,t,1735660023605
P,h,1735660023715
R,h,1735660023795
P,Key.space,1735660023923
R,Key.space,1735660023987
P,h,1735660024676
R,h,1735660024756
P,i,1735660024851
P,s,1735660024915
R,i,1735660024931
R,s,1735660025013
P,Key.space,1735660025107
R,Key.space,1735660025187
P,c,1735660025795
R,c,1735660025939
P,o,1735660026035
R,o,1735660026131
P,a,1735660026131
R,a,1735660026227
P,c,1735660026451
R,c,1735660026565
P,h,1735660026627
R,h,1735660026723
P,Key.space,1735660026852
R,Key.space,1735660026947
P,w,1735660027123
R,w,1735660027205
P,a,1735660027366
R,a,1735660027475
P,s,1735660027476
R,s,1735660027589
P,Key.space,1735660027636
R,Key.space,1735660027699
P,l,1735660028468
R,l,1735660028547
P,o,1735660028707
R,o,1735660028771
P,o,1735660028835
R,o,1735660028915
P,k,1735660029044
R,k,1735660029126
P,s,1735660029171
R,s,1735660029267
P,Key.space,1735660029331
R,Key.space,1735660029398
P,i,1735660030165
R,i,1735660030243
P,m,1735660030421
R,m,1735660030500
P,s,1735660030661
R,s,1735660030739
P,p,1735660030947
R,p,1735660031044
P,r,1735660031475
R,r,1735660031572
P,i,1735660031699
R,i,1735660031780
P,n,1735660032339
R,n,1735660032451
P,g,1735660032628
R,g,1735660032709
P,Key.space,1735660032851
R,Key.space,1735660032947
P,o,1735660034019
R,o,1735660034115
P,n,1735660034227
R,n,1735660034323
P,e,1735660034371
R,e,1735660034467
P,Key.space,1735660034483
R,Key.space,1735660034547
P,a,1735660036851
R,a,1735660037014
P,n,1735660037078
R,n,1735660037171
P,d,1735660037171
R,d,1735660037268
P,Key.space,1735660037364
R,Key.space,1735660037414
P,e,1735660038819
R,e,1735660038899
P,a,1735660039091
R,a,1735660039156
P,s,1735660039285
R,s,1735660039395
P,y,1735660040228
R,y,1735660040291
P,Key.space,1735660040483
R,Key.space,1735660040564
P,t,1735660040771
R,t,1735660040835
P,o,1735660041014
R,o,1735660041091
P,Key.space,1735660041235
R,Key.space,1735660041316
P,l,1735660041812
R,l,1735660041893
P,e,1735660041939
R,e,1735660042040
P,a,1735660042164
R,a,1735660042292
P,r,1735660042403
R,r,1735660042516
P,n,1735660043587
R,n,1735660043667
P,Key.space,1735660043811
R,Key.space,1735660043859
P,h,1735660044067
R,h,1735660044148
P,o,1735660044306
R,o,1735660044387
P,w,1735660044485
R,w,1735660044564
P,Key.space,1735660044642
R,Key.space,1735660044706
P,r,1735660045715
R,r,1735660045795
P,e,1735660045874
R,e,1735660045970
P,s,1735660046323
R,s,1735660046419
P,p,1735660046834
R,p,1735660046930
P,e,1735660046962
R,e,1735660047140
