Press or Release,Key,Time
P,Key.shift,1735660010020
P,T,1735660010274
R,T,1735660010466
R,Key.shift,1735660010497
P,g,1735660010548
R,g,1735660010705
P,e,1735660010706
R,e,1735660010818
P,Key.space,1735660010850
R,Key.space,1735660010978
P,Key.backspace,1735660011986
R,Key.backspace,1735660012051
P,Key.backspace,1735660012145
R,Key.backspace,1735660012209
P,Key.backspace,1735660012561
R,Key.backspace,1735660012706
P,h,1735660013121
R,h,1735660013281
P,e,1735660013330
R,e,1735660013458
P,Key.space,1735660013521
R,Key.space,1735660013650
P,a,1735660014209
R,a,1735660014370
P,n,1735660014625
R,n,1735660014738
P,c,1735660015281
R,c,1735660015426
P,h,1735660015729
R,h,1735660015937
P,o,1735660015954
R,o,1735660016113
P,r,1735660016146
R,r,1735660016273
P,Key.space,1735660016337
R,Key.space,1735660016418
P,d,1735660016961
R,d,1735660017106
P,o,1735660017106
P,i,1735660017249
R,o,1735660017298
R,i,1735660017394
P,n,1735660017538
R,n,1735660017682
P,g,1735660017713
R,g,1735660017873
P,Key.space,1735660017890
R,Key.space,1735660018001
P,i,1735660018082
R,i,1735660018210
P,Key.backspace,1735660018849
R,Key.backspace,1735660019057
P,h,1735660019681
R,h,1735660019826
P,Key.backspace,1735660020360
R,Key.backspace,1735660020530
P,a,1735660020866
P,n,1735660021042
R,a,1735660021058
P,d,1735660021202
R,n,1735660021233
R,d,1735660021378
P,Key.space,1735660021395
R,Key.space,1735660021490
P,m,1735660021650
R,m,1735660021746
P,a,1735660021969
R,a,1735660022146
P,k,1735660022178
R,k,1735660022338
P,i,1735660022530
R,i,1735660022641
P,n,1735660022785
R,n,1735660022913
P,g,1735660022945
R,g,1735660023106
P,Key.space,1735660023153
R,Key.space,1735660023235
P,a,1735660023330
R,a,1735660023442
P,Key.backspace,1735660023954
R,Key.backspace,1735660024146
P,o,1735660025714
P,t,1735660025827
R,o,1735660025874
P,h,1735660025922
R,t,1735660025986
R,h,1735660026066
P,e,1735660026082
P,r,1735660026194
R,e,1735660026226
R,r,1735660026323
P,Key.space,1735660026371
R,Key.space,1735660026529
P,l,1735660026610
R,l,1735660026785
P,a,1735660026881
R,a,1735660027042
P,u,1735660027267
R,u,1735660027410
P,g,1735660027458
R,g,1735660027586
P,h,1735660027586
R,h,1735660027729
P,Key.space,1735660028274
R,Key.space,1735660028386
P,a,1735660028738
R,a,1735660028913
P,n,1735660028977
R,n,1735660029121
P,d,1735660029122
R,d,1735660029282
P,Key.space,1735660029345
R,Key.space,1735660029442
P,Key.space,1735660029522
R,Key.space,1735660029617
P,h,1735660029809
R,h,1735660030082
P,a,1735660030083
P,p,1735660030097
R,a,1735660030210
R,p,1735660030232
P,p,1735660030338
R,p,1735660030515
P,y,1735660030530
R,y,1735660030706
P,Key.space,1735660030898
R,Key.space,1735660031106
P,b,1735660031330
R,b,1735660031442
P,y,1735660031618
R,y,1735660031762
P,Key.space,1735660031859
R,Key.space,1735660031986
P,h,1735660032354
R,h,1735660032465
P,i,1735660032547
R,i,1735660032674
P,s,1735660032753
R,s,1735660032849
P,Key.space,1735660032867
R,Key.space,1735660032961
P,w,1735660033089
R,w,1735660033234
P,a,1735660033298
R,a,1735660033473
P,y,1735660033474
R,y,1735660033602
P,Key.space,1735660033714
R,Key.space,1735660033827
P,o,1735660034161
R,o,1735660034306
P,f,1735660034418
R,f,1735660034529
P,Key.space,1735660034611
R,Key.space,1735660034690
P,c,1735660035026
R,c,1735660035106
P,o,1735660035778
R,o,1735660035906
P,m,1735660036082
R,m,1735660036210
P,e,1735660036274
R,e,1735660036370
P,d,1735660036514
R,d,1735660036642
P,y,1735660036770
R,y,1735660036930
P,.,1735660037330
R,.,1735660037458
P,Key.space,1735660037810
R,Key.space,1735660037905
P,Key.shift,1735660038402
P,:,1735660039026
R,:,1735660039363
R,Key.shift,1735660039891
P,Key.backspace,1735660040115
R,Key.backspace,1735660040466
