Press or Release,Key,Time
P,c,1735660003863
R,c,1735660003929
P,o,1735660004054
R,o,1735660004094
P,a,1735660005168
R,a,1735660005274
P,c,1735660005466
R,c,1735660005574
P,h,1735660005788
R,h,1735660005846
P,Key.space,1735660006026
R,Key.space,1735660006108
P,c,1735660006239
R,c,1735660006342
P,a,1735660006493
R,a,1735660006653
P,r,1735660007003
R,r,1735660007133
P,t,1735660007370
R,t,1735660007472
P,e,1735660007619
R,e,1735660007796
P,r,1735660007840
R,r,1735660007943
P,Key.space,1735660008013
R,Key.space,1735660008085
P,h,1735660009493
R,h,1735660009580
P,e,1735660009727
R,e,1735660009851
P,l,1735660010112
R,l,1735660010181
P,p,1735660010309
R,p,1735660010383
P,e,1735660010752
R,e,1735660010793
P,d,1735660011857
R,d,1735660012002
P,Key.space,1735660012040
R,Key.space,1735660012086
P,t,1735660013047
R,t,1735660013154
P,h,1735660013163
R,h,1735660013282
P,e,1735660013385
R,e,1735660013534
P,Key.space,1735660013597
R,Key.space,1735660013660
P,p,1735660014019
R,p,1735660014095
P,l,1735660014227
R,l,1735660014319
P,a,1735660014346
R,a,1735660014478
P,y,1735660015115
R,y,1735660015219
P,e,1735660015286
R,e,1735660015408
P,r,1735660015805
R,r,1735660015893
P,s,1735660016062
R,s,1735660016199
P,Key.space,1735660016252
R,Key.space,1735660016325
P,g,1735660019155
R,g,1735660019277
P,e,1735660019623
R,e,1735660019765
P,t,1735660019887
R,t,1735660019988
P,Key.space,1735660020073
R,Key.space,1735660020124
P,b,1735660022219
R,b,1735660022305
P,e,1735660022454
R,e,1735660022597
P,t,1735660022836
R,t,1735660022953
P,t,1735660023124
R,t,1735660023212
P,e,1735660023396
R,e,1735660023535
P,r,1735660023595
R,r,1735660023702
P,Key.space,1735660023791
R,Key.space,1735660023842
P,a,1735660027233
R,a,1735660027385
P,t,1735660027604
R,t,1735660027711
P,Key.space,1735660027900
R,Key.space,1735660027961
P,t,1735660028855
R,t,1735660028956
P,h,1735660029035
R,h,1735660029145
P,e,1735660029532
R,e,1735660029679
P,i,1735660029736
R,i,1735660029851
P,r,1735660029912
R,r,1735660030033
P,Key.space,1735660030106
R,Key.space,1735660030182
P,a,1735660031162
R,a,1735660031298
P,c,1735660031444
R,c,1735660031547
P,a,1735660031764
R,a,1735660031936
P,d,1735660033525
R,d,1735660033635
P,e,1735660033663
R,e,1735660033790
P,n,1735660034074
R,n,1735660034139
P,Key.backspace,1735660034777
R,Key.backspace,1735660034842
P,m,1735660035154
R,m,1735660035273
P,i,1735660035357
R,i,1735660035479
P,c,1735660035976
R,c,1735660036108
P,s,1735660036449
R,s,1735660036587
P,Key.space,1735660036632
R,Key.space,1735660036694
P,a,1735660101056
R,a,1735660101201
P,n,1735660101255
R,n,1735660101348
P,d,1735660101437
R,d,1735660101555
P,Key.space,1735660101672
R,Key.space,1735660101750
P,a,1735660102055
R,a,1735660102178
P,l,1735660102560
R,l,1735660102611
P,o,1735660103237
R,o,1735660103323
P,Key.space,1735660103521
R,Key.space,1735660103577
P,h,1735660104216
R,h,1735660104299
P,e,1735660104465
R,e,1735660104574
P,l,1735660105028
R,l,1735660105107
P,p,1735660105243
R,p,1735660105318
P,e,1735660105521
R,e,1735660105614
P,d,1735660105715
R,d,1735660105831
P,Key.space,1735660105887
R,Key.space,1735660105952
P,t,1735660106150
R,t,1735660106246
P,h,1735660106305
R,h,1735660106420
P,e,1735660106575
R,e,1735660106694
P,m,1735660106835
R,m,1735660106893
P,Key.space,1735660107025
R,Key.space,1735660107083
P,Key.left,1735660110214
R,Key.left,1735660110279
P,Key.left,1735660110365
R,Key.left,1735660110419
P,Key.left,1735660110519
R,Key.left,1735660110556
P,Key.left,1735660110947
R,Key.left,1735660111020
P,Key.left,1735660111311
R,Key.left,1735660111389
P,Key.left,1735660111463
R,Key.left,1735660111527
P,Key.left,1735660111601
R,Key.left,1735660111680
P,Key.left,1735660111750
R,Key.left,1735660111808
P,Key.left,1735660111926
R,Key.left,1735660111969
P,Key.left,1735660112089
R,Key.left,1735660112147
P,Key.left,1735660112233
