Press or Release,Key,Time
P,w,1735660002437
P,e,1735660002452
P,h,1735660002598
R,w,1735660002615
R,e,1735660002630
P,Key.space,1735660002639
P,g,1735660002668
R,h,1735660002718
P,d,1735660002773
R,d,1735660002791
R,g,1735660002791
R,Key.space,1735660002829
P,Key.space,1735660002909
P,h,1735660002927
R,h,1735660002933
P,h,1735660002966
R,Key.space,1735660003014
P,a,1735660003054
R,h,1735660003071
P,s,1735660003111
P,Key.space,1735660003166
P,g,1735660003214
R,a,1735660003236
R,s,1735660003236
R,g,1735660003272
R,Key.space,1735660003301
P,a,1735660003373
P,s,1735660003445
P,d,1735660003454
P,j,1735660003535
R,s,1735660003541
R,a,1735660003563
P,Key.space,1735660003563
R,j,1735660003565
R,d,1735660003574
P,h,1735660003589
R,h,1735660003598
R,Key.space,1735660003622
P,a,1735660003693
P,s,1735660003729
P,d,1735660003741
P,g,1735660003801
P,Key.space,1735660003802
R,a,1735660003853
R,s,1735660003854
R,g,1735660003875
R,d,1735660003875
R,Key.space,1735660003886
P,h,1735660003974
R,h,1735660004051
P,s,1735660004117
P,d,1735660004157
P,j,1735660004254
P,Key.space,1735660004271
R,s,1735660004271
R,d,1735660004285
R,j,1735660004405
P,a,1735660004453
P,s,1735660004478
P,d,1735660004508
R,Key.space,1735660004517
R,d,1735660004518
P,d,1735660004567
R,s,1735660004619
P,h,1735660004620
R,d,1735660004629
R,a,1735660004637
R,h,1735660004637
P,g,1735660004655
P,h,1735660004656
R,h,1735660004678
R,g,1735660004733
P,j,1735660004790
P,a,1735660004811
P,s,1735660004827
P,d,1735660004837
R,d,1735660004853
P,d,1735660004861
P,Key.space,1735660004894
R,j,1735660004909
R,a,1735660004958
R,s,1735660004965
R,d,1735660004974
R,Key.space,1735660005054
P,h,1735660005174
P,a,1735660005205
P,s,1735660005229
R,h,1735660005282
P,d,1735660005302
R,a,1735660005382
P,Key.space,1735660005389
R,s,1735660005397
R,d,1735660005421
P,g,1735660005445
R,g,1735660005462
R,Key.space,1735660005526
P,a,1735660005598
P,s,1735660005622
P,d,1735660005655
R,d,1735660005661
P,d,1735660005670
P,Key.space,1735660005671
R,a,1735660005742
R,s,1735660005750
R,d,1735660005757
R,Key.space,1735660005813
P,h,1735660005950
P,g,1735660005968
P,a,1735660006038
P,s,1735660006038
R,g,1735660006045
P,d,1735660006070
R,h,1735660006071
R,d,1735660006078
P,d,1735660006094
P,j,1735660006134
P,Key.space,1735660006153
