Press or Release,Key,Time
P,c,1735660004328
R,c,1735660004390
P,o,1735660004615
R,o,1735660004679
P,a,1735660004854
R,a,1735660004935
P,c,1735660005127
R,c,1735660005207
P,h,1735660005335
R,h,1735660005400
P,Key.space,1735660005542
R,Key.space,1735660005591
P,c,1735660006279
R,c,1735660006327
P,a,1735660006487
R,a,1735660006727
P,r,1735660006743
R,r,1735660006839
P,t,1735660007063
R,t,1735660007126
P,e,1735660007224
P,r,1735660007367
R,e,1735660007414
R,r,1735660007463
P,Key.space,1735660009847
R,Key.space,1735660009911
P,m,1735660010327
R,m,1735660010390
P,o,1735660010567
R,o,1735660010615
P,v,1735660010839
R,v,1735660010918
P,i,1735660011110
R,i,1735660011175
P,e,1735660011440
R,e,1735660011510
P,Key.space,1735660011574
R,Key.space,1735660011623
P,c,1735660011943
R,c,1735660012024
P,l,1735660012199
R,l,1735660012263
P,i,1735660012615
R,i,1735660012647
P,p,1735660012824
R,p,1735660012872
P,s,1735660013911
R,s,1735660014024
P,Key.space,1735660027047
R,Key.space,1735660027160
P,i,1735660027240
R,i,1735660027319
P,s,1735660028199
R,s,1735660028311
P,Key.space,1735660028359
R,Key.space,1735660028455
P,t,1735660028680
R,t,1735660028743
P,o,1735660029143
R,o,1735660029223
P,t,1735660029415
R,t,1735660029464
P,a,1735660029559
R,a,1735660029687
P,l,1735660030039
R,l,1735660030088
P,l,1735660030152
R,l,1735660030231
P,y,1735660030407
R,y,1735660030456
P,Key.space,1735660030599
R,Key.space,1735660030680
P,v,1735660031607
R,v,1735660031719
P,e,1735660032039
P,r,1735660032200
R,e,1735660032232
R,r,1735660032295
P,y,1735660032471
R,y,1735660032519
P,Key.space,1735660032679
R,Key.space,1735660032751
P,n,1735660033207
R,n,1735660033287
P,i,1735660033431
R,i,1735660033495
P,c,1735660033607
R,c,1735660033687
P,e,1735660033767
R,e,1735660033863
P,Key.space,1735660033911
R,Key.space,1735660033975
P,a,1735660034167
R,a,1735660034279
P,c,1735660034487
R,c,1735660034583
P,t,1735660034935
R,t,1735660034999
P,i,1735660035112
R,i,1735660035175
P,n,1735660035287
R,n,1735660035351
P,g,1735660035464
R,g,1735660035543
P,Key.space,1735660035606
R,Key.space,1735660035671
P,a,1735660036840
R,a,1735660036935
P,n,1735660036983
R,n,1735660037064
P,d,1735660037160
P,Key.space,1735660037223
R,d,1735660037255
R,Key.space,1735660037304
P,i,1735660037719
R,i,1735660037783
P,n,1735660037975
R,n,1735660038056
P,t,1735660038263
R,t,1735660038342
P,e,1735660038440
P,r,1735660038583
R,e,1735660038599
R,r,1735660038665
P,e,1735660039207
R,e,1735660039287
P,s,1735660039528
R,s,1735660039624
P,t,1735660040039
R,t,1735660040103
P,i,1735660040231
R,i,1735660040279
P,n,1735660040407
R,n,1735660040487
P,g,1735660040584
R,g,1735660040663
P,Key.space,1735660042471
R,Key.space,1735660042567
P,s,1735660042679
R,s,1735660042759
P,c,1735660042887
R,c,1735660042983
P,e,1735660043160
R,e,1735660043255
P,n,1735660043383
R,n,1735660043463
P,e,1735660043543
R,e,1735660043640
P,Key.space,1735660044552
R,Key.space,1735660044648
P,p,1735660044982
R,p,1735660045079
P,r,1735660045272
R,r,1735660045351
P,o,1735660045656
R,o,1735660045752
P,f,1735660045991
R,f,1735660046087
P,e,1735660046168
R,e,1735660046360
P,s,1735660047736
R,s,1735660047880
P,s,1735660048551
R,s,1735660048663
P,i,1735660049319
R,i,1735660049432
P,o,1735660049479
R,o,1735660049607
P,r,1735660049895
R,r,1735660049976
P,Key.space,1735660050039
R,Key.space,1735660050120
P,a,1735660050727
R,a,1735660050856
P,n,1735660050887
R,n,1735660050982
P,d,1735660051048
R,d,1735660051142
P,Key.space,1735660051159
R,Key.space,1735660051238
P,s,1735660051640
R,s,1735660051751
P,t,1735660052168
R,t,1735660052248
P,u,1735660052439
R,u,1735660052487
P,d,1735660052792
R,d,1735660052872
P,e,1735660052982
R,e,1735660053096
P,n,1735660053143
R,n,1735660053238
P,t,1735660053400
R,t,1735660053463
P,Key.space,1735660053575
R,Key.space,1735660053655
P,s,1735660054663
R,s,1735660054743
P,c,1735660054920
R,c,1735660055000
P,e,1735660055143
R,e,1735660055224
P,n,1735660056471
R,n,1735660056552
P,e,1735660056585
R,e,1735660056695
P,Key.space,1735660056792
R,Key.space,1735660056887
P,i,1735660057751
R,i,1735660057832
P,s,1735660057960
R,s,1735660058055
P,Key.space,1735660058103
R,Key.space,1735660058167
P,v,1735660058328
R,v,1735660058424
P,e,1735660058552
P,r,1735660058696
R,e,1735660058727
R,r,1735660058792
P,y,1735660058888
R,y,1735660058952
P,Key.space,1735660059096
R,Key.space,1735660059176
P,s,1735660060279
R,s,1735660060360
P,e,1735660060552
R,e,1735660060648
P,n,1735660060760
R,n,1735660060871
P,t,1735660061079
R,t,1735660061143
P,i,1735660061368
R,i,1735660061431
P,m,1735660061672
R,m,1735660061752
P,e,1735660061911
R,e,1735660061976
P,n,1735660062136
R,n,1735660062216
P,t,1735660062328
R,t,1735660062392
P,Key.space,1735660062487
R,Key.space,1735660062551
P,a,1735660067112
R,a,1735660067224
P,n,1735660067511
R,n,1735660067607
P,d,1735660067767
R,d,1735660067848
P,Key.space,1735660074441
R,Key.space,1735660074535
P,e,1735660075047
R,e,1735660075143
P,n,1735660075369
R,n,1735660075479
P,j,1735660075815
R,j,1735660075912
P,o,1735660076088
R,o,1735660076216
P,y,1735660076440
R,y,1735660076519
P,a,1735660076632
R,a,1735660076728
P,b,1735660077127
R,b,1735660077223
P,l,1735660077304
R,l,1735660077399
P,e,1735660077511
R,e,1735660077592
P,Key.space,1735660077607
R,Key.space,1735660077687
P,s,1735660078359
R,s,1735660078456
P,c,1735660078567
R,c,1735660078648
P,e,1735660078791
R,e,1735660078887
P,n,1735660079031
R,n,1735660079127
P,e,1735660079208
R,e,1735660079320
P,Key.space,1735660080217
R,Key.space,1735660080312
P,t,1735660080615
R,t,1735660080695
P,o,1735660080808
R,o,1735660080887
P,t,1735660081079
R,t,1735660081128
P,a,1735660081271
R,a,1735660081384
P,l,1735660081607
R,l,1735660081655
P,l,1735660081719
R,l,1735660081800
P,y,1735660081959
R,y,1735660082023
P,Key.space,1735660082136
R,Key.space,1735660082215
P,i,1735660082440
R,i,1735660082505
P,Key.space,1735660082663
R,Key.space,1735660082727
P,l,1735660082968
R,l,1735660083032
P,i,1735660083159
R,i,1735660083207
P,k,1735660083304
R,k,1735660083383
P,e,1735660083496
R,e,1735660083560
P,Key.space,1735660083640
R,Key.space,1735660083703
P,m,1735660085112
R,m,1735660085191
P,o,1735660085336
R,o,1735660085400
P,v,1735660085625
R,v,1735660085720
P,i,1735660085928
R,i,1735660085993
P,e,1735660087111
R,e,1735660087192
P,Key.space,1735660087976
R,Key.space,1735660088056
P,c,1735660088199
R,c,1735660088312
P,l,1735660088376
R,l,1735660088455
P,i,1735660088904
R,i,1735660089000
P,p,1735660089079
R,p,1735660089239
P,s,1735660089336
R,s,1735660089464
