Press or Release,Key,Time
P,=,1735660002291
R,=,1735660002354
P,Key.backspace,1735660002391
R,Key.backspace,1735660002396
P,Key.shift,1735660002396
P,T,1735660002400
R,T,1735660002403
R,Key.shift,1735660002403
P,h,1735660002425
R,h,1735660002427
P,e,1735660002450
R,e,1735660002451
P,Key.space,1735660002465
R,Key.space,1735660002466
P,i,1735660002480
R,i,1735660002481
P,n,1735660002499
R,n,1735660002500
P,f,1735660002514
R,f,1735660002515
P,a,1735660002529
R,a,1735660002530
P,m,1735660002543
R,m,1735660002544
P,o,1735660002559
R,o,1735660002575
P,u,1735660002577
R,u,1735660002579
P,s,1735660002590
R,s,1735660002592
P,Key.space,1735660002606
R,Key.space,1735660002607
P,Key.shift,1735660002621
P,O,1735660002622
R,O,1735660002623
R,Key.shift,1735660002624
P,s,1735660002637
R,s,1735660002638
P,c,1735660002654
R,c,1735660002655
P,a,1735660002668
R,a,1735660002669
P,r,1735660002683
R,r,1735660002684
P,Key.space,1735660002698
R,Key.space,1735660002699
P,s,1735660002714
R,s,1735660002715
P,l,1735660002729
R,l,1735660002730
P,a,1735660002745
R,a,1735660002746
P,p,1735660002760
R,p,1735660002761
P,Key.space,1735660002776
R,Key.space,1735660002777
P,b,1735660002794
R,b,1735660002795
P,e,1735660002807
R,e,1735660002808
P,t,1735660002823
R,t,1735660002824
P,w,1735660002838
R,w,1735660002839
P,e,1735660002856
R,e,1735660002857
P,e,1735660002869
R,e,1735660002870
P,n,1735660002885
R,n,1735660002885
P,Key.space,1735660002901
R,Key.space,1735660002901
P,Key.shift,1735660002920
P,W,1735660002920
R,W,1735660002921
R,Key.shift,1735660002921
P,i,1735660002934
R,i,1735660002935
P,l,1735660002949
R,l,1735660002950
P,l,1735660002965
R,l,1735660002965
P,Key.space,1735660002980
R,Key.space,1735660002981
P,Key.shift,1735660002996
P,S,1735660002997
R,S,1735660002998
R,Key.shift,1735660002998
P,m,1735660003013
R,m,1735660003014
P,i,1735660003027
R,i,1735660003028
P,t,1735660003042
R,t,1735660003043
P,h,1735660003058
R,h,1735660003058
P,Key.space,1735660003073
R,Key.space,1735660003074
P,a,1735660003089
R,a,1735660003089
P,n,1735660003106
R,n,1735660003108
P,d,1735660003122
R,d,1735660003124
P,Key.space,1735660003138
R,Key.space,1735660003140
P,Key.shift,1735660003155
P,C,1735660003158
R,C,1735660003160
R,Key.shift,1735660003160
P,h,1735660003186
R,h,1735660003188
P,r,1735660003202
R,r,1735660003203
P,i,1735660003218
R,i,1735660003219
P,s,1735660003236
R,s,1735660003238
P,Key.space,1735660003248
R,Key.space,1735660003249
P,Key.shift,1735660003263
P,R,1735660003266
R,R,1735660003269
R,Key.shift,1735660003272
P,o,1735660003276
R,o,1735660003277
P,c,1735660003297
R,c,1735660003298
P,k,1735660003310
R,k,1735660003311
P,Key.space,1735660003325
R,Key.space,1735660003327
P,r,1735660003341
R,r,1735660003342
P,e,1735660003356
R,e,1735660003358
P,m,1735660003370
R,m,1735660003372
P,a,1735660003386
R,a,1735660003388
P,i,1735660003402
R,i,1735660003403
P,n,1735660003422
R,n,1735660003424
P,s,1735660003437
R,s,1735660003441
P,Key.space,1735660003462
R,Key.space,1735660003463
P,o,1735660003478
R,o,1735660003479
P,n,1735660003495
R,n,1735660003496
P,e,1735660003510
R,e,1735660003510
P,Key.space,1735660003525
R,Key.space,1735660003526
P,o,1735660003541
R,o,1735660003542
P,f,1735660003557
R,f,1735660003557
