Press or Release,Key,Time
P,w,1735660004530
R,w,1735660004680
P,Key.backspace,1735660005096
R,Key.backspace,1735660005183
P,e,1735660005377
R,e,1735660005521
P,v,1735660005889
R,v,1735660006039
P,e,1735660006111
P,r,1735660006288
R,e,1735660006303
R,r,1735660006442
P,y,1735660006584
R,y,1735660006663
P,Key.space,1735660006818
R,Key.space,1735660006912
P,p,1735660007807
R,p,1735660007880
P,r,1735660008007
R,r,1735660008175
P,a,1735660008192
R,a,1735660008360
P,t,1735660008384
R,t,1735660008528
P,i,1735660008671
R,i,1735660008759
P,c,1735660008944
R,c,1735660009072
P,e,1735660009175
R,e,1735660009304
P,Key.space,1735660009440
R,Key.space,1735660009544
P,c,1735660010600
R,c,1735660010759
P,o,1735660011218
R,o,1735660011296
P,u,1735660011448
R,u,1735660011512
P,n,1735660011680
R,n,1735660011744
P,t,1735660011890
R,t,1735660012039
P,s,1735660012138
R,s,1735660012296
P,Key.space,1735660012449
R,Key.space,1735660012592
P,k,1735660013751
R,k,1735660013840
P,e,1735660013921
R,e,1735660014031
P,e,1735660014103
R,e,1735660014216
P,p,1735660014319
R,p,1735660014392
P,Key.space,1735660014553
R,Key.space,1735660014648
P,g,1735660015728
R,g,1735660015865
P,i,1735660015879
R,i,1735660015952
P,v,1735660016144
R,v,1735660016288
P,i,1735660016360
R,i,1735660016439
P,n,1735660016607
R,n,1735660016695
P,g,1735660016832
R,g,1735660016959
P,Key.space,1735660017040
R,Key.space,1735660017128
P,y,1735660018352
R,y,1735660018409
P,o,1735660018825
R,o,1735660018962
P,u,1735660019029
R,u,1735660019104
P,r,1735660019399
R,r,1735660019536
P,Key.space,1735660019593
R,Key.space,1735660019695
P,b,1735660020599
R,b,1735660020679
P,e,1735660020768
R,e,1735660020889
P,s,1735660021007
R,s,1735660021191
P,t,1735660021208
R,t,1735660021369
P,Key.space,1735660021465
R,Key.space,1735660021575
P,y,1735660023591
R,y,1735660023703
P,p,1735660023784
R,p,1735660023960
P,u,1735660024032
R,u,1735660024119
P,r,1735660024288
R,r,1735660024424
P,Key.space,1735660024507
R,Key.space,1735660024583
P,h,1735660024744
R,h,1735660024817
P,a,1735660024896
R,a,1735660025081
P,r,1735660025220
R,r,1735660025368
P,d,1735660025529
R,d,1735660025688
P,Key.space,1735660025776
R,Key.space,1735660025905
P,w,1735660026240
R,w,1735660026375
P,o,1735660026623
R,o,1735660026695
P,r,1735660026807
R,r,1735660026944
P,k,1735660027071
R,k,1735660027152
P,Key.space,1735660027255
R,Key.space,1735660027352
P,a,1735660027367
R,a,1735660027551
P,n,1735660027576
R,n,1735660027663
P,d,1735660027760
R,d,1735660027912
P,Key.space,1735660027944
R,Key.space,1735660028048
P,t,1735660028136
R,t,1735660028288
P,h,1735660028328
R,h,1735660028407
P,e,1735660028474
R,e,1735660028584
P,Key.space,1735660028664
R,Key.space,1735660028768
P,i,1735660029736
R,i,1735660029832
P,n,1735660030552
R,n,1735660030639
P,s,1735660030735
R,s,1735660030928
P,p,1735660031295
R,p,1735660031392
P,r,1735660031815
R,r,1735660031959
P,i,1735660032015
R,i,1735660032103
P,n,1735660032207
R,n,1735660032296
P,g,1735660032392
R,g,1735660032543
P,Key.space,1735660032551
R,Key.space,1735660032640
P,t,1735660032721
R,t,1735660032848
P,h,1735660032871
R,h,1735660032944
P,e,1735660033031
R,e,1735660033159
P,Key.space,1735660033247
R,Key.space,1735660033347
P,m,1735660033575
R,m,1735660033671
P,o,1735660034095
R,o,1735660034176
P,m,1735660034440
R,m,1735660034521
P,e,1735660034639
R,e,1735660034783
P,n,1735660034817
R,n,1735660034922
P,t,1735660034968
R,t,1735660035116
P,s,1735660035175
R,s,1735660035335
P,Key.space,1735660035407
R,Key.space,1735660035496
P,o,1735660035791
R,o,1735660035872
P,f,1735660036031
R,f,1735660036183
P,f,1735660036344
R,f,1735660036464
P,Key.space,1735660036553
R,Key.space,1735660036639
P,t,1735660036719
R,t,1735660036858
P,h,1735660036858
R,h,1735660036935
P,i,1735660037031
R,i,1735660037143
P,s,1735660037255
R,s,1735660037416
P,Key.space,1735660037576
R,Key.space,1735660037663
P,c,1735660039071
R,c,1735660039247
P,o,1735660039263
R,o,1735660039342
P,u,1735660039468
R,u,1735660039528
P,n,1735660039680
R,n,1735660039769
P,t,1735660039888
R,t,1735660040039
P,r,1735660040591
R,r,1735660040711
P,y,1735660040783
R,y,1735660040831
P,Key.space,1735660041031
R,Key.space,1735660041119
P,w,1735660042208
R,w,1735660042359
P,o,1735660042679
R,o,1735660042824
P,u,1735660042888
R,u,1735660042968
P,n,1735660043136
R,n,1735660043220
P,l,1735660043831
R,l,1735660043928
P,d,1735660044119
P,f,1735660044121
R,f,1735660044216
R,d,1735660044247
P,Key.space,1735660044541
R,Key.space,1735660044656
P,y,1735660045631
R,y,1735660045719
P,o,1735660045783
R,o,1735660045967
P,u,1735660045983
R,u,1735660046063
P,Key.space,1735660046175
R,Key.space,1735660046287
P,t,1735660046375
P,h,1735660046488
R,t,1735660046511
R,h,1735660046583
P,i,1735660046687
R,i,1735660046847
P,e,1735660046952
R,e,1735660047096
P,Key.space,1735660047119
R,Key.space,1735660047215
P,k,1735660047431
R,k,1735660047599
P,l,1735660047783
P,h,1735660047951
R,l,1735660047991
R,h,1735660048135
P,l,1735660048199
P,a,1735660048295
R,a,1735660048476
R,l,1735660048504
P,n,1735660048615
P,l,1735660048839
R,n,1735660048856
P,f,1735660048856
R,l,1735660048999
R,f,1735660049023
P,Key.space,1735660049344
R,Key.space,1735660049464
P,l,1735660050039
R,l,1735660050191
P,i,1735660050223
R,i,1735660050332
P,k,1735660050488
R,k,1735660050583
P,e,1735660050703
R,e,1735660050848
P,Key.space,1735660050848
R,Key.space,1735660050952
P,a,1735660051175
R,a,1735660051375
P,n,1735660051400
R,n,1735660051496
P,d,1735660051607
R,d,1735660051771
P,Key.space,1735660051783
R,Key.space,1735660051880
P,t,1735660051935
R,t,1735660052183
P,g,1735660052183
P,h,1735660052184
R,g,1735660052215
R,h,1735660052225
P,e,1735660052304
R,e,1735660052456
P,Key.space,1735660052480
R,Key.space,1735660052583
P,d,1735660053088
R,d,1735660053255
P,i,1735660053312
R,i,1735660053394
P,s,1735660053528
R,s,1735660053687
P,p,1735660053823
R,p,1735660053913
P,l,1735660054097
R,l,1735660054168
P,i,1735660054328
R,i,1735660054391
P,n,1735660054567
R,n,1735660054648
P,e,1735660054792
R,e,1735660054917
P,d,1735660055015
R,d,1735660055159
P,Key.space,1735660055183
R,Key.space,1735660055271
P,t,1735660055367
R,t,1735660055567
P,h,1735660055583
R,h,1735660055679
P,e,1735660055727
R,e,1735660055883
P,Key.space,1735660055951
P,r,1735660055999
R,Key.space,1735660056039
R,r,1735660056104
P,Key.space,1735660056232
R,Key.space,1735660056327
P,s,1735660056515
R,s,1735660056682
P,p,1735660056799
R,p,1735660056923
P,e,1735660057023
R,e,1735660057159
P,c,1735660057424
R,c,1735660057530
P,i,1735660058105
R,i,1735660058183
P,f,1735660058688
R,f,1735660058832
P,i,1735660058942
R,i,1735660059008
P,c,1735660059129
R,c,1735660059282
