Press or Release,Key,Time
P,Key.shift,1735660044499
P,A,1735660044579
R,A,1735660044739
R,Key.shift,1735660044754
P,Key.space,1735660044850
R,Key.space,1735660044979
P,b,1735660045267
R,b,1735660045410
P,o,1735660045763
P,y,1735660045891
R,o,1735660045954
R,y,1735660046018
P,Key.space,1735660046114
R,Key.space,1735660046226
P,Key.backspace,1735660053523
R,Key.backspace,1735660053619
P,Key.backspace,1735660053715
R,Key.backspace,1735660053763
P,Key.backspace,1735660053859
R,Key.backspace,1735660053923
P,Key.backspace,1735660054403
R,Key.backspace,1735660054515
P,s,1735660055205
R,s,1735660055378
P,t,1735660055427
R,t,1735660055586
P,u,1735660055811
R,u,1735660055907
P,d,1735660055907
R,d,1735660056019
P,e,1735660056131
R,e,1735660056307
P,n,1735660056355
P,t,1735660056435
R,n,1735660056515
R,t,1735660056563
P,Key.space,1735660056595
R,Key.space,1735660056659
P,i,1735660058659
R,i,1735660058740
P,n,1735660058850
R,n,1735660058946
P,Key.space,1735660059026
R,Key.space,1735660059122
P,a,1735660059173
R,a,1735660059315
P,Key.space,1735660059619
R,Key.space,1735660059699
P,c,1735660059892
P,l,1735660060003
R,c,1735660060067
R,l,1735660060147
P,a,1735660060163
P,s,1735660060324
R,a,1735660060388
R,s,1735660060451
P,s,1735660060531
R,s,1735660060659
P,Key.space,1735660060675
R,Key.space,1735660060755
P,s,1735660061683
R,s,1735660061828
P,p,1735660062066
R,p,1735660062194
P,o,1735660062595
R,o,1735660062690
P,k,1735660062867
R,k,1735660063027
P,e,1735660063027
R,e,1735660063123
P,Key.space,1735660063155
R,Key.space,1735660063268
P,b,1735660063892
R,b,1735660064003
P,o,1735660064099
R,o,1735660064211
P,l,1735660064307
R,l,1735660064435
P,d,1735660064451
R,d,1735660064547
P,Key.space,1735660064627
R,Key.space,1735660064675
P,a,1735660065443
P,b,1735660065587
R,a,1735660065605
R,b,1735660065715
P,o,1735660065843
P,u,1735660066035
R,o,1735660066051
R,u,1735660066147
P,t,1735660066275
R,t,1735660066419
P,Key.space,1735660066419
R,Key.space,1735660066499
P,f,1735660067427
R,f,1735660067523
P,a,1735660067732
R,a,1735660067906
P,Key.backspace,1735660068227
R,Key.backspace,1735660068435
P,e,1735660068628
R,e,1735660068771
P,a,1735660068803
P,r,1735660068947
R,a,1735660069011
P,Key.space,1735660069091
R,r,1735660069123
R,Key.space,1735660069204
P,a,1735660069283
P,n,1735660069411
R,a,1735660069427
P,d,1735660069539
R,n,1735660069555
R,d,1735660069635
P,Key.space,1735660069651
R,Key.space,1735660069731
P,s,1735660069859
R,s,1735660070019
P,u,1735660070019
R,u,1735660070131
P,r,1735660070195
R,r,1735660070355
P,Key.backspace,1735660071427
R,Key.backspace,1735660071491
P,Key.backspace,1735660071907
R,Key.backspace,1735660071987
P,e,1735660072435
R,e,1735660072548
P,c,1735660072659
R,c,1735660072803
P,u,1735660072947
R,u,1735660073091
P,r,1735660073123
P,e,1735660073236
R,r,1735660073299
R,e,1735660073363
P,.,1735660074435
R,.,1735660074563
P,Key.space,1735660074675
R,Key.space,1735660074804
P,Key.shift,1735660074964
P,T,1735660075107
P,H,1735660075155
R,Key.shift,1735660075205
R,H,1735660075283
R,T,1735660075299
P,i,1735660075331
R,i,1735660075427
P,s,1735660075459
P,Key.space,1735660075555
R,s,1735660075587
R,Key.space,1735660075636
P,Key.backspace,1735660076803
R,Key.backspace,1735660076851
P,Key.backspace,1735660076995
R,Key.backspace,1735660077027
P,Key.backspace,1735660077140
R,Key.backspace,1735660077189
P,Key.backspace,1735660077315
R,Key.backspace,1735660077331
P,h,1735660078323
R,h,1735660078420
P,i,1735660078804
R,i,1735660078899
P,s,1735660079011
R,s,1735660079171
P,Key.space,1735660079204
R,Key.space,1735660079268
P,g,1735660079460
R,g,1735660079588
P,i,1735660079603
R,i,1735660079716
P,v,1735660079733
R,v,1735660079860
P,e,1735660079971
R,e,1735660080099
P,Key.space,1735660080179
R,Key.space,1735660080291
P,m,1735660080484
R,m,1735660080627
P,o,1735660080707
R,o,1735660080835
P,r,1735660080899
R,r,1735660081043
P,Key.space,1735660081091
R,Key.space,1735660081172
P,Key.backspace,1735660081619
R,Key.backspace,1735660081715
P,e,1735660081811
R,e,1735660081939
P,Key.space,1735660082003
R,Key.space,1735660082083
P,m,1735660082484
R,m,1735660082595
P,o,1735660082741
R,o,1735660082899
P,t,1735660084195
R,t,1735660084307
P,i,1735660084403
P,v,1735660084484
R,i,1735660084517
R,v,1735660084612
P,a,1735660084867
P,t,1735660085012
R,a,1735660085046
R,t,1735660085140
P,e,1735660085236
R,e,1735660085331
P,Key.space,1735660085395
P,a,1735660085491
R,Key.space,1735660085523
P,n,1735660085619
R,a,1735660085651
R,n,1735660085748
P,d,1735660085748
R,d,1735660085843
P,Key.space,1735660085875
R,Key.space,1735660085939
P,s,1735660086067
R,s,1735660086211
P,t,1735660086307
R,t,1735660086387
P,r,1735660086499
R,r,1735660086595
P,o,1735660086676
R,o,1735660086803
P,n,1735660086867
R,n,1735660087044
P,g,1735660087251
R,g,1735660087379
P,Key.space,1735660087491
R,Key.space,1735660087587
P,t,1735660087668
R,t,1735660087843
P,o,1735660087939
R,o,1735660088051
P,w,1735660088084
R,w,1735660088195
P,a,1735660088883
R,a,1735660089076
P,r,1735660089091
R,r,1735660089187
P,d,1735660089619
R,d,1735660089732
P,s,1735660089779
R,s,1735660089924
P,Key.space,1735660089972
R,Key.space,1735660090067
P,o,1735660090164
R,o,1735660090308
P,t,1735660090310
P,h,1735660090371
R,t,1735660090435
R,h,1735660090467
P,e,1735660090531
P,r,1735660090643
R,e,1735660090675
P,Key.space,1735660090723
R,r,1735660090740
R,Key.space,1735660090819
P,s,1735660091347
R,s,1735660091492
P,t,1735660091492
R,t,1735660091635
P,u,1735660091732
P,d,1735660091860
R,u,1735660091875
R,d,1735660091939
P,e,1735660092067
R,e,1735660092180
P,n,1735660092212
P,t,1735660092276
R,n,1735660092323
R,t,1735660092420
P,s,1735660092485
R,s,1735660092611
P,Key.space,1735660093028
R,Key.space,1735660093156
P,a,1735660093156
R,a,1735660093364
P,l,1735660094276
R,l,1735660094371
P,o,1735660094499
P,s,1735660094516
R,o,1735660094595
R,s,1735660094643
P,.,1735660094964
R,.,1735660095076
P,Key.space,1735660095252
R,Key.space,1735660095347
P,Key.backspace,1735660095875
R,Key.backspace,1735660095971
P,Key.backspace,1735660096084
R,Key.backspace,1735660096148
P,Key.backspace,1735660096227
R,Key.backspace,1735660096291
P,Key.backspace,1735660097524
R,Key.backspace,1735660097603
P,s,1735660097716
R,s,1735660097860
P,o,1735660097908
R,o,1735660097971
P,.,1735660098548
R,.,1735660098627
P,Key.space,1735660098852
R,Key.space,1735660098931
P,Key.shift,1735660099156
P,S,1735660099300
R,Key.shift,1735660099348
P,o,1735660099459
R,S,1735660099491
R,o,1735660099571
P,Key.space,1735660099684
R,Key.space,1735660099779
P,d,1735660100164
R,d,1735660100275
P,o,1735660100308
R,o,1735660100453
P,n,1735660100548
R,n,1735660100644
P,',1735660101076
R,',1735660101236
P,t,1735660101251
R,t,1735660101396
P,Key.space,1735660101396
R,Key.space,1735660101508
P,b,1735660101620
R,b,1735660101733
P,e,1735660101811
P,Key.space,1735660101892
R,e,1735660101907
R,Key.space,1735660101972
P,f,1735660103348
R,f,1735660103476
P,e,1735660103588
R,e,1735660103619
P,a,1735660103701
P,r,1735660103828
R,a,1735660103860
R,r,1735660103940
P,Key.space,1735660104117
R,Key.space,1735660104228
P,a,1735660104468
R,a,1735660104612
P,d,1735660104708
R,d,1735660104788
P,Key.backspace,1735660105764
R,Key.backspace,1735660105860
P,Key.backspace,1735660107124
R,Key.backspace,1735660107252
P,i,1735660107684
R,i,1735660107764
P,n,1735660107924
R,n,1735660108052
P,Key.space,1735660108100
R,Key.space,1735660108212
P,a,1735660108292
R,a,1735660108484
P,n,1735660108676
R,n,1735660108756
P,y,1735660108915
R,y,1735660108995
P,Key.space,1735660109092
R,Key.space,1735660109189
P,s,1735660109639
P,i,1735660109716
R,s,1735660109780
R,i,1735660109844
P,t,1735660109940
R,t,1735660110084
P,u,1735660110196
P,a,1735660110308
R,u,1735660110341
P,t,1735660110437
R,a,1735660110468
P,i,1735660110468
R,t,1735660110548
P,o,1735660110644
R,i,1735660110692
R,o,1735660110772
P,n,1735660110820
R,n,1735660110932
P,Key.space,1735660110996
R,Key.space,1735660111076
P,a,1735660111076
