Press or Release,Key,Time
P,T,1735660017704
R,T,1735660017791
P,H,1735660018031
R,H,1735660018133
P,W,1735660018412
R,W,1735660018521
P,Key.space,1735660018711
R,Key.space,1735660018814
P,A,1735660019078
R,A,1735660019235
P,Key.backspace,1735660021519
R,Key.backspace,1735660021601
P,W,1735660022173
R,W,1735660022246
P,A,1735660022392
R,A,1735660022517
P,T,1735660022695
R,T,1735660022759
P,C,1735660022920
R,C,1735660022998
P,H,1735660023190
R,H,1735660023258
P,Key.space,1735660023444
R,Key.space,1735660023553
P,C,1735660023712
R,C,1735660023790
P,O,1735660024039
R,O,1735660024118
P,A,1735660024262
R,A,1735660024403
P,R,1735660024695
R,R,1735660024759
P,T,1735660024927
R,T,1735660025045
P,E,1735660025142
R,E,1735660025205
P,R,1735660025342
R,R,1735660025414
P,Key.space,1735660025719
R,Key.space,1735660025806
P,C,1735660025975
R,C,1735660026059
P,A,1735660026197
R,A,1735660026319
P,R,1735660026535
R,R,1735660026608
P,T,1735660026774
R,T,1735660026924
P,E,1735660026981
R,E,1735660027055
P,R,1735660027158
R,R,1735660027232
P,Key.space,1735660027590
R,Key.space,1735660027694
P,M,1735660027902
R,M,1735660027990
P,O,1735660028133
R,O,1735660028216
P,V,1735660028422
R,V,1735660028462
P,I,1735660028735
R,I,1735660028814
P,E,1735660028982
R,E,1735660029102
P,Key.space,1735660029222
R,Key.space,1735660029319
P,C,1735660030419
R,C,1735660030499
P,L,1735660030697
R,L,1735660030790
P,I,1735660030989
R,I,1735660031031
P,P,1735660031222
R,P,1735660031308
P,Key.space,1735660031501
R,Key.space,1735660031578
P,I,1735660031750
R,I,1735660031814
P,S,1735660031951
R,S,1735660032079
P,Key.space,1735660032134
R,Key.space,1735660032205
P,O,1735660033006
R,O,1735660033078
P,N,1735660033238
R,N,1735660033279
P,Key.space,1735660033454
R,Key.space,1735660033494
P,A,1735660033653
R,A,1735660033782
P,Key.space,1735660033870
R,Key.space,1735660033942
P,P,1735660034862
R,P,1735660034942
P,Y,1735660035469
R,Y,1735660035550
P,Key.backspace,1735660035932
R,Key.backspace,1735660035998
P,U,1735660036229
R,U,1735660036310
P,P,1735660036470
R,P,1735660036566
P,Key.backspace,1735660038430
R,Key.backspace,1735660038479
P,R,1735660039591
R,R,1735660039702
P,P,1735660040408
R,P,1735660040501
P,U,1735660041286
R,U,1735660041384
P,S,1735660041518
R,S,1735660041625
P,E,1735660041742
R,E,1735660041854
P,Key.space,1735660041988
R,Key.space,1735660042072
P,T,1735660042351
R,T,1735660042470
P,O,1735660042598
R,O,1735660042686
P,Key.space,1735660042877
R,Key.space,1735660042967
P,M,1735660043133
R,M,1735660043237
P,A,1735660043422
R,A,1735660043590
P,K,1735660043655
R,K,1735660043734
P,E,1735660043829
R,E,1735660043973
P,Key.space,1735660044078
R,Key.space,1735660044158
P,A,1735660044262
R,A,1735660044405
P,Key.space,1735660044486
R,Key.space,1735660044542
P,K,1735660044845
R,K,1735660044949
P,N,1735660045414
R,N,1735660045507
P,O,1735660045638
R,O,1735660045712
P,E,1735660045854
R,E,1735660045973
P,L,1735660046121
R,L,1735660046222
P,E,1735660046306
R,E,1735660046415
P,G,1735660046702
R,G,1735660046765
P,Key.backspace,1735660047206
R,Key.backspace,1735660047263
P,D,1735660047776
R,D,1735660047853
P,G,1735660048054
R,G,1735660048118
P,E,1735660048229
R,E,1735660048341
P,V,1735660048757
R,V,1735660048822
P,Key.backspace,1735660049302
R,Key.backspace,1735660049357
P,B,1735660049742
R,B,1735660049798
P,L,1735660049982
R,L,1735660050047
P,E,1735660050142
R,E,1735660050254
P,Key.space,1735660050356
R,Key.space,1735660050437
P,T,1735660050598
R,T,1735660050718
P,O,1735660050830
R,O,1735660050912
P,Key.space,1735660051126
R,Key.space,1735660051213
P,E,1735660051958
R,E,1735660052081
P,V,1735660052205
R,V,1735660052295
P,E,1735660052837
R,E,1735660052942
P,R,1735660053065
R,R,1735660053141
P,Y,1735660053366
R,Y,1735660053422
P,Key.space,1735660053686
R,Key.space,1735660053750
P,O,1735660053997
R,O,1735660054062
P,N,1735660054221
R,N,1735660054281
P,R,1735660054685
R,R,1735660054774
P,.,1735660055064
R,.,1735660055142
P,Key.space,1735660055287
R,Key.space,1735660055365
P,I,1735660055581
R,I,1735660055653
P,S,1735660055853
R,S,1735660055973
P,Key.backspace,1735660056550
R,Key.backspace,1735660056633
P,T,1735660057021
R,T,1735660057097
P,S,1735660057256
R,S,1735660057374
P,Key.space,1735660057462
R,Key.space,1735660057550
P,A,1735660057702
R,A,1735660057837
P,Key.space,1735660057885
R,Key.space,1735660057966
P,S,1735660061461
R,S,1735660061533
P,T,1735660061797
R,T,1735660061887
P,O,1735660062125
R,O,1735660062261
P,R,1735660062446
R,R,1735660062569
P,Y,1735660062734
R,Y,1735660062828
P,Key.space,1735660063050
R,Key.space,1735660063157
P,T,1735660063334
R,T,1735660063461
P,O,1735660063597
R,O,1735660063709
P,Key.space,1735660063966
R,Key.space,1735660064047
P,B,1735660064468
R,B,1735660064581
P,E,1735660064701
R,E,1735660064862
P,L,1735660065222
R,L,1735660065317
P,O,1735660065492
R,O,1735660065540
P,N,1735660065789
R,N,1735660065838
P,G,1735660066205
R,G,1735660066341
P,Key.space,1735660066423
R,Key.space,1735660066512
P,O,1735660066672
R,O,1735660066733
P,N,1735660066894
R,N,1735660066965
P,Key.space,1735660067129
R,Key.space,1735660067189
P,A,1735660067325
R,A,1735660067477
P,Key.space,1735660067590
R,Key.space,1735660067639
P,P,1735660077756
R,P,1735660077868
P,U,1735660078050
R,U,1735660078133
P,R,1735660078654
R,R,1735660078719
P,P,1735660078893
R,P,1735660078997
