Press or Release,Key,Time
P,t,1735660005274
R,t,1735660005337
P,r,1735660005546
R,r,1735660005609
P,u,1735660005945
R,u,1735660005993
P,m,1735660006249
R,m,1735660006314
P,p,1735660006521
R,p,1735660006585
P,Key.space,1735660006921
R,Key.space,1735660006985
P,/,1735660007865
R,/,1735660007993
P,Key.space,1735660009177
R,Key.space,1735660009305
P,j,1735660009738
R,j,1735660009801
P,d,1735660010225
R,d,1735660010297
P,Key.space,1735660010361
R,Key.space,1735660010441
P,v,1735660011610
R,v,1735660011673
P,a,1735660011786
R,a,1735660011897
P,n,1735660012025
R,n,1735660012073
P,c,1735660012185
P,e,1735660012314
R,c,1735660012361
R,e,1735660012425
P,Key.space,1735660012474
R,Key.space,1735660012538
P,a,1735660012857
R,a,1735660012985
P,n,1735660013050
R,n,1735660013130
P,d,1735660013226
R,d,1735660013289
P,Key.space,1735660013321
R,Key.space,1735660013385
P,z,1735660015594
R,z,1735660015705
P,e,1735660016346
R,e,1735660016442
P,l,1735660016521
R,l,1735660016619
P,e,1735660017596
R,e,1735660017690
P,n,1735660018106
R,n,1735660018201
P,s,1735660018458
R,s,1735660018587
P,k,1735660018762
R,k,1735660018856
P,y,1735660019274
R,y,1735660019337
P,y,1735660019402
R,y,1735660019481
P,Key.space,1735660020202
R,Key.space,1735660020281
P,a,1735660020411
R,a,1735660020521
P,r,1735660020762
R,r,1735660020826
P,e,1735660020954
R,e,1735660021016
P,Key.space,1735660021099
R,Key.space,1735660021177
P,t,1735660021514
R,t,1735660021577
P,h,1735660021690
R,h,1735660021769
P,r,1735660021945
R,r,1735660022042
P,e,1735660022122
R,e,1735660022266
P,e,1735660022426
R,e,1735660022585
P,Key.space,1735660023609
R,Key.space,1735660023690
P,g,1735660023801
R,g,1735660023881
P,r,1735660024041
R,r,1735660024138
P,e,1735660024298
R,e,1735660024380
P,a,1735660024538
R,a,1735660024649
P,t,1735660024809
R,t,1735660024905
P,Key.space,1735660025049
R,Key.space,1735660025098
P,p,1735660025482
R,p,1735660025561
P,e,1735660025737
R,e,1735660025834
P,o,1735660025947
R,o,1735660026010
P,p,1735660026299
R,p,1735660026362
P,l,1735660026506
R,l,1735660026570
P,e,1735660026874
R,e,1735660026938
P,Key.space,1735660027034
R,Key.space,1735660027114
P,l,1735660027641
R,l,1735660027738
P,e,1735660027849
R,e,1735660027914
P,a,1735660028106
R,a,1735660028281
P,d,1735660028282
R,d,1735660028379
P,i,1735660028618
R,i,1735660028665
P,n,1735660028826
R,n,1735660028906
P,f,1735660029066
P,g,1735660029069
R,f,1735660029099
R,g,1735660029099
P,Key.backspace,1735660030220
R,Key.backspace,1735660030361
P,Key.backspace,1735660031227
R,Key.backspace,1735660031338
P,g,1735660031498
R,g,1735660031594
P,Key.space,1735660035802
R,Key.space,1735660035914
P,o,1735660036138
R,o,1735660036203
P,f,1735660036475
R,f,1735660036521
P,f,1735660036601
R,f,1735660036681
P,i,1735660036793
R,i,1735660036858
P,c,1735660037163
R,c,1735660037241
P,i,1735660037530
R,i,1735660037594
P,a,1735660037691
R,a,1735660037818
P,l,1735660037850
R,l,1735660037914
P,Key.space,1735660038058
R,Key.space,1735660038138
P,m,1735660038361
R,m,1735660038425
P,e,1735660038650
R,e,1735660038714
P,e,1735660038794
R,e,1735660038857
P,t,1735660039081
R,t,1735660039146
P,i,1735660039353
R,i,1735660039419
P,n,1735660039561
R,n,1735660039627
P,g,1735660039770
R,g,1735660039850
P,Key.space,1735660039914
R,Key.space,1735660039962
P,v,1735660040234
R,v,1735660040314
P,i,1735660041290
R,i,1735660041353
P,d,1735660041594
R,d,1735660041850
P,e,1735660041850
R,e,1735660041994
P,o,1735660042940
R,o,1735660043002
P,Key.space,1735660043273
R,Key.space,1735660043353
P,c,1735660043578
R,c,1735660043674
P,l,1735660043898
R,l,1735660043979
P,i,1735660044106
R,i,1735660044201
P,p,1735660044233
R,p,1735660044346
P,s,1735660044490
R,s,1735660044569
P,Key.space,1735660044777
R,Key.space,1735660044842
P,Key.comma,1735660049290
R,Key.comma,1735660049387
P,h,1735660050490
R,h,1735660050538
P,e,1735660050810
R,e,1735660050905
P,Key.space,1735660051002
R,Key.space,1735660051081
P,d,1735660051466
R,d,1735660051578
P,i,1735660051737
R,i,1735660051801
P,s,1735660052058
R,s,1735660052138
P,c,1735660052330
R,c,1735660052426
P,u,1735660052633
R,u,1735660052713
P,s,1735660052970
R,s,1735660053034
P,s,1735660053115
R,s,1735660053194
P,Key.space,1735660053289
R,Key.space,1735660053369
P,v,1735660054426
R,v,1735660054505
P,e,1735660054650
P,r,1735660054762
R,e,1735660054793
R,r,1735660054857
P,y,1735660054985
R,y,1735660055049
P,Key.space,1735660055178
R,Key.space,1735660055241
P,i,1735660055659
R,i,1735660055721
P,m,1735660055913
R,m,1735660055978
P,p,1735660056281
R,p,1735660056347
P,o,1735660056474
R,o,1735660056538
P,r,1735660057018
R,r,1735660057082
P,t,1735660057355
R,t,1735660057418
P,a,1735660057530
R,a,1735660057641
P,n,1735660058042
R,n,1735660058105
P,t,1735660059914
R,t,1735660059978
P,Key.space,1735660060073
R,Key.space,1735660060170
P,s,1735660060362
R,s,1735660060443
P,e,1735660060602
R,e,1735660060666
P,g,1735660060955
R,g,1735660061034
P,m,1735660061178
R,m,1735660061242
P,e,1735660061418
R,e,1735660061498
P,n,1735660061631
R,n,1735660061690
P,u,1735660062506
R,u,1735660062586
P,Key.backspace,1735660063595
R,Key.backspace,1735660063674
P,t,1735660063851
R,t,1735660063915
P,Key.space,1735660064138
R,Key.space,1735660064201
P,o,1735660064362
R,o,1735660064427
P,f,1735660064603
R,f,1735660064666
P,Key.space,1735660064730
R,Key.space,1735660064793
P,o,1735660065241
R,o,1735660065305
P,u,1735660065450
R,u,1735660065513
P,r,1735660065737
R,r,1735660065818
P,Key.space,1735660065883
R,Key.space,1735660065946
P,c,1735660066186
R,c,1735660066266
P,o,1735660066523
R,o,1735660066570
P,u,1735660066987
R,u,1735660067049
P,t,1735660068570
R,t,1735660068730
P,r,1735660068730
R,r,1735660068859
P,y,1735660068890
R,y,1735660068986
P,.,1735660078682
R,.,1735660078762
P,n,1735660079035
R,n,1735660079115
P,i,1735660079354
R,i,1735660079419
P,c,1735660079578
P,e,1735660079706
R,c,1735660079738
R,e,1735660079818
P,Key.space,1735660079867
R,Key.space,1735660079979
P,v,1735660080187
R,v,1735660080266
P,i,1735660081275
R,i,1735660081387
P,d,1735660082842
P,e,1735660083002
R,d,1735660083018
R,e,1735660083130
P,o,1735660083242
R,o,1735660083338
P,Key.space,1735660083499
R,Key.space,1735660083563
P,a,1735660086220
R,a,1735660086315
P,n,1735660086427
R,n,1735660086491
P,d,1735660086618
R,d,1735660086682
P,Key.space,1735660086762
R,Key.space,1735660086827
P,r,1735660087610
R,r,1735660087674
P,a,1735660087770
R,a,1735660087865
P,r,1735660087898
R,r,1735660087961
P,e,1735660088091
R,e,1735660088153
P,Key.space,1735660088234
R,Key.space,1735660088298
P,v,1735660089036
R,v,1735660089115
P,i,1735660089338
R,i,1735660089402
P,d,1735660089642
P,e,1735660089787
R,d,1735660089819
R,e,1735660089898
P,o,1735660089994
R,o,1735660090058
P,Key.space,1735660090218
R,Key.space,1735660090266
P,c,1735660090714
R,c,1735660090810
P,l,1735660090922
R,l,1735660091003
P,i,1735660091131
R,i,1735660091195
P,p,1735660091259
R,p,1735660091370
P,s,1735660091514
R,s,1735660091579
P,Key.space,1735660091658
R,Key.space,1735660091706
P,i,1735660092187
R,i,1735660092249
P,Key.space,1735660092554
R,Key.space,1735660092602
P,l,1735660092858
R,l,1735660092922
P,i,1735660093066
R,i,1735660093114
P,k,1735660093243
R,k,1735660093355
P,e,1735660093450
R,e,1735660093530
P,Key.space,1735660093594
R,Key.space,1735660093674
P,i,1735660093931
R,i,1735660093994
P,t,1735660094250
R,t,1735660094299
