Press or Release,Key,Time
P,z,1735660005086
R,z,1735660005219
P,e,1735660005371
R,e,1735660005475
P,l,1735660005556
R,l,1735660005610
P,e,1735660005676
R,e,1735660005791
P,n,1735660005876
R,n,1735660005941
P,s,1735660006110
R,s,1735660006200
P,k,1735660006355
R,k,1735660006465
P,y,1735660006650
R,y,1735660006700
P,Key.space,1735660006870
P,a,1735660006933
R,Key.space,1735660006935
R,a,1735660007061
P,n,1735660007105
R,n,1735660007156
P,d,1735660007235
P,Key.space,1735660007335
R,d,1735660007375
R,Key.space,1735660007385
P,t,1735660007645
R,t,1735660007675
P,r,1735660007815
R,r,1735660007941
P,u,1735660008015
R,u,1735660008036
P,m,1735660008951
R,m,1735660009001
P,p,1735660009160
R,p,1735660009190
P,Key.space,1735660009376
R,Key.space,1735660009420
P,a,1735660009571
R,a,1735660009680
P,r,1735660009770
R,r,1735660009812
P,e,1735660009910
R,e,1735660010036
P,Key.space,1735660010040
R,Key.space,1735660010096
P,v,1735660010252
R,v,1735660010285
P,e,1735660010350
R,e,1735660010450
P,r,1735660010550
R,r,1735660010646
P,y,1735660010710
R,y,1735660010736
P,Key.space,1735660010911
R,Key.space,1735660010967
P,d,1735660011061
R,d,1735660011151
P,e,1735660011295
R,e,1735660011335
P,e,1735660011455
R,e,1735660011540
P,p,1735660011691
R,p,1735660011740
P,i,1735660011895
R,i,1735660011950
P,Key.backspace,1735660012425
R,Key.backspace,1735660012450
P,l,1735660013266
R,l,1735660013325
P,y,1735660013531
R,y,1735660013566
P,Key.space,1735660013751
R,Key.space,1735660013811
P,c,1735660014031
R,c,1735660014135
P,o,1735660014170
R,o,1735660014225
P,n,1735660014400
R,n,1735660014445
P,v,1735660014640
R,v,1735660014695
P,e,1735660014795
R,e,1735660014895
P,r,1735660015555
R,r,1735660015630
P,s,1735660015730
R,s,1735660015810
P,a,1735660015931
R,a,1735660016030
P,t,1735660016290
R,t,1735660016335
P,i,1735660016657
R,i,1735660016705
P,o,1735660016815
R,o,1735660016870
P,n,1735660017015
R,n,1735660017065
P,Key.space,1735660017216
R,Key.space,1735660017235
P,a,1735660018416
R,a,1735660018515
P,b,1735660018575
R,b,1735660018631
P,a,1735660018751
R,a,1735660018816
P,o,1735660018830
R,o,1735660018890
P,u,1735660019031
R,u,1735660019096
P,t,1735660019235
R,t,1735660019277
P,Key.space,1735660019466
R,Key.space,1735660019535
P,t,1735660019750
R,t,1735660019776
P,h,1735660019936
R,h,1735660019976
P,e,1735660020115
R,e,1735660020251
P,Key.space,1735660020270
R,Key.space,1735660020330
P,u,1735660020812
R,u,1735660020842
P,k,1735660021006
R,k,1735660021056
P,r,1735660021355
R,r,1735660021385
P,a,1735660021505
R,a,1735660021575
P,i,1735660021610
R,i,1735660021657
P,n,1735660021795
R,n,1735660021846
P,e,1735660021890
R,e,1735660022010
P,Key.space,1735660022015
R,Key.space,1735660022075
P,a,1735660022146
R,a,1735660022265
P,n,1735660022265
R,n,1735660022320
P,d,1735660022391
P,Key.space,1735660022491
R,d,1735660022511
R,Key.space,1735660022562
P,r,1735660023010
R,r,1735660023115
P,u,1735660023170
R,u,1735660023230
P,s,1735660023330
R,s,1735660023390
P,s,1735660023510
R,s,1735660023535
P,i,1735660023591
R,i,1735660023630
P,a,1735660023740
R,a,1735660023836
P,Key.space,1735660023865
R,Key.space,1735660023935
P,w,1735660024015
R,w,1735660024115
P,a,1735660024251
R,a,1735660024355
P,r,1735660024470
R,r,1735660024516
P,.,1735660025605
R,.,1735660025665
P,Key.space,1735660025885
R,Key.space,1735660025936
P,t,1735660026631
R,t,1735660026690
P,h,1735660026850
R,h,1735660026912
P,a,1735660028485
R,a,1735660028596
P,t,1735660028610
R,t,1735660028645
P,Key.space,1735660028795
R,Key.space,1735660028890
P,t,1735660029031
R,t,1735660029070
P,i,1735660029250
R,i,1735660029316
P,m,1735660029460
R,m,1735660029531
P,e,1735660029670
P,Key.space,1735660029740
R,e,1735660029786
R,Key.space,1735660029812
P,u,1735660030611
R,u,1735660030665
P,k,1735660030838
R,k,1735660030890
P,r,1735660031186
R,r,1735660031205
P,a,1735660031275
R,a,1735660031396
P,i,1735660031425
R,i,1735660031467
P,n,1735660031611
R,n,1735660031656
P,e,1735660031700
R,e,1735660031795
P,Key.space,1735660031816
R,Key.space,1735660031890
P,a,1735660031975
R,a,1735660032085
P,r,1735660032160
R,r,1735660032195
P,e,1735660032286
R,e,1735660032405
P,Key.space,1735660032436
R,Key.space,1735660032491
P,v,1735660032865
R,v,1735660032915
P,e,1735660033031
R,e,1735660033110
P,r,1735660033226
R,r,1735660033336
P,y,1735660033575
R,y,1735660033635
P,Key.space,1735660033830
R,Key.space,1735660033890
P,s,1735660034010
R,s,1735660034130
P,t,1735660034255
R,t,1735660034300
P,r,1735660034456
R,r,1735660034575
P,y,1735660034680
R,y,1735660034710
P,g,1735660035020
R,g,1735660035075
P,g,1735660035175
R,g,1735660035195
P,l,1735660035390
R,l,1735660035450
P,e,1735660035562
R,e,1735660035696
P,Key.space,1735660035751
R,Key.space,1735660035785
P,.,1735660037325
R,.,1735660037395
P,Key.space,1735660037530
R,Key.space,1735660037592
P,t,1735660037790
R,t,1735660037830
P,h,1735660037960
R,h,1735660038010
P,e,1735660038075
R,e,1735660038195
P,n,1735660038200
R,n,1735660038250
P,Key.space,1735660038371
R,Key.space,1735660038416
P,t,1735660039330
R,t,1735660039376
P,r,1735660039550
R,r,1735660039650
P,u,1735660039715
R,u,1735660039760
P,m,1735660039955
R,m,1735660039996
P,p,1735660040145
P,o,1735660040147
R,p,1735660040176
R,o,1735660040176
P,Key.backspace,1735660041156
R,Key.backspace,1735660041175
P,Key.backspace,1735660041475
R,Key.backspace,1735660041531
P,p,1735660042390
R,p,1735660042430
P,Key.space,1735660042585
R,Key.space,1735660042650
P,i,1735660042795
R,i,1735660042845
P,s,1735660043990
R,s,1735660044135
P,Key.space,1735660044140
R,Key.space,1735660044195
P,s,1735660044410
R,s,1735660044531
P,y,1735660044610
R,y,1735660044652
P,Key.backspace,1735660045055
R,Key.backspace,1735660045131
P,u,1735660045436
R,u,1735660045475
P,p,1735660045696
R,p,1735660045741
P,p,1735660045820
R,p,1735660045890
P,o,1735660046067
R,o,1735660046130
P,r,1735660046925
R,r,1735660047020
P,t,1735660047070
R,t,1735660047135
P,Key.space,1735660047315
R,Key.space,1735660047344
P,f,1735660047651
R,f,1735660047770
P,o,1735660047806
R,o,1735660047847
P,r,1735660047985
R,r,1735660048096
P,Key.space,1735660048125
R,Key.space,1735660048181
P,t,1735660048430
R,t,1735660048475
P,h,1735660048635
R,h,1735660048705
P,a,1735660048796
P,t,1735660048865
R,a,1735660048920
R,t,1735660048925
P,Key.space,1735660049096
R,Key.space,1735660049170
P,c,1735660049620
