Press or Release,Key,Time
P,=,1735660018721
R,=,1735660018768
P,Key.backspace,1735660018772
R,Key.backspace,1735660018775
P,Key.shift,1735660018776
P,T,1735660018780
R,T,1735660018783
R,Key.shift,1735660018783
P,h,1735660018791
R,h,1735660018792
P,i,1735660018805
R,i,1735660018806
P,s,1735660018821
R,s,1735660018822
P,Key.space,1735660018837
R,Key.space,1735660018839
P,m,1735660018851
R,m,1735660018852
P,e,1735660018866
R,e,1735660018867
P,e,1735660018882
R,e,1735660018883
P,t,1735660018897
R,t,1735660018899
P,i,1735660018914
R,i,1735660018915
P,n,1735660018929
R,n,1735660018930
P,g,1735660018946
R,g,1735660018947
P,Key.space,1735660018961
R,Key.space,1735660018962
P,b,1735660018978
R,b,1735660018979
P,r,1735660018992
R,r,1735660018993
P,o,1735660019009
R,o,1735660019010
P,u,1735660019022
R,u,1735660019024
P,g,1735660019039
R,g,1735660019040
P,h,1735660019054
R,h,1735660019055
P,t,1735660019069
R,t,1735660019070
P,Key.space,1735660019085
R,Key.space,1735660019086
P,t,1735660019115
R,t,1735660019116
P,o,1735660019131
R,o,1735660019132
P,g,1735660019147
R,g,1735660019148
P,e,1735660019162
R,e,1735660019164
P,t,1735660019179
R,t,1735660019181
P,h,1735660019194
R,h,1735660019196
P,e,1735660019225
R,e,1735660019227
P,r,1735660019241
R,r,1735660019242
P,Key.space,1735660019256
R,Key.space,1735660019258
P,a,1735660019272
R,a,1735660019273
P,Key.space,1735660019287
R,Key.space,1735660019288
P,w,1735660019304
R,w,1735660019305
P,i,1735660019320
R,i,1735660019321
P,d,1735660019336
R,d,1735660019339
P,e,1735660019351
R,e,1735660019352
P,Key.space,1735660019368
R,Key.space,1735660019369
P,a,1735660019382
R,a,1735660019384
P,r,1735660019398
R,r,1735660019400
P,r,1735660019413
R,r,1735660019414
P,a,1735660019428
R,a,1735660019429
P,y,1735660019459
R,y,1735660019460
P,Key.space,1735660019488
R,Key.space,1735660019490
P,o,1735660019504
R,o,1735660019505
P,f,1735660019520
R,f,1735660019521
P,Key.space,1735660019537
R,Key.space,1735660019539
P,w,1735660019567
R,w,1735660019568
P,o,1735660019582
R,o,1735660019583
P,r,1735660019598
R,r,1735660019599
P,l,1735660019613
R,l,1735660019615
P,d,1735660019630
R,d,1735660019631
P,Key.space,1735660019659
R,Key.space,1735660019660
P,l,1735660019675
R,l,1735660019677
P,e,1735660019690
R,e,1735660019691
P,a,1735660019705
R,a,1735660019706
P,d,1735660019721
R,d,1735660019722
P,e,1735660019735
R,e,1735660019737
P,r,1735660019751
R,r,1735660019752
P,s,1735660019768
R,s,1735660019769
P,Key.comma,1735660019783
R,Key.comma,1735660019784
P,Key.space,1735660019799
R,Key.space,1735660019800
P,f,1735660019814
R,f,1735660019815
P,r,1735660019831
R,r,1735660019832
P,o,1735660019845
R,o,1735660019846
P,m,1735660019861
R,m,1735660019862
P,Key.space,1735660019875
R,Key.space,1735660019876
P,t,1735660019891
R,t,1735660019892
P,h,1735660019907
R,h,1735660019908
P,e,1735660019921
R,e,1735660019922
P,Key.space,1735660019938
R,Key.space,1735660019939
P,Key.shift,1735660019953
P,U,1735660019954
R,U,1735660019955
R,Key.shift,1735660019955
P,.,1735660019968
R,.,1735660019970
P,Key.shift,1735660019984
P,S,1735660019985
R,S,1735660019986
R,Key.shift,1735660019987
P,.,1735660020000
R,.,1735660020002
P,Key.space,1735660020015
R,Key.space,1735660020016
P,Key.shift,1735660020031
P,P,1735660020032
R,P,1735660020034
R,Key.shift,1735660020034
P,r,1735660020046
R,r,1735660020047
P,e,1735660020062
R,e,1735660020063
P,s,1735660020078
R,s,1735660020079
P,i,1735660020092
R,i,1735660020093
P,d,1735660020108
R,d,1735660020109
P,e,1735660020122
R,e,1735660020124
P,n,1735660020140
R,n,1735660020143
P,t,1735660020154
R,t,1735660020155
P,Key.space,1735660020170
R,Key.space,1735660020172
P,t,1735660020186
R,t,1735660020188
P,o,1735660020202
R,o,1735660020203
P,Key.space,1735660020219
R,Key.space,1735660020221
P,Key.shift,1735660020234
P,E,1735660020235
R,E,1735660020237
R,Key.shift,1735660020237
P,u,1735660020243
R,u,1735660020245
P,r,1735660020264
R,r,1735660020265
P,o,1735660020279
R,o,1735660020280
P,p,1735660020294
R,p,1735660020296
P,e,1735660020310
R,e,1735660020311
P,a,1735660020326
R,a,1735660020327
P,n,1735660020341
R,n,1735660020343
P,Key.space,1735660020358
R,Key.space,1735660020360
P,l,1735660020372
R,l,1735660020373
P,e,1735660020387
R,e,1735660020388
P,a,1735660020404
R,a,1735660020405
P,d,1735660020420
R,d,1735660020422
P,e,1735660020435
R,e,1735660020436
P,r,1735660020450
R,r,1735660020451
P,s,1735660020466
R,s,1735660020467
P,Key.space,1735660020483
R,Key.space,1735660020484
P,a,1735660020498
R,a,1735660020499
P,n,1735660020512
R,n,1735660020513
P,d,1735660020527
R,d,1735660020529
P,Key.space,1735660020542
R,Key.space,1735660020544
P,t,1735660020558
R,t,1735660020559
P,h,1735660020573
R,h,1735660020574
P,e,1735660020588
R,e,1735660020589
P,Key.space,1735660020604
R,Key.space,1735660020605
P,Key.shift,1735660020619
P,U,1735660020620
R,U,1735660020621
R,Key.shift,1735660020621
P,k,1735660020634
R,k,1735660020635
P,r,1735660020650
R,r,1735660020652
P,a,1735660020665
R,a,1735660020666
P,i,1735660020681
R,i,1735660020683
P,n,1735660020695
R,n,1735660020697
P,i,1735660020711
R,i,1735660020712
P,a,1735660020726
R,a,1735660020727
P,n,1735660020741
R,n,1735660020742
P,Key.space,1735660020771
R,Key.space,1735660020773
P,Key.shift,1735660020802
P,P,1735660020803
R,P,1735660020804
R,Key.shift,1735660020804
P,r,1735660020833
R,r,1735660020834
P,e,1735660020848
R,e,1735660020850
P,s,1735660020863
R,s,1735660020864
P,i,1735660020878
R,i,1735660020881
P,d,1735660020893
R,d,1735660020894
P,e,1735660020908
R,e,1735660020909
P,n,1735660020924
R,n,1735660020925
P,t,1735660020939
R,t,1735660020941
P,.,1735660020954
R,.,1735660020955
P,Key.space,1735660020970
R,Key.space,1735660020971
P,Key.space,1735660020985
R,Key.space,1735660020987
P,Key.shift,1735660021002
P,I,1735660021003
R,I,1735660021004
R,Key.shift,1735660021004
P,t,1735660021018
R,t,1735660021020
P,Key.space,1735660021033
R,Key.space,1735660021034
P,w,1735660021048
R,w,1735660021050
P,a,1735660021063
R,a,1735660021064
P,s,1735660021080
R,s,1735660021082
P,Key.space,1735660021095
R,Key.space,1735660021096
P,a,1735660021111
R,a,1735660021112
P,Key.space,1735660021125
R,Key.space,1735660021126
P,p,1735660021142
R,p,1735660021143
P,o,1735660021158
R,o,1735660021160
P,w,1735660021173
R,w,1735660021175
P,e,1735660021188
R,e,1735660021189
P,r,1735660021203
R,r,1735660021204
P,f,1735660021218
R,f,1735660021220
P,u,1735660021232
R,u,1735660021233
P,l,1735660021247
R,l,1735660021249
P,Key.space,1735660021262
R,Key.space,1735660021264
P,d,1735660021279
R,d,1735660021280
P,e,1735660021294
R,e,1735660021296
P,m,1735660021310
R,m,1735660021311
P,o,1735660021324
R,o,1735660021326
P,n,1735660021343
R,n,1735660021345
P,s,1735660021356
R,s,1735660021358
P,t,1735660021371
R,t,1735660021373
P,r,1735660021387
R,r,1735660021388
P,a,1735660021401
R,a,1735660021402
P,t,1735660021419
R,t,1735660021422
P,i,1735660021434
R,i,1735660021436
P,o,1735660021450
R,o,1735660021451
P,n,1735660021465
R,n,1735660021466
P,Key.space,1735660021481
R,Key.space,1735660021482
P,o,1735660021495
R,o,1735660021497
P,f,1735660021512
R,f,1735660021513
P,Key.space,1735660021528
R,Key.space,1735660021529
P,t,1735660021542
R,t,1735660021544
P,h,1735660021558
R,h,1735660021560
P,e,1735660021572
R,e,1735660021574
P,Key.space,1735660021589
R,Key.space,1735660021591
P,s,1735660021604
R,s,1735660021606
P,h,1735660021621
R,h,1735660021622
P,i,1735660021635
R,i,1735660021637
P,f,1735660021652
R,f,1735660021653
P,t,1735660021667
R,t,1735660021668
P,Key.space,1735660021683
R,Key.space,1735660021684
P,i,1735660021698
R,i,1735660021700
P,n,1735660021713
R,n,1735660021715
P,Key.space,1735660021728
R,Key.space,1735660021730
P,a,1735660021744
R,a,1735660021745
P,l,1735660021760
R,l,1735660021761
P,l,1735660021775
R,l,1735660021776
P,i,1735660021790
R,i,1735660021792
P,a,1735660021806
R,a,1735660021808
P,n,1735660021822
R,n,1735660021823
P,c,1735660021838
R,c,1735660021839
P,e,1735660021853
R,e,1735660021854
P,s,1735660021869
R,s,1735660021870
P,Key.space,1735660021884
R,Key.space,1735660021886
P,a,1735660021900
R,a,1735660021901
P,n,1735660021914
R,n,1735660021915
P,d,1735660021930
R,d,1735660021931
P,Key.space,1735660021945
R,Key.space,1735660021946
P,t,1735660021960
R,t,1735660021962
P,h,1735660021977
R,h,1735660021979
P,e,1735660021991
R,e,1735660021992
P,Key.space,1735660022006
R,Key.space,1735660022008
P,c,1735660022022
R,c,1735660022023
P,o,1735660022054
R,o,1735660022056
P,l,1735660022082
R,l,1735660022084
P,l,1735660022099
R,l,1735660022100
P,e,1735660022129
R,e,1735660022130
P,c,1735660022145
R,c,1735660022146
P,t,1735660022175
R,t,1735660022177
P,i,1735660022191
R,i,1735660022192
P,v,1735660022206
R,v,1735660022208
P,e,1735660022222
R,e,1735660022223
P,Key.space,1735660022239
R,Key.space,1735660022241
P,e,1735660022253
R,e,1735660022254
P,f,1735660022268
R,f,1735660022269
P,f,1735660022283
R,f,1735660022284
P,o,1735660022298
R,o,1735660022300
P,r,1735660022314
R,r,1735660022315
P,t,1735660022329
R,t,1735660022330
P,Key.space,1735660022344
R,Key.space,1735660022345
P,t,1735660022360
R,t,1735660022362
P,o,1735660022375
R,o,1735660022376
P,Key.space,1735660022391
R,Key.space,1735660022392
P,f,1735660022405
R,f,1735660022407
P,i,1735660022422
R,i,1735660022423
P,n,1735660022438
R,n,1735660022440
P,d,1735660022451
R,d,1735660022452
P,Key.space,1735660022466
R,Key.space,1735660022467
P,a,1735660022482
R,a,1735660022483
P,Key.space,1735660022497
R,Key.space,1735660022499
P,s,1735660022512
R,s,1735660022513
P,o,1735660022528
R,o,1735660022530
P,l,1735660022544
R,l,1735660022545
P,u,1735660022559
R,u,1735660022560
P,t,1735660022574
R,t,1735660022576
P,i,1735660022589
R,i,1735660022590
P,o,1735660022605
R,o,1735660022606
P,n,1735660022621
R,n,1735660022622
P,Key.space,1735660022642
R,Key.space,1735660022645
P,t,1735660022655
R,t,1735660022658
P,o,1735660022670
R,o,1735660022672
P,Key.space,1735660022685
R,Key.space,1735660022687
P,t,1735660022703
R,t,1735660022705
P,h,1735660022716
R,h,1735660022718
P,e,1735660022732
R,e,1735660022733
P,Key.space,1735660022748
R,Key.space,1735660022750
P,c,1735660022763
R,c,1735660022765
P,o,1735660022779
R,o,1735660022781
P,n,1735660022794
R,n,1735660022796
P,f,1735660022809
R,f,1735660022811
P,l,1735660022825
R,l,1735660022827
P,i,1735660022842
R,i,1735660022844
P,c,1735660022852
R,c,1735660022854
P,t,1735660022875
R,t,1735660022877
P,.,1735660022890
R,.,1735660022892
P,Key.space,1735660022904
R,Key.space,1735660022905
P,Key.shift,1735660022923
P,F,1735660022924
R,F,1735660022926
R,Key.shift,1735660022926
P,r,1735660022936
R,r,1735660022939
P,e,1735660022952
R,e,1735660022954
P,n,1735660022968
R,n,1735660022969
P,c,1735660022984
R,c,1735660022986
P,h,1735660022999
R,h,1735660023001
P,Key.space,1735660023015
R,Key.space,1735660023016
P,Key.shift,1735660023030
P,P,1735660023031
R,P,1735660023032
R,Key.shift,1735660023032
P,r,1735660023047
R,r,1735660023048
P,e,1735660023061
R,e,1735660023062
P,s,1735660023075
R,s,1735660023077
P,i,1735660023091
R,i,1735660023092
P,d,1735660023106
R,d,1735660023107
P,e,1735660023122
R,e,1735660023123
P,n,1735660023138
R,n,1735660023140
P,t,1735660023153
R,t,1735660023154
P,Key.space,1735660023169
R,Key.space,1735660023171
P,Key.shift,1735660023185
P,M,1735660023185
R,M,1735660023187
R,Key.shift,1735660023187
P,a,1735660023201
R,a,1735660023202
P,c,1735660023215
R,c,1735660023216
P,r,1735660023231
R,r,1735660023232
P,o,1735660023247
R,o,1735660023248
P,n,1735660023263
R,n,1735660023264
P,Key.comma,1735660023278
R,Key.comma,1735660023280
P,Key.space,1735660023294
R,Key.space,1735660023295
P,Key.shift,1735660023309
P,U,1735660023310
R,U,1735660023311
R,Key.shift,1735660023311
P,Key.shift,1735660023325
P,K,1735660023326
R,K,1735660023327
R,Key.shift,1735660023327
P,Key.space,1735660023341
R,Key.space,1735660023343
P,Key.shift,1735660023356
P,P,1735660023358
R,P,1735660023359
R,Key.shift,1735660023360
P,r,1735660023370
R,r,1735660023372
P,i,1735660023387
R,i,1735660023389
P,m,1735660023402
R,m,1735660023404
P,e,1735660023419
R,e,1735660023422
P,Key.space,1735660023434
R,Key.space,1735660023435
P,Key.shift,1735660023451
P,M,1735660023451
R,M,1735660023453
R,Key.shift,1735660023453
P,i,1735660023466
R,i,1735660023467
P,n,1735660023481
R,n,1735660023482
P,i,1735660023499
R,i,1735660023501
P,s,1735660023512
R,s,1735660023513
P,t,1735660023528
R,t,1735660023529
P,e,1735660023543
R,e,1735660023544
P,r,1735660023558
R,r,1735660023560
P,Key.space,1735660023575
R,Key.space,1735660023576
P,Key.shift,1735660023589
P,K,1735660023590
R,K,1735660023592
R,Key.shift,1735660023592
P,e,1735660023605
R,e,1735660023606
P,i,1735660023621
R,i,1735660023622
P,r,1735660023636
R,r,1735660023638
P,Key.space,1735660023652
R,Key.space,1735660023653
P,Key.shift,1735660023668
P,S,1735660023668
R,S,1735660023669
R,Key.shift,1735660023669
P,t,1735660023682
R,t,1735660023683
P,a,1735660023699
R,a,1735660023701
P,r,1735660023713
R,r,1735660023714
P,m,1735660023729
R,m,1735660023730
P,e,1735660023743
R,e,1735660023744
P,r,1735660023760
R,r,1735660023763
P,Key.comma,1735660023775
R,Key.comma,1735660023777
P,Key.space,1735660023790
R,Key.space,1735660023792
P,a,1735660023806
R,a,1735660023807
P,n,1735660023821
R,n,1735660023822
P,d,1735660023835
R,d,1735660023837
P,Key.space,1735660023851
R,Key.space,1735660023853
P,o,1735660023867
R,o,1735660023868
P,t,1735660023883
R,t,1735660023884
P,h,1735660023898
R,h,1735660023900
P,e,1735660023913
R,e,1735660023914
P,r,1735660023929
R,r,1735660023930
P,s,1735660023944
R,s,1735660023945
P,Key.space,1735660023960
R,Key.space,1735660023962
P,a,1735660023974
R,a,1735660023975
P,l,1735660023990
R,l,1735660023992
P,l,1735660024007
R,l,1735660024008
P,Key.space,1735660024037
R,Key.space,1735660024039
P,m,1735660024068
R,m,1735660024070
P,e,1735660024099
R,e,1735660024100
P,t,1735660024129
R,t,1735660024131
P,Key.space,1735660024146
R,Key.space,1735660024147
P,w,1735660024161
R,w,1735660024162
P,i,1735660024191
R,i,1735660024192
P,t,1735660024207
R,t,1735660024208
P,h,1735660024221
R,h,1735660024222
P,Key.space,1735660024237
R,Key.space,1735660024239
P,Key.shift,1735660024252
P,P,1735660024253
R,P,1735660024254
R,Key.shift,1735660024254
P,r,1735660024267
R,r,1735660024268
P,e,1735660024283
R,e,1735660024285
P,s,1735660024298
R,s,1735660024300
P,i,1735660024313
R,i,1735660024314
P,d,1735660024328
R,d,1735660024329
P,e,1735660024343
R,e,1735660024344
P,n,1735660024358
R,n,1735660024361
P,t,1735660024374
R,t,1735660024375
P,Key.space,1735660024388
R,Key.space,1735660024390
P,Key.shift,1735660024406
P,T,1735660024406
R,T,1735660024407
R,Key.shift,1735660024407
P,r,1735660024420
R,r,1735660024421
P,u,1735660024434
R,u,1735660024436
P,m,1735660024451
R,m,1735660024453
P,p,1735660024466
R,p,1735660024467
P,Key.space,1735660024482
R,Key.space,1735660024483
P,a,1735660024498
R,a,1735660024500
P,n,1735660024513
R,n,1735660024514
P,d,1735660024529
R,d,1735660024530
P,Key.space,1735660024544
R,Key.space,1735660024545
P,Key.shift,1735660024561
P,Z,1735660024562
R,Z,1735660024563
R,Key.shift,1735660024563
P,e,1735660024575
R,e,1735660024576
P,l,1735660024591
R,l,1735660024592
P,e,1735660024607
R,e,1735660024609
P,n,1735660024622
R,n,1735660024624
P,s,1735660024638
R,s,1735660024639
P,k,1735660024653
R,k,1735660024655
P,y,1735660024668
R,y,1735660024670
P,y,1735660024684
R,y,1735660024685
P,.,1735660024699
R,.,1735660024701
P,Key.space,1735660024714
R,Key.space,1735660024715
P,Key.shift,1735660024730
P,T,1735660024730
R,T,1735660024732
R,Key.shift,1735660024732
P,h,1735660024745
R,h,1735660024746
P,i,1735660024760
R,i,1735660024761
P,s,1735660024775
R,s,1735660024776
P,Key.space,1735660024791
R,Key.space,1735660024792
P,c,1735660024805
R,c,1735660024806
P,o,1735660024822
R,o,1735660024823
P,l,1735660024838
R,l,1735660024840
P,l,1735660024852
R,l,1735660024853
P,a,1735660024868
R,a,1735660024869
P,b,1735660024883
R,b,1735660024885
P,o,1735660024898
R,o,1735660024900
P,r,1735660024913
R,r,1735660024915
P,a,1735660024929
R,a,1735660024930
P,t,1735660024945
R,t,1735660024946
P,i,1735660024960
R,i,1735660024961
P,v,1735660024975
R,v,1735660024976
P,e,1735660025005
R,e,1735660025007
P,Key.space,1735660025037
R,Key.space,1735660025039
P,a,1735660025068
R,a,1735660025070
P,p,1735660025098
R,p,1735660025100
P,p,1735660025114
R,p,1735660025115
P,r,1735660025132
R,r,1735660025134
P,o,1735660025160
R,o,1735660025162
P,a,1735660025177
R,a,1735660025179
P,c,1735660025208
R,c,1735660025209
P,h,1735660025222
R,h,1735660025224
P,Key.space,1735660025239
R,Key.space,1735660025241
P,s,1735660025270
R,s,1735660025272
P,h,1735660025287
R,h,1735660025288
P,o,1735660025318
R,o,1735660025319
P,w,1735660025347
R,w,1735660025349
P,s,1735660025364
R,s,1735660025365
P,Key.space,1735660025394
R,Key.space,1735660025395
P,t,1735660025410
R,t,1735660025412
P,h,1735660025425
R,h,1735660025426
P,a,1735660025441
R,a,1735660025442
P,t,1735660025458
R,t,1735660025460
P,Key.space,1735660025471
R,Key.space,1735660025472
P,d,1735660025487
R,d,1735660025488
P,e,1735660025502
R,e,1735660025503
P,s,1735660025518
R,s,1735660025520
P,p,1735660025532
R,p,1735660025533
P,i,1735660025546
R,i,1735660025548
P,t,1735660025562
R,t,1735660025564
P,e,1735660025579
R,e,1735660025581
P,Key.space,1735660025593
R,Key.space,1735660025594
P,p,1735660025608
R,p,1735660025609
P,o,1735660025622
R,o,1735660025624
P,l,1735660025639
R,l,1735660025641
P,i,1735660025654
R,i,1735660025655
P,t,1735660025670
R,t,1735660025671
P,i,1735660025685
R,i,1735660025687
P,c,1735660025701
R,c,1735660025702
P,a,1735660025718
R,a,1735660025719
P,l,1735660025731
R,l,1735660025732
P,Key.space,1735660025747
R,Key.space,1735660025748
P,d,1735660025762
R,d,1735660025763
P,i,1735660025778
R,i,1735660025780
P,f,1735660025793
R,f,1735660025794
P,f,1735660025808
R,f,1735660025809
P,e,1735660025823
R,e,1735660025825
P,r,1735660025838
R,r,1735660025840
P,e,1735660025854
R,e,1735660025855
P,n,1735660025870
R,n,1735660025871
P,c,1735660025885
R,c,1735660025886
P,e,1735660025900
R,e,1735660025902
P,s,1735660025915
R,s,1735660025916
P,Key.comma,1735660025931
R,Key.comma,1735660025932
P,Key.space,1735660025947
R,Key.space,1735660025948
P,t,1735660025962
R,t,1735660025964
P,h,1735660025979
R,h,1735660025981
P,e,1735660025994
R,e,1735660025995
P,r,1735660026013
R,r,1735660026015
P,e,1735660026026
R,e,1735660026027
P,Key.space,1735660026042
R,Key.space,1735660026043
P,i,1735660026056
R,i,1735660026059
P,s,1735660026071
R,s,1735660026073
P,Key.space,1735660026087
R,Key.space,1735660026089
P,a,1735660026102
R,a,1735660026104
P,Key.space,1735660026119
R,Key.space,1735660026121
P,u,1735660026133
R,u,1735660026135
P,n,1735660026149
R,n,1735660026151
P,i,1735660026165
R,i,1735660026166
P,t,1735660026180
R,t,1735660026182
P,e,1735660026195
R,e,1735660026197
P,d,1735660026211
R,d,1735660026212
P,Key.space,1735660026225
R,Key.space,1735660026226
P,f,1735660026241
R,f,1735660026243
P,r,1735660026258
R,r,1735660026260
P,o,1735660026271
R,o,1735660026273
P,n,1735660026302
R,n,1735660026304
P,t,1735660026333
R,t,1735660026335
P,Key.space,1735660026364
R,Key.space,1735660026366
P,f,1735660026379
R,f,1735660026381
P,o,1735660026395
R,o,1735660026396
P,r,1735660026411
R,r,1735660026413
P,Key.space,1735660026442
R,Key.space,1735660026444
P,e,1735660026473
R,e,1735660026476
P,n,1735660026490
R,n,1735660026493
P,d,1735660026521
R,d,1735660026522
P,i,1735660026536
R,i,1735660026538
P,n,1735660026566
R,n,1735660026567
P,g,1735660026584
R,g,1735660026586
P,Key.space,1735660026612
R,Key.space,1735660026615
P,t,1735660026628
R,t,1735660026630
P,h,1735660026644
R,h,1735660026645
P,e,1735660026660
R,e,1735660026663
P,Key.space,1735660026676
R,Key.space,1735660026679
P,w,1735660026691
R,w,1735660026693
P,a,1735660026705
R,a,1735660026707
P,r,1735660026722
R,r,1735660026724
P,Key.space,1735660026738
R,Key.space,1735660026740
P,a,1735660026751
R,a,1735660026753
P,n,1735660026767
R,n,1735660026769
P,d,1735660026781
R,d,1735660026783
P,Key.space,1735660026798
R,Key.space,1735660026800
P,e,1735660026812
R,e,1735660026814
P,n,1735660026828
R,n,1735660026829
P,s,1735660026844
