Press or Release,Key,Time
P,g,1735660003834
R,g,1735660003925
P,r,1735660003937
P,d,1735660003954
P,s,1735660003964
R,s,1735660004034
P,g,1735660004060
R,d,1735660004087
R,r,1735660004136
P,r,1735660004218
R,g,1735660004285
P,e,1735660004285
R,e,1735660004458
R,r,1735660004500
P,g,1735660004506
P,f,1735660004518
R,f,1735660004587
R,g,1735660004669
P,e,1735660004669
P,w,1735660004673
P,r,1735660004674
R,e,1735660004821
R,w,1735660004821
P,t,1735660004821
R,r,1735660004827
P,g,1735660004866
R,g,1735660004979
P,r,1735660004979
R,t,1735660004995
P,e,1735660004995
P,w,1735660005021
R,w,1735660005119
R,e,1735660005164
P,g,1735660005165
R,r,1735660005172
R,g,1735660005299
P,w,1735660005577
P,e,1735660005594
P,y,1735660005666
R,w,1735660005908
R,e,1735660005909
R,y,1735660005909
P,r,1735660005909
P,t,1735660005913
P,g,1735660005933
R,g,1735660005983
R,t,1735660006047
P,w,1735660006047
P,e,1735660006054
R,r,1735660006063
P,r,1735660006202
R,w,1735660006243
R,e,1735660006258
P,o,1735660006372
P,w,1735660006388
P,q,1735660006395
R,r,1735660006406
P,p,1735660006407
P,e,1735660006530
P,u,1735660006540
R,p,1735660006547
R,o,1735660006554
R,q,1735660006581
R,w,1735660006604
P,r,1735660006622
P,o,1735660006714
R,u,1735660006724
P,i,1735660006734
P,q,1735660006751
P,w,1735660006764
R,r,1735660006768
P,p,1735660006774
R,e,1735660006787
P,e,1735660006918
R,p,1735660006923
P,u,1735660006923
R,o,1735660006946
R,i,1735660006956
R,q,1735660006957
R,w,1735660007074
P,w,1735660007092
R,u,1735660007103
P,i,1735660007107
P,q,1735660007115
R,e,1735660007130
P,j,1735660007218
P,e,1735660007245
R,q,1735660007258
R,i,1735660007279
R,w,1735660007283
R,e,1735660007387
P,d,1735660007387
P,a,1735660007402
R,d,1735660007409
P,k,1735660007420
P,w,1735660007435
P,l,1735660007441
P,d,1735660007546
R,w,1735660007572
R,l,1735660007581
R,a,1735660007618
R,k,1735660007637
P,k,1735660007755
P,a,1735660007763
P,s,1735660007773
P,l,1735660007775
R,d,1735660007780
R,j,1735660007795
P,d,1735660007908
P,j,1735660007915
R,l,1735660008114
P,l,1735660008123
R,d,1735660008136
R,a,1735660008258
P,c,1735660008266
R,s,1735660008275
R,l,1735660008276
R,k,1735660008324
P,n,1735660008325
R,n,1735660008479
R,c,1735660008489
P,s,1735660008498
R,s,1735660008571
P,c,1735660008580
P,n,1735660008597
R,j,1735660008669
P,s,1735660008788
R,n,1735660008796
R,c,1735660008876
P,d,1735660008876
P,k,1735660008878
P,j,1735660008893
R,s,1735660009138
R,d,1735660009138
R,k,1735660009142
P,c,1735660009142
P,n,1735660009150
R,j,1735660009242
P,s,1735660009310
R,c,1735660009347
P,d,1735660009348
R,n,1735660009399
P,k,1735660009442
R,k,1735660009603
R,d,1735660009634
R,s,1735660009722
P,j,1735660009788
P,a,1735660009933
R,j,1735660010125
P,w,1735660010128
P,i,1735660010131
P,p,1735660010132
P,o,1735660010134
P,d,1735660010142
R,a,1735660010149
R,w,1735660010163
R,p,1735660010170
R,o,1735660010219
R,i,1735660010243
P,w,1735660010309
P,q,1735660010486
R,d,1735660010493
P,i,1735660010494
P,p,1735660010497
P,o,1735660010498
R,q,1735660010503
