Press or Release,Key,Time
P,a,1735660090195
R,a,1735660090353
P,Key.space,1735660090402
R,Key.space,1735660090530
P,s,1735660090946
R,s,1735660091090
P,t,1735660091250
R,t,1735660091345
P,u,1735660091538
R,u,1735660091650
P,d,1735660091714
R,d,1735660091857
P,e,1735660092018
R,e,1735660092161
P,n,1735660092210
P,t,1735660092386
R,n,1735660092405
R,t,1735660092530
P,Key.space,1735660092578
R,Key.space,1735660092738
P,i,1735660092739
R,i,1735660092866
P,n,1735660092994
R,n,1735660093121
P,Key.space,1735660093186
R,Key.space,1735660093250
P,a,1735660093378
R,a,1735660093537
P,Key.space,1735660093538
R,Key.space,1735660093618
P,c,1735660093890
R,c,1735660094050
P,l,1735660094050
R,l,1735660094211
P,a,1735660094226
R,a,1735660094449
P,s,1735660094466
R,s,1735660094577
P,s,1735660094721
R,s,1735660094818
P,Key.space,1735660095010
R,Key.space,1735660095105
P,s,1735660095314
R,s,1735660095473
P,t,1735660095570
R,t,1735660095698
P,o,1735660095762
R,o,1735660095842
P,o,1735660095986
R,o,1735660096085
P,d,1735660096162
R,d,1735660096321
P,Key.space,1735660096338
R,Key.space,1735660096498
P,a,1735660096530
R,a,1735660096690
P,n,1735660096722
R,n,1735660096866
P,d,1735660096898
R,d,1735660097027
P,Key.space,1735660097091
R,Key.space,1735660097202
P,s,1735660097857
R,s,1735660098001
P,p,1735660098098
R,p,1735660098275
P,o,1735660098275
R,o,1735660098418
P,k,1735660098561
P,e,1735660098706
R,k,1735660098722
R,e,1735660098834
P,Key.space,1735660098921
R,Key.space,1735660098994
P,a,1735660099122
P,b,1735660099201
R,a,1735660099250
R,b,1735660099346
P,o,1735660099442
P,u,1735660099602
R,o,1735660099665
R,u,1735660099762
P,t,1735660099762
R,t,1735660099922
P,Key.space,1735660099954
R,Key.space,1735660100067
P,f,1735660101426
R,f,1735660101602
P,e,1735660101650
R,e,1735660101810
P,a,1735660101826
R,a,1735660102034
P,r,1735660102034
R,r,1735660102178
P,Key.space,1735660102226
R,Key.space,1735660102354
P,a,1735660102450
R,a,1735660102641
P,n,1735660102675
R,n,1735660102849
P,d,1735660102866
R,d,1735660102995
P,Key.space,1735660103074
R,Key.space,1735660103138
P,s,1735660104722
R,s,1735660104882
P,e,1735660105300
R,e,1735660105346
P,c,1735660105650
R,c,1735660105794
P,i,1735660105858
R,i,1735660106002
P,Key.backspace,1735660106514
R,Key.backspace,1735660106673
P,u,1735660107154
R,u,1735660107298
P,r,1735660107314
R,r,1735660107490
P,e,1735660107523
R,e,1735660107666
P,Key.space,1735660107746
R,Key.space,1735660107874
P,o,1735660109874
R,o,1735660110018
P,f,1735660110050
R,f,1735660110180
P,Key.space,1735660110195
R,Key.space,1735660110339
P,Key.space,1735660110466
R,Key.space,1735660110514
P,p,1735660110514
P,e,1735660110708
R,p,1735660110722
R,e,1735660110850
P,o,1735660110866
R,o,1735660111010
P,p,1735660111074
R,p,1735660111219
P,l,1735660111378
R,l,1735660111490
P,e,1735660111619
R,e,1735660111794
P,.,1735660112466
R,.,1735660112626
P,Key.space,1735660112818
R,Key.space,1735660112978
P,Key.shift,1735660113187
P,H,1735660113666
R,Key.shift,1735660113795
R,H,1735660113891
P,i,1735660113923
R,i,1735660114034
P,s,1735660114402
R,s,1735660114579
P,Key.space,1735660114866
R,Key.space,1735660115058
P,s,1735660115298
R,s,1735660115474
P,p,1735660115554
R,p,1735660115698
P,e,1735660116258
R,e,1735660116386
P,e,1735660116626
R,e,1735660116722
P,c,1735660117042
R,c,1735660117154
P,h,1735660117491
R,h,1735660117666
P,Key.space,1735660118002
R,Key.space,1735660118162
P,w,1735660118354
R,w,1735660118546
P,e,1735660118546
R,e,1735660118740
P,r,1735660118787
R,r,1735660118935
P,e,1735660118963
R,e,1735660119090
P,Key.space,1735660119170
R,Key.space,1735660119298
P,v,1735660119490
R,v,1735660119634
P,e,1735660119650
P,r,1735660119842
R,e,1735660119874
R,r,1735660119986
P,Key.space,1735660120584
R,Key.space,1735660120658
P,Key.backspace,1735660121155
R,Key.backspace,1735660121314
P,y,1735660121683
R,y,1735660121844
P,Key.space,1735660121922
R,Key.space,1735660122130
P,b,1735660122339
R,b,1735660122515
P,o,1735660122579
R,o,1735660122708
P,l,1735660122867
R,l,1735660123042
P,d,1735660123090
R,d,1735660123218
P,Key.space,1735660123218
R,Key.space,1735660123362
P,a,1735660123410
R,a,1735660123570
P,n,1735660123602
R,n,1735660123730
P,Key.space,1735660123891
R,Key.space,1735660124019
P,Key.backspace,1735660124652
R,Key.backspace,1735660124803
P,d,1735660124835
R,d,1735660125011
P,Key.space,1735660125075
R,Key.space,1735660125219
P,m,1735660125411
R,m,1735660125522
P,o,1735660125698
R,o,1735660125827
P,t,1735660125890
R,t,1735660126018
P,i,1735660126019
R,i,1735660126162
P,v,1735660126322
R,v,1735660126434
P,a,1735660126612
R,a,1735660126754
P,t,1735660126771
R,t,1735660126934
P,e,1735660127058
R,e,1735660127122
P,Key.space,1735660127250
R,Key.space,1735660127363
P,t,1735660127506
P,o,1735660127652
R,t,1735660127666
R,o,1735660127842
P,Key.backspace,1735660128514
R,Key.backspace,1735660128677
P,Key.backspace,1735660128771
R,Key.backspace,1735660128867
P,Key.backspace,1735660129939
R,Key.backspace,1735660130051
P,Key.space,1735660130773
R,Key.space,1735660130898
P,o,1735660131186
R,o,1735660131346
P,t,1735660131379
R,t,1735660131506
P,h,1735660131602
R,h,1735660131763
P,e,1735660131778
R,e,1735660131922
P,r,1735660131923
R,r,1735660132003
P,Key.space,1735660132019
R,Key.space,1735660132162
P,s,1735660132323
R,s,1735660132466
P,t,1735660132498
R,t,1735660132626
P,u,1735660132723
R,u,1735660132883
P,d,1735660132898
R,d,1735660133010
P,e,1735660133154
R,e,1735660133283
P,n,1735660133442
R,n,1735660133619
P,t,1735660133651
R,t,1735660133810
P,Key.space,1735660133891
R,Key.space,1735660133970
P,t,1735660134611
R,t,1735660134786
P,o,1735660135170
R,o,1735660135331
P,Key.space,1735660135411
R,Key.space,1735660135555
P,b,1735660136482
R,b,1735660136626
P,e,1735660136675
R,e,1735660136787
P,Key.space,1735660136835
R,Key.space,1735660136931
P,s,1735660136978
R,s,1735660137155
P,t,1735660137188
R,t,1735660137283
P,r,1735660137442
R,r,1735660137523
P,o,1735660137571
R,o,1735660137725
P,n,1735660137826
R,n,1735660137931
P,g,1735660138819
R,g,1735660138962
P,Key.space,1735660139043
R,Key.space,1735660139138
P,a,1735660139187
R,a,1735660139395
P,n,1735660139395
R,n,1735660139555
P,d,1735660139587
R,d,1735660139715
P,Key.space,1735660139779
R,Key.space,1735660139875
P,b,1735660139987
R,b,1735660140163
P,o,1735660140180
R,o,1735660140322
P,l,1735660140435
R,l,1735660140579
P,d,1735660140579
R,d,1735660140722
P,Key.space,1735660140754
R,Key.space,1735660140818
P,i,1735660140979
R,i,1735660141107
P,n,1735660141267
R,n,1735660141378
P,Key.space,1735660141442
R,Key.space,1735660141506
P,a,1735660141602
R,a,1735660141762
P,l,1735660141779
R,l,1735660141875
P,l,1735660142002
R,l,1735660142084
P,Key.space,1735660142179
R,Key.space,1735660142259
P,s,1735660143507
R,s,1735660143667
P,i,1735660143698
R,i,1735660143891
P,t,1735660143891
R,t,1735660144019
P,u,1735660144195
R,u,1735660144339
P,a,1735660144836
R,a,1735660145075
P,t,1735660145347
R,t,1735660145427
P,i,1735660145491
R,i,1735660145619
P,o,1735660145667
R,o,1735660145859
P,n,1735660145971
R,n,1735660146084
P,.,1735660146755
R,.,1735660146867
P,Key.space,1735660146947
R,Key.space,1735660147027
P,Key.shift,1735660147187
P,D,1735660147379
R,D,1735660147539
R,Key.shift,1735660147635
P,p,1735660148211
R,p,1735660148340
P,Key.backspace,1735660149333
R,Key.backspace,1735660149475
P,o,1735660149987
R,o,1735660150147
P,m,1735660150340
R,m,1735660150483
P,',1735660150928
R,',1735660151059
P,Key.backspace,1735660151571
R,Key.backspace,1735660151747
P,Key.backspace,1735660152723
R,Key.backspace,1735660152883
P,n,1735660153385
R,n,1735660153507
P,',1735660154499
R,',1735660154643
P,t,1735660155442
R,t,1735660155555
P,Key.space,1735660155667
R,Key.space,1735660155843
P,b,1735660156035
R,b,1735660156180
P,e,1735660156212
R,e,1735660156323
P,Key.space,1735660156419
R,Key.space,1735660156483
P,f,1735660157988
R,f,1735660158131
P,e,1735660158212
R,e,1735660158322
P,a,1735660158483
R,a,1735660158627
P,r,1735660158627
R,r,1735660158723
P,Key.space,1735660158900
R,Key.space,1735660158995
P,i,1735660160147
R,i,1735660160291
P,n,1735660160627
R,n,1735660160787
P,Key.space,1735660160835
R,Key.space,1735660160936
P,a,1735660162243
R,a,1735660162483
P,n,1735660162755
R,n,1735660162883
P,y,1735660163059
R,y,1735660163219
P,Key.space,1735660163795
R,Key.space,1735660163892
P,s,1735660164035
R,s,1735660164179
P,i,1735660164195
R,i,1735660164355
P,t,1735660164419
R,t,1735660164547
P,u,1735660164644
R,u,1735660164787
P,a,1735660164819
R,a,1735660164979
P,i,1735660164979
R,i,1735660165123
P,o,1735660165187
R,o,1735660165396
P,n,1735660165443
R,n,1735660165588
P,Key.space,1735660165667
R,Key.space,1735660165763
P,a,1735660165859
R,a,1735660166020
P,n,1735660166020
R,n,1735660166163
P,d,1735660166163
R,d,1735660166291
P,Key.space,1735660166323
P,m,1735660166547
R,Key.space,1735660166582
R,m,1735660166659
P,k,1735660167540
R,k,1735660167667
P,Key.backspace,1735660168627
R,Key.backspace,1735660168819
P,a,1735660169107
R,a,1735660169331
P,k,1735660169347
R,k,1735660169492
P,e,1735660169571
R,e,1735660169684
P,Key.space,1735660169892
R,Key.space,1735660170020
P,p,1735660171732
R,p,1735660171859
P,r,1735660171892
R,r,1735660172035
P,o,1735660172116
P,u,1735660172404
R,o,1735660172547
R,u,1735660172563
P,d,1735660172708
R,d,1735660172867
P,Key.space,1735660172939
R,Key.space,1735660173060
P,b,1735660177283
R,b,1735660177443
P,e,1735660177475
R,e,1735660177588
P,c,1735660177828
R,c,1735660177971
P,Key.backspace,1735660179347
R,Key.backspace,1735660179556
P,Key.backspace,1735660179651
R,Key.backspace,1735660179763
P,Key.backspace,1735660180563
R,Key.backspace,1735660180772
P,o,1735660181316
R,o,1735660181507
P,t,1735660181540
R,t,1735660181683
P,h,1735660181779
R,h,1735660181907
P,e,1735660181956
R,e,1735660182132
P,r,1735660182132
R,r,1735660182291
P,s,1735660182532
R,s,1735660182694
P,t,1735660187556
R,t,1735660187684
