Press or Release,Key,Time
P,Key.shift,1735660005793
P,T,1735660006239
R,Key.shift,1735660006399
R,T,1735660006416
P,h,1735660006511
R,h,1735660006671
P,e,1735660006688
P,Key.space,1735660006783
R,e,1735660006799
R,Key.space,1735660006863
P,w,1735660007199
R,w,1735660007327
P,a,1735660007391
P,y,1735660007520
R,a,1735660007584
R,y,1735660007631
P,Key.space,1735660007695
R,Key.space,1735660007823
P,a,1735660009919
R,a,1735660010079
P,Key.backspace,1735660010944
R,Key.backspace,1735660011120
P,a,1735660011599
P,Key.space,1735660011745
R,a,1735660011808
R,Key.space,1735660011823
P,s,1735660011919
R,s,1735660012079
P,t,1735660012127
R,t,1735660012255
P,u,1735660012415
P,d,1735660012528
R,u,1735660012560
R,d,1735660012607
P,e,1735660012735
R,e,1735660012863
P,n,1735660012943
R,n,1735660013055
P,t,1735660013056
R,t,1735660013151
P,s,1735660013311
R,s,1735660013423
P,Key.space,1735660013808
R,Key.space,1735660013888
P,s,1735660015200
R,s,1735660015375
P,t,1735660015423
P,a,1735660015536
R,t,1735660015551
R,a,1735660015679
P,n,1735660015711
P,d,1735660015823
R,n,1735660015855
R,d,1735660015919
P,Key.space,1735660016000
R,Key.space,1735660016047
P,a,1735660016192
P,n,1735660016335
R,a,1735660016400
R,n,1735660016463
P,d,1735660016479
R,d,1735660016592
P,Key.space,1735660016624
R,Key.space,1735660016735
P,s,1735660024032
R,s,1735660024143
P,p,1735660024592
R,p,1735660024767
P,o,1735660024832
R,o,1735660024975
P,k,1735660025167
R,k,1735660025248
P,e,1735660025328
R,e,1735660025423
P,Key.space,1735660025455
R,Key.space,1735660025535
P,a,1735660025615
P,b,1735660025744
R,a,1735660025791
R,b,1735660025872
P,o,1735660025983
P,u,1735660026112
R,o,1735660026175
R,u,1735660026271
P,t,1735660026367
R,t,1735660026480
P,Key.space,1735660026544
R,Key.space,1735660026688
P,f,1735660042721
R,f,1735660042880
P,e,1735660042928
R,e,1735660043040
P,a,1735660043104
P,r,1735660043264
R,a,1735660043296
R,r,1735660043376
P,Key.space,1735660047664
R,Key.space,1735660047760
P,i,1735660048144
R,i,1735660048240
P,s,1735660048271
R,s,1735660048400
P,Key.space,1735660048401
R,Key.space,1735660048528
P,v,1735660048577
R,v,1735660048672
P,e,1735660048800
P,r,1735660048896
R,e,1735660048944
R,r,1735660049024
P,y,1735660049072
R,y,1735660049152
P,Key.space,1735660049217
R,Key.space,1735660049312
P,a,1735660049584
R,a,1735660049728
P,p,1735660049808
R,p,1735660049872
P,p,1735660049952
R,p,1735660050032
P,r,1735660050128
P,e,1735660050256
R,r,1735660050369
R,e,1735660050416
P,c,1735660050864
P,i,1735660050992
R,c,1735660051024
R,i,1735660051104
P,a,1735660051136
R,a,1735660051344
P,t,1735660051345
R,t,1735660051488
P,e,1735660051552
R,e,1735660051664
P,Key.space,1735660051712
R,Key.space,1735660051792
P,a,1735660052256
P,b,1735660052400
R,a,1735660052448
R,b,1735660052512
P,l,1735660052624
P,e,1735660052736
R,l,1735660052800
R,e,1735660052848
P,.,1735660053920
R,.,1735660054048
P,Key.space,1735660054288
R,Key.space,1735660054384
P,Key.shift,1735660060129
P,B,1735660061280
R,B,1735660061408
R,Key.shift,1735660061472
P,u,1735660061648
R,u,1735660061728
P,t,1735660061824
R,t,1735660061952
P,Key.space,1735660061969
R,Key.space,1735660062048
P,Key.backspace,1735660062865
R,Key.backspace,1735660062944
P,Key.backspace,1735660063072
R,Key.backspace,1735660063153
P,Key.backspace,1735660063264
R,Key.backspace,1735660063313
P,Key.backspace,1735660063456
R,Key.backspace,1735660063488
P,Key.shift,1735660067249
P,T,1735660067424
R,Key.shift,1735660067570
P,h,1735660067584
R,T,1735660067600
R,h,1735660067696
P,e,1735660067777
R,e,1735660067888
P,Key.space,1735660067921
R,Key.space,1735660068001
P,w,1735660068625
R,w,1735660068704
P,a,1735660068800
R,a,1735660068929
P,y,1735660069504
R,y,1735660069633
P,Key.space,1735660069680
R,Key.space,1735660069793
P,s,1735660070288
P,h,1735660070384
R,s,1735660070433
R,h,1735660070561
P,e,1735660070640
R,e,1735660070736
P,Key.space,1735660070832
R,Key.space,1735660070913
P,Key.backspace,1735660071664
R,Key.backspace,1735660071728
P,Key.backspace,1735660071840
R,Key.backspace,1735660071905
P,Key.backspace,1735660072016
R,Key.backspace,1735660072080
P,Key.backspace,1735660072193
R,Key.backspace,1735660072257
P,Key.backspace,1735660072352
R,Key.backspace,1735660072416
P,Key.backspace,1735660072528
R,Key.backspace,1735660072641
P,Key.backspace,1735660073092
R,Key.backspace,1735660073168
P,Key.backspace,1735660073282
R,Key.backspace,1735660073361
P,Key.backspace,1735660073489
R,Key.backspace,1735660073537
P,Key.backspace,1735660074176
R,Key.backspace,1735660074224
P,Key.backspace,1735660074369
R,Key.backspace,1735660074433
P,Key.backspace,1735660074577
R,Key.backspace,1735660074625
P,Key.shift,1735660075409
P,I,1735660075697
R,Key.shift,1735660075825
R,I,1735660075825
P,t,1735660075921
R,t,1735660076049
P,Key.space,1735660076049
R,Key.space,1735660076161
P,m,1735660076416
R,m,1735660076562
P,a,1735660076625
