Press or Release,Key,Time
P,t,1735660003299
R,t,1735660003411
P,h,1735660003437
R,h,1735660003549
P,i,1735660003651
R,i,1735660003767
P,s,1735660003837
R,s,1735660003979
P,Key.space,1735660004005
R,Key.space,1735660004090
P,i,1735660004493
R,i,1735660004591
P,n,1735660004758
R,n,1735660004841
P,c,1735660005087
R,c,1735660005208
P,i,1735660005382
R,i,1735660005473
P,d,1735660005838
R,d,1735660005956
P,e,1735660006006
R,e,1735660006155
P,n,1735660006484
R,n,1735660006584
P,t,1735660006658
R,t,1735660006755
P,Key.space,1735660006804
R,Key.space,1735660006889
P,t,1735660008666
R,t,1735660008774
P,o,1735660008870
R,o,1735660008961
P,k,1735660009403
R,k,1735660009463
P,Key.backspace,1735660010675
R,Key.backspace,1735660010757
P,o,1735660011348
R,o,1735660011443
P,k,1735660012282
R,k,1735660012369
P,Key.space,1735660012515
R,Key.space,1735660012563
P,p,1735660013085
R,p,1735660013152
P,a,1735660013237
P,l,1735660013376
R,a,1735660013386
R,l,1735660013488
P,c,1735660013933
R,c,1735660014036
P,e,1735660014085
P,Key.space,1735660014193
R,e,1735660014206
R,Key.space,1735660014282
P,Key.backspace,1735660016054
R,Key.backspace,1735660016121
P,Key.backspace,1735660016197
R,Key.backspace,1735660016255
P,Key.backspace,1735660016318
R,Key.backspace,1735660016389
P,Key.backspace,1735660016810
R,Key.backspace,1735660016873
P,Key.backspace,1735660017482
R,Key.backspace,1735660017584
P,l,1735660018373
R,l,1735660018464
P,a,1735660019687
R,a,1735660019864
P,v,1735660020199
R,v,1735660020242
P,Key.backspace,1735660020834
R,Key.backspace,1735660020911
P,c,1735660021248
R,c,1735660021327
P,e,1735660021387
R,e,1735660021493
P,Key.space,1735660021538
R,Key.space,1735660021622
P,i,1735660021807
R,i,1735660021909
P,n,1735660022252
R,n,1735660022323
P,Key.space,1735660022571
R,Key.space,1735660022664
P,t,1735660022747
R,t,1735660022846
P,h,1735660022874
R,h,1735660022950
P,e,1735660023132
P,Key.space,1735660023248
R,e,1735660023259
R,Key.space,1735660023325
P,Key.backspace,1735660026707
R,Key.backspace,1735660026784
P,Key.backspace,1735660026857
R,Key.backspace,1735660026918
P,Key.backspace,1735660026982
R,Key.backspace,1735660027044
P,Key.backspace,1735660027111
R,Key.backspace,1735660027175
P,Key.backspace,1735660027228
R,Key.backspace,1735660027303
P,Key.backspace,1735660027752
R,Key.backspace,1735660027827
P,Key.backspace,1735660027895
R,Key.backspace,1735660027972
P,b,1735660029430
R,b,1735660029505
P,e,1735660029601
R,e,1735660029729
P,t,1735660029857
R,t,1735660029907
P,w,1735660030564
R,w,1735660030654
P,e,1735660030811
R,e,1735660030911
P,e,1735660030978
R,e,1735660031052
P,n,1735660031203
R,n,1735660031270
P,Key.space,1735660031381
R,Key.space,1735660031457
P,t,1735660032097
R,t,1735660032193
P,h,1735660032229
R,h,1735660032322
P,e,1735660032585
R,e,1735660032693
P,Key.space,1735660032738
R,Key.space,1735660032834
P,p,1735660035550
R,p,1735660035655
P,r,1735660036041
R,r,1735660036118
P,e,1735660036259
R,e,1735660036392
P,s,1735660036845
R,s,1735660036960
P,i,1735660037214
R,i,1735660037293
P,d,1735660038029
R,d,1735660038142
P,e,1735660038204
R,e,1735660038301
P,n,1735660038521
R,n,1735660038584
P,t,1735660039816
R,t,1735660039890
P,Key.space,1735660040048
R,Key.space,1735660040116
P,o,1735660041463
R,o,1735660041571
P,f,1735660042139
R,f,1735660042189
P,Key.space,1735660042261
R,Key.space,1735660042350
P,u,1735660043842
R,u,1735660043936
P,n,1735660044086
R,n,1735660044176
