Press or Release,Key,Time
P,Key.ctrl,1735660910450
P,V,1735660910842
R,Key.ctrl,1735660911078
R,V,1735660911078
P,Key.caps_lock,1735661080423
R,Key.caps_lock,1735661080493
P,g,1735661084853
R,g,1735661084924
P,r,1735661085397
R,r,1735661085517
P,e,1735661094188
R,e,1735661094276
P,Key.backspace,1735661096164
R,Key.backspace,1735661096227
P,Key.backspace,1735661096341
R,Key.backspace,1735661096396
P,Key.backspace,1735661096508
R,Key.backspace,1735661096563
P,Key.backspace,1735661096668
R,Key.backspace,1735661096740
P,Key.caps_lock,1735661097821
R,Key.caps_lock,1735661097908
P,G,1735661099436
R,G,1735661099532
P,R,1735661099941
R,R,1735661100027
P,A,1735661100628
R,A,1735661100723
P,Key.backspace,1735661103780
R,Key.backspace,1735661103852
P,E,1735661105388
R,E,1735661105467
P,A,1735661105939
R,A,1735661106027
P,T,1735661108435
R,T,1735661108548
P,Key.space,1735661111796
R,Key.space,1735661111930
P,W,1735661114371
R,W,1735661114451
P,O,1735661116147
R,O,1735661116202
P,R,1735661117955
R,R,1735661118010
P,K,1735661118698
R,K,1735661118778
P,Key.comma,1735661122418
R,Key.comma,1735661122546
P,Key.space,1735661124746
R,Key.space,1735661124890
P,K,1735661126082
R,K,1735661126177
P,A,1735661129754
R,A,1735661129841
P,S,1735661130378
R,S,1735661130481
P,H,1735661133385
R,H,1735661133449
P,A,1735661133841
R,A,1735661133929
P,N,1735661134753
R,N,1735661134850
P,Key.space,1735661153664
R,Key.space,1735661153800
P,L,1735661161912
R,L,1735661161991
P,O,1735661162431
R,O,1735661162527
P,O,1735661162647
R,O,1735661162703
P,K,1735661164007
R,K,1735661164103
P,I,1735661164472
R,I,1735661164544
P,N,1735661165967
R,N,1735661166087
P,G,1735661166439
R,G,1735661166543
P,Key.space,1735661167895
R,Key.space,1735661167990
P,F,1735661170542
R,F,1735661170614
P,O,1735661171967
R,O,1735661172046
P,R,1735661172767
R,R,1735661172846
P,W,1735661175687
R,W,1735661175782
P,A,1735661184933
R,A,1735661185054
P,D,1735661185894
R,D,1735661185998
P,Key.caps_lock,1735661195670
R,Key.caps_lock,1735661195797
P,t,1735661197181
R,t,1735661197253
P,o,1735661198077
R,o,1735661198165
P,Key.space,1735661199812
R,Key.space,1735661199917
P,Key.space,1735661200061
R,Key.space,1735661200164
P,Key.backspace,1735661201285
R,Key.backspace,1735661201373
P,Key.backspace,1735661201493
R,Key.backspace,1735661201565
P,Key.backspace,1735661201877
R,Key.backspace,1735661201973
P,Key.backspace,1735661202469
R,Key.backspace,1735661202549
P,Key.space,1735661203044
R,Key.space,1735661203196
P,t,1735661204500
R,t,1735661204564
P,o,1735661205421
R,o,1735661205501
P,Key.space,1735661205909
R,Key.space,1735661206020
P,m,1735661209565
R,m,1735661209636
P,o,1735661210740
R,o,1735661210827
P,r,1735661212636
R,r,1735661212748
P,e,1735661213443
R,e,1735661213532
P,Key.space,1735661213900
R,Key.space,1735661214012
P,v,1735661219484
R,v,1735661219580
P,i,1735661220212
R,i,1735661220307
P,d,1735661222796
R,d,1735661222907
P,e,1735661225379
R,e,1735661225507
P,o,1735661226867
R,o,1735661226971
P,s,1735661229732
R,s,1735661229826
P,Key.space,1735661237986
R,Key.space,1735661238114
P,n,1735661241834
R,n,1735661241938
P,Key.backspace,1735661243082
R,Key.backspace,1735661243194
P,o,1735661244338
R,o,1735661244419
P,n,1735661244978
R,n,1735661245090
P,Key.space,1735661247482
R,Key.space,1735661247617
P,w,1735661253145
R,w,1735661253257
P,e,1735661256785
R,e,1735661256881
P,b,1735661257841
R,b,1735661257953
P,Key.space,1735661261449
R,Key.space,1735661261608
P,d,1735661262584
R,d,1735661262704
P,e,1735661264600
R,e,1735661264712
P,v,1735661269136
R,v,1735661269288
P,e,1735661272352
R,e,1735661272450
P,l,1735661273520
R,l,1735661273600
P,p,1735661276144
R,p,1735661276232
P,Key.backspace,1735661277080
R,Key.backspace,1735661277200
P,o,1735661278215
R,o,1735661278319
P,p,1735661278656
R,p,1735661278767
P,m,1735661281551
R,m,1735661281671
P,e,1735661283783
R,e,1735661283888
P,n,1735661286224
R,n,1735661286343
P,t,1735661286815
R,t,1735661286920
P,Key.space,1735661287807
R,Key.space,1735661287958
P,a,1735661289359
R,a,1735661289455
P,n,1735661290471
R,n,1735661290590
P,d,1735661291071
R,d,1735661291183
P,Key.space,1735661292390
R,Key.space,1735661292526
P,Key.shift,1735661293342
R,Key.shift,1735661293478
