Press or Release,Key,Time
P,O,1735660008087
R,O,1735660008090
P,N,1735660008285
R,N,1735660008415
P,Key.space,1735660008461
R,Key.space,1735660008533
P,T,1735660008789
R,T,1735660008847
P,H,1735660008981
R,H,1735660009063
P,E,1735660009261
R,E,1735660009317
P,Key.space,1735660009493
R,Key.space,1735660009554
P,O,1735660009903
R,O,1735660009965
P,F,1735660010253
R,F,1735660010301
P,F,1735660010389
R,F,1735660010437
P,I,1735660011061
R,I,1735660011117
P,C,1735660011446
R,C,1735660011501
P,E,1735660011733
R,E,1735660011797
P,Key.space,1735660012005
R,Key.space,1735660012063
P,M,1735660023654
R,M,1735660023734
P,E,1735660024060
R,E,1735660024088
P,E,1735660024225
R,E,1735660024226
P,T,1735660024686
R,T,1735660024750
P,I,1735660025173
R,I,1735660025246
P,N,1735660025485
R,N,1735660025558
P,G,1735660025870
R,G,1735660025938
P,Key.space,1735660026094
R,Key.space,1735660026150
P,I,1735660058534
R,I,1735660058611
P,N,1735660058757
R,N,1735660058830
P,Key.space,1735660058912
R,Key.space,1735660058973
P,T,1735660059165
P,H,1735660059279
R,T,1735660059311
R,H,1735660059358
P,E,1735660059434
P,Key.space,1735660059549
R,E,1735660059581
R,Key.space,1735660059605
P,W,1735660060062
R,W,1735660060205
P,A,1735660060310
R,A,1735660060477
P,S,1735660060493
R,S,1735660060637
P,H,1735660060654
R,H,1735660060760
P,I,1735660060845
R,I,1735660060966
P,N,1735660061021
R,N,1735660061111
P,G,1735660061934
R,G,1735660062089
P,T,1735660062470
R,T,1735660062629
P,O,1735660062943
R,O,1735660063008
P,N,1735660063134
R,N,1735660063197
P,Key.space,1735660063314
R,Key.space,1735660063361
P,Key.comma,1735660067494
R,Key.comma,1735660067558
P,Key.space,1735660067701
R,Key.space,1735660067765
P,T,1735660069247
R,T,1735660069392
P,H,1735660069463
R,H,1735660069533
P,E,1735660069580
P,R,1735660069581
R,E,1735660069711
R,R,1735660069711
P,Key.space,1735660069711
R,Key.space,1735660069776
P,Key.backspace,1735660070469
R,Key.backspace,1735660070526
P,Key.backspace,1735660070605
R,Key.backspace,1735660070671
P,Key.space,1735660071061
R,Key.space,1735660071135
P,U,1735660072814
R,U,1735660072887
P,K,1735660075165
R,K,1735660075246
P,A,1735660075726
R,A,1735660075943
P,R,1735660076054
R,R,1735660076189
P,I,1735660076327
R,I,1735660076471
P,N,1735660076626
R,N,1735660076710
P,I,1735660076854
R,I,1735660076998
P,N,1735660077821
R,N,1735660077924
P,E,1735660078375
R,E,1735660078526
P,Key.space,1735660078758
R,Key.space,1735660078822
P,P,1735660079878
R,P,1735660079942
P,R,1735660080152
R,R,1735660080293
P,E,1735660080486
R,E,1735660080677
P,S,1735660080917
R,S,1735660081062
P,I,1735660081158
R,I,1735660081241
P,D,1735660082134
R,D,1735660082246
P,E,1735660082351
R,E,1735660082512
P,N,1735660082512
R,N,1735660082605
P,T,1735660083590
R,T,1735660083726
P,Key.space,1735660083734
R,Key.space,1735660083838
P,A,1735660083942
R,A,1735660084094
P,N,1735660084118
R,N,1735660084214
P,D,1735660084229
R,D,1735660084382
P,Key.space,1735660084382
R,Key.space,1735660084471
P,T,1735660084542
R,T,1735660084685
P,E,1735660084886
R,E,1735660085006
P,=,1735660085991
P,Key.backspace,1735660085992
R,=,1735660086071
R,Key.backspace,1735660086071
P,Key.backspace,1735660086749
R,Key.backspace,1735660086822
P,H,1735660087792
R,H,1735660087872
P,E,1735660087902
R,E,1735660088039
P,Key.space,1735660088039
R,Key.space,1735660088117
P,V,1735660088485
R,V,1735660088615
P,I,1735660088616
R,I,1735660088687
P,C,1735660088950
R,C,1735660089110
P,E,1735660089214
P,Key.space,1735660089358
R,E,1735660089373
R,Key.space,1735660089426
P,P,1735660089750
R,P,1735660089862
P,R,1735660090092
R,R,1735660090262
P,E,1735660090373
R,E,1735660090533
P,S,1735660090775
R,S,1735660090911
P,I,1735660091085
R,I,1735660091134
P,D,1735660091246
R,D,1735660091366
P,E,1735660091478
P,N,1735660091623
R,E,1735660091645
R,N,1735660091719
P,T,1735660091774
P,Key.space,1735660091886
R,T,1735660091903
R,Key.space,1735660091941
P,A,1735660095118
R,A,1735660095293
P,E,1735660095453
R,E,1735660095622
P,Key.space,1735660096246
R,Key.space,1735660096333
P,Key.backspace,1735660096814
R,Key.backspace,1735660096870
P,Key.backspace,1735660097037
R,Key.backspace,1735660097110
P,R,1735660097501
R,R,1735660097606
P,E,1735660097654
R,E,1735660097813
P,Key.space,1735660097862
R,Key.space,1735660097934
P,A,1735660098149
R,A,1735660098293
P,R,1735660098789
R,R,1735660098893
P,U,1735660099030
R,U,1735660099101
P,G,1735660099229
R,G,1735660099341
P,I,1735660099413
R,I,1735660099502
P,N,1735660099638
R,N,1735660099728
P,G,1735660099768
R,G,1735660099861
P,Key.space,1735660100887
R,Key.space,1735660100957
P,T,1735660106589
R,T,1735660106738
P,O,1735660106738
R,O,1735660106798
P,Key.space,1735660106981
R,Key.space,1735660107045
P,S,1735660107727
P,O,1735660107861
R,S,1735660107887
R,O,1735660107935
P,M,1735660108054
R,M,1735660108134
P,E,1735660108719
R,E,1735660108846
P,Key.space,1735660108863
R,Key.space,1735660108934
P,I,1735660109302
R,I,1735660109366
P,S,1735660109453
R,S,1735660109525
P,S,1735660109610
R,S,1735660109775
P,U,1735660109934
R,U,1735660110021
P,C,1735660111270
R,C,1735660111398
P,Key.backspace,1735660112118
R,Key.backspace,1735660112182
P,E,1735660112263
R,E,1735660112391
P,Key.space,1735660112466
R,Key.space,1735660112509
P,S,1735660115287
R,S,1735660115441
P,O,1735660115481
R,O,1735660115542
P,Key.comma,1735660115759
R,Key.comma,1735660115814
P,Key.space,1735660115959
R,Key.space,1735660116013
P,T,1735660116686
R,T,1735660116822
