Press or Release,Key,Time
P,Key.shift,1735660003184
P,U,1735660003407
R,U,1735660003506
P,S,1735660003951
R,Key.shift,1735660004116
R,S,1735660004143
P,Key.space,1735660004223
R,Key.space,1735660004302
P,v,1735660005031
R,v,1735660005123
P,i,1735660005386
R,i,1735660005455
P,c,1735660005520
R,c,1735660005742
P,e,1735660005743
R,e,1735660005839
P,Key.space,1735660005920
R,Key.space,1735660006000
P,p,1735660006703
R,p,1735660006818
P,r,1735660006862
R,r,1735660007008
P,e,1735660010544
R,e,1735660010655
P,c,1735660011713
R,c,1735660011887
P,i,1735660012127
R,i,1735660012321
P,d,1735660013600
R,d,1735660013791
P,e,1735660013903
R,e,1735660014063
P,n,1735660014127
R,n,1735660014240
P,t,1735660014463
R,t,1735660014575
P,Key.space,1735660014719
R,Key.space,1735660014800
P,Key.space,1735660019713
R,Key.space,1735660019855
P,e,1735660020062
R,e,1735660020206
P,x,1735660020915
R,x,1735660021054
P,p,1735660021407
R,p,1735660021487
P,l,1735660021646
R,l,1735660021743
P,a,1735660021761
R,a,1735660021903
P,i,1735660021998
R,i,1735660022111
P,n,1735660022193
R,n,1735660022305
P,g,1735660022514
R,g,1735660022590
P,Key.space,1735660022798
R,Key.space,1735660022864
P,Key.backspace,1735660023903
R,Key.backspace,1735660024015
P,Key.backspace,1735660024112
R,Key.backspace,1735660024223
P,i,1735660025394
R,i,1735660025503
P,n,1735660025582
R,n,1735660025695
P,g,1735660025857
R,g,1735660025934
P,Key.space,1735660026095
R,Key.space,1735660026198
P,v,1735660027247
R,v,1735660027342
P,e,1735660027406
P,r,1735660027536
R,e,1735660027568
R,r,1735660027711
P,y,1735660028101
R,y,1735660028195
P,Key.space,1735660028366
R,Key.space,1735660028462
P,c,1735660028592
R,c,1735660028751
P,a,1735660028799
R,a,1735660028929
P,l,1735660029730
R,l,1735660029808
P,m,1735660030040
R,m,1735660030127
P,Key.space,1735660030416
R,Key.space,1735660030500
P,w,1735660040143
R,w,1735660040288
P,h,1735660040367
P,a,1735660040432
R,h,1735660040463
R,a,1735660040591
P,t,1735660040623
R,t,1735660040705
P,Key.space,1735660040863
R,Key.space,1735660040961
P,a,1735660041040
R,a,1735660041216
P,r,1735660041279
R,r,1735660041440
P,e,1735660041441
R,e,1735660041583
P,Key.space,1735660041615
R,Key.space,1735660041696
P,t,1735660042303
R,t,1735660042367
P,h,1735660042495
R,h,1735660042576
P,e,1735660042640
P,Key.space,1735660042735
R,e,1735660042767
R,Key.space,1735660042768
P,m,1735660043919
R,m,1735660043999
P,i,1735660044143
R,i,1735660044257
P,s,1735660044271
R,s,1735660044415
P,t,1735660045551
R,t,1735660045648
P,a,1735660045664
R,a,1735660045807
P,k,1735660045855
P,e,1735660045904
R,k,1735660045951
R,e,1735660046031
P,s,1735660046144
R,s,1735660046271
P,Key.space,1735660046303
R,Key.space,1735660046400
P,d,1735660047488
R,d,1735660047696
P,o,1735660047696
R,o,1735660047792
P,n,1735660047935
R,n,1735660048033
P,e,1735660048128
R,e,1735660048257
P,Key.space,1735660048272
R,Key.space,1735660048353
P,b,1735660050239
R,b,1735660050336
P,y,1735660050671
R,y,1735660050752
P,Key.space,1735660050960
R,Key.space,1735660051055
P,u,1735660051792
R,u,1735660051888
P,k,1735660052047
R,k,1735660052159
P,r,1735660052257
R,r,1735660052416
P,a,1735660052481
R,a,1735660052656
P,i,1735660054080
R,i,1735660054191
P,n,1735660054256
R,n,1735660054367
P,e,1735660054416
R,e,1735660054528
P,Key.space,1735660054592
R,Key.space,1735660054655
P,b,1735660060624
R,b,1735660060703
P,u,1735660060946
R,u,1735660061023
P,t,1735660061423
R,t,1735660061503
P,Key.space,1735660061678
R,Key.space,1735660061775
P,Key.ctrl,1735660065602
P,g,1735660065904
P,z,1735660074544
R,z,1735660074767
P,e,1735660075697
R,e,1735660075872
P,l,1735660077569
R,l,1735660077680
P,e,1735660077760
R,e,1735660077904
P,n,1735660077936
R,n,1735660078047
P,s,1735660078866
R,s,1735660079012
P,k,1735660080176
R,k,1735660080289
P,y,1735660080496
R,y,1735660080592
P,Key.space,1735660080784
R,Key.space,1735660080880
P,o,1735660082257
R,o,1735660082353
P,v,1735660082818
R,v,1735660082927
P,a,1735660083136
R,a,1735660083328
P,l,1735660083424
R,l,1735660083536
P,Key.space,1735660083664
R,Key.space,1735660083775
P,w,1735660085425
R,w,1735660085569
P,o,1735660085762
R,o,1735660085871
P,n,1735660086176
R,n,1735660086274
P,t,1735660086480
R,t,1735660086562
P,Key.space,1735660086720
R,Key.space,1735660086816
P,a,1735660087040
R,a,1735660087215
P,c,1735660087375
R,c,1735660087487
P,c,1735660087599
R,c,1735660087728
P,e,1735660088671
R,e,1735660088833
P,p,1735660089665
R,p,1735660089794
P,Key.space,1735660090528
R,Key.space,1735660090703
P,Key.backspace,1735660091155
R,Key.backspace,1735660091297
P,t,1735660091648
R,t,1735660091729
P,Key.space,1735660091889
R,Key.space,1735660091984
P,t,1735660093119
R,t,1735660093217
P,h,1735660093311
P,e,1735660093344
R,h,1735660093410
R,e,1735660093505
P,Key.space,1735660093536
R,Key.space,1735660093615
P,p,1735660094767
