Press or Release,Key,Time
P,Key.shift,1735660014324
R,Key.shift,1735660014581
P,u,1735660014637
R,u,1735660014761
P,n,1735660014950
R,n,1735660015070
P,b,1735660015398
R,b,1735660015509
P,e,1735660015658
R,e,1735660015814
P,l,1735660015948
R,l,1735660016074
P,i,1735660016230
R,i,1735660016339
P,e,1735660017230
R,e,1735660017404
P,v,1735660017539
R,v,1735660017679
P,a,1735660017719
R,a,1735660017907
P,b,1735660018354
R,b,1735660018463
P,l,1735660018647
R,l,1735660018767
P,e,1735660018777
R,e,1735660018943
P,Key.space,1735660018965
R,Key.space,1735660019084
P,r,1735660019839
R,r,1735660019970
P,a,1735660020650
R,a,1735660020795
P,w,1735660020898
R,w,1735660021071
P,Key.space,1735660021144
R,Key.space,1735660021267
P,m,1735660021526
R,m,1735660021662
P,o,1735660021809
R,o,1735660021919
P,m,1735660022070
R,m,1735660022185
P,e,1735660022286
R,e,1735660022443
P,t,1735660022744
R,t,1735660022844
P,Key.backspace,1735660023900
R,Key.backspace,1735660024001
P,n,1735660024353
R,n,1735660024462
P,t,1735660024635
R,t,1735660024720
P,Key.comma,1735660035356
R,Key.comma,1735660035482
P,Key.space,1735660035624
R,Key.space,1735660035746
P,Key.shift,1735660036174
R,Key.shift,1735660036411
P,w,1735660036432
R,w,1735660036537
P,i,1735660037116
R,i,1735660037213
P,l,1735660037472
R,l,1735660037580
P,l,1735660037681
R,l,1735660037773
P,Key.space,1735660037920
R,Key.space,1735660038048
P,Key.shift,1735660038539
R,Key.shift,1735660038814
P,s,1735660038814
R,s,1735660038990
P,m,1735660039040
R,m,1735660039158
P,i,1735660039305
R,i,1735660039399
P,t,1735660039588
R,t,1735660039685
P,h,1735660039797
R,h,1735660039891
P,Key.space,1735660040028
R,Key.space,1735660040118
P,r,1735660040306
R,r,1735660040406
P,e,1735660040507
R,e,1735660040581
P,a,1735660040629
R,a,1735660040752
P,c,1735660040782
R,c,1735660040891
P,t,1735660041068
R,t,1735660041138
P,i,1735660041541
R,i,1735660041643
P,o,1735660041748
R,o,1735660041842
P,n,1735660041988
R,n,1735660042078
P,Key.space,1735660042219
R,Key.space,1735660042311
P,o,1735660042533
R,o,1735660042636
P,n,1735660042795
R,n,1735660042883
P,Key.space,1735660042970
R,Key.space,1735660043078
P,s,1735660043239
R,s,1735660043400
P,t,1735660043400
R,t,1735660043503
P,a,1735660043514
R,a,1735660043713
P,g,1735660043748
R,g,1735660043838
P,e,1735660043960
P,Key.space,1735660044031
R,e,1735660044143
R,Key.space,1735660044149
P,Key.space,1735660050891
R,Key.space,1735660051022
P,i,1735660051353
R,i,1735660051459
P,s,1735660051557
P,Key.space,1735660051671
R,s,1735660051701
R,Key.space,1735660051782
P,j,1735660052010
R,j,1735660052123
P,a,1735660052148
R,a,1735660052288
P,w,1735660052418
R,w,1735660052592
P,Key.space,1735660052640
R,Key.space,1735660052749
P,d,1735660052977
R,d,1735660053157
P,r,1735660053386
R,r,1735660053568
P,o,1735660053739
R,o,1735660053847
P,p,1735660053956
R,p,1735660054062
P,p,1735660054127
R,p,1735660054233
P,i,1735660054356
R,i,1735660054453
P,n,1735660054558
R,n,1735660054680
P,g,1735660054779
R,g,1735660054873
P,Key.space,1735660055012
R,Key.space,1735660055123
P,a,1735660060284
R,a,1735660060454
P,n,1735660060499
R,n,1735660060613
P,d,1735660060706
P,Key.space,1735660060806
R,d,1735660060854
R,Key.space,1735660060903
P,c,1735660061080
R,c,1735660061172
P,a,1735660061201
R,a,1735660061379
P,t,1735660061405
R,t,1735660061496
P,c,1735660061607
R,c,1735660061786
P,h,1735660061868
R,h,1735660061977
P,i,1735660062216
R,i,1735660062317
P,n,1735660062444
R,n,1735660062548
P,g,1735660062663
R,g,1735660062766
P,Key.space,1735660062875
R,Key.space,1735660062990
P,s,1735660063468
R,s,1735660063627
P,o,1735660063627
R,o,1735660063743
P,Key.space,1735660063882
R,Key.space,1735660063990
P,m,1735660064139
R,m,1735660064263
P,u,1735660064428
R,u,1735660064532
P,c,1735660064657
R,c,1735660064812
P,h,1735660064838
R,h,1735660064934
P,Key.space,1735660065056
R,Key.space,1735660065164
P,h,1735660065446
R,h,1735660065519
P,e,1735660065771
R,e,1735660065867
P,a,1735660065922
R,a,1735660066083
P,t,1735660066240
R,t,1735660066326
P,Key.space,1735660066576
R,Key.space,1735660066666
P,.,1735660072447
R,.,1735660072539
P,Key.space,1735660072711
R,Key.space,1735660072802
P,Key.shift,1735660072851
P,A,1735660073135
R,Key.shift,1735660073167
R,A,1735660073238
P,Key.space,1735660073402
R,Key.space,1735660073510
P,s,1735660073881
R,s,1735660074029
P,p,1735660074297
R,p,1735660074448
P,l,1735660074730
R,l,1735660074835
P,i,1735660074957
R,i,1735660075069
P,t,1735660075285
R,t,1735660075381
P,Key.space,1735660075545
R,Key.space,1735660075665
P,s,1735660075883
P,c,1735660076047
R,s,1735660076050
R,c,1735660076149
P,e,1735660076229
R,e,1735660076387
P,Key.backspace,1735660077768
R,Key.backspace,1735660077871
P,Key.backspace,1735660077966
R,Key.backspace,1735660078071
P,e,1735660079154
R,e,1735660079282
P,c,1735660079503
R,c,1735660079686
P,o,1735660079926
R,o,1735660080047
P,n,1735660080220
R,n,1735660080328
P,d,1735660082959
P,Key.space,1735660083090
R,d,1735660083100
R,Key.space,1735660083181
P,t,1735660089418
R,t,1735660089525
P,u,1735660089877
R,u,1735660089981
P,r,1735660090060
R,r,1735660090196
P,n,1735660090206
R,n,1735660090304
P,Key.space,1735660090392
R,Key.space,1735660090479
P,t,1735660090656
R,t,1735660090754
P,h,1735660090871
R,h,1735660090973
P,a,1735660090987
R,a,1735660091159
P,t,1735660091160
R,t,1735660091255
P,Key.space,1735660091399
R,Key.space,1735660091506
P,s,1735660091636
R,s,1735660091785
P,h,1735660092062
R,h,1735660092178
P,o,1735660092371
R,o,1735660092471
P,c,1735660092642
R,c,1735660092797
P,k,1735660092827
R,k,1735660092941
P,e,1735660093110
R,e,1735660093262
P,d,1735660093295
R,d,1735660093398
P,Key.space,1735660102534
R,Key.space,1735660102649
P,Key.shift,1735660102912
R,Key.shift,1735660103111
P,t,1735660103128
R,t,1735660103212
P,h,1735660103313
R,h,1735660103416
P,e,1735660103505
P,Key.space,1735660103602
R,e,1735660103631
R,Key.space,1735660103695
P,w,1735660105084
R,w,1735660105243
P,o,1735660105368
R,o,1735660105488
P,r,1735660105682
R,r,1735660105835
P,l,1735660105898
R,l,1735660106016
P,d,1735660106265
R,d,1735660106430
P,.,1735660106971
R,.,1735660107060
P,Key.space,1735660107200
R,Key.space,1735660107283
P,Key.shift,1735660120154
P,",1735660120381
R,Key.shift,1735660120461
R,",1735660120503
P,Key.shift,1735660126739
P,",1735660126965
R,Key.shift,1735660127040
R,",1735660127119
P,Key.space,1735660145504
R,Key.space,1735660145615
P,Key.shift,1735660146285
P,E,1735660146464
R,Key.shift,1735660146510
R,E,1735660146551
P,v,1735660146911
R,v,1735660147020
P,e,1735660147068
R,e,1735660147207
P,r,1735660147226
R,r,1735660147314
P,y,1735660148155
R,y,1735660148251
P,b,1735660148542
R,b,1735660148677
P,o,1735660148937
R,o,1735660149053
P,d,1735660149209
R,d,1735660149353
P,y,1735660149397
R,y,1735660149503
P,Key.space,1735660149655
R,Key.space,1735660149771
P,s,1735660151074
P,h,1735660151216
R,s,1735660151219
R,h,1735660151320
P,o,1735660151516
R,o,1735660151631
P,c,1735660151772
R,c,1735660151914
P,k,1735660151951
R,k,1735660152064
P,e,1735660152715
R,e,1735660152879
P,d,1735660152891
R,d,1735660153018
P,.,1735660156378
R,.,1735660156539
