Press or Release,Key,Time
P,=,1735660002108
R,=,1735660002171
P,Key.backspace,1735660002209
R,Key.backspace,1735660002213
P,Key.shift,1735660002214
P,D,1735660002220
R,D,1735660002224
R,Key.shift,1735660002224
P,u,1735660002253
R,u,1735660002254
P,r,1735660002269
R,r,1735660002269
P,i,1735660002286
R,i,1735660002287
P,n,1735660002317
R,n,1735660002318
P,g,1735660002347
R,g,1735660002348
P,Key.space,1735660002363
R,Key.space,1735660002364
P,t,1735660002393
R,t,1735660002394
P,h,1735660002409
R,h,1735660002410
P,e,1735660002425
R,e,1735660002426
P,Key.space,1735660002440
R,Key.space,1735660002441
P,9,1735660002456
R,9,1735660002457
P,4,1735660002471
R,4,1735660002472
P,t,1735660002487
R,t,1735660002488
P,h,1735660002503
R,h,1735660002505
P,Key.space,1735660002518
R,Key.space,1735660002519
P,Key.shift,1735660002534
P,A,1735660002535
R,A,1735660002536
R,Key.shift,1735660002536
P,c,1735660002565
R,c,1735660002566
P,a,1735660002580
R,a,1735660002582
P,d,1735660002596
R,d,1735660002597
P,e,1735660002612
R,e,1735660002613
P,m,1735660002627
R,m,1735660002628
P,y,1735660002643
R,y,1735660002643
P,Key.space,1735660002658
R,Key.space,1735660002659
P,Key.shift,1735660002676
P,A,1735660002678
R,A,1735660002680
R,Key.shift,1735660002680
P,w,1735660002705
R,w,1735660002706
P,a,1735660002721
R,a,1735660002722
P,r,1735660002736
R,r,1735660002737
P,d,1735660002752
R,d,1735660002753
P,s,1735660002768
R,s,1735660002769
P,Key.comma,1735660002784
R,Key.comma,1735660002786
P,Key.space,1735660002800
R,Key.space,1735660002800
P,Key.shift,1735660002815
P,W,1735660002816
R,W,1735660002817
R,Key.shift,1735660002818
P,i,1735660002820
R,i,1735660002820
P,l,1735660002845
R,l,1735660002846
P,l,1735660002860
R,l,1735660002861
P,Key.space,1735660002876
R,Key.space,1735660002877
P,Key.shift,1735660002892
P,S,1735660002893
R,S,1735660002894
R,Key.shift,1735660002894
P,m,1735660002907
R,m,1735660002908
P,i,1735660002924
R,i,1735660002925
P,t,1735660002939
R,t,1735660002939
P,h,1735660002954
R,h,1735660002955
P,Key.space,1735660002970
R,Key.space,1735660002971
P,w,1735660002986
R,w,1735660002987
P,a,1735660003004
R,a,1735660003005
P,l,1735660003017
R,l,1735660003018
P,k,1735660003033
R,k,1735660003034
P,e,1735660003048
R,e,1735660003049
P,d,1735660003065
R,d,1735660003066
P,Key.space,1735660003080
R,Key.space,1735660003080
P,o,1735660003095
R,o,1735660003096
P,n,1735660003111
R,n,1735660003112
P,Key.space,1735660003130
R,Key.space,1735660003131
P,s,1735660003143
R,s,1735660003144
P,t,1735660003158
R,t,1735660003159
P,a,1735660003173
R,a,1735660003174
P,g,1735660003189
R,g,1735660003190
P,e,1735660003205
R,e,1735660003207
P,Key.space,1735660003223
R,Key.space,1735660003225
P,a,1735660003237
R,a,1735660003238
P,n,1735660003253
R,n,1735660003254
P,d,1735660003268
R,d,1735660003269
P,Key.space,1735660003284
R,Key.space,1735660003286
P,s,1735660003300
R,s,1735660003300
P,l,1735660003315
R,l,1735660003316
P,a,1735660003331
R,a,1735660003331
P,p,1735660003347
