Press or Release,Key,Time
P,T,1735660004314
R,T,1735660004411
P,H,1735660004539
R,H,1735660004634
P,E,1735660004778
R,E,1735660004939
P,Key.space,1735660005034
R,Key.space,1735660005114
P,O,1735660009851
R,O,1735660009962
P,Key.backspace,1735660010938
R,Key.backspace,1735660011018
P,Key.backspace,1735660011082
R,Key.backspace,1735660011163
P,O,1735660013290
R,O,1735660013389
P,S,1735660013645
R,S,1735660013754
P,C,1735660014255
R,C,1735660014347
P,A,1735660014524
R,A,1735660014618
P,R,1735660014779
R,R,1735660014874
P,Key.space,1735660015130
R,Key.space,1735660015230
P,Key.backspace,1735660017579
R,Key.backspace,1735660017642
P,Key.backspace,1735660017737
R,Key.backspace,1735660017801
P,Key.backspace,1735660017898
R,Key.backspace,1735660017962
P,Key.backspace,1735660018074
R,Key.backspace,1735660018137
P,Key.backspace,1735660018266
R,Key.backspace,1735660018314
P,Key.backspace,1735660018410
R,Key.backspace,1735660018561
P,Key.space,1735660019259
R,Key.space,1735660019404
P,O,1735660019627
R,O,1735660019771
P,S,1735660020010
R,S,1735660020106
P,C,1735660020285
R,C,1735660020394
P,A,1735660020538
R,A,1735660020650
P,R,1735660020810
R,R,1735660020938
P,C,1735660021425
R,C,1735660021530
P,Key.backspace,1735660022970
R,Key.backspace,1735660023033
P,Key.space,1735660023659
R,Key.space,1735660023785
P,C,1735660024410
R,C,1735660024475
P,L,1735660024890
R,L,1735660024987
P,I,1735660025161
R,I,1735660025250
P,P,1735660025354
R,P,1735660025467
P,I,1735660025865
R,I,1735660025961
P,S,1735660026155
R,S,1735660026235
P,Key.space,1735660026447
R,Key.space,1735660026635
P,A,1735660026691
R,A,1735660026761
P,N,1735660027033
R,N,1735660027145
P,Key.space,1735660027260
R,Key.space,1735660027354
P,G,1735660033977
R,G,1735660034105
P,O,1735660034284
R,O,1735660034362
P,O,1735660034409
R,O,1735660034506
P,D,1735660034697
R,D,1735660034825
P,Key.space,1735660035001
R,Key.space,1735660035113
P,S,1735660035271
R,S,1735660035342
P,H,1735660035609
R,H,1735660035721
P,O,1735660035819
R,O,1735660035978
P,W,1735660036300
R,W,1735660036394
P,Key.space,1735660036633
R,Key.space,1735660036761
P,I,1735660036889
R,I,1735660036986
P,S,1735660037178
R,S,1735660037260
P,A,1735660037626
R,A,1735660037722
P,Key.backspace,1735660039081
R,Key.backspace,1735660039147
P,Key.space,1735660039434
R,Key.space,1735660039529
P,A,1735660039817
R,A,1735660039905
P,N,1735660040283
R,N,1735660040394
P,Key.space,1735660040511
R,Key.space,1735660040633
P,G,1735660053769
R,G,1735660053883
P,O,1735660054041
R,O,1735660054137
P,O,1735660054211
R,O,1735660054301
P,D,1735660054410
P,Key.space,1735660054569
R,D,1735660054603
R,Key.space,1735660054651
P,T,1735660054778
R,T,1735660054977
P,H,1735660054989
R,H,1735660055082
P,O,1735660055181
R,O,1735660055305
P,U,1735660055370
R,U,1735660055451
P,F,1735660055625
R,F,1735660055818
P,G,1735660056105
R,G,1735660056202
P,H,1735660056314
R,H,1735660056440
P,T,1735660056794
R,T,1735660056873
P,F,1735660057211
R,F,1735660057353
P,U,1735660057481
R,U,1735660057560
P,L,1735660057818
R,L,1735660057898
P,Key.space,1735660058137
R,Key.space,1735660058281
P,T,1735660058713
R,T,1735660058809
P,H,1735660058986
R,H,1735660059081
P,O,1735660059208
R,O,1735660059339
P,U,1735660059418
R,U,1735660059518
P,G,1735660059769
