Press or Release,Key,Time
P,O,1735660002551
R,O,1735660002639
P,N,1735660002758
R,N,1735660002846
P,Key.space,1735660002923
R,Key.space,1735660003011
P,T,1735660003059
R,T,1735660003202
P,H,1735660003203
R,H,1735660003283
P,E,1735660003339
R,E,1735660003475
P,Key.space,1735660003498
R,Key.space,1735660003570
P,A,1735660005619
R,A,1735660005864
P,W,1735660005898
R,W,1735660006056
P,A,1735660006131
R,A,1735660006457
P,R,1735660006635
R,R,1735660006756
P,E,1735660006787
R,E,1735660006946
P,Key.space,1735660006980
R,Key.space,1735660007035
P,F,1735660007395
R,F,1735660007522
P,U,1735660007626
R,U,1735660007698
P,N,1735660007826
R,N,1735660007915
P,C,1735660008491
R,C,1735660008627
P,T,1735660008747
R,T,1735660008883
P,I,1735660008883
R,I,1735660008939
P,O,1735660010423
R,O,1735660010487
P,N,1735660010627
R,N,1735660010757
P,Key.space,1735660010843
R,Key.space,1735660010895
P,T,1735660018226
P,H,1735660018364
R,T,1735660018395
R,H,1735660018458
P,E,1735660018514
P,Key.space,1735660018626
R,E,1735660018658
R,Key.space,1735660018714
P,A,1735660018795
R,A,1735660018996
P,N,1735660019587
R,N,1735660019658
P,C,1735660019986
R,C,1735660020163
P,H,1735660020163
R,H,1735660020226
P,O,1735660020415
R,O,1735660020490
P,R,1735660020658
P,Key.space,1735660020708
R,Key.space,1735660020778
R,R,1735660020810
P,I,1735660021708
R,I,1735660021834
P,S,1735660021928
R,S,1735660022040
P,Key.space,1735660022065
R,Key.space,1735660022162
P,I,1735660024859
R,I,1735660025003
P,N,1735660025186
R,N,1735660025249
P,S,1735660025395
R,S,1735660025547
P,U,1735660025611
R,U,1735660025658
P,T,1735660027011
R,T,1735660027173
P,Key.space,1735660027250
R,Key.space,1735660027323
P,Key.backspace,1735660028146
R,Key.backspace,1735660028233
P,Key.backspace,1735660028851
R,Key.backspace,1735660028931
P,L,1735660029402
R,L,1735660029474
P,T,1735660029619
P,Key.space,1735660029722
R,T,1735660029746
R,Key.space,1735660029786
P,T,1735660029962
R,T,1735660030084
P,H,1735660030084
R,H,1735660030171
P,E,1735660030267
R,E,1735660030395
P,Key.space,1735660030395
R,Key.space,1735660030451
P,C,1735660031875
R,C,1735660031995
P,E,1735660032122
R,E,1735660032354
P,L,1735660032354
R,L,1735660032403
P,E,1735660032529
R,E,1735660032674
P,B,1735660032860
R,B,1735660032979
P,R,1735660033147
R,R,1735660033331
P,I,1735660034003
R,I,1735660034107
P,T,1735660034218
R,T,1735660034371
P,Y,1735660034731
R,Y,1735660034796
P,',1735660035283
R,',1735660035339
P,S,1735660035451
R,S,1735660035594
P,Key.space,1735660035659
R,Key.space,1735660035715
P,W,1735660039548
R,W,1735660039771
P,I,1735660039874
R,I,1735660039931
P,F,1735660040067
R,F,1735660040195
P,E,1735660040315
R,E,1735660040474
P,Key.space,1735660040499
R,Key.space,1735660040563
P,A,1735660040683
R,A,1735660040827
P,N,1735660041835
R,N,1735660041918
P,D,1735660041990
P,Key.space,1735660042099
R,D,1735660042139
R,Key.space,1735660042179
P,T,1735660042309
P,H,1735660042430
R,T,1735660042475
R,H,1735660042515
P,E,1735660042611
P,Key.space,1735660042723
R,E,1735660042763
R,Key.space,1735660042795
P,C,1735660043675
R,C,1735660043844
P,E,1735660044019
R,E,1735660044194
P,L,1735660044259
R,L,1735660044331
P,E,1735660044435
R,E,1735660044588
P,B,1735660044691
R,B,1735660044827
P,R,1735660044979
R,R,1735660045114
P,I,1735660045267
R,I,1735660045339
P,T,1735660045466
R,T,1735660045586
P,Y,1735660045638
R,Y,1735660045715
P,Key.space,1735660045883
R,Key.space,1735660045972
P,G,1735660046539
R,G,1735660046667
P,E,1735660046754
R,E,1735660046899
P,T,1735660046936
R,T,1735660047067
P,Key.space,1735660047067
R,Key.space,1735660047149
P,A,1735660047764
P,N,1735660047922
R,A,1735660047947
R,N,1735660048027
P,G,1735660048097
R,G,1735660048187
P,R,1735660048403
R,R,1735660048539
P,Y,1735660048685
R,Y,1735660048764
P,Key.space,1735660048907
R,Key.space,1735660048985
P,A,1735660049763
R,A,1735660049939
P,N,1735660049939
R,N,1735660050059
P,D,1735660050124
P,Key.space,1735660050268
R,D,1735660050284
R,Key.space,1735660050339
P,T,1735660050491
R,T,1735660050667
P,H,1735660050709
R,H,1735660050795
P,Key.backspace,1735660051389
R,Key.backspace,1735660051458
P,Key.backspace,1735660051755
R,Key.backspace,1735660051786
P,H,1735660053084
R,H,1735660053196
P,E,1735660053339
R,E,1735660053469
P,Key.space,1735660053493
R,Key.space,1735660053580
P,G,1735660053867
R,G,1735660054010
P,O,1735660054067
R,O,1735660054140
P,I,1735660054283
R,I,1735660054363
P,N,1735660054475
R,N,1735660054590
P,G,1735660054652
R,G,1735660054755
P,Key.space,1735660054782
R,Key.space,1735660054879
P,T,1735660055316
R,T,1735660055469
P,O,1735660055469
R,O,1735660055567
P,Key.space,1735660055690
R,Key.space,1735660055764
P,T,1735660055819
R,T,1735660055952
P,H,1735660055988
R,H,1735660056067
P,E,1735660056131
R,E,1735660056266
P,Key.space,1735660056283
R,Key.space,1735660056359
P,S,1735660057112
R,S,1735660057236
P,T,1735660057317
R,T,1735660057436
P,A,1735660057507
R,A,1735660057666
P,G,1735660058421
R,G,1735660058571
P,E,1735660058683
R,E,1735660058820
P,Key.space,1735660058820
R,Key.space,1735660058907
P,A,1735660059548
R,A,1735660059715
P,N,1735660059740
P,D,1735660059818
R,N,1735660059839
R,D,1735660059963
P,Key.space,1735660059963
R,Key.space,1735660060035
P,S,1735660061347
P,L,1735660061530
R,S,1735660061555
R,L,1735660061596
P,A,1735660061739
R,A,1735660061899
P,P,1735660062099
R,P,1735660062172
P,Key.space,1735660062830
R,Key.space,1735660062899
P,T,1735660064115
R,T,1735660064251
P,H,1735660064332
R,H,1735660064394
P,E,1735660064483
R,E,1735660064626
P,Key.space,1735660064843
R,Key.space,1735660064915
P,A,1735660064995
R,A,1735660065167
P,N,1735660065167
R,N,1735660065226
P,D,1735660065283
R,D,1735660065403
P,Key.space,1735660065403
R,Key.space,1735660065472
P,D,1735660065554
R,D,1735660065669
P,H,1735660066004
R,H,1735660066131
P,E,1735660066218
R,E,1735660066371
P,Key.space,1735660066372
R,Key.space,1735660066428
P,Key.backspace,1735660066974
R,Key.backspace,1735660067023
P,Key.backspace,1735660067110
