Press or Release,Key,Time
P,W,1735660003507
R,W,1735660003595
P,A,1735660003785
R,A,1735660003937
P,T,1735660004112
R,T,1735660004206
P,C,1735660004351
R,C,1735660004456
P,H,1735660004617
R,H,1735660004763
P,Key.space,1735660004886
R,Key.space,1735660004961
P,A,1735660005130
R,A,1735660005280
P,Key.backspace,1735660006402
R,Key.backspace,1735660006482
P,Key.space,1735660007424
R,Key.space,1735660007517
P,T,1735660007690
R,T,1735660007824
P,H,1735660007937
R,H,1735660008008
P,E,1735660008217
R,E,1735660008337
P,Key.space,1735660008522
R,Key.space,1735660008586
P,O,1735660009177
R,O,1735660009257
P,S,1735660010193
R,S,1735660010314
P,C,1735660010386
R,C,1735660010475
P,A,1735660010673
R,A,1735660010785
P,R,1735660011121
R,R,1735660011209
P,Key.space,1735660011545
R,Key.space,1735660011632
P,S,1735660011886
R,S,1735660012003
P,L,1735660012329
R,L,1735660012395
P,A,1735660012593
R,A,1735660012735
P,P,1735660012960
R,P,1735660013164
P,Key.space,1735660013970
R,Key.space,1735660014048
P,I,1735660014289
R,I,1735660014371
P,S,1735660014600
R,S,1735660014706
P,Key.space,1735660014839
R,Key.space,1735660014888
P,A,1735660016435
R,A,1735660016545
P,Key.space,1735660016713
R,Key.space,1735660016785
P,G,1735660017048
R,G,1735660017137
P,O,1735660017331
R,O,1735660017385
P,O,1735660017474
R,O,1735660017562
P,D,1735660017697
R,D,1735660017816
P,Key.space,1735660018028
R,Key.space,1735660018130
P,S,1735660025899
R,S,1735660026001
P,H,1735660026233
R,H,1735660026314
P,O,1735660026563
R,O,1735660026665
P,W,1735660027265
R,W,1735660027330
P,Key.space,1735660028507
R,Key.space,1735660028576
P,I,1735660028857
R,I,1735660028961
P,N,1735660029114
R,N,1735660029184
P,Key.space,1735660029346
R,Key.space,1735660029426
P,E,1735660029577
R,E,1735660029735
P,N,1735660029819
R,N,1735660029906
P,T,1735660030185
R,T,1735660030265
P,I,1735660030521
R,I,1735660030631
P,R,1735660030873
R,R,1735660030937
P,E,1735660031105
R,E,1735660031216
P,Key.space,1735660031346
R,Key.space,1735660031426
P,W,1735660031699
R,W,1735660031817
P,O,1735660031932
R,O,1735660032010
P,R,1735660032217
R,R,1735660032306
P,L,1735660032570
R,L,1735660032650
P,D,1735660032768
R,D,1735660032901
P,.,1735660033489
R,.,1735660033546
P,T,1735660057436
R,T,1735660057515
P,H,1735660057729
R,H,1735660058032
P,E,1735660058212
R,E,1735660058324
P,Key.space,1735660058448
R,Key.space,1735660058920
P,S,1735660058923
R,S,1735660058950
P,H,1735660058950
R,H,1735660058996
P,O,1735660059081
R,O,1735660059250
P,W,1735660059441
R,W,1735660059546
P,Key.space,1735660059811
R,Key.space,1735660059851
P,I,1735660060411
R,I,1735660060485
P,S,1735660060609
R,S,1735660060722
P,Key.space,1735660061020
R,Key.space,1735660061022
P,V,1735660067385
R,V,1735660067477
P,E,1735660067618
R,E,1735660067745
