Press or Release,Key,Time
P,t,1735660016595
R,t,1735660016665
P,h,1735660016825
R,h,1735660016908
P,i,1735660017032
R,i,1735660017091
P,s,1735660017444
R,s,1735660017522
P,Key.space,1735660018629
R,Key.space,1735660018701
P,i,1735660019161
R,i,1735660019235
P,s,1735660020271
R,s,1735660020329
P,Key.space,1735660020906
R,Key.space,1735660020945
P,v,1735660038249
R,v,1735660038339
P,e,1735660038513
R,e,1735660038564
P,r,1735660038669
R,r,1735660038744
P,y,1735660038876
R,y,1735660038944
P,Key.space,1735660047019
R,Key.space,1735660047127
P,c,1735660047686
R,c,1735660047763
P,u,1735660048078
R,u,1735660048138
P,r,1735660048310
R,r,1735660048372
P,i,1735660048655
R,i,1735660048709
P,o,1735660048845
R,o,1735660048914
P,u,1735660049569
R,u,1735660049628
P,s,1735660049832
R,s,1735660049898
P,Key.space,1735660050023
R,Key.space,1735660050094
P,s,1735660050250
R,s,1735660050314
P,i,1735660050692
R,i,1735660050750
P,t,1735660050910
R,t,1735660050975
P,u,1735660051240
R,u,1735660051300
P,a,1735660051508
R,a,1735660051576
P,t,1735660051794
R,t,1735660051858
P,i,1735660052112
R,i,1735660052175
P,o,1735660052297
R,o,1735660052356
P,n,1735660052517
R,n,1735660052584
P,Key.space,1735660052718
R,Key.space,1735660052775
P,b,1735660053003
R,b,1735660053068
P,e,1735660053332
R,e,1735660053405
P,t,1735660053696
R,t,1735660053762
P,w,1735660053952
R,w,1735660054014
P,e,1735660054320
R,e,1735660054377
P,e,1735660054449
R,e,1735660054508
P,n,1735660054886
R,n,1735660054944
P,Key.space,1735660055057
R,Key.space,1735660055126
P,t,1735660055298
R,t,1735660055360
P,h,1735660055476
R,h,1735660055549
P,e,1735660055718
R,e,1735660055778
P,Key.space,1735660055921
R,Key.space,1735660055979
P,s,1735660056134
P,t,1735660056281
R,s,1735660056293
R,t,1735660056340
P,u,1735660056618
R,u,1735660056685
P,d,1735660056882
R,d,1735660056950
P,e,1735660057060
R,e,1735660057118
P,n,1735660057539
R,n,1735660057617
P,t,1735660057836
R,t,1735660057896
P,s,1735660058055
R,s,1735660058130
P,Key.space,1735660058253
R,Key.space,1735660058316
P,a,1735660058483
P,n,1735660058560
R,a,1735660058597
R,n,1735660058628
P,d,1735660058850
R,d,1735660058918
P,Key.space,1735660059039
R,Key.space,1735660059123
P,t,1735660059288
R,t,1735660059346
P,e,1735660059484
R,e,1735660059547
P,a,1735660059687
R,a,1735660059781
P,c,1735660060033
R,c,1735660060094
P,h,1735660060286
R,h,1735660060352
P,e,1735660060569
R,e,1735660060631
P,r,1735660060742
R,r,1735660060808
P,Key.space,1735660061462
R,Key.space,1735660061530
P,i,1735660061841
R,i,1735660061907
P,n,1735660062058
R,n,1735660062121
P,Key.space,1735660062221
R,Key.space,1735660062292
P,t,1735660062592
R,t,1735660062658
P,w,1735660062825
R,w,1735660062960
P,o,1735660063114
R,o,1735660063182
P,Key.space,1735660063327
R,Key.space,1735660063403
P,d,1735660063741
R,d,1735660063807
P,i,1735660064513
R,i,1735660064578
P,f,1735660064895
R,f,1735660064967
P,f,1735660065034
R,f,1735660065102
P,e,1735660065235
R,e,1735660065293
P,r,1735660066852
R,r,1735660066915
P,e,1735660067037
R,e,1735660067091
P,n,1735660067502
R,n,1735660067569
P,t,1735660067731
R,t,1735660067790
P,Key.space,1735660067932
R,Key.space,1735660068006
P,r,1735660069183
R,r,1735660069249
P,a,1735660069406
R,a,1735660069517
P,c,1735660069526
R,c,1735660069595
P,e,1735660069798
R,e,1735660069857
P,Key.space,1735660070242
R,Key.space,1735660070291
P,b,1735660070444
R,b,1735660070514
P,u,1735660070864
R,u,1735660070928
P,t,1735660071153
R,t,1735660071218
P,Key.space,1735660071379
R,Key.space,1735660071431
P,n,1735660071577
R,n,1735660071643
P,o,1735660071794
R,o,1735660071859
P,w,1735660072204
R,w,1735660072261
P,Key.space,1735660072437
R,Key.space,1735660072494
P,a,1735660072653
R,a,1735660072751
P,Key.space,1735660072890
R,Key.space,1735660072951
P,d,1735660073840
R,d,1735660073906
P,a,1735660074112
R,a,1735660074231
P,y,1735660074362
R,y,1735660074433
P,s,1735660074620
R,s,1735660074691
P,Key.space,1735660074840
R,Key.space,1735660074890
P,a,1735660075276
R,a,1735660075384
P,l,1735660075566
R,l,1735660075640
P,l,1735660075711
R,l,1735660075781
P,Key.space,1735660075928
R,Key.space,1735660075994
P,o,1735660076313
R,o,1735660076382
P,f,1735660076737
R,f,1735660076798
P,Key.space,1735660076916
R,Key.space,1735660076985
P,t,1735660077121
R,t,1735660077180
P,h,1735660077305
R,h,1735660077381
P,e,1735660077513
R,e,1735660077615
P,m,1735660077727
R,m,1735660077785
P,Key.space,1735660077900
R,Key.space,1735660077970
P,f,1735660078269
R,f,1735660078337
P,e,1735660078530
R,e,1735660078593
P,e,1735660078676
R,e,1735660078743
P,l,1735660079061
R,l,1735660079126
P,Key.space,1735660079286
R,Key.space,1735660079355
P,a,1735660079546
R,a,1735660079667
P,s,1735660079754
R,s,1735660079821
P,Key.space,1735660079957
R,Key.space,1735660080052
P,e,1735660080208
R,e,1735660080274
P,q,1735660081514
R,q,1735660081626
P,u,1735660081843
R,u,1735660081915
P,a,1735660082063
R,a,1735660082179
P,l,1735660082314
R,l,1735660082390
P,l,1735660082458
R,l,1735660082545
P,y,1735660082749
R,y,1735660082813
P,Key.space,1735660083643
R,Key.space,1735660083699
P,i,1735660083939
R,i,1735660083995
P,n,1735660084158
R,n,1735660084218
P,Key.space,1735660084333
R,Key.space,1735660084392
P,o,1735660084577
R,o,1735660084625
P,u,1735660085083
R,u,1735660085142
P,r,1735660085386
R,r,1735660085440
P,Key.space,1735660085608
R,Key.space,1735660085673
P,c,1735660086094
R,c,1735660086148
P,o,1735660086430
R,o,1735660086497
P,u,1735660086658
R,u,1735660086716
P,n,1735660086890
R,n,1735660087005
P,t,1735660087462
R,t,1735660087519
P,r,1735660087645
R,r,1735660087712
P,y,1735660087876
R,y,1735660087953
P,.,1735660088940
R,.,1735660088951
P,Key.space,1735660095417
R,Key.space,1735660095482
P,t,1735660095633
R,t,1735660095695
P,h,1735660095816
R,h,1735660095887
P,i,1735660096044
R,i,1735660096113
P,s,1735660096223
P,Key.space,1735660096341
R,s,1735660096353
R,Key.space,1735660096397
P,i,1735660096575
R,i,1735660096642
P,s,1735660096991
R,s,1735660097056
P,Key.space,1735660097180
R,Key.space,1735660097245
P,o,1735660097448
R,o,1735660097508
P,n,1735660097679
R,n,1735660097740
P,e,1735660098012
R,e,1735660098086
P,Key.space,1735660098251
R,Key.space,1735660098317
P,o,1735660098572
R,o,1735660098639
P,f,1735660098855
R,f,1735660098921
P,Key.space,1735660099044
R,Key.space,1735660099094
P,t,1735660099230
R,t,1735660099286
P,h,1735660099409
R,h,1735660099485
P,e,1735660099631
R,e,1735660099699
P,Key.space,1735660099842
R,Key.space,1735660099924
P,e,1735660100237
R,e,1735660100301
P,x,1735660100434
R,x,1735660100503
P,a,1735660100746
R,a,1735660100887
P,m,1735660101123
R,m,1735660101187
P,p,1735660102441
R,p,1735660102497
P,l,1735660102608
R,l,1735660102689
P,e,1735660102955
R,e,1735660103002
