Press or Release,Key,Time
P,t,1735660066848
R,t,1735660066976
P,h,1735660067060
R,h,1735660067144
P,i,1735660067288
R,i,1735660067400
P,s,1735660067919
R,s,1735660068064
P,Key.space,1735660068160
R,Key.space,1735660068264
P,d,1735660068448
R,d,1735660068577
P,i,1735660068769
R,i,1735660068863
P,s,1735660069000
R,s,1735660069120
P,c,1735660069673
R,c,1735660069808
P,r,1735660070477
R,r,1735660070585
P,i,1735660070791
R,i,1735660070882
P,u,1735660071037
R,u,1735660071122
P,m,1735660071343
R,m,1735660071424
P,m,1735660071520
R,m,1735660071616
P,s,1735660071739
R,s,1735660071871
P,Key.space,1735660071955
R,Key.space,1735660072034
P,h,1735660073848
R,h,1735660073928
P,i,1735660074298
R,i,1735660074391
P,g,1735660074497
R,g,1735660074632
P,h,1735660074705
R,h,1735660074776
P,l,1735660075264
R,l,1735660075359
P,i,1735660075521
R,i,1735660075601
P,g,1735660075784
R,g,1735660075920
P,h,1735660075953
R,h,1735660076024
P,t,1735660076152
R,t,1735660076264
P,Key.space,1735660076449
R,Key.space,1735660076528
P,t,1735660078681
R,t,1735660078809
P,h,1735660079123
R,h,1735660079224
P,e,1735660079344
R,e,1735660079481
P,Key.space,1735660079592
R,Key.space,1735660079664
P,o,1735660080065
R,o,1735660080144
P,n,1735660080416
R,n,1735660080505
P,g,1735660081689
R,g,1735660081808
P,o,1735660081888
R,o,1735660081979
P,i,1735660082144
R,i,1735660082240
P,n,1735660082424
R,n,1735660082528
P,g,1735660082698
R,g,1735660082824
P,Key.space,1735660082920
R,Key.space,1735660083000
P,r,1735660087000
R,r,1735660087104
P,e,1735660087195
R,e,1735660087305
P,l,1735660087625
R,l,1735660087729
P,a,1735660087865
R,a,1735660088048
P,t,1735660088521
R,t,1735660088664
P,i,1735660088816
R,i,1735660088896
P,o,1735660089065
R,o,1735660089146
P,n,1735660089497
R,n,1735660089576
P,s,1735660089785
R,s,1735660089960
P,Key.backspace,1735660090928
R,Key.backspace,1735660091025
P,n,1735660091585
R,n,1735660091664
P,s,1735660092225
R,s,1735660092384
P,h,1735660092504
R,h,1735660092586
P,i,1735660092809
R,i,1735660092880
P,p,1735660093312
R,p,1735660093393
P,s,1735660093546
R,s,1735660093699
P,Key.space,1735660093800
R,Key.space,1735660093872
P,a,1735660096912
R,a,1735660097096
P,n,1735660097114
R,n,1735660097208
P,d,1735660097457
R,d,1735660097577
P,Key.space,1735660097681
R,Key.space,1735660097768
P,k,1735660098224
R,k,1735660098314
P,e,1735660098498
R,e,1735660098658
P,y,1735660098674
R,y,1735660098763
P,Key.space,1735660099004
R,Key.space,1735660099073
P,i,1735660102945
R,i,1735660103073
P,s,1735660103305
R,s,1735660103425
P,s,1735660103507
R,s,1735660103648
P,u,1735660103769
R,u,1735660103848
P,e,1735660104033
R,e,1735660104161
P,s,1735660104305
R,s,1735660104400
P,s,1735660104504
R,s,1735660104616
P,Key.space,1735660104785
R,Key.space,1735660104872
P,f,1735660108738
R,f,1735660108857
P,a,1735660109079
R,a,1735660109217
P,c,1735660109608
R,c,1735660109792
P,i,1735660109899
R,i,1735660109996
P,n,1735660110153
R,n,1735660110241
P,g,1735660110384
R,g,1735660110521
P,Key.space,1735660110563
R,Key.space,1735660110658
P,o,1735660112881
R,o,1735660112961
P,u,1735660113185
R,u,1735660113257
P,r,1735660113409
R,r,1735660113524
P,Key.space,1735660113642
R,Key.space,1735660113748
P,n,1735660116529
R,n,1735660116633
P,a,1735660116746
R,a,1735660116889
P,t,1735660118054
R,t,1735660118185
P,i,1735660118297
R,i,1735660118385
P,o,1735660118513
R,o,1735660118617
P,n,1735660118849
R,n,1735660118937
P,s,1735660119105
R,s,1735660119282
P,Key.space,1735660119377
R,Key.space,1735660119476
P,t,1735660121232
