Press or Release,Key,Time
P,T,1735660003261
R,T,1735660003328
P,R,1735660003561
R,R,1735660003679
P,U,1735660003909
R,U,1735660003974
P,M,1735660004196
R,M,1735660004254
P,P,1735660004431
R,P,1735660004493
P,Key.space,1735660004780
R,Key.space,1735660004853
P,M,1735660005021
R,M,1735660005100
P,A,1735660005253
R,A,1735660005390
P,E,1735660005957
R,E,1735660006045
P,E,1735660006177
R,E,1735660006221
P,T,1735660006365
R,T,1735660006469
P,I,1735660006629
R,I,1735660006693
P,N,1735660006820
R,N,1735660006908
P,G,1735660007404
R,G,1735660007510
P,Key.space,1735660007653
R,Key.space,1735660007741
P,H,1735660008012
R,H,1735660008064
P,A,1735660008174
R,A,1735660008301
P,S,1735660008468
R,S,1735660008580
P,Key.space,1735660008724
R,Key.space,1735660008804
P,J,1735660009229
R,J,1735660009340
P,O,1735660009532
R,O,1735660009676
P,I,1735660010117
R,I,1735660010204
P,N,1735660010471
R,N,1735660010586
P,E,1735660010765
R,E,1735660010870
P,D,1735660011020
R,D,1735660011158
P,Key.space,1735660011460
R,Key.space,1735660011472
P,O,1735660011488
R,O,1735660011649
P,N,1735660011705
R,N,1735660011783
P,Key.space,1735660011932
R,Key.space,1735660012000
P,A,1735660012085
R,A,1735660012214
P,Key.space,1735660012300
R,Key.space,1735660012349
P,V,1735660013639
R,V,1735660013709
P,A,1735660013861
R,A,1735660013996
P,N,1735660014076
R,N,1735660014172
P,S,1735660014264
R,S,1735660014365
P,E,1735660014484
R,E,1735660014596
P,Key.space,1735660014765
R,Key.space,1735660014828
P,A,1735660014944
R,A,1735660015076
P,N,1735660015189
R,N,1735660015281
P,D,1735660015438
R,D,1735660015556
P,Key.space,1735660015669
R,Key.space,1735660015764
P,Z,1735660016076
R,Z,1735660016211
P,E,1735660016380
R,E,1735660016460
P,E,1735660016558
R,E,1735660016640
P,L,1735660016852
R,L,1735660016924
P,A,1735660017046
R,A,1735660017188
P,N,1735660017477
R,N,1735660017524
P,X,1735660017716
R,X,1735660017852
P,Y,1735660018068
R,Y,1735660018158
P,Key.space,1735660018516
R,Key.space,1735660018580
P,W,1735660019495
R,W,1735660019636
P,H,1735660019792
R,H,1735660019876
P,I,1735660020052
R,I,1735660020092
P,L,1735660020252
R,L,1735660020332
P,E,1735660020477
R,E,1735660020587
P,Key.space,1735660020750
R,Key.space,1735660020804
P,T,1735660021063
R,T,1735660021157
P,O,1735660021340
R,O,1735660021412
P,Key.space,1735660021660
R,Key.space,1735660021716
P,D,1735660021945
R,D,1735660022052
P,I,1735660022285
R,I,1735660022341
P,S,1735660022460
R,S,1735660022589
P,C,1735660022772
R,C,1735660022847
P,U,1735660023015
R,U,1735660023077
P,S,1735660023204
R,S,1735660023292
P,S,1735660023373
R,S,1735660023477
P,Key.space,1735660023655
R,Key.space,1735660023723
P,O,1735660024116
R,O,1735660024190
P,N,1735660024356
R,N,1735660024396
P,Key.space,1735660024567
R,Key.space,1735660024630
P,P,1735660024861
R,P,1735660024950
P,O,1735660025046
R,O,1735660025099
P,L,1735660025294
R,L,1735660025389
P,O,1735660025535
R,O,1735660025603
P,I,1735660026275
R,I,1735660026356
P,Y,1735660026644
R,Y,1735660026724
P,I,1735660026903
R,I,1735660026984
P,V,1735660027174
R,V,1735660027260
P,A,1735660027446
R,A,1735660027582
P,Key.backspace,1735660027899
R,Key.backspace,1735660027965
P,Key.backspace,1735660028044
R,Key.backspace,1735660028100
P,Key.backspace,1735660029462
R,Key.backspace,1735660029516
P,Key.backspace,1735660029667
R,Key.backspace,1735660029733
P,Key.backspace,1735660030555
R,Key.backspace,1735660030628
P,Key.backspace,1735660032653
R,Key.backspace,1735660032699
P,I,1735660033011
R,I,1735660033068
P,T,1735660033309
R,T,1735660033380
P,I,1735660033534
R,I,1735660033644
P,C,1735660033900
R,C,1735660033972
P,A,1735660034124
R,A,1735660034262
P,L,1735660034403
R,L,1735660034476
P,Key.space,1735660034643
R,Key.space,1735660034708
P,T,1735660035196
R,T,1735660035260
P,H,1735660035412
R,H,1735660035493
P,O,1735660035684
R,O,1735660035772
P,U,1735660035935
R,U,1735660036005
P,G,1735660038707
R,G,1735660038762
P,H,1735660038900
R,H,1735660038947
P,T,1735660039108
R,T,1735660039158
P,S,1735660040100
R,S,1735660040236
P,Key.space,1735660040420
R,Key.space,1735660040499
P,T,1735660040781
R,T,1735660040867
P,O,1735660041092
R,O,1735660041171
P,Key.space,1735660041363
R,Key.space,1735660041443
P,C,1735660041604
R,C,1735660041723
P,O,1735660041948
R,O,1735660042028
P,N,1735660042220
R,N,1735660042292
P,V,1735660042701
R,V,1735660042795
P,E,1735660042915
R,E,1735660043020
P,Y,1735660043228
R,Y,1735660043292
P,Key.space,1735660043496
R,Key.space,1735660043549
P,O,1735660043756
R,O,1735660043814
P,N,1735660043973
R,N,1735660044030
P,Key.space,1735660044182
R,Key.space,1735660044236
P,A,1735660044356
R,A,1735660044475
P,Key.space,1735660044567
R,Key.space,1735660044620
P,G,1735660046715
R,G,1735660046780
P,O,1735660046973
R,O,1735660047061
P,V,1735660047303
R,V,1735660047396
P,E,1735660047667
R,E,1735660047764
P,R,1735660047916
R,R,1735660048019
P,N,1735660048444
R,N,1735660048483
P,M,1735660048636
R,M,1735660048707
P,E,1735660048932
R,E,1735660049079
P,N,1735660049131
R,N,1735660049181
P,T,1735660049332
R,T,1735660049456
P,Key.space,1735660049541
R,Key.space,1735660049603
P,R,1735660049844
R,R,1735660049947
P,U,1735660050331
R,U,1735660050396
P,L,1735660050628
R,L,1735660050699
P,E,1735660050828
R,E,1735660050952
P,S,1735660051172
R,S,1735660051309
P,.,1735660051524
R,.,1735660051587
P,Key.space,1735660051755
R,Key.space,1735660051813
P,Key.space,1735660051899
R,Key.space,1735660051964
P,T,1735660052092
R,T,1735660052200
P,H,1735660052324
R,H,1735660052388
P,E,1735660052499
R,E,1735660052628
P,Key.space,1735660052701
R,Key.space,1735660052779
P,T,1735660053043
R,T,1735660053149
P,R,1735660053275
R,R,1735660053387
P,U,1735660053584
R,U,1735660053644
P,M,1735660053932
R,M,1735660054003
P,P,1735660054189
R,P,1735660054260
P,Key.space,1735660054475
R,Key.space,1735660054556
P,I,1735660054828
R,I,1735660054896
P,S,1735660055116
R,S,1735660055299
P,Key.space,1735660055423
R,Key.space,1735660055492
P,A,1735660055635
R,A,1735660055763
P,N,1735660055864
R,N,1735660055913
P,Key.space,1735660056051
R,Key.space,1735660056116
P,A,1735660059116
R,A,1735660059196
P,C,1735660059846
R,C,1735660059948
P,C,1735660060056
R,C,1735660060148
P,U,1735660060462
R,U,1735660060548
P,E,1735660060979
R,E,1735660061075
P,D,1735660061202
R,D,1735660061328
P,Key.space,1735660061459
R,Key.space,1735660061562
P,O,1735660061723
R,O,1735660061811
P,N,1735660061972
R,N,1735660062059
P,Key.space,1735660062172
R,Key.space,1735660062283
P,A,1735660062395
R,A,1735660062507
P,Key.space,1735660062619
R,Key.space,1735660062722
P,M,1735660064229
R,M,1735660064300
P,A,1735660064579
R,A,1735660064690
P,N,1735660064798
R,N,1735660064849
P,G,1735660065139
R,G,1735660065223
P,E,1735660065387
R,E,1735660065499
P,Key.space,1735660066164
R,Key.space,1735660066283
P,T,1735660066364
R,T,1735660066515
P,O,1735660066619
R,O,1735660066683
P,Key.space,1735660066891
R,Key.space,1735660067011
P,S,1735660067258
R,S,1735660067387
P,O,1735660067674
R,O,1735660067786
P,U,1735660067957
R,U,1735660068051
P,R,1735660068355
R,R,1735660068414
P,C,1735660068677
R,C,1735660068747
P,E,1735660068916
R,E,1735660069003
P,F,1735660069262
R,F,1735660069339
P,U,1735660069589
R,U,1735660069648
P,L,1735660069907
R,L,1735660069987
P,Key.space,1735660070219
R,Key.space,1735660070274
P,I,1735660070454
R,I,1735660070524
P,S,1735660070854
R,S,1735660070979
P,Key.space,1735660071043
R,Key.space,1735660071131
P,A,1735660071285
R,A,1735660071455
P,N,1735660071497
R,N,1735660071554
P,Key.space,1735660071724
R,Key.space,1735660071771
P,C,1735660075578
R,C,1735660075661
P,O,1735660075899
R,O,1735660075976
P,L,1735660076123
R,L,1735660076204
P,L,1735660076307
R,L,1735660076354
P,E,1735660076474
R,E,1735660076602
P,C,1735660076886
R,C,1735660076996
P,T,1735660077125
R,T,1735660077205
P,Key.space,1735660077371
R,Key.space,1735660077483
P,O,1735660077698
R,O,1735660077794
P,N,1735660077962
R,N,1735660078042
P,Key.space,1735660078154
R,Key.space,1735660078259
P,A,1735660078411
R,A,1735660078567
P,Key.space,1735660078653
R,Key.space,1735660078723
P,Key.backspace,1735660079619
R,Key.backspace,1735660079668
P,G,1735660080120
R,G,1735660080179
P,O,1735660080363
R,O,1735660080443
P,O,1735660080515
R,O,1735660080587
P,D,1735660080714
R,D,1735660080883
P,Key.space,1735660080931
R,Key.space,1735660081043
P,T,1735660081243
R,T,1735660081340
P,H,1735660081490
R,H,1735660081595
P,O,1735660081731
R,O,1735660081851
P,U,1735660081956
R,U,1735660082011
P,G,1735660082251
R,G,1735660082355
P,H,1735660082467
R,H,1735660082522
P,T,1735660082675
R,T,1735660082698
P,S,1735660082907
R,S,1735660083002
P,.,1735660083235
R,.,1735660083299
