Press or Release,Key,Time
P,Key.shift,1735660002587
P,T,1735660002955
R,Key.shift,1735660003027
R,T,1735660003091
P,h,1735660003123
R,h,1735660003195
P,e,1735660003602
R,e,1735660003755
P,Key.space,1735660003810
R,Key.space,1735660003882
P,o,1735660004355
R,o,1735660004443
P,v,1735660004643
R,v,1735660004714
P,a,1735660004786
R,a,1735660004947
P,l,1735660004986
R,l,1735660005055
P,Key.space,1735660005180
R,Key.space,1735660005269
P,o,1735660006739
R,o,1735660006821
P,f,1735660007243
R,f,1735660007347
P,f,1735660007434
R,f,1735660007538
P,i,1735660007616
R,i,1735660007690
P,c,1735660007924
R,c,1735660007986
P,e,1735660008090
R,e,1735660008226
P,Key.space,1735660008269
R,Key.space,1735660008332
P,m,1735660009483
R,m,1735660009562
P,e,1735660009730
R,e,1735660009803
P,e,1735660009891
R,e,1735660009994
P,t,1735660010105
R,t,1735660010180
P,i,1735660010604
R,i,1735660010675
P,n,1735660010852
R,n,1735660010907
P,g,1735660011145
R,g,1735660011208
P,Key.space,1735660011333
R,Key.space,1735660011413
P,s,1735660011554
R,s,1735660011714
P,h,1735660011986
R,h,1735660012050
P,o,1735660012226
R,o,1735660012292
P,w,1735660014274
R,w,1735660014395
P,s,1735660014523
R,s,1735660014685
P,Key.space,1735660015355
R,Key.space,1735660015434
P,d,1735660015610
R,d,1735660015761
P,i,1735660016146
R,i,1735660016218
P,p,1735660016351
R,p,1735660016419
P,l,1735660016521
R,l,1735660016586
P,o,1735660016675
R,o,1735660016739
P,m,1735660016962
R,m,1735660017026
P,a,1735660017098
R,a,1735660017267
P,c,1735660017379
R,c,1735660017442
P,t,1735660017595
R,t,1735660017651
P,Key.backspace,1735660018234
R,Key.backspace,1735660018308
P,y,1735660018583
R,y,1735660018642
P,Key.comma,1735660019211
R,Key.comma,1735660019274
P,Key.space,1735660019402
R,Key.space,1735660019468
P,Key.backspace,1735660020731
R,Key.backspace,1735660020810
P,Key.backspace,1735660021772
R,Key.backspace,1735660021843
P,Key.space,1735660022101
R,Key.space,1735660022162
P,t,1735660022378
R,t,1735660022435
P,u,1735660022845
R,u,1735660022914
P,r,1735660023042
R,r,1735660023147
P,n,1735660023202
R,n,1735660023265
P,e,1735660023466
R,e,1735660023594
P,d,1735660023753
R,d,1735660023818
P,Key.space,1735660023963
R,Key.space,1735660024037
P,t,1735660024195
R,t,1735660024269
P,e,1735660024348
R,e,1735660024490
P,n,1735660024587
R,n,1735660024650
P,s,1735660025076
R,s,1735660025247
P,e,1735660025347
R,e,1735660025427
P,d,1735660025507
R,d,1735660025594
P,Key.backspace,1735660026746
R,Key.backspace,1735660026842
P,Key.comma,1735660027284
R,Key.comma,1735660027339
P,Key.space,1735660027499
R,Key.space,1735660027554
P,w,1735660028876
R,w,1735660028999
P,i,1735660029065
R,i,1735660029130
P,t,1735660029315
R,t,1735660029380
P,h,1735660029506
R,h,1735660029570
P,Key.space,1735660029713
R,Key.space,1735660029802
P,Key.shift,1735660030323
P,T,1735660030537
R,T,1735660030595
R,Key.shift,1735660030636
P,r,1735660031937
R,r,1735660032020
P,u,1735660032362
R,u,1735660032434
P,m,1735660032577
R,m,1735660032646
P,p,1735660032777
R,p,1735660032842
P,Key.space,1735660033970
R,Key.space,1735660034065
P,a,1735660034162
R,a,1735660034338
P,n,1735660034465
R,n,1735660034530
P,d,1735660034889
R,d,1735660034962
P,Key.space,1735660035105
R,Key.space,1735660035180
P,Key.shift,1735660035473
P,V,1735660035913
R,V,1735660035986
R,Key.shift,1735660036066
P,a,1735660037030
R,a,1735660037185
P,n,1735660037226
R,n,1735660037274
P,c,1735660037497
R,c,1735660037562
P,e,1735660037665
R,e,1735660037778
P,Key.space,1735660037825
R,Key.space,1735660037889
P,Key.shift,1735660039116
P,Z,1735660039889
R,Key.shift,1735660039954
R,Z,1735660040024
P,e,1735660040298
R,e,1735660040433
P,l,1735660040513
R,l,1735660040569
P,e,1735660040658
R,e,1735660040769
P,n,1735660040874
R,n,1735660040929
P,s,1735660041514
R,s,1735660041674
P,k,1735660041729
R,k,1735660041818
P,y,1735660042025
R,y,1735660042089
P,y,1735660042182
R,y,1735660042242
P,Key.comma,1735660043345
R,Key.comma,1735660043386
P,Key.space,1735660043537
R,Key.space,1735660043610
P,m,1735660044469
R,m,1735660044523
P,i,1735660044674
R,i,1735660044738
P,x,1735660045074
R,x,1735660045194
P,i,1735660045292
R,i,1735660045370
P,n,1735660045513
R,n,1735660045577
P,g,1735660045721
R,g,1735660045785
P,Key.space,1735660045954
R,Key.space,1735660046010
P,p,1735660047297
R,p,1735660047353
P,o,1735660047473
R,o,1735660047537
P,w,1735660048195
R,w,1735660048341
P,e,1735660048347
R,e,1735660048401
P,r,1735660048497
R,r,1735660048561
P,Key.space,1735660049346
R,Key.space,1735660049411
P,p,1735660049601
R,p,1735660049667
P,l,1735660049777
R,l,1735660049833
P,a,1735660049865
R,a,1735660050016
P,y,1735660050122
R,y,1735660050184
P,Key.space,1735660050339
R,Key.space,1735660050401
P,Key.comma,1735660051257
R,Key.comma,1735660051314
P,Key.space,1735660051436
R,Key.space,1735660051505
P,Key.shift,1735660051939
R,Key.shift,1735660052075
P,p,1735660052530
R,p,1735660052593
P,u,1735660052777
R,u,1735660052838
P,b,1735660054411
R,b,1735660054472
P,l,1735660054701
R,l,1735660054752
P,i,1735660054897
R,i,1735660054961
P,c,1735660055161
R,c,1735660055288
P,Key.space,1735660056625
R,Key.space,1735660056681
P,p,1735660057073
R,p,1735660057141
P,r,1735660057410
R,r,1735660057466
P,e,1735660057569
R,e,1735660057624
P,s,1735660057729
R,s,1735660057809
P,s,1735660057857
R,s,1735660057932
P,u,1735660058401
R,u,1735660058473
P,r,1735660058650
R,r,1735660058714
P,e,1735660058800
R,e,1735660058873
P,Key.space,1735660059945
R,Key.space,1735660060011
P,a,1735660060146
R,a,1735660060322
P,n,1735660060426
R,n,1735660060498
P,d,1735660060698
R,d,1735660060760
P,Key.space,1735660060923
R,Key.space,1735660061003
P,g,1735660061571
R,g,1735660061713
P,l,1735660061745
R,l,1735660061811
P,o,1735660061929
R,o,1735660062001
P,b,1735660062323
R,b,1735660062338
P,a,1735660062796
R,a,1735660062969
P,l,1735660063016
R,l,1735660063073
P,Key.space,1735660064376
R,Key.space,1735660064439
P,s,1735660065137
R,s,1735660065280
P,t,1735660065442
R,t,1735660065514
P,a,1735660067025
R,a,1735660067194
P,k,1735660067457
R,k,1735660067539
P,e,1735660067632
R,e,1735660067729
P,s,1735660067874
R,s,1735660068018
P,Key.comma,1735660068345
R,Key.comma,1735660068401
P,Key.backspace,1735660069105
R,Key.backspace,1735660069193
P,.,1735660069674
R,.,1735660069729
P,Key.space,1735660111456
R,Key.space,1735660111674
P,c,1735660112072
R,c,1735660112224
P,l,1735660112279
R,l,1735660112360
P,a,1735660112513
R,a,1735660112696
P,s,1735660112760
R,s,1735660112824
P,h,1735660113216
R,h,1735660113296
P,Key.space,1735660113450
R,Key.space,1735660113512
P,Key.backspace,1735660131216
R,Key.backspace,1735660131295
P,u,1735660132384
R,u,1735660132456
P,n,1735660132576
R,n,1735660132656
P,c,1735660133080
R,c,1735660133144
P,e,1735660133271
R,e,1735660133336
P,r,1735660133424
R,r,1735660133480
P,t,1735660133751
R,t,1735660133823
P,a,1735660133912
R,a,1735660134063
P,i,1735660134223
P,o,1735660134224
R,o,1735660134263
R,i,1735660134281
P,n,1735660134428
R,n,1735660134479
P,Key.backspace,1735660135840
R,Key.backspace,1735660135896
P,Key.backspace,1735660136007
R,Key.backspace,1735660136072
P,Key.backspace,1735660136392
R,Key.backspace,1735660136439
P,Key.backspace,1735660136599
R,Key.backspace,1735660136632
P,a,1735660138033
R,a,1735660138186
P,i,1735660138218
R,i,1735660138271
P,n,1735660138400
R,n,1735660138464
P,i,1735660138591
R,i,1735660138657
P,t,1735660138912
R,t,1735660138970
P,y,1735660139106
R,y,1735660139146
P,Key.comma,1735660140096
R,Key.comma,1735660140160
P,Key.backspace,1735660141178
R,Key.backspace,1735660141255
P,.,1735660141463
R,.,1735660141528
