Press or Release,Key,Time
P,Key.shift,1735660003203
P,C,1735660003520
R,C,1735660003602
R,Key.shift,1735660003640
P,h,1735660003996
R,h,1735660004071
P,r,1735660004464
R,r,1735660004559
P,i,1735660004745
R,i,1735660004836
P,s,1735660005003
R,s,1735660005164
P,Key.space,1735660005182
R,Key.space,1735660005261
P,r,1735660005364
R,r,1735660005469
P,o,1735660005712
R,o,1735660005799
P,c,1735660006270
R,c,1735660006399
P,k,1735660006657
R,k,1735660006730
P,Key.space,1735660006906
R,Key.space,1735660006987
P,w,1735660007284
R,w,1735660007387
P,s,1735660007528
R,s,1735660007614
P,Key.backspace,1735660008777
R,Key.backspace,1735660008859
P,a,1735660009002
R,a,1735660009189
P,s,1735660009199
R,s,1735660009327
P,Key.space,1735660009332
R,Key.space,1735660009389
P,p,1735660010139
R,p,1735660010221
P,r,1735660010540
R,r,1735660010641
P,e,1735660010788
R,e,1735660010890
P,s,1735660011037
R,s,1735660011168
P,e,1735660011318
R,e,1735660011388
P,n,1735660011717
R,n,1735660011806
P,t,1735660011938
R,t,1735660012045
P,i,1735660012315
R,i,1735660012425
P,n,1735660012575
R,n,1735660012641
P,f,1735660012823
R,f,1735660012897
P,Key.backspace,1735660013464
R,Key.backspace,1735660013547
P,g,1735660013704
R,g,1735660013776
P,Key.space,1735660013870
R,Key.space,1735660013931
P,a,1735660014414
R,a,1735660014570
P,w,1735660014695
R,w,1735660014786
P,a,1735660014923
R,a,1735660015061
P,r,1735660015310
R,r,1735660015391
P,d,1735660015526
R,d,1735660015636
P,Key.space,1735660015652
R,Key.space,1735660015729
P,a,1735660019892
R,a,1735660020077
P,n,1735660020199
R,n,1735660020278
P,d,1735660021000
R,d,1735660021151
P,Key.space,1735660021160
R,Key.space,1735660021254
P,t,1735660021315
R,t,1735660021400
P,h,1735660021447
R,h,1735660021529
P,e,1735660021659
R,e,1735660021781
P,n,1735660021917
R,n,1735660021984
P,Key.space,1735660022104
R,Key.space,1735660022179
P,h,1735660023608
R,h,1735660023693
P,e,1735660023763
R,e,1735660023871
P,Key.space,1735660023914
R,Key.space,1735660023991
P,m,1735660024382
R,m,1735660024450
P,a,1735660024470
R,a,1735660024642
P,d,1735660025234
R,d,1735660025345
P,e,1735660025365
P,Key.space,1735660025478
R,e,1735660025493
R,Key.space,1735660025570
P,a,1735660027221
P,Key.space,1735660027373
R,a,1735660027384
R,Key.space,1735660027451
P,j,1735660028534
R,j,1735660028607
P,o,1735660028855
R,o,1735660028965
P,k,1735660029714
R,k,1735660029797
P,e,1735660029917
R,e,1735660030040
P,Key.space,1735660030091
R,Key.space,1735660030156
P,a,1735660031090
R,a,1735660031217
P,v,1735660031413
R,v,1735660031487
P,Key.backspace,1735660032177
R,Key.backspace,1735660032256
P,b,1735660032628
R,b,1735660032720
P,o,1735660032834
R,o,1735660032912
P,u,1735660033230
R,u,1735660033304
P,r,1735660033425
R,r,1735660033463
P,Key.backspace,1735660034543
R,Key.backspace,1735660034648
P,t,1735660034779
R,t,1735660034858
P,Key.space,1735660092110
R,Key.space,1735660092196
P,w,1735660092214
R,w,1735660092339
P,i,1735660092521
R,i,1735660092596
P,l,1735660092820
R,l,1735660092879
P,l,1735660092967
R,l,1735660093016
P,Key.space,1735660093222
R,Key.space,1735660093258
P,s,1735660093573
R,s,1735660093700
P,m,1735660093951
R,m,1735660094046
P,i,1735660094166
R,i,1735660094279
P,t,1735660094480
R,t,1735660094577
P,h,1735660094613
R,h,1735660094688
P,',1735660095279
R,',1735660095341
P,s,1735660095794
P,Key.space,1735660095914
R,s,1735660095929
R,Key.space,1735660095982
P,w,1735660097436
R,w,1735660097551
P,i,1735660097777
R,i,1735660097834
P,f,1735660098275
R,f,1735660098380
P,w,1735660098520
R,w,1735660098693
P,Key.space,1735660098701
R,Key.space,1735660098778
P,Key.backspace,1735660099610
R,Key.backspace,1735660099680
P,Key.backspace,1735660099759
R,Key.backspace,1735660099811
P,e,1735660100860
R,e,1735660100974
P,Key.space,1735660100988
R,Key.space,1735660101067
P,w,1735660101982
R,w,1735660102092
P,h,1735660102570
R,h,1735660102637
P,i,1735660102894
R,i,1735660102998
P,c,1735660103418
R,c,1735660103543
P,j,1735660103629
R,j,1735660103677
P,Key.backspace,1735660104797
R,Key.backspace,1735660104879
P,h,1735660105245
R,h,1735660105300
P,Key.space,1735660105472
R,Key.space,1735660105542
P,m,1735660106262
R,m,1735660106343
P,a,1735660106458
R,a,1735660106625
P,d,1735660106699
R,d,1735660106812
P,e,1735660106848
R,e,1735660106950
P,Key.space,1735660106971
R,Key.space,1735660107038
P,a,1735660107862
R,a,1735660108001
P,Key.space,1735660108031
R,Key.space,1735660108092
P,Key.backspace,1735660111573
R,Key.backspace,1735660111616
P,Key.backspace,1735660112267
R,Key.backspace,1735660112351
P,w,1735660113292
R,w,1735660113414
P,i,1735660113641
R,i,1735660113717
P,l,1735660113985
R,l,1735660114048
P,l,1735660114119
R,l,1735660114180
P,Key.space,1735660114414
R,Key.space,1735660114479
P,s,1735660114725
R,s,1735660114844
P,m,1735660115137
R,m,1735660115246
P,i,1735660115398
R,i,1735660115506
P,t,1735660115759
R,t,1735660115862
P,h,1735660115920
R,h,1735660115994
P,Key.space,1735660116151
R,Key.space,1735660116245
P,a,1735660117051
R,a,1735660117200
P,n,1735660117416
R,n,1735660117507
P,g,1735660118410
R,g,1735660118514
P,r,1735660119023
R,r,1735660119126
P,y,1735660120637
R,y,1735660120704
P,.,1735660126506
R,.,1735660126597
P,Key.space,1735660127280
R,Key.space,1735660127375
P,Key.shift,1735660127429
P,A,1735660127730
R,Key.shift,1735660127776
R,A,1735660127927
P,n,1735660128544
R,n,1735660128639
P,d,1735660128693
R,d,1735660128813
P,Key.space,1735660128820
R,Key.space,1735660128902
P,t,1735660129883
R,t,1735660129987
P,h,1735660130090
R,h,1735660130179
P,e,1735660130278
R,e,1735660130415
P,n,1735660130564
R,n,1735660130642
P,Key.space,1735660130730
R,Key.space,1735660130826
P,w,1735660133685
R,w,1735660133798
P,i,1735660134008
R,i,1735660134078
P,l,1735660134397
R,l,1735660134444
P,l,1735660134879
R,l,1735660134933
P,Key.space,1735660135681
R,Key.space,1735660135768
P,s,1735660136244
R,s,1735660136382
P,m,1735660136527
R,m,1735660136632
P,i,1735660136766
R,i,1735660136881
P,t,1735660137059
R,t,1735660137157
P,h,1735660137205
R,h,1735660137280
P,Key.space,1735660137437
R,Key.space,1735660137516
P,w,1735660138444
R,w,1735660138524
P,a,1735660138669
R,a,1735660138796
P,l,1735660139063
R,l,1735660139163
P,k,1735660139328
R,k,1735660139421
P,e,1735660139649
R,e,1735660139749
P,d,1735660139850
R,d,1735660139960
P,Key.space,1735660139981
R,Key.space,1735660140075
P,o,1735660140722
R,o,1735660140844
P,n,1735660140989
R,n,1735660141078
P,Key.space,1735660141202
R,Key.space,1735660141296
P,t,1735660141406
R,t,1735660141475
P,o,1735660141884
R,o,1735660141966
P,Key.space,1735660142904
R,Key.space,1735660142987
