Press or Release,Key,Time
P,t,1735660002555
R,t,1735660002609
P,h,1735660002749
R,h,1735660002788
P,i,1735660002909
R,i,1735660002948
P,s,1735660003004
R,s,1735660003130
P,Key.space,1735660003155
R,Key.space,1735660003214
P,t,1735660003433
R,t,1735660003474
P,o,1735660003749
R,o,1735660003813
P,p,1735660003954
R,p,1735660004034
P,i,1735660004194
R,i,1735660004249
P,c,1735660004469
R,c,1735660004589
P,Key.space,1735660004693
R,Key.space,1735660004729
P,i,1735660005049
R,i,1735660005114
P,s,1735660005208
R,s,1735660005354
P,Key.backspace,1735660005978
R,Key.backspace,1735660006613
P,Key.backspace,1735660007245
R,Key.backspace,1735660007308
P,Key.backspace,1735660007400
R,Key.backspace,1735660007474
P,Key.backspace,1735660007549
R,Key.backspace,1735660007608
P,v,1735660008574
R,v,1735660008689
P,i,1735660008779
R,i,1735660008815
P,d,1735660008984
R,d,1735660009089
P,e,1735660009199
R,e,1735660009314
P,o,1735660010109
R,o,1735660010159
P,Key.space,1735660010318
R,Key.space,1735660010374
P,s,1735660010513
P,i,1735660010584
R,s,1735660010609
R,i,1735660010644
P,Key.space,1735660010859
R,Key.space,1735660010894
P,Key.backspace,1735660012393
R,Key.backspace,1735660012449
P,Key.backspace,1735660012549
R,Key.backspace,1735660012620
P,Key.backspace,1735660012689
R,Key.backspace,1735660012749
P,i,1735660013439
R,i,1735660013494
P,s,1735660013590
R,s,1735660013674
P,Key.space,1735660013750
R,Key.space,1735660013794
P,a,1735660013943
R,a,1735660014069
P,m,1735660014069
R,m,1735660014134
P,e,1735660014254
R,e,1735660014348
P,r,1735660014469
R,r,1735660014548
P,c,1735660015414
R,c,1735660015549
P,Key.backspace,1735660016219
R,Key.backspace,1735660016275
P,i,1735660016548
R,i,1735660016613
P,c,1735660016833
R,c,1735660016901
P,a,1735660016949
R,a,1735660017069
P,n,1735660017084
R,n,1735660017149
P,Key.space,1735660017264
R,Key.space,1735660017314
P,p,1735660017803
R,p,1735660017858
P,r,1735660017989
R,r,1735660018069
P,e,1735660018214
R,e,1735660018310
P,s,1735660018529
R,s,1735660018634
P,i,1735660018738
R,i,1735660018793
P,d,1735660018949
R,d,1735660019055
P,a,1735660019575
R,a,1735660019674
P,n,1735660019709
R,n,1735660019789
P,t,1735660019914
R,t,1735660019964
P,Key.space,1735660020125
R,Key.space,1735660020189
P,d,1735660020634
R,d,1735660020729
P,o,1735660020769
R,o,1735660020829
P,l,1735660020948
R,l,1735660020999
P,a,1735660021109
R,a,1735660021193
P,n,1735660021228
R,n,1735660021274
P,l,1735660021470
R,l,1735660021523
P,d,1735660022353
R,d,1735660022508
P,Key.space,1735660022654
R,Key.space,1735660022709
P,t,1735660023849
R,t,1735660023900
P,r,1735660024034
R,r,1735660024148
P,i,1735660024273
R,i,1735660024293
P,u,1735660024509
R,u,1735660024548
P,Key.backspace,1735660025255
R,Key.backspace,1735660025328
P,Key.backspace,1735660025383
R,Key.backspace,1735660025469
P,u,1735660025734
R,u,1735660025794
P,m,1735660025935
R,m,1735660025969
P,p,1735660026074
R,p,1735660026114
P,Key.space,1735660026280
R,Key.space,1735660026329
P,a,1735660026354
R,a,1735660026488
P,n,1735660026530
R,n,1735660026589
P,d,1735660026658
R,d,1735660026809
P,Key.space,1735660026810
R,Key.space,1735660026872
P,u,1735660028474
R,u,1735660028534
P,k,1735660028784
R,k,1735660028828
P,r,1735660029129
R,r,1735660029169
P,a,1735660029288
R,a,1735660029429
P,i,1735660029434
R,i,1735660029470
P,n,1735660029613
R,n,1735660029656
P,e,1735660029749
P,Key.space,1735660029810
R,e,1735660029872
R,Key.space,1735660029872
P,p,1735660030029
R,p,1735660030089
P,r,1735660030229
R,r,1735660030309
P,e,1735660030449
R,e,1735660030568
P,s,1735660032114
R,s,1735660032254
P,i,1735660032404
R,i,1735660032469
P,d,1735660032544
R,d,1735660032649
P,a,1735660032774
R,a,1735660032909
P,n,1735660032909
R,n,1735660032949
P,t,1735660033113
R,t,1735660033149
P,Key.space,1735660033329
R,Key.space,1735660033369
P,z,1735660036249
R,z,1735660036384
P,e,1735660036678
R,e,1735660036765
P,e,1735660036829
R,e,1735660036948
P,l,1735660037030
R,l,1735660037094
P,a,1735660037169
R,a,1735660037284
P,n,1735660037369
R,n,1735660037413
P,s,1735660037634
R,s,1735660037763
P,k,1735660038328
R,k,1735660038384
P,y,1735660038584
R,y,1735660038634
P,Key.space,1735660039349
R,Key.space,1735660039379
P,c,1735660039910
P,o,1735660040000
R,c,1735660040034
R,o,1735660040069
P,n,1735660040254
R,n,1735660040298
P,v,1735660040479
R,v,1735660040529
P,e,1735660040599
R,e,1735660040668
P,r,1735660040795
R,r,1735660040853
P,s,1735660041014
R,s,1735660041108
P,a,1735660041219
R,a,1735660041309
P,t,1735660041369
R,t,1735660041429
P,i,1735660041594
R,i,1735660041644
P,o,1735660041780
R,o,1735660041829
P,n,1735660041989
R,n,1735660042034
P,Key.space,1735660042138
R,Key.space,1735660042193
P,a,1735660042348
R,a,1735660042454
P,b,1735660042454
R,b,1735660042473
P,o,1735660042669
R,o,1735660042714
P,u,1735660042888
R,u,1735660042934
P,t,1735660043129
R,t,1735660043174
P,Key.space,1735660043349
R,Key.space,1735660043394
P,t,1735660043549
R,t,1735660043569
P,h,1735660043714
R,h,1735660043769
P,a,1735660043889
P,t,1735660043929
R,t,1735660043969
R,a,1735660043989
P,Key.space,1735660044168
R,Key.space,1735660044208
P,r,1735660044974
R,r,1735660045074
P,u,1735660045128
R,u,1735660045174
P,s,1735660045349
R,s,1735660045393
P,s,1735660045474
R,s,1735660045535
P,i,1735660045609
R,i,1735660045644
P,a,1735660045754
R,a,1735660045834
P,Key.space,1735660045854
R,Key.space,1735660045919
P,w,1735660046044
R,w,1735660046154
P,a,1735660046259
R,a,1735660046359
P,r,1735660046470
R,r,1735660046504
P,Key.space,1735660046714
R,Key.space,1735660046744
P,.,1735660048383
R,.,1735660048453
P,Key.space,1735660048595
R,Key.space,1735660048634
P,a,1735660051134
R,a,1735660051244
P,m,1735660051250
R,m,1735660051314
P,e,1735660051408
R,e,1735660051514
P,r,1735660051619
R,r,1735660051709
P,i,1735660051795
R,i,1735660051854
P,c,1735660052059
R,c,1735660052104
P,a,1735660052159
R,a,1735660052269
P,Key.space,1735660052514
R,Key.space,1735660052556
P,i,1735660052774
R,i,1735660052799
P,s,1735660052914
R,s,1735660053023
P,Key.space,1735660053094
R,Key.space,1735660053129
P,h,1735660055108
R,h,1735660055154
P,e,1735660055279
R,e,1735660055413
P,l,1735660055434
R,l,1735660055494
P,p,1735660055589
R,p,1735660055651
P,Key.space,1735660055835
R,Key.space,1735660055879
P,f,1735660056154
R,f,1735660056273
P,o,1735660056274
R,o,1735660056314
P,r,1735660056410
R,r,1735660056525
P,Key.space,1735660056573
R,Key.space,1735660056619
P,t,1735660056788
R,t,1735660056814
P,h,1735660056988
R,h,1735660057031
P,a,1735660057094
P,t,1735660057173
R,a,1735660057216
R,t,1735660057216
P,Key.space,1735660057393
R,Key.space,1735660057435
P,t,1735660057694
R,t,1735660057754
P,i,1735660057919
R,i,1735660057974
P,m,1735660058129
R,m,1735660058163
P,e,1735660058249
R,e,1735660058349
P,Key.space,1735660058370
R,Key.space,1735660058424
P,o,1735660058889
R,o,1735660058935
P,f,1735660059029
R,f,1735660059154
P,Key.space,1735660059204
R,Key.space,1735660059254
P,w,1735660059394
R,w,1735660059489
P,a,1735660059629
R,a,1735660059745
P,Key.backspace,1735660060199
R,Key.backspace,1735660060234
P,Key.backspace,1735660060344
R,Key.backspace,1735660060409
P,u,1735660061374
R,u,1735660061400
P,k,1735660061744
R,k,1735660061780
P,k,1735660062054
R,k,1735660062104
P,r,1735660062570
R,r,1735660062604
P,a,1735660062679
R,a,1735660062789
P,i,1735660062833
R,i,1735660062874
P,n,1735660063009
R,n,1735660063060
P,e,1735660063133
R,e,1735660063224
P,Key.space,1735660063224
R,Key.space,1735660063279
P,a,1735660063363
R,a,1735660063474
P,n,1735660063474
R,n,1735660063524
P,d,1735660063609
R,d,1735660063715
P,Key.space,1735660063716
R,Key.space,1735660063789
P,r,1735660063995
R,r,1735660064083
P,u,1735660064203
R,u,1735660064258
P,s,1735660064358
R,s,1735660064435
P,s,1735660064529
R,s,1735660064589
P,i,1735660064609
R,i,1735660064668
P,a,1735660064768
R,a,1735660064853
P,Key.space,1735660064899
R,Key.space,1735660064969
P,w,1735660065150
R,w,1735660065234
P,a,1735660065363
R,a,1735660065473
P,r,1735660065534
R,r,1735660065569
P,.,1735660066560
R,.,1735660066594
P,Key.space,1735660066769
R,Key.space,1735660066814
P,s,1735660066974
R,s,1735660067094
P,o,1735660067094
R,o,1735660067149
P,Key.space,1735660067309
R,Key.space,1735660067363
P,t,1735660068013
R,t,1735660068043
P,r,1735660068198
R,r,1735660068314
P,u,1735660068448
R,u,1735660068473
P,m,1735660068669
R,m,1735660068719
P,p,1735660068874
R,p,1735660068893
P,Key.space,1735660069054
R,Key.space,1735660069113
P,i,1735660069239
R,i,1735660069288
P,s,1735660069388
R,s,1735660069488
P,Key.backspace,1735660070155
R,Key.backspace,1735660070194
P,s,1735660071228
R,s,1735660071333
P,Key.space,1735660071388
R,Key.space,1735660071434
P,v,1735660071609
R,v,1735660071668
P,e,1735660071734
R,e,1735660071829
P,r,1735660071953
R,r,1735660072030
P,y,1735660072059
R,y,1735660072090
P,Key.space,1735660072279
R,Key.space,1735660072329
P,g,1735660072489
R,g,1735660072529
P,o,1735660072719
R,o,1735660072753
P,o,1735660072869
R,o,1735660072918
P,d,1735660072988
R,d,1735660073074
P,Key.space,1735660073109
R,Key.space,1735660073168
P,m,1735660073288
P,a,1735660073349
R,m,1735660073353
R,a,1735660073448
P,n,1735660073489
R,n,1735660073548
P,Key.backspace,1735660107789
R,Key.backspace,1735660107849
