Press or Release,Key,Time
P,Key.shift,1735660009027
R,Key.shift,1735660009222
P,Key.caps_lock,1735660009956
R,Key.caps_lock,1735660010136
P,A,1735660010197
R,A,1735660010341
P,Key.caps_lock,1735660010371
R,Key.caps_lock,1735660010567
P,t,1735660011236
R,t,1735660011317
P,e,1735660011496
R,e,1735660011606
P,n,1735660011877
R,n,1735660011956
P,s,1735660012097
R,s,1735660012211
P,e,1735660012306
R,e,1735660012436
P,Key.space,1735660012516
R,Key.space,1735660012597
P,m,1735660012789
R,m,1735660012866
P,o,1735660013026
R,o,1735660013106
P,m,1735660013266
R,m,1735660013366
P,e,1735660013481
R,e,1735660013606
P,n,1735660013711
R,n,1735660013797
P,t,1735660013942
R,t,1735660014036
P,Key.space,1735660014196
R,Key.space,1735660014276
P,t,1735660014457
R,t,1735660014537
P,h,1735660014677
R,h,1735660014756
P,a,1735660014888
R,a,1735660015011
P,t,1735660015142
R,t,1735660015222
P,Key.space,1735660015446
R,Key.space,1735660015547
P,Key.alt,1735660015587
R,Key.alt,1735660015661
P,Key.alt,1735660018032
R,Key.alt,1735660018036
P,Key.backspace,1735660019296
R,Key.backspace,1735660019366
P,Key.backspace,1735660019446
R,Key.backspace,1735660019546
P,Key.backspace,1735660019621
R,Key.backspace,1735660019701
P,Key.backspace,1735660019781
R,Key.backspace,1735660020022
P,Key.backspace,1735660020597
R,Key.backspace,1735660020647
P,Key.space,1735660021011
R,Key.space,1735660021111
P,a,1735660022167
R,a,1735660022281
P,s,1735660022451
R,s,1735660022566
P,Key.space,1735660022661
R,Key.space,1735660022757
P,Key.caps_lock,1735660022836
R,Key.caps_lock,1735660022981
P,T,1735660023091
R,T,1735660023171
P,Key.caps_lock,1735660023236
R,Key.caps_lock,1735660023367
P,r,1735660023701
R,r,1735660023846
P,u,1735660023991
R,u,1735660024051
P,m,1735660024227
R,m,1735660024306
P,p,1735660024761
R,p,1735660024821
P,Key.space,1735660025011
R,Key.space,1735660025091
P,Key.caps_lock,1735660025172
R,Key.caps_lock,1735660025301
P,Key.caps_lock,1735660025757
R,Key.caps_lock,1735660025877
P,a,1735660026066
R,a,1735660026211
P,n,1735660026246
R,n,1735660026341
P,d,1735660026532
R,d,1735660026646
P,Key.space,1735660026821
R,Key.space,1735660026901
P,Key.caps_lock,1735660027057
R,Key.caps_lock,1735660027221
P,V,1735660027556
R,V,1735660027621
P,Key.caps_lock,1735660027636
R,Key.caps_lock,1735660027782
P,a,1735660028037
R,a,1735660028197
P,n,1735660028371
R,n,1735660028466
P,c,1735660028726
R,c,1735660028836
P,e,1735660028997
R,e,1735660029091
P,Key.space,1735660029171
R,Key.space,1735660029251
P,c,1735660029447
R,c,1735660029527
