Press or Release,Key,Time
P,O,1735660002999
R,O,1735660003067
P,Key.backspace,1735660003491
R,Key.backspace,1735660003547
P,Key.backspace,1735660003635
R,Key.backspace,1735660003699
P,Key.backspace,1735660003787
R,Key.backspace,1735660003843
P,Key.backspace,1735660003931
R,Key.backspace,1735660003995
P,O,1735660004835
R,O,1735660004907
P,N,1735660005027
R,N,1735660005123
P,R,1735660005203
R,R,1735660005347
P,Key.backspace,1735660006323
R,Key.backspace,1735660006387
P,Key.backspace,1735660006483
R,Key.backspace,1735660006541
P,Key.backspace,1735660006629
R,Key.backspace,1735660006691
P,Key.backspace,1735660006779
R,Key.backspace,1735660006837
P,Key.backspace,1735660006915
R,Key.backspace,1735660006971
P,Key.backspace,1735660007060
R,Key.backspace,1735660007108
P,O,1735660007653
R,O,1735660007723
P,N,1735660007851
R,N,1735660007948
P,E,1735660008524
R,E,1735660008707
P,Key.space,1735660008748
R,Key.space,1735660008836
P,O,1735660008947
R,O,1735660009035
P,G,1735660009195
R,G,1735660009339
P,Key.space,1735660009355
R,Key.space,1735660009436
P,Y,1735660009531
P,T,1735660009532
R,Y,1735660009619
R,T,1735660009651
P,H,1735660009651
R,H,1735660009747
P,Key.backspace,1735660010292
R,Key.backspace,1735660010331
P,Key.backspace,1735660010403
R,Key.backspace,1735660010467
P,Key.backspace,1735660010563
R,Key.backspace,1735660010620
P,Key.backspace,1735660010699
R,Key.backspace,1735660010764
P,Key.backspace,1735660010891
R,Key.backspace,1735660010947
P,G,1735660011747
R,G,1735660011844
P,Key.space,1735660011899
R,Key.space,1735660011970
P,Y,1735660012115
R,Y,1735660012275
P,J,1735660012276
R,J,1735660012363
P,R,1735660012460
R,R,1735660012583
P,Key.backspace,1735660013227
R,Key.backspace,1735660013245
P,Key.backspace,1735660013363
R,Key.backspace,1735660013435
P,Key.backspace,1735660013563
R,Key.backspace,1735660013659
P,Key.backspace,1735660014284
R,Key.backspace,1735660014363
P,Key.backspace,1735660015434
