Press or Release,Key,Time
P,Key.shift,1735660002687
P,T,1735660003166
R,Key.shift,1735660003247
P,h,1735660003326
R,T,1735660003342
R,h,1735660003437
P,e,1735660003501
P,Key.space,1735660003567
R,e,1735660003661
R,Key.space,1735660003741
P,Key.shift,1735660003935
P,U,1735660004174
R,Key.shift,1735660004255
R,U,1735660004317
P,k,1735660004463
R,k,1735660004574
P,r,1735660004703
R,r,1735660004831
P,a,1735660004831
R,a,1735660005006
P,i,1735660005006
R,i,1735660005104
P,n,1735660005181
R,n,1735660005295
P,e,1735660005405
R,e,1735660005486
P,Key.space,1735660005613
R,Key.space,1735660005694
P,a,1735660006126
P,n,1735660006239
R,a,1735660006285
R,n,1735660006333
P,d,1735660006365
R,d,1735660006462
P,Key.space,1735660006463
R,Key.space,1735660006525
P,Key.shift,1735660006639
P,R,1735660006734
R,Key.shift,1735660006816
R,R,1735660006878
P,u,1735660006942
R,u,1735660007038
P,s,1735660007071
R,s,1735660007182
P,s,1735660007294
R,s,1735660007390
P,i,1735660007406
R,i,1735660007502
P,a,1735660007614
R,a,1735660007758
P,n,1735660007806
R,n,1735660007886
P,Key.space,1735660007982
R,Key.space,1735660008062
P,p,1735660009102
R,p,1735660009214
P,r,1735660009279
R,r,1735660009422
P,e,1735660009438
R,e,1735660009550
P,s,1735660009694
R,s,1735660009774
P,i,1735660009838
R,i,1735660009950
P,d,1735660009951
R,d,1735660010062
P,e,1735660010158
R,e,1735660010302
P,n,1735660010302
R,n,1735660010413
P,t,1735660010463
R,t,1735660010575
P,Key.space,1735660010622
R,Key.space,1735660010702
P,c,1735660062355
R,c,1735660062479
P,o,1735660062495
R,o,1735660062623
P,m,1735660062783
R,m,1735660062879
P,p,1735660063055
R,p,1735660063167
P,l,1735660063663
R,l,1735660063775
P,a,1735660063839
R,a,1735660064000
P,i,1735660064000
R,i,1735660064095
P,n,1735660064207
R,n,1735660064319
P,t,1735660064927
R,t,1735660065087
P,i,1735660065840
R,i,1735660065951
P,n,1735660066031
