Press or Release,Key,Time
P,i,1735660002775
R,i,1735660002886
P,n,1735660002982
R,n,1735660003079
P,Key.space,1735660003190
R,Key.space,1735660003287
P,o,1735660003478
R,o,1735660003558
P,v,1735660003768
R,v,1735660003847
P,a,1735660003877
R,a,1735660003990
P,l,1735660004071
R,l,1735660004150
P,Key.space,1735660004281
R,Key.space,1735660004375
P,o,1735660004999
R,o,1735660005095
P,f,1735660005190
R,f,1735660005270
P,f,1735660005349
R,f,1735660005431
P,i,1735660005654
R,i,1735660005749
P,c,1735660005767
R,c,1735660005911
P,e,1735660005959
R,e,1735660006086
P,Key.space,1735660006214
R,Key.space,1735660006294
P,m,1735660006647
R,m,1735660006743
P,e,1735660006870
R,e,1735660006950
P,e,1735660007030
R,e,1735660007109
P,t,1735660007880
R,t,1735660007959
P,i,1735660008150
R,i,1735660008247
P,n,1735660008326
R,n,1735660008438
P,g,1735660008583
R,g,1735660008662
P,Key.space,1735660008823
R,Key.space,1735660008888
P,Key.ctrl,1735660014103
P,g,1735660014410
P,z,1735660017782
R,z,1735660017958
P,e,1735660019368
R,e,1735660019447
P,l,1735660019702
R,l,1735660019814
P,e,1735660019830
R,e,1735660019926
P,n,1735660020902
R,n,1735660020998
P,s,1735660021094
R,s,1735660021190
P,k,1735660022080
R,k,1735660022150
P,y,1735660022390
R,y,1735660022455
P,y,1735660022535
R,y,1735660022615
P,Key.space,1735660022758
R,Key.space,1735660022838
P,w,1735660022919
R,w,1735660023031
P,a,1735660023142
P,s,1735660023286
R,a,1735660023334
R,s,1735660023431
P,Key.space,1735660023446
R,Key.space,1735660023542
P,t,1735660024326
R,t,1735660024409
P,r,1735660024487
R,r,1735660024599
P,y,1735660024743
R,y,1735660024824
P,i,1735660024998
R,i,1735660025096
P,n,1735660025174
R,n,1735660025272
R,g,1735660025494
P,Key.space,1735660025654
R,Key.space,1735660025718
P,t,1735660025959
R,t,1735660026038
P,o,1735660026214
R,o,1735660026310
P,Key.space,1735660026486
R,Key.space,1735660026551
P,s,1735660028951
R,s,1735660029062
P,h,1735660029431
R,h,1735660029542
P,o,1735660029638
R,o,1735660029735
P,w,1735660029750
R,w,1735660029847
P,Key.space,1735660029911
R,Key.space,1735660029992
P,t,1735660032312
R,t,1735660032390
P,h,1735660032536
P,a,1735660032583
R,h,1735660032601
R,a,1735660032680
P,t,1735660032776
R,t,1735660032839
