Press or Release,Key,Time
P,i,1735660007760
R,i,1735660007837
P,Key.space,1735660008081
R,Key.space,1735660008125
P,s,1735660008490
R,s,1735660008579
P,a,1735660008709
R,a,1735660008811
P,Key.backspace,1735660010539
R,Key.backspace,1735660010639
P,e,1735660010929
R,e,1735660011019
P,e,1735660011100
R,e,1735660011199
P,Key.space,1735660011290
R,Key.space,1735660011390
P,t,1735660011642
R,t,1735660011719
P,h,1735660011829
R,h,1735660011929
P,e,1735660012050
R,e,1735660012131
P,Key.space,1735660012220
R,Key.space,1735660012310
P,o,1735660013141
R,o,1735660013210
P,s,1735660013380
R,s,1735660013461
P,c,1735660013842
R,c,1735660013911
P,a,1735660014004
R,a,1735660014111
P,r,1735660014231
R,r,1735660014311
P,Key.space,1735660014580
R,Key.space,1735660014697
P,c,1735660018370
R,c,1735660018460
P,l,1735660018981
R,l,1735660019071
P,Key.backspace,1735660019603
R,Key.backspace,1735660019671
P,Key.backspace,1735660019890
R,Key.backspace,1735660019969
P,s,1735660020982
R,s,1735660021080
P,l,1735660021578
R,l,1735660021674
P,a,1735660021955
R,a,1735660022095
P,o,1735660022400
R,o,1735660022421
P,Key.backspace,1735660023793
R,Key.backspace,1735660023896
P,p,1735660024120
R,p,1735660024205
P,Key.space,1735660024440
R,Key.space,1735660024525
P,s,1735660025620
R,s,1735660025713
P,Key.backspace,1735660026589
R,Key.backspace,1735660026671
P,c,1735660028353
R,c,1735660028439
P,l,1735660028593
R,l,1735660028681
P,i,1735660028861
R,i,1735660028951
P,p,1735660029101
R,p,1735660029193
P,Key.comma,1735660030112
R,Key.comma,1735660030200
P,a,1735660031872
R,a,1735660031990
P,n,1735660032121
R,n,1735660032220
P,d,1735660032431
R,d,1735660032540
P,Key.space,1735660032640
R,Key.space,1735660032753
P,l,1735660033845
R,l,1735660033921
P,i,1735660034119
R,i,1735660034209
P,t,1735660034512
R,t,1735660034611
P,e,1735660034903
R,e,1735660034982
P,r,1735660035110
R,r,1735660035190
P,a,1735660035350
R,a,1735660035429
P,l,1735660037314
R,l,1735660037390
P,l,1735660037520
R,l,1735660037589
P,y,1735660038321
R,y,1735660038389
P,Key.space,1735660038549
R,Key.space,1735660038686
P,s,1735660039832
R,s,1735660039940
P,h,1735660040231
R,h,1735660040322
P,o,1735660040540
R,o,1735660040620
P,c,1735660041020
R,c,1735660041131
P,k,1735660041720
R,k,1735660041810
P,Key.comma,1735660042950
R,Key.comma,1735660043041
P,Key.space,1735660043191
R,Key.space,1735660043265
P,p,1735660043800
R,p,1735660043922
P,l,1735660044100
R,l,1735660044189
P,e,1735660045001
R,e,1735660045081
P,a,1735660045230
R,a,1735660045341
P,s,1735660045784
R,s,1735660045881
P,e,1735660046139
R,e,1735660046234
P,Key.space,1735660046480
R,Key.space,1735660046549
P,d,1735660048130
R,d,1735660048242
P,o,1735660048430
R,o,1735660048491
P,n,1735660048851
R,n,1735660048920
P,',1735660049745
R,',1735660049842
P,t,1735660050232
R,t,1735660050321
P,Key.space,1735660050522
R,Key.space,1735660050616
P,d,1735660050829
R,d,1735660050939
P,o,1735660051070
R,o,1735660051129
P,Key.space,1735660051322
R,Key.space,1735660051399
P,t,1735660051795
R,t,1735660051859
P,h,1735660051995
R,h,1735660052070
P,i,1735660052231
R,i,1735660052311
P,s,1735660052670
R,s,1735660052759
P,Key.space,1735660052833
R,Key.space,1735660052912
P,a,1735660053720
R,a,1735660053831
P,g,1735660054751
R,g,1735660054829
P,a,1735660054989
R,a,1735660055150
P,i,1735660055433
R,i,1735660055470
P,n,1735660055810
R,n,1735660055889
P,Key.comma,1735660059371
R,Key.comma,1735660059441
P,i,1735660059911
R,i,1735660059989
P,t,1735660060250
R,t,1735660060339
P,s,1735660060571
R,s,1735660060614
P,Key.space,1735660060723
R,Key.space,1735660060791
P,n,1735660061189
R,n,1735660061270
P,o,1735660061982
R,o,1735660062072
P,t,1735660062520
R,t,1735660062599
P,Key.space,1735660062839
R,Key.space,1735660062919
P,j,1735660063183
R,j,1735660063265
P,o,1735660063433
R,o,1735660063532
P,k,1735660064080
R,k,1735660064159
P,e,1735660064436
R,e,1735660064549
P,Key.space,1735660064721
R,Key.space,1735660065309
P,e,1735660065552
R,e,1735660065679
P,v,1735660066431
R,v,1735660066521
P,e,1735660066631
R,e,1735660066749
P,r,1735660067101
R,r,1735660067240
P,y,1735660067417
R,y,1735660067480
P,Key.space,1735660067699
R,Key.space,1735660067769
P,m,1735660067990
R,m,1735660068070
P,a,1735660068367
R,a,1735660068481
P,m,1735660068950
R,m,1735660069031
P,Key.backspace,1735660069991
R,Key.backspace,1735660070079
P,n,1735660070460
R,n,1735660070551
P,Key.space,1735660070682
R,Key.space,1735660070803
P,n,1735660071359
R,n,1735660071449
P,e,1735660071639
R,e,1735660071730
P,e,1735660071831
R,e,1735660071922
P,d,1735660072391
R,d,1735660072491
P,Key.space,1735660072639
R,Key.space,1735660072720
P,a,1735660072841
R,a,1735660072930
P,n,1735660073120
R,n,1735660073194
P,d,1735660073890
R,d,1735660073979
P,Key.space,1735660074122
R,Key.space,1735660074200
P,l,1735660074571
R,l,1735660074684
P,i,1735660074881
R,i,1735660074969
P,n,1735660075200
R,n,1735660075282
P,Key.backspace,1735660075830
R,Key.backspace,1735660075920
P,k,1735660076301
R,k,1735660076391
P,e,1735660076790
R,e,1735660076900
P,Key.space,1735660077071
R,Key.space,1735660077189
P,r,1735660080102
R,r,1735660080190
P,e,1735660080343
R,e,1735660080451
P,s,1735660080830
R,s,1735660080933
P,p,1735660081441
R,p,1735660081520
P,e,1735660082060
R,e,1735660082150
P,a,1735660082322
R,a,1735660082369
P,t,1735660083649
R,t,1735660083740
P,Key.backspace,1735660085381
R,Key.backspace,1735660085461
P,Key.backspace,1735660085600
R,Key.backspace,1735660085712
P,c,1735660086962
R,c,1735660087051
P,t,1735660087250
R,t,1735660087341
P,Key.space,1735660087591
R,Key.space,1735660087680
P,Key.backspace,1735660089969
R,Key.backspace,1735660090040
P,Key.comma,1735660090523
R,Key.comma,1735660090600
P,t,1735660091700
R,t,1735660091772
P,h,1735660092490
R,h,1735660092570
P,a,1735660093010
R,a,1735660093232
P,n,1735660094142
R,n,1735660094210
P,k,1735660094371
R,k,1735660094440
P,Key.space,1735660094599
R,Key.space,1735660094715
P,y,1735660094969
R,y,1735660095061
P,o,1735660095279
R,o,1735660095359
P,u,1735660095599
R,u,1735660095681
P,Key.space,1735660095930
R,Key.space,1735660096030
P,a,1735660096210
R,a,1735660096390
P,l,1735660096470
R,l,1735660096539
P,l,1735660096640
R,l,1735660096724
P,Key.space,1735660096991
R,Key.space,1735660097092
P,a,1735660097331
R,a,1735660097482
P,n,1735660098371
R,n,1735660098442
P,d,1735660099163
R,d,1735660099240
P,Key.space,1735660099672
R,Key.space,1735660099810
P,l,1735660100863
R,l,1735660100942
P,o,1735660101130
R,o,1735660101220
P,v,1735660101561
R,v,1735660101641
P,e,1735660101882
R,e,1735660102011
P,Key.space,1735660102150
R,Key.space,1735660102271
P,u,1735660103149
R,u,1735660103211
P,Key.space,1735660103462
R,Key.space,1735660103540
P,s,1735660104481
R,s,1735660104605
P,o,1735660104748
R,o,1735660104840
P,Key.space,1735660105261
R,Key.space,1735660105402
P,m,1735660106173
R,m,1735660106240
P,u,1735660108170
R,u,1735660108272
P,c,1735660108630
R,c,1735660108739
P,h,1735660109269
R,h,1735660109360
P,.,1735660111700
R,.,1735660111772
P,.,1735660111882
R,.,1735660111950
P,.,1735660112020
R,.,1735660112091
