Press or Release,Key,Time
P,a,1735660002162
P,b,1735660002202
R,b,1735660002325
P,k,1735660002345
P,f,1735660002354
R,a,1735660002393
R,k,1735660002567
P,g,1735660002568
R,f,1735660002569
P,a,1735660002569
R,g,1735660002578
P,f,1735660002677
R,a,1735660002714
P,h,1735660002714
R,h,1735660002793
R,f,1735660002845
P,u,1735660002853
P,a,1735660002859
R,u,1735660002949
P,y,1735660002953
P,f,1735660003002
R,a,1735660003029
R,y,1735660003055
P,u,1735660003070
R,f,1735660003159
P,a,1735660003173
R,u,1735660003182
P,h,1735660003209
P,k,1735660003275
P,f,1735660003290
R,h,1735660003311
R,a,1735660003334
R,f,1735660003436
P,a,1735660003442
R,k,1735660003458
P,f,1735660003558
P,k,1735660003561
R,a,1735660003597
P,h,1735660003661
R,k,1735660003677
R,f,1735660003701
P,a,1735660003716
R,h,1735660003741
P,f,1735660003822
R,a,1735660003840
P,h,1735660003869
P,a,1735660003962
R,f,1735660003963
R,h,1735660004033
P,f,1735660004091
R,a,1735660004117
P,h,1735660004129
R,f,1735660004226
P,a,1735660004251
R,h,1735660004289
P,f,1735660004374
R,a,1735660004385
P,h,1735660004414
R,f,1735660004481
P,a,1735660004494
R,h,1735660004513
P,k,1735660004513
R,k,1735660004601
P,f,1735660004618
P,h,1735660004619
R,a,1735660004638
R,f,1735660004733
R,h,1735660004736
P,a,1735660004763
P,k,1735660004770
P,j,1735660004779
R,k,1735660004835
R,j,1735660004851
P,h,1735660004859
P,f,1735660004923
R,a,1735660004939
R,h,1735660005002
P,j,1735660005023
R,f,1735660005033
P,a,1735660005051
P,h,1735660005123
R,j,1735660005143
P,f,1735660005178
R,a,1735660005210
R,h,1735660005234
R,f,1735660005302
P,y,1735660005351
P,a,1735660005392
P,o,1735660005417
P,f,1735660005447
R,y,1735660005452
R,a,1735660005478
P,y,1735660005551
R,o,1735660005554
R,f,1735660005568
P,a,1735660005643
P,o,1735660005645
P,i,1735660005659
R,y,1735660005670
P,f,1735660005692
R,a,1735660005739
R,o,1735660005764
R,i,1735660005770
P,y,1735660005799
R,y,1735660005889
R,f,1735660005889
P,8,1735660005889
R,8,1735660006016
P,6,1735660006017
P,a,1735660006094
R,6,1735660006107
P,6,1735660006224
P,f,1735660006258
R,a,1735660006306
R,6,1735660006394
R,f,1735660006416
P,9,1735660006416
P,8,1735660006420
P,a,1735660006449
R,9,1735660006510
R,8,1735660006513
P,6,1735660006534
P,f,1735660006550
R,a,1735660006594
R,6,1735660006641
R,f,1735660006693
P,a,1735660006732
P,h,1735660006827
P,f,1735660006836
R,a,1735660006907
R,h,1735660006975
R,f,1735660006987
P,a,1735660007044
P,f,1735660007202
R,a,1735660007239
R,f,1735660007337
P,n,1735660007384
P,a,1735660007401
R,n,1735660007487
P,f,1735660007542
P,m,1735660007550
R,a,1735660007560
R,f,1735660007627
P,a,1735660007693
R,m,1735660007720
P,m,1735660007864
P,f,1735660007900
R,a,1735660007919
P,b,1735660007997
R,m,1735660008086
R,f,1735660008119
P,a,1735660008136
P,f,1735660008268
R,a,1735660008292
P,j,1735660008428
R,f,1735660008452
R,b,1735660008453
P,h,1735660008488
P,a,1735660008512
R,h,1735660008539
R,j,1735660008587
R,a,1735660008660
P,f,1735660008668
P,h,1735660008781
P,a,1735660008901
P,j,1735660008912
R,f,1735660008925
R,h,1735660008936
P,k,1735660008976
R,a,1735660009058
R,j,1735660009064
R,k,1735660009072
P,f,1735660009076
P,h,1735660009092
R,f,1735660009216
R,h,1735660009256
P,k,1735660009256
P,a,1735660009260
P,f,1735660009404
P,h,1735660009408
R,k,1735660009426
R,a,1735660009480
R,f,1735660009564
R,h,1735660009567
P,k,1735660009568
P,j,1735660009619
P,a,1735660009644
P,h,1735660009680
R,k,1735660009694
R,j,1735660009694
P,f,1735660009719
R,a,1735660009796
P,k,1735660009812
R,h,1735660009828
P,j,1735660009836
R,f,1735660009859
P,a,1735660009896
P,f,1735660009996
R,j,1735660009999
R,k,1735660010012
P,h,1735660010031
R,a,1735660010067
R,f,1735660010140
R,h,1735660010151
P,a,1735660010219
P,f,1735660010286
P,y,1735660010290
R,a,1735660010374
R,f,1735660010450
P,i,1735660010458
R,y,1735660010489
P,a,1735660010543
R,i,1735660010590
P,f,1735660010646
R,a,1735660010698
P,7,1735660010779
P,8,1735660010781
R,f,1735660010782
P,a,1735660010891
P,f,1735660010921
P,6,1735660010935
R,7,1735660010942
R,8,1735660010943
R,a,1735660011006
R,f,1735660011068
R,6,1735660011076
P,8,1735660011089
P,7,1735660011105
P,a,1735660011132
P,f,1735660011193
R,8,1735660011210
P,y,1735660011215
R,7,1735660011216
R,a,1735660011254
R,f,1735660011313
R,y,1735660011326
P,8,1735660011346
P,a,1735660011398
P,f,1735660011438
P,y,1735660011472
R,8,1735660011488
R,a,1735660011501
R,y,1735660011502
R,f,1735660011569
P,8,1735660011601
R,8,1735660011802
P,8,1735660011843
