Press or Release,Key,Time
P,Key.shift,1735660003193
P,T,1735660003337
R,Key.shift,1735660003409
R,T,1735660003449
P,h,1735660003657
P,a,1735660003728
R,h,1735660003760
P,t,1735660003761
R,a,1735660003824
R,t,1735660003897
P,Key.space,1735660004001
R,Key.space,1735660004097
P,s,1735660004538
R,s,1735660004633
P,p,1735660004905
R,p,1735660004984
P,e,1735660005065
R,e,1735660005145
P,e,1735660005241
R,e,1735660005313
P,c,1735660005433
R,c,1735660005536
P,h,1735660005536
R,h,1735660005633
P,Key.space,1735660005762
R,Key.space,1735660005889
P,g,1735660005912
R,g,1735660006025
P,a,1735660006056
R,a,1735660006201
P,v,1735660006393
R,v,1735660006456
P,e,1735660006537
R,e,1735660006624
P,Key.space,1735660006697
R,Key.space,1735660006784
P,m,1735660006888
P,e,1735660006984
R,m,1735660007000
R,e,1735660007056
P,Key.space,1735660007128
R,Key.space,1735660007224
P,c,1735660007362
R,c,1735660007457
P,h,1735660007488
R,h,1735660007569
P,i,1735660007672
R,i,1735660007744
P,l,1735660007904
R,l,1735660007977
P,l,1735660008074
R,l,1735660008153
P,s,1735660008225
R,s,1735660008304
P,.,1735660008392
R,.,1735660008448
P,Key.space,1735660008576
R,Key.space,1735660008672
P,Key.shift,1735660008809
P,O,1735660008881
R,Key.shift,1735660008944
R,O,1735660008968
P,u,1735660009144
R,u,1735660009240
P,r,1735660009240
R,r,1735660009337
P,Key.space,1735660009520
R,Key.space,1735660009616
P,d,1735660009672
R,d,1735660009744
P,e,1735660009864
R,e,1735660009928
P,e,1735660010016
R,e,1735660010120
P,p,1735660010193
P,e,1735660010248
R,p,1735660010264
P,s,1735660010336
R,e,1735660010367
R,s,1735660010464
P,t,1735660010505
R,t,1735660010592
P,Key.space,1735660010640
R,Key.space,1735660010739
P,f,1735660010784
R,f,1735660010888
P,e,1735660010944
P,a,1735660011056
R,e,1735660011064
R,a,1735660011144
P,r,1735660011145
R,r,1735660011224
P,Key.space,1735660011313
R,Key.space,1735660011384
P,i,1735660011449
R,i,1735660011545
P,s,1735660011585
R,s,1735660011681
P,Key.space,1735660011681
R,Key.space,1735660011769
P,n,1735660011841
