Press or Release,Key,Time
P,t,1735660004131
R,t,1735660004200
P,h,1735660004300
R,h,1735660004362
P,i,1735660004461
R,i,1735660004511
P,s,1735660004598
R,s,1735660004672
P,Key.space,1735660004675
R,Key.space,1735660004732
P,i,1735660004852
R,i,1735660004913
P,Key.backspace,1735660005546
R,Key.backspace,1735660005615
P,o,1735660005805
R,o,1735660005876
P,s,1735660005936
R,s,1735660006007
P,c,1735660006168
R,c,1735660006229
P,a,1735660006300
R,a,1735660006399
P,r,1735660006402
R,r,1735660006461
P,Key.space,1735660006619
R,Key.space,1735660006670
P,f,1735660007611
R,f,1735660007687
P,i,1735660007714
R,i,1735660007764
P,l,1735660007894
R,l,1735660007964
P,m,1735660008600
R,m,1735660008648
P,Key.space,1735660008759
R,Key.space,1735660008828
P,w,1735660009532
R,w,1735660009612
P,Key.backspace,1735660009914
R,Key.backspace,1735660010005
P,a,1735660010055
R,a,1735660010137
P,w,1735660010235
R,w,1735660010306
P,r,1735660011038
R,r,1735660011099
P,d,1735660011216
R,d,1735660011263
P,Key.space,1735660011340
R,Key.space,1735660011413
P,i,1735660011662
P,o,1735660011670
R,o,1735660011695
R,i,1735660011713
P,Key.backspace,1735660012509
R,Key.backspace,1735660012568
P,Key.backspace,1735660012667
R,Key.backspace,1735660012729
P,Key.backspace,1735660012936
R,Key.backspace,1735660012937
P,Key.backspace,1735660012937
R,Key.backspace,1735660013018
P,Key.backspace,1735660013681
R,Key.backspace,1735660013743
P,a,1735660013872
R,a,1735660013998
P,r,1735660014326
R,r,1735660014404
P,d,1735660014496
R,d,1735660014599
P,Key.space,1735660014636
R,Key.space,1735660014718
P,u,1735660014857
R,u,1735660014907
P,Key.backspace,1735660015360
R,Key.backspace,1735660015430
P,i,1735660015601
R,i,1735660015671
P,s,1735660015751
R,s,1735660015840
P,Key.space,1735660015844
R,Key.space,1735660015915
P,v,1735660016031
R,v,1735660016091
P,e,1735660016153
R,e,1735660016244
P,r,1735660016354
R,r,1735660016436
P,y,1735660016438
R,y,1735660016485
P,Key.space,1735660016605
R,Key.space,1735660016685
P,g,1735660016999
R,g,1735660017046
P,o,1735660017228
R,o,1735660017319
P,o,1735660017389
R,o,1735660017430
P,d,1735660017602
R,d,1735660017700
P,Key.space,1735660017740
R,Key.space,1735660017810
P,a,1735660017900
R,a,1735660018011
P,n,1735660018044
R,n,1735660018110
P,d,1735660018201
R,d,1735660018283
P,Key.space,1735660018286
R,Key.space,1735660018354
P,e,1735660018555
R,e,1735660018646
P,a,1735660018754
R,a,1735660018845
P,s,1735660018966
R,s,1735660019074
P,y,1735660019079
R,y,1735660019125
P,Key.space,1735660019246
R,Key.space,1735660019318
P,t,1735660019448
R,t,1735660019498
P,o,1735660019672
R,o,1735660019739
P,Key.space,1735660019860
R,Key.space,1735660019939
P,u,1735660020091
R,u,1735660020149
P,Key.backspace,1735660020661
R,Key.backspace,1735660020721
P,Key.backspace,1735660020822
R,Key.backspace,1735660020872
P,Key.space,1735660021805
R,Key.space,1735660021837
P,w,1735660022279
R,w,1735660022360
P,a,1735660022479
R,a,1735660022587
P,t,1735660022660
R,t,1735660022700
P,c,1735660022798
R,c,1735660022901
P,h,1735660022905
R,h,1735660022961
P,Key.space,1735660023072
R,Key.space,1735660023154
P,t,1735660023296
R,t,1735660023343
P,h,1735660023443
R,h,1735660023514
P,i,1735660023603
R,i,1735660023683
P,s,1735660023763
R,s,1735660023865
P,Key.space,1735660023868
R,Key.space,1735660023925
P,t,1735660024076
R,t,1735660024126
P,y,1735660024228
R,y,1735660024288
P,p,1735660024528
R,p,1735660024599
P,r,1735660024804
R,r,1735660024870
P,Key.backspace,1735660025202
R,Key.backspace,1735660025272
P,e,1735660025353
R,e,1735660025442
P,Key.space,1735660025492
R,Key.space,1735660025543
P,o,1735660025663
R,o,1735660025733
P,f,1735660025806
R,f,1735660025904
P,Key.space,1735660025934
R,Key.space,1735660026004
P,v,1735660026124
R,v,1735660026216
P,i,1735660026266
R,i,1735660026328
P,d,1735660026415
R,d,1735660026467
P,e,1735660026567
R,e,1735660026682
P,o,1735660026682
R,o,1735660026718
P,Key.space,1735660026857
R,Key.space,1735660026938
P,a,1735660027018
R,a,1735660027119
P,n,1735660027168
R,n,1735660027251
P,d,1735660027292
R,d,1735660027412
P,Key.space,1735660027431
R,Key.space,1735660027503
P,i,1735660027732
R,i,1735660027804
P,Key.backspace,1735660028347
R,Key.backspace,1735660028406
P,a,1735660028606
R,a,1735660028707
P,l,1735660028937
R,l,1735660029018
P,s,1735660029138
R,s,1735660029236
P,o,1735660029236
R,o,1735660029290
P,Key.space,1735660029410
R,Key.space,1735660029480
P,i,1735660029611
R,i,1735660029651
P,Key.space,1735660029771
R,Key.space,1735660029831
P,l,1735660030005
R,l,1735660030035
P,i,1735660030121
R,i,1735660030207
P,k,1735660030274
R,k,1735660030344
P,e,1735660030435
R,e,1735660030545
P,Key.space,1735660030548
R,Key.space,1735660030606
P,t,1735660030745
R,t,1735660030798
P,o,1735660030959
R,o,1735660031016
P,Key.space,1735660031146
R,Key.space,1735660031209
P,s,1735660031269
R,s,1735660031359
P,e,1735660031489
R,e,1735660031550
P,e,1735660031662
R,e,1735660031731
P,Key.space,1735660031750
R,Key.space,1735660031830
P,t,1735660031964
R,t,1735660032016
P,h,1735660032111
R,h,1735660032207
P,i,1735660032283
R,i,1735660032344
P,s,1735660032404
R,s,1735660032525
P,Key.space,1735660032527
R,Key.space,1735660032599
P,t,1735660032725
R,t,1735660032797
P,y,1735660032875
R,y,1735660032925
P,p,1735660033197
R,p,1735660033257
P,e,1735660033449
R,e,1735660033549
P,Key.space,1735660033570
R,Key.space,1735660033618
P,o,1735660033749
R,o,1735660033820
P,f,1735660033889
R,f,1735660034001
P,Key.space,1735660034040
R,Key.space,1735660034110
P,v,1735660034263
R,v,1735660034325
P,i,1735660034488
R,i,1735660034543
P,d,1735660034601
R,d,1735660034673
P,e,1735660034797
P,o,1735660034854
R,e,1735660034883
R,o,1735660034915
P,Key.space,1735660035054
R,Key.space,1735660035124
P,i,1735660035547
R,i,1735660035618
P,n,1735660035737
R,n,1735660035808
P,Key.space,1735660035898
R,Key.space,1735660035968
P,f,1735660036158
R,f,1735660036262
P,u,1735660036281
R,u,1735660036352
P,t,1735660036511
R,t,1735660036551
P,u,1735660036702
R,u,1735660036742
P,r,1735660036893
R,r,1735660036953
P,e,1735660037044
R,e,1735660037133
P,Key.space,1735660037163
R,Key.space,1735660037236
P,a,1735660037357
R,a,1735660037477
P,n,1735660037516
R,n,1735660037602
P,d,1735660037626
R,d,1735660037736
P,Key.space,1735660037757
R,Key.space,1735660037836
P,t,1735660038770
R,t,1735660038830
P,h,1735660038952
R,h,1735660039005
P,a,1735660039080
P,n,1735660039139
R,a,1735660039170
R,n,1735660039232
P,k,1735660039492
R,k,1735660039553
P,Key.space,1735660039694
R,Key.space,1735660039753
P,y,1735660039885
R,y,1735660039944
P,o,1735660040043
R,o,1735660040124
P,u,1735660040206
R,u,1735660040257
P,Key.space,1735660040399
R,Key.space,1735660040449
P,f,1735660040557
R,f,1735660040661
P,o,1735660040662
R,o,1735660040717
P,r,1735660040818
R,r,1735660040928
P,Key.space,1735660040931
R,Key.space,1735660041011
P,t,1735660041148
R,t,1735660041200
P,h,1735660041301
R,h,1735660041370
P,i,1735660041492
R,i,1735660041560
P,s,1735660041651
R,s,1735660041751
P,Key.space,1735660041803
R,Key.space,1735660041871
P,t,1735660042143
R,t,1735660042203
P,y,1735660042344
R,y,1735660042397
P,p,1735660042620
R,p,1735660042685
P,e,1735660042806
R,e,1735660042896
P,Key.space,1735660042899
R,Key.space,1735660042936
P,o,1735660043059
R,o,1735660043116
P,f,1735660043200
R,f,1735660043289
P,Key.space,1735660043319
R,Key.space,1735660043412
P,v,1735660043670
R,v,1735660043770
P,i,1735660043810
R,i,1735660043881
P,d,1735660043971
R,d,1735660044041
P,e,1735660044151
R,e,1735660044243
P,o,1735660044246
R,o,1735660044304
P,Key.space,1735660044464
R,Key.space,1735660044524
P,i,1735660045408
R,i,1735660045448
P,Key.space,1735660045597
R,Key.space,1735660045648
P,l,1735660046353
R,l,1735660046422
P,i,1735660046543
R,i,1735660046619
P,k,1735660046693
R,k,1735660046763
P,e,1735660046833
R,e,1735660046923
P,Key.space,1735660046926
R,Key.space,1735660047004
P,t,1735660047457
R,t,1735660047509
P,o,1735660047684
R,o,1735660047738
P,Key.space,1735660047889
R,Key.space,1735660047949
P,s,1735660048109
R,s,1735660048208
