Press or Release,Key,Time
P,b,1735660007992
R,b,1735660008069
P,e,1735660008343
R,e,1735660008478
P,l,1735660009258
R,l,1735660009350
P,i,1735660009461
R,i,1735660009549
P,v,1735660009718
R,v,1735660009853
P,e,1735660009933
R,e,1735660010126
P,Key.space,1735660010238
R,Key.space,1735660010342
P,t,1735660010389
R,t,1735660010542
P,h,1735660010605
R,h,1735660010678
P,e,1735660010728
R,e,1735660010838
P,Key.space,1735660010973
R,Key.space,1735660011062
P,i,1735660013253
R,i,1735660013334
P,n,1735660013462
R,n,1735660013549
P,Key.space,1735660013663
R,Key.space,1735660013760
P,y,1735660013973
R,y,1735660014054
P,o,1735660014421
R,o,1735660014533
P,u,1735660014661
R,u,1735660014750
P,r,1735660014949
R,r,1735660015054
P,Key.space,1735660015125
R,Key.space,1735660015230
P,d,1735660015390
P,s,1735660015398
R,d,1735660015469
R,s,1735660015493
P,e,1735660015750
R,e,1735660015872
P,Key.backspace,1735660016830
R,Key.backspace,1735660016910
P,Key.backspace,1735660017014
R,Key.backspace,1735660017101
P,Key.backspace,1735660017190
R,Key.backspace,1735660017270
P,Key.backspace,1735660017366
R,Key.backspace,1735660017445
P,Key.backspace,1735660017791
R,Key.backspace,1735660017821
P,r,1735660019125
R,r,1735660019270
P,s,1735660019485
R,s,1735660019597
P,e,1735660019706
R,e,1735660019822
P,k,1735660019990
R,k,1735660020077
P,Key.backspace,1735660020710
R,Key.backspace,1735660020805
P,l,1735660021037
R,l,1735660021150
P,e,1735660021206
R,e,1735660021350
P,f,1735660021469
R,f,1735660021621
P,Key.space,1735660021693
R,Key.space,1735660021806
P,a,1735660023125
R,a,1735660023259
P,n,1735660023381
R,n,1735660023464
P,d,1735660023575
P,Key.space,1735660023702
R,d,1735660023717
R,Key.space,1735660023806
P,a,1735660023889
R,a,1735660024037
P,l,1735660024165
R,l,1735660024246
P,l,1735660024334
R,l,1735660024446
P,Key.space,1735660024566
R,Key.space,1735660024677
P,t,1735660024759
R,t,1735660024965
P,h,1735660025006
R,h,1735660025102
P,e,1735660025165
R,e,1735660025326
P,Key.space,1735660025358
R,Key.space,1735660025477
P,t,1735660027477
R,t,1735660027643
P,h,1735660027717
R,h,1735660027798
P,a,1735660027863
P,t,1735660028005
R,a,1735660028029
R,t,1735660028150
P,Key.space,1735660028169
R,Key.space,1735660028269
P,y,1735660028487
R,y,1735660028581
P,o,1735660028685
R,o,1735660028830
P,u,1735660028910
R,u,1735660029013
P,Key.space,1735660029117
