Press or Release,Key,Time
P,Key.ctrl,1735660140375
P,v,1735660140731
R,Key.ctrl,1735660140911
R,v,1735660140947
P,Key.ctrl,1735660144622
P,v,1735660145015
R,Key.ctrl,1735660145231
R,v,1735660145303
P,Key.ctrl,1735660173392
P,v,1735660173752
R,Key.ctrl,1735660173968
R,v,1735660174003
P,t,1735660191226
R,t,1735660191333
P,e,1735660191582
R,e,1735660191688
P,a,1735660192283
R,a,1735660192464
P,m,1735660192577
R,m,1735660192652
P,Key.space,1735660192813
R,Key.space,1735660192920
P,w,1735660193153
R,w,1735660193299
P,o,1735660193513
R,o,1735660193617
P,r,1735660193900
R,r,1735660194044
P,k,1735660194165
R,k,1735660194236
P,Key.space,1735660194417
R,Key.space,1735660194524
P,m,1735660194658
R,m,1735660194764
P,a,1735660194850
R,a,1735660195031
P,k,1735660195274
R,k,1735660195381
P,e,1735660195526
R,e,1735660195670
P,s,1735660195790
R,s,1735660195969
P,Key.space,1735660205650
R,Key.space,1735660205757
P,t,1735660206085
R,t,1735660206192
P,h,1735660206701
R,h,1735660206771
P,e,1735660207083
R,e,1735660207156
P,Key.space,1735660207499
R,Key.space,1735660207605
P,t,1735660207967
R,t,1735660208074
P,e,1735660208280
R,e,1735660208389
P,a,1735660208529
R,a,1735660208636
P,Key.space,1735660209434
R,Key.space,1735660209540
P,w,1735660209854
R,w,1735660209962
P,o,1735660210630
R,o,1735660210701
P,r,1735660211019
R,r,1735660211124
P,k,1735660211631
R,k,1735660211702
P,Key.space,1735660224199
R,Key.space,1735660224269
P,l,1735660224846
R,l,1735660224949
P,e,1735660225417
R,e,1735660225523
P,t,1735660226195
R,t,1735660226304
P,s,1735660226553
R,s,1735660226626
P,Key.space,1735660227037
R,Key.space,1735660227142
P,k,1735660228431
R,k,1735660228535
P,e,1735660228943
R,e,1735660229015
P,e,1735660229112
R,e,1735660229182
P,p,1735660229802
R,p,1735660229874
P,Key.space,1735660230198
R,Key.space,1735660230305
P,t,1735660230868
R,t,1735660230973
P,h,1735660231488
R,h,1735660231560
P,e,1735660231875
R,e,1735660231982
P,Key.backspace,1735660250530
R,Key.backspace,1735660250637
P,Key.backspace,1735660250727
R,Key.backspace,1735660250838
P,Key.backspace,1735660250930
R,Key.backspace,1735660251036
P,Key.backspace,1735660251118
R,Key.backspace,1735660251224
P,w,1735660252184
R,w,1735660252291
P,o,1735660252955
R,o,1735660253061
P,r,1735660253382
R,r,1735660253454
P,k,1735660254370
R,k,1735660254445
P,i,1735660254583
R,i,1735660254655
P,n,1735660254879
R,n,1735660254987
P,g,1735660255198
R,g,1735660255269
P,Key.space,1735660255552
R,Key.space,1735660255625
P,t,1735660256016
R,t,1735660256125
P,o,1735660256647
R,o,1735660256756
P,g,1735660257105
R,g,1735660257175
P,e,1735660257452
R,e,1735660257558
P,t,1735660257917
R,t,1735660258021
P,h,1735660258205
R,h,1735660258309
P,e,1735660258602
R,e,1735660258708
P,r,1735660258807
R,r,1735660258916
P,Key.space,1735660445673
R,Key.space,1735660445781
P,s,1735660450516
R,s,1735660450696
P,t,1735660451020
R,t,1735660451126
P,a,1735660451237
R,a,1735660451378
P,y,1735660451641
R,y,1735660451713
P,Key.space,1735660451939
R,Key.space,1735660452044
P,d,1735660452718
R,d,1735660452859
P,i,1735660453070
R,i,1735660453177
P,s,1735660453311
R,s,1735660453455
P,c,1735660459030
R,c,1735660459282
P,i,1735660459433
R,i,1735660459541
P,p,1735660460688
R,p,1735660460798
P,l,1735660461233
R,l,1735660461342
P,i,1735660461478
R,i,1735660461584
P,n,1735660461766
R,n,1735660461872
P,e,1735660462196
R,e,1735660462267
P,d,1735660462449
R,d,1735660462590
P,Key.space,1735660464498
R,Key.space,1735660464606
P,s,1735660464939
R,s,1735660465008
P,t,1735660465469
R,t,1735660465539
P,a,1735660465653
R,a,1735660465794
P,y,1735660465866
R,y,1735660465935
P,Key.space,1735660466942
R,Key.space,1735660467015
P,d,1735660469513
R,d,1735660469613
P,e,1735660469750
R,e,1735660469856
P,d,1735660469988
R,d,1735660470060
P,i,1735660470640
R,i,1735660470710
P,c,1735660471001
R,c,1735660471073
P,a,1735660471320
R,a,1735660471393
P,t,1735660472322
R,t,1735660472430
P,e,1735660472632
R,e,1735660472701
P,d,1735660472992
R,d,1735660473064
P,.,1735660477965
R,.,1735660478072
P,Key.space,1735660478403
R,Key.space,1735660478474
P,s,1735660478885
R,s,1735660478989
P,u,1735660479595
R,u,1735660479667
P,c,1735660480108
R,c,1735660480213
P,e,1735660480549
R,e,1735660480656
P,s,1735660480827
R,s,1735660480933
P,s,1735660480987
R,s,1735660481060
P,Key.space,1735660481577
R,Key.space,1735660481647
P,i,1735660486052
R,i,1735660486160
P,s,1735660486538
R,s,1735660486609
P,Key.space,1735660486979
R,Key.space,1735660487034
P,o,1735660487521
R,o,1735660487629
P,n,1735660487797
R,n,1735660487905
P,Key.space,1735660488031
R,Key.space,1735660488104
P,t,1735660488368
R,t,1735660488475
P,h,1735660488604
R,h,1735660488710
P,e,1735660488945
R,e,1735660489019
P,Key.space,1735660489290
R,Key.space,1735660489361
P,b,1735660489556
R,b,1735660489628
P,o,1735660490336
R,o,1735660490455
P,a,1735660491031
R,a,1735660491137
P,r,1735660491326
R,r,1735660491397
P,d,1735660491546
R,d,1735660491651
P,Key.space,1735660491892
R,Key.space,1735660491962
P,Key.backspace,1735660500557
R,Key.backspace,1735660500664
P,Key.backspace,1735660500782
R,Key.backspace,1735660500888
P,Key.backspace,1735660500978
R,Key.backspace,1735660501048
P,Key.backspace,1735660501168
R,Key.backspace,1735660501239
P,Key.backspace,1735660501368
R,Key.backspace,1735660501475
P,Key.backspace,1735660501555
R,Key.backspace,1735660501662
P,Key.backspace,1735660501765
R,Key.backspace,1735660501874
P,Key.space,1735660503090
R,Key.space,1735660503163
P,h,1735660503691
R,h,1735660503761
P,o,1735660504205
R,o,1735660504312
P,e,1735660504706
R,e,1735660504775
P,Key.backspace,1735660505604
R,Key.backspace,1735660505712
P,r,1735660506283
R,r,1735660506355
P,i,1735660507023
R,i,1735660507129
P,z,1735660507802
R,z,1735660507907
P,o,1735660508674
R,o,1735660508781
P,n,1735660509068
R,n,1735660509172
P,Key.space,1735660529782
R,Key.space,1735660529890
P,y,1735660532754
R,y,1735660532862
P,o,1735660533413
R,o,1735660533486
P,u,1735660533682
R,u,1735660533792
P,r,1735660536175
R,r,1735660536318
P,Key.space,1735660538177
R,Key.space,1735660538249
P,h,1735660538475
R,h,1735660538581
P,a,1735660538722
R,a,1735660538901
P,v,1735660539056
R,v,1735660539117
P,e,1735660539289
R,e,1735660539396
P,Key.space,1735660540011
R,Key.space,1735660540083
P,Key.backspace,1735660543272
