Press or Release,Key,Time
P,Key.caps_lock,1735660016050
R,Key.caps_lock,1735660016176
P,S,1735660016230
R,S,1735660016288
P,Key.caps_lock,1735660016350
R,Key.caps_lock,1735660016449
P,m,1735660016589
R,m,1735660016659
P,i,1735660016902
R,i,1735660016904
P,t,1735660017105
R,t,1735660017158
P,h,1735660017283
R,h,1735660017374
P,Key.space,1735660017467
R,Key.space,1735660017594
P,s,1735660018667
R,s,1735660018794
P,l,1735660018890
R,l,1735660018989
P,a,1735660019036
R,a,1735660019141
P,p,1735660019141
R,p,1735660019206
P,p,1735660019328
R,p,1735660019406
P,e,1735660019499
R,e,1735660019596
P,d,1735660019865
R,d,1735660019957
P,Key.space,1735660020023
R,Key.space,1735660020136
P,Key.caps_lock,1735660021233
R,Key.caps_lock,1735660021360
P,C,1735660021455
P,Key.caps_lock,1735660021539
R,C,1735660021543
R,Key.caps_lock,1735660021667
P,h,1735660021767
R,h,1735660021848
P,i,1735660022105
R,i,1735660022156
P,r,1735660022308
R,r,1735660022418
P,s,1735660022746
R,s,1735660022807
P,Key.backspace,1735660031334
R,Key.backspace,1735660031474
P,Key.backspace,1735660031699
R,Key.backspace,1735660031847
P,Key.backspace,1735660031917
R,Key.backspace,1735660032013
P,Key.backspace,1735660032060
R,Key.backspace,1735660032131
P,h,1735660033396
R,h,1735660033473
P,r,1735660033672
R,r,1735660033739
P,i,1735660033911
R,i,1735660033996
P,s,1735660035138
R,s,1735660035214
P,Key.space,1735660035326
R,Key.space,1735660035434
P,r,1735660037449
R,r,1735660037510
P,o,1735660037699
R,o,1735660037775
P,c,1735660038074
R,c,1735660038167
P,k,1735660038262
R,k,1735660038335
P,Key.space,1735660038417
R,Key.space,1735660038523
P,d,1735660039733
R,d,1735660039828
P,u,1735660040042
R,u,1735660040094
P,r,1735660040261
R,r,1735660040355
P,i,1735660040527
R,i,1735660040580
P,n,1735660040761
R,n,1735660040848
P,g,1735660040998
R,g,1735660041054
P,Key.space,1735660041136
R,Key.space,1735660041249
P,t,1735660042367
R,t,1735660042407
P,h,1735660042513
R,h,1735660042623
P,e,1735660042639
R,e,1735660042735
P,Key.space,1735660042765
R,Key.space,1735660042886
P,Key.caps_lock,1735660042983
R,Key.caps_lock,1735660043105
P,O,1735660043224
R,O,1735660043319
P,Key.caps_lock,1735660043367
R,Key.caps_lock,1735660043463
P,s,1735660043703
R,s,1735660043775
P,c,1735660043973
R,c,1735660044052
P,a,1735660044107
R,a,1735660044200
P,r,1735660044296
R,r,1735660044356
P,e,1735660044372
R,e,1735660044486
P,s,1735660044644
R,s,1735660044726
P,Key.backspace,1735660045683
R,Key.backspace,1735660045767
P,Key.backspace,1735660045871
R,Key.backspace,1735660045980
P,s,1735660046422
R,s,1735660046533
P,Key.comma,1735660046845
R,Key.comma,1735660046917
P,Key.backspace,1735660047336
R,Key.backspace,1735660047426
P,.,1735660047652
R,.,1735660047728
P,Key.space,1735660048833
R,Key.space,1735660048854
P,Key.caps_lock,1735660050761
R,Key.caps_lock,1735660050870
P,S,1735660051017
R,S,1735660051086
P,Key.caps_lock,1735660051170
R,Key.caps_lock,1735660051250
P,m,1735660051329
R,m,1735660051425
P,i,1735660051583
R,i,1735660051676
P,t,1735660051855
R,t,1735660051942
P,h,1735660052051
R,h,1735660052148
P,Key.space,1735660052241
R,Key.space,1735660052337
P,o,1735660053450
R,o,1735660053523
P,Key.backspace,1735660055178
R,Key.backspace,1735660055269
P,w,1735660056020
R,w,1735660056147
P,a,1735660056262
R,a,1735660056368
P,l,1735660056386
R,l,1735660056456
P,k,1735660056589
R,k,1735660056671
P,i,1735660056763
R,i,1735660056847
P,n,1735660056989
R,n,1735660057054
P,g,1735660057230
R,g,1735660057288
P,Key.space,1735660057365
R,Key.space,1735660057491
P,o,1735660057762
R,o,1735660057835
P,n,1735660058048
R,n,1735660058115
P,t,1735660058324
R,t,1735660058355
P,o,1735660058725
R,o,1735660058786
P,Key.space,1735660058904
R,Key.space,1735660059018
P,t,1735660059186
R,t,1735660059239
P,h,1735660059328
R,h,1735660059422
P,e,1735660059422
R,e,1735660059528
P,Key.space,1735660059544
R,Key.space,1735660059653
P,s,1735660059749
R,s,1735660059843
P,t,1735660059923
R,t,1735660059986
P,a,1735660060044
R,a,1735660060155
P,g,1735660060426
R,g,1735660060506
P,e,1735660060560
R,e,1735660060670
P,Key.space,1735660060765
R,Key.space,1735660060849
P,a,1735660136265
R,a,1735660136380
P,n,1735660136435
R,n,1735660136537
P,d,1735660136594
R,d,1735660136733
P,Key.space,1735660136797
R,Key.space,1735660136908
P,s,1735660136908
R,s,1735660137028
P,t,1735660137267
R,t,1735660137386
P,r,1735660137680
R,r,1735660137793
P,i,1735660137889
R,i,1735660137975
P,k,1735660138141
R,k,1735660138227
P,i,1735660138355
R,i,1735660138420
P,n,1735660138560
R,n,1735660138655
P,g,1735660138780
R,g,1735660138876
P,Key.space,1735660138951
R,Key.space,1735660139043
P,r,1735660140512
R,r,1735660140626
P,o,1735660140827
R,o,1735660140908
P,c,1735660141115
R,c,1735660141195
P,k,1735660141292
R,k,1735660141367
P,Key.space,1735660141438
R,Key.space,1735660141574
P,a,1735660142599
R,a,1735660142701
P,f,1735660142908
R,f,1735660142975
P,e,1735660143113
R,e,1735660143230
P,t,1735660143302
R,t,1735660143366
P,r,1735660143480
R,r,1735660143546
P,Key.space,1735660144083
R,Key.space,1735660144186
P,Key.backspace,1735660144675
R,Key.backspace,1735660144759
P,Key.backspace,1735660144835
R,Key.backspace,1735660144938
P,Key.backspace,1735660144992
R,Key.backspace,1735660145076
P,Key.backspace,1735660145668
R,Key.backspace,1735660145780
P,t,1735660146340
R,t,1735660146419
P,e,1735660146482
R,e,1735660146580
P,r,1735660146624
R,r,1735660146670
P,Key.space,1735660146783
R,Key.space,1735660146861
P,r,1735660149517
R,r,1735660149622
P,o,1735660149750
R,o,1735660149850
P,c,1735660150027
R,c,1735660150113
P,k,1735660150240
R,k,1735660150335
P,Key.space,1735660150418
R,Key.space,1735660150543
P,m,1735660151680
R,m,1735660151753
P,a,1735660153269
R,a,1735660153386
P,d,1735660153861
R,d,1735660153917
P,e,1735660153986
R,e,1735660154086
P,Key.space,1735660154141
R,Key.space,1735660154253
P,a,1735660154331
R,a,1735660154514
P,Key.space,1735660154641
R,Key.space,1735660154762
P,j,1735660155511
