Press or Release,Key,Time
P,I,1735660004469
R,I,1735660004620
P,Key.space,1735660004940
R,Key.space,1735660005067
P,L,1735660005349
R,L,1735660005525
P,I,1735660005549
R,I,1735660005679
P,K,1735660005757
R,K,1735660005893
P,E,1735660005940
R,E,1735660006115
P,Key.space,1735660006181
R,Key.space,1735660006283
P,T,1735660006485
P,H,1735660006653
R,T,1735660006660
R,H,1735660006820
P,E,1735660006933
P,Key.space,1735660007100
R,E,1735660007108
R,Key.space,1735660007237
P,S,1735660007492
P,A,1735660007500
R,A,1735660007612
R,S,1735660007660
P,U,1735660007725
R,U,1735660007843
P,Key.backspace,1735660009012
R,Key.backspace,1735660009164
P,Key.backspace,1735660009261
R,Key.backspace,1735660009365
P,U,1735660010213
R,U,1735660010347
P,R,1735660010782
R,R,1735660010901
P,V,1735660011108
R,V,1735660011205
P,E,1735660011293
R,E,1735660011469
P,Y,1735660011725
R,Y,1735660011853
P,Key.space,1735660012365
R,Key.space,1735660012405
P,Key.space,1735660012693
R,Key.space,1735660012901
P,S,1735660015157
R,S,1735660015349
P,O,1735660015421
R,O,1735660015557
P,C,1735660030084
R,C,1735660030275
P,I,1735660030339
R,I,1735660030467
P,A,1735660030556
R,A,1735660030724
P,L,1735660030876
R,L,1735660031004
P,Key.space,1735660031060
R,Key.space,1735660031243
P,M,1735660031268
R,M,1735660031412
P,E,1735660031548
R,E,1735660031651
P,S,1735660031828
R,S,1735660031955
P,Key.backspace,1735660032428
R,Key.backspace,1735660032612
P,D,1735660032732
R,D,1735660032924
P,I,1735660033005
R,I,1735660033172
P,A,1735660033276
P,Key.space,1735660033443
R,A,1735660033452
R,Key.space,1735660033612
P,O,1735660033876
R,O,1735660034012
P,F,1735660034252
R,F,1735660034444
P,Key.space,1735660034491
R,Key.space,1735660034636
P,S,1735660037436
R,S,1735660037595
P,O,1735660037620
R,O,1735660037780
P,C,1735660038268
R,C,1735660038428
P,I,1735660038476
R,I,1735660038611
P,A,1735660038668
R,A,1735660038836
P,L,1735660038898
R,L,1735660039060
P,Key.space,1735660039099
R,Key.space,1735660039251
P,B,1735660039516
R,B,1735660039700
P,O,1735660039740
R,O,1735660039828
P,O,1735660039899
R,O,1735660039996
P,F,1735660040131
R,F,1735660040284
P,Key.backspace,1735660040716
R,Key.backspace,1735660040900
P,K,1735660041212
R,K,1735660041443
P,Key.space,1735660041443
R,Key.space,1735660041596
P,T,1735660044364
R,T,1735660044524
P,H,1735660044571
R,H,1735660044715
P,E,1735660044868
P,Key.space,1735660045019
R,E,1735660045035
R,Key.space,1735660045179
P,N,1735660046010
R,N,1735660046211
P,E,1735660046539
R,E,1735660046660
P,W,1735660046763
R,W,1735660046859
P,W,1735660046956
R,W,1735660046979
P,Key.backspace,1735660047772
R,Key.backspace,1735660047956
P,S,1735660047956
R,S,1735660048138
P,Key.space,1735660048299
R,Key.space,1735660048475
P,G,1735660092763
P,O,1735660092922
R,G,1735660092966
R,O,1735660093020
P,O,1735660093105
R,O,1735660093218
P,D,1735660096683
P,Key.space,1735660096857
R,D,1735660096882
R,Key.space,1735660097034
P,M,1735660098521
R,M,1735660098684
P,O,1735660098786
R,O,1735660098946
P,B,1735660099370
R,B,1735660099538
P,I,1735660099803
R,I,1735660099930
P,L,1735660100002
R,L,1735660100138
P,E,1735660100210
R,E,1735660100385
P,Key.space,1735660100402
R,Key.space,1735660100570
P,M,1735660100866
P,A,1735660101033
R,M,1735660101058
R,A,1735660101194
P,K,1735660102234
R,K,1735660102411
P,T,1735660102506
R,T,1735660102664
P,Key.backspace,1735660104650
R,Key.backspace,1735660104848
P,Key.backspace,1735660105250
R,Key.backspace,1735660105442
P,R,1735660105650
R,R,1735660105849
P,K,1735660105914
R,K,1735660106082
P,E,1735660106811
R,E,1735660106970
P,T,1735660107138
R,T,1735660107329
P,I,1735660107402
R,I,1735660107571
P,N,1735660107745
R,N,1735660107906
P,G,1735660108194
R,G,1735660108369
P,Key.space,1735660114874
R,Key.space,1735660115049
P,L,1735660115161
R,L,1735660115304
P,I,1735660115378
R,I,1735660115538
P,K,1735660115626
R,K,1735660115746
P,E,1735660115930
P,Key.space,1735660116018
R,E,1735660116122
R,Key.space,1735660116193
P,I,1735660116402
P,T,1735660116554
R,I,1735660116578
R,T,1735660116714
P,Key.space,1735660117114
R,Key.space,1735660117257
P,S,1735660117914
R,S,1735660118090
P,O,1735660118113
R,O,1735660118274
P,Key.space,1735660118281
R,Key.space,1735660118482
P,G,1735660118538
P,O,1735660118730
R,G,1735660118745
R,O,1735660118818
P,O,1735660118890
R,O,1735660118985
P,D,1735660119250
P,S,1735660119290
R,S,1735660119321
R,D,1735660119426
P,Key.space,1735660120897
R,Key.space,1735660121073
P,M,1735660121225
R,M,1735660121360
P,O,1735660121561
R,O,1735660121737
P,R,1735660121817
R,R,1735660121946
P,E,1735660122025
R,E,1735660122186
P,Key.space,1735660122193
R,Key.space,1735660122368
P,D,1735660123433
R,D,1735660123601
P,I,1735660124040
