Press or Release,Key,Time
P,s,1735660005560
P,k,1735660005566
P,f,1735660005583
P,d,1735660005583
P,a,1735660005655
R,k,1735660005670
R,a,1735660005703
R,s,1735660005719
R,d,1735660005783
R,f,1735660005790
P,Key.space,1735660005943
R,Key.space,1735660006087
P,i,1735660006246
P,s,1735660006262
R,s,1735660006454
R,i,1735660006470
P,j,1735660006487
R,j,1735660006534
P,Key.space,1735660006590
R,Key.space,1735660006822
P,i,1735660006854
P,d,1735660006966
P,f,1735660006975
R,i,1735660006991
R,f,1735660007127
R,d,1735660007142
P,Key.space,1735660007222
R,Key.space,1735660007391
P,q,1735660007487
P,d,1735660007607
R,q,1735660007646
P,Key.caps_lock,1735660007807
R,d,1735660007831
P,J,1735660008039
R,J,1735660008111
P,W,1735660008134
R,Key.caps_lock,1735660008183
P,I,1735660008191
P,P,1735660008191
P,O,1735660008192
R,P,1735660008222
R,I,1735660008270
R,O,1735660008278
R,W,1735660008302
P,E,1735660008350
P,Key.space,1735660008358
R,E,1735660008374
R,Key.space,1735660008630
P,U,1735660008807
P,A,1735660008815
P,D,1735660008830
R,A,1735660008838
P,S,1735660008846
R,U,1735660008926
R,S,1735660008967
R,D,1735660008982
P,Key.space,1735660008983
P,W,1735660009271
P,E,1735660009278
R,Key.space,1735660009303
R,W,1735660009326
R,E,1735660009422
P,Key.space,1735660009463
R,Key.space,1735660009622
P,U,1735660009910
P,S,1735660009959
P,D,1735660009960
R,U,1735660010038
R,S,1735660010054
R,D,1735660010070
P,Key.space,1735660010151
P,Q,1735660010190
P,W,1735660010198
R,W,1735660010318
R,Q,1735660010342
R,Key.space,1735660010415
P,W,1735660010470
P,H,1735660010550
R,W,1735660010558
R,H,1735660010655
P,Key.space,1735660010727
R,Key.space,1735660010878
P,W,1735660010990
P,U,1735660011062
P,D,1735660011143
R,W,1735660011174
R,U,1735660011262
R,D,1735660011326
P,K,1735660011334
P,Q,1735660011366
P,Key.space,1735660011406
P,D,1735660011446
R,K,1735660011462
R,Q,1735660011478
R,D,1735660011559
R,Key.space,1735660011742
P,U,1735660011806
R,U,1735660011878
P,Key.space,1735660011894
P,W,1735660012038
R,Key.space,1735660012078
R,W,1735660012335
P,Key.space,1735660012438
P,W,1735660012478
R,W,1735660012574
R,Key.space,1735660012606
P,W,1735660012726
P,U,1735660012838
R,W,1735660012878
R,U,1735660012990
P,Key.space,1735660012998
P,W,1735660013038
P,Q,1735660013054
R,Q,1735660013246
R,W,1735660013262
R,Key.space,1735660013286
P,I,1735660013294
P,W,1735660013398
P,U,1735660013446
R,I,1735660013469
R,W,1735660013494
R,U,1735660013582
P,Key.space,1735660013766
R,Key.space,1735660013911
P,U,1735660014086
P,E,1735660014311
R,U,1735660014318
P,D,1735660014326
P,Key.space,1735660014406
R,D,1735660014454
R,E,1735660014469
P,W,1735660014478
P,Q,1735660014494
R,W,1735660014550
R,Key.space,1735660014622
R,Q,1735660014694
P,J,1735660014718
R,J,1735660014846
P,Key.space,1735660014935
P,Q,1735660015038
R,Q,1735660015230
R,Key.space,1735660015238
P,Key.caps_lock,1735660015238
P,e,1735660015239
R,Key.caps_lock,1735660015254
P,d,1735660015277
R,d,1735660015334
R,e,1735660015406
P,i,1735660015421
P,e,1735660015606
R,i,1735660015702
P,d,1735660015709
P,Key.space,1735660015734
R,d,1735660015750
R,e,1735660015830
P,Key.tab,1735660015837
P,Key.caps_lock,1735660015878
R,Key.space,1735660015934
P,E,1735660016030
P,U,1735660016038
R,Key.caps_lock,1735660016062
R,Key.tab,1735660016078
R,U,1735660016205
R,E,1735660016221
P,I,1735660016262
P,J,1735660016382
R,I,1735660016405
R,J,1735660016478
P,Key.space,1735660016526
P,Q,1735660016590
P,W,1735660016598
R,Key.space,1735660016686
P,E,1735660021742
P,J,1735660021791
