Press or Release,Key,Time
P,t,1735660003638
R,t,1735660003782
P,h,1735660003798
R,h,1735660003878
P,e,1735660003950
P,Key.space,1735660004046
R,e,1735660004078
R,Key.space,1735660004118
P,c,1735660004678
R,c,1735660004806
P,o,1735660004927
R,o,1735660005005
P,u,1735660005173
R,u,1735660005246
P,a,1735660005415
R,a,1735660005574
P,c,1735660005643
R,c,1735660005774
P,h,1735660005774
R,h,1735660005853
P,Key.space,1735660005982
R,Key.space,1735660006070
P,Key.backspace,1735660007854
R,Key.backspace,1735660007894
P,Key.backspace,1735660007990
R,Key.backspace,1735660008062
P,Key.backspace,1735660008142
R,Key.backspace,1735660008215
P,Key.backspace,1735660008310
R,Key.backspace,1735660008382
P,Key.backspace,1735660008486
R,Key.backspace,1735660008565
P,Key.backspace,1735660008654
R,Key.backspace,1735660008750
P,o,1735660009860
R,o,1735660009918
P,a,1735660010087
R,a,1735660010221
P,c,1735660010349
R,c,1735660010477
P,h,1735660010517
R,h,1735660010589
P,Key.space,1735660010702
R,Key.space,1735660010790
P,i,1735660010950
R,i,1735660011046
P,s,1735660011149
R,s,1735660011270
P,Key.space,1735660011270
R,Key.space,1735660011325
P,c,1735660014669
R,c,1735660014790
P,o,1735660014862
R,o,1735660014934
P,m,1735660016534
R,m,1735660016614
P,i,1735660016718
R,i,1735660016790
P,n,1735660017046
R,n,1735660017134
P,g,1735660017183
P,Key.space,1735660017276
R,g,1735660017288
R,Key.space,1735660017350
P,t,1735660017494
R,t,1735660017646
P,h,1735660017757
R,h,1735660017828
P,e,1735660017945
P,Key.space,1735660018063
R,e,1735660018078
R,Key.space,1735660018118
P,c,1735660018974
R,c,1735660019126
P,l,1735660019198
R,l,1735660019294
P,a,1735660019398
R,a,1735660019534
P,s,1735660019646
R,s,1735660019734
P,s,1735660019806
R,s,1735660019934
P,Key.space,1735660020014
R,Key.space,1735660020078
P,r,1735660020958
R,r,1735660021046
P,o,1735660021294
R,o,1735660021357
P,o,1735660021423
R,o,1735660021502
P,m,1735660021773
R,m,1735660021856
P,Key.space,1735660021957
R,Key.space,1735660022023
P,Key.comma,1735660023190
R,Key.comma,1735660023238
P,Key.space,1735660023406
R,Key.space,1735660023462
P,t,1735660023702
R,t,1735660023846
P,h,1735660023846
R,h,1735660023919
P,Key.backspace,1735660024367
R,Key.backspace,1735660024439
P,Key.backspace,1735660024502
R,Key.backspace,1735660024565
P,s,1735660025293
R,s,1735660025438
P,o,1735660025485
R,o,1735660025565
P,m,1735660025654
R,m,1735660025742
P,e,1735660025814
P,Key.space,1735660025878
R,e,1735660025959
R,Key.space,1735660025959
P,s,1735660026862
R,s,1735660027022
P,t,1735660027205
R,t,1735660027344
P,u,1735660027344
R,u,1735660027406
P,d,1735660027496
R,d,1735660027638
P,e,1735660027734
P,n,1735660027735
R,n,1735660027838
R,e,1735660027865
P,Key.space,1735660027965
R,Key.space,1735660028045
P,Key.backspace,1735660029015
R,Key.backspace,1735660029078
P,t,1735660029262
R,t,1735660029390
P,Key.space,1735660029437
R,Key.space,1735660029526
P,a,1735660030814
R,a,1735660030974
P,r,1735660031077
R,r,1735660031205
P,e,1735660031253
R,e,1735660031397
P,Key.space,1735660031445
R,Key.space,1735660031560
P,b,1735660032797
R,b,1735660032929
P,e,1735660033160
R,e,1735660033342
P,g,1735660036893
R,g,1735660036998
P,a,1735660037077
R,a,1735660037229
P,v,1735660037295
R,v,1735660037430
P,e,1735660037526
R,e,1735660037669
P,i,1735660038045
R,i,1735660038142
P,n,1735660038217
R,n,1735660038309
P,g,1735660038365
P,Key.space,1735660038445
R,g,1735660038471
R,Key.space,1735660038534
P,v,1735660046142
R,v,1735660046248
P,e,1735660046461
R,e,1735660046622
P,r,1735660046637
R,r,1735660046765
P,y,1735660046846
R,y,1735660046925
P,Key.space,1735660047045
R,Key.space,1735660047141
P,b,1735660047406
R,b,1735660047565
P,a,1735660047645
R,a,1735660047806
P,d,1735660047902
P,Key.space,1735660048059
R,d,1735660048094
R,Key.space,1735660048118
P,t,1735660048311
R,t,1735660048454
P,o,1735660049318
R,o,1735660049398
P,Key.space,1735660049550
R,Key.space,1735660049622
