Press or Release,Key,Time
P,w,1735660005016
P,q,1735660005071
R,q,1735660005093
R,w,1735660005125
P,w,1735660005262
P,q,1735660005305
R,q,1735660005391
R,w,1735660005421
P,i,1735660005552
P,q,1735660005715
P,w,1735660005738
P,o,1735660005776
P,e,1735660005816
R,q,1735660005838
R,o,1735660005858
R,w,1735660005872
P,u,1735660005894
R,i,1735660005914
P,w,1735660005982
P,q,1735660005984
R,u,1735660006086
P,p,1735660006092
P,o,1735660006094
P,r,1735660006138
R,r,1735660006166
P,i,1735660006222
R,q,1735660006246
P,r,1735660006260
R,w,1735660006269
R,e,1735660006303
R,o,1735660006333
R,i,1735660006333
R,p,1735660006333
P,w,1735660006382
R,r,1735660006403
P,e,1735660006415
P,p,1735660006471
P,o,1735660006498
R,w,1735660006533
R,e,1735660006535
P,r,1735660006641
P,e,1735660006647
P,w,1735660006664
R,p,1735660006670
P,u,1735660006689
R,w,1735660006760
R,e,1735660006780
R,o,1735660006815
P,w,1735660006949
P,e,1735660007005
R,r,1735660007021
P,p,1735660007110
R,u,1735660007134
P,r,1735660007150
R,w,1735660007181
R,e,1735660007190
P,w,1735660007315
P,e,1735660007320
R,r,1735660007332
P,o,1735660007373
P,i,1735660007439
P,r,1735660007455
R,e,1735660007478
R,w,1735660007488
R,p,1735660007547
P,w,1735660007598
P,e,1735660007610
R,r,1735660007627
R,o,1735660007648
P,j,1735660007662
R,i,1735660007690
P,r,1735660007712
R,w,1735660007821
R,e,1735660007831
P,l,1735660007895
P,k,1735660007904
P,w,1735660007943
P,e,1735660007951
R,r,1735660007973
P,r,1735660008064
R,w,1735660008101
R,e,1735660008108
R,l,1735660008120
R,k,1735660008141
P,w,1735660008229
P,e,1735660008241
R,r,1735660008262
P,k,1735660008274
P,l,1735660008284
P,r,1735660008374
R,w,1735660008428
R,e,1735660008464
R,k,1735660008472
R,l,1735660008472
P,h,1735660008472
R,j,1735660008498
R,r,1735660008541
P,w,1735660008550
P,e,1735660008566
R,h,1735660008615
P,k,1735660008622
P,j,1735660008630
P,l,1735660008699
R,l,1735660008737
