Press or Release,Key,Time
P,Key.shift,1735660008082
P,T,1735660008721
R,T,1735660008897
P,H,1735660008914
R,Key.shift,1735660008930
R,H,1735660009089
P,e,1735660009217
R,e,1735660009346
P,Key.space,1735660009377
R,Key.space,1735660009507
P,Key.shift,1735660009924
P,U,1735660010081
R,Key.shift,1735660010162
R,U,1735660010209
P,k,1735660010369
R,k,1735660010513
P,r,1735660010593
R,r,1735660010705
P,a,1735660010769
P,i,1735660010818
R,a,1735660010897
R,i,1735660010929
P,n,1735660011009
R,n,1735660011153
P,e,1735660011970
R,e,1735660012113
P,Key.backspace,1735660014610
R,Key.backspace,1735660014673
P,h,1735660014993
R,h,1735660015106
P,Key.space,1735660016641
R,Key.space,1735660016754
P,Key.shift,1735660017203
P,P,1735660017361
R,Key.shift,1735660017442
R,P,1735660017489
P,r,1735660017554
R,r,1735660017732
P,e,1735660017777
R,e,1735660017825
P,s,1735660018113
R,s,1735660018258
P,i,1735660018691
R,i,1735660018786
P,d,1735660018851
R,d,1735660018946
P,e,1735660019057
R,e,1735660019201
P,n,1735660019297
R,n,1735660019425
P,t,1735660019442
R,t,1735660019538
P,Key.space,1735660019634
R,Key.space,1735660019698
P,d,1735660023714
R,d,1735660023841
P,i,1735660023938
R,i,1735660024050
P,s,1735660024114
R,s,1735660024226
P,c,1735660024386
R,c,1735660024502
P,u,1735660024674
R,u,1735660024786
P,s,1735660024833
R,s,1735660024930
P,s,1735660025025
R,s,1735660025121
P,Key.space,1735660025185
R,Key.space,1735660025282
P,a,1735660025361
P,b,1735660025490
R,a,1735660025506
R,b,1735660025602
P,o,1735660025666
P,u,1735660025794
R,o,1735660025841
R,u,1735660025922
P,t,1735660025970
R,t,1735660026082
P,Key.space,1735660026100
R,Key.space,1735660026194
P,t,1735660026242
P,h,1735660026290
R,t,1735660026354
R,h,1735660026385
P,e,1735660026466
R,e,1735660026529
P,Key.space,1735660026578
R,Key.space,1735660026658
P,c,1735660026705
R,c,1735660026801
P,a,1735660026929
R,a,1735660027074
P,u,1735660027138
R,u,1735660027265
P,s,1735660027378
R,s,1735660027522
P,e,1735660027522
R,e,1735660027650
P,s,1735660028474
R,s,1735660028609
P,Key.space,1735660028673
R,Key.space,1735660028755
P,i,1735660028786
R,i,1735660028897
P,n,1735660028961
