Press or Release,Key,Time
P,T,1735660003154
R,T,1735660003308
P,H,1735660003308
R,H,1735660003402
P,E,1735660003465
P,Key.space,1735660003594
R,E,1735660003619
R,Key.space,1735660003682
P,C,1735660004387
R,C,1735660004555
P,O,1735660004555
R,O,1735660004626
P,A,1735660004697
R,A,1735660004835
P,C,1735660004912
P,H,1735660005026
R,C,1735660005057
R,H,1735660005098
P,Key.space,1735660005210
R,Key.space,1735660005282
P,I,1735660005385
R,I,1735660005491
P,S,1735660005530
P,Key.space,1735660005643
R,S,1735660005682
R,Key.space,1735660005730
P,E,1735660006034
P,N,1735660006122
R,E,1735660006213
R,N,1735660006213
P,T,1735660006278
R,T,1735660006402
P,E,1735660006484
P,R,1735660006577
R,E,1735660006602
R,R,1735660006706
P,Key.space,1735660006754
R,Key.space,1735660006834
P,I,1735660006962
R,I,1735660007091
P,N,1735660007178
R,N,1735660007274
P,Key.space,1735660007370
R,Key.space,1735660007458
P,T,1735660007530
R,T,1735660007650
P,H,1735660007675
R,H,1735660007754
P,E,1735660007817
R,E,1735660007954
P,Key.space,1735660007955
R,Key.space,1735660008042
P,C,1735660008410
R,C,1735660008578
P,L,1735660008578
R,L,1735660008651
P,A,1735660008737
R,A,1735660008850
P,S,1735660008947
R,S,1735660009050
P,S,1735660009130
R,S,1735660009250
P,Key.space,1735660009298
R,Key.space,1735660009363
P,R,1735660011195
R,R,1735660011306
P,O,1735660022434
R,O,1735660022490
P,O,1735660022562
R,O,1735660022642
P,M,1735660022729
R,M,1735660022826
P,Key.space,1735660022946
R,Key.space,1735660023017
P,Key.comma,1735660038463
R,Key.comma,1735660038533
P,Key.space,1735660038651
R,Key.space,1735660038729
P,N,1735660038987
R,N,1735660039059
P,O,1735660039337
R,O,1735660039433
P,Key.space,1735660039558
R,Key.space,1735660039635
P,O,1735660039764
R,O,1735660039867
P,N,1735660039971
R,N,1735660040058
P,E,1735660040154
P,Key.space,1735660040265
R,E,1735660040309
R,Key.space,1735660040363
P,R,1735660041577
R,R,1735660041665
P,E,1735660041721
R,E,1735660041851
P,S,1735660041995
R,S,1735660042122
P,P,1735660042177
R,P,1735660042258
P,E,1735660042362
R,E,1735660042466
P,C,1735660042604
R,C,1735660042745
P,T,1735660042866
R,T,1735660043018
P,Key.space,1735660044115
R,Key.space,1735660044178
P,T,1735660044330
R,T,1735660044466
P,O,1735660044466
R,O,1735660044565
P,Key.space,1735660044714
R,Key.space,1735660044770
P,T,1735660044834
R,T,1735660044970
P,H,1735660044971
R,H,1735660045050
P,E,1735660045106
R,E,1735660045242
P,M,1735660045298
R,M,1735660045376
P,Key.space,1735660045491
R,Key.space,1735660045563
P,A,1735660045649
R,A,1735660045778
P,D,1735660045857
P,N,1735660045860
R,N,1735660045931
R,D,1735660045987
P,Key.space,1735660046082
R,Key.space,1735660046155
P,T,1735660046346
R,T,1735660046505
P,Key.backspace,1735660047157
R,Key.backspace,1735660047202
P,Key.backspace,1735660047290
R,Key.backspace,1735660047385
P,Key.backspace,1735660047442
R,Key.backspace,1735660047514
P,Key.backspace,1735660047618
R,Key.backspace,1735660047709
P,Key.backspace,1735660048355
R,Key.backspace,1735660048491
P,A,1735660050857
R,A,1735660051058
P,N,1735660051138
P,D,1735660051179
R,N,1735660051274
R,D,1735660051332
P,Key.space,1735660051410
R,Key.space,1735660051498
