Press or Release,Key,Time
P,t,1735660004229
P,h,1735660004337
R,t,1735660004363
R,h,1735660004437
P,i,1735660004581
R,i,1735660004707
P,s,1735660005003
R,s,1735660005149
P,Key.space,1735660005154
R,Key.space,1735660005244
P,i,1735660005549
R,i,1735660005631
P,n,1735660005752
R,n,1735660005843
P,c,1735660006115
R,c,1735660006202
P,i,1735660006383
R,i,1735660006463
P,d,1735660007508
R,d,1735660007627
P,e,1735660007640
R,e,1735660007773
P,n,1735660007877
R,n,1735660007960
P,t,1735660008155
R,t,1735660008250
P,Key.space,1735660008294
R,Key.space,1735660008362
P,t,1735660009744
R,t,1735660009823
P,o,1735660009979
R,o,1735660010038
P,o,1735660010122
R,o,1735660010175
P,k,1735660010313
R,k,1735660010365
P,Key.space,1735660010500
R,Key.space,1735660010545
P,p,1735660011842
R,p,1735660011916
P,l,1735660012069
R,l,1735660012137
P,a,1735660012196
R,a,1735660012337
P,c,1735660012542
R,c,1735660012653
P,e,1735660012713
R,e,1735660012821
P,Key.space,1735660012893
R,Key.space,1735660012928
P,Key.space,1735660014968
R,Key.space,1735660015065
P,b,1735660016023
R,b,1735660016102
P,e,1735660016256
R,e,1735660016382
P,t,1735660016607
R,t,1735660016691
P,w,1735660017015
R,w,1735660017126
P,e,1735660017213
R,e,1735660017295
P,e,1735660017358
R,e,1735660017417
P,n,1735660017509
R,n,1735660017578
P,Key.space,1735660017679
R,Key.space,1735660017740
P,t,1735660018727
R,t,1735660018830
P,h,1735660018876
R,h,1735660018984
P,e,1735660019069
R,e,1735660019193
P,Key.space,1735660019237
R,Key.space,1735660019319
P,u,1735660020377
R,u,1735660020466
P,n,1735660020603
R,n,1735660020674
P,i,1735660020850
R,i,1735660020943
P,t,1735660021260
R,t,1735660021350
P,e,1735660021386
R,e,1735660021490
P,d,1735660021728
R,d,1735660021810
P,Key.space,1735660021860
R,Key.space,1735660021924
P,s,1735660022979
R,s,1735660023097
P,t,1735660023283
R,t,1735660023349
P,a,1735660023384
R,a,1735660023538
P,e,1735660023829
R,e,1735660023905
P,s,1735660024035
R,s,1735660024140
P,Key.space,1735660024164
R,Key.space,1735660024229
P,Key.backspace,1735660025788
R,Key.backspace,1735660025861
P,Key.backspace,1735660025944
R,Key.backspace,1735660026008
P,Key.backspace,1735660026055
R,Key.backspace,1735660026125
P,t,1735660027318
R,t,1735660027441
P,e,1735660027459
R,e,1735660027573
P,s,1735660027677
R,s,1735660027789
P,Key.space,1735660027794
R,Key.space,1735660027885
P,o,1735660028579
R,o,1735660028677
P,f,1735660029008
R,f,1735660029099
P,Key.space,1735660029188
R,Key.space,1735660029254
P,a,1735660029394
R,a,1735660029554
P,m,1735660029624
R,m,1735660029694
P,e,1735660029870
R,e,1735660029966
P,r,1735660031479
R,r,1735660031576
P,i,1735660031734
R,i,1735660031835
P,c,1735660032254
R,c,1735660032342
P,a,1735660032376
R,a,1735660032455
P,Key.space,1735660032518
R,Key.space,1735660032580
P,p,1735660033844
R,p,1735660033914
P,r,1735660035758
R,r,1735660035826
P,e,1735660035961
R,e,1735660036056
P,s,1735660037229
