Press or Release,Key,Time
P,c,1735660004530
R,c,1735660004662
P,o,1735660004706
R,o,1735660004815
P,a,1735660005111
R,a,1735660005246
P,c,1735660005452
R,c,1735660005574
P,h,1735660005773
R,h,1735660005878
P,Key.space,1735660007091
R,Key.space,1735660007189
P,c,1735660007985
R,c,1735660008079
P,a,1735660008122
R,a,1735660008273
P,r,1735660008747
R,r,1735660008842
P,t,1735660008933
R,t,1735660009020
P,e,1735660009090
R,e,1735660009202
P,r,1735660009282
R,r,1735660009390
P,Key.space,1735660009475
R,Key.space,1735660009544
P,h,1735660010676
R,h,1735660010740
P,e,1735660010895
R,e,1735660010995
P,p,1735660011265
R,p,1735660011329
P,Key.backspace,1735660012339
R,Key.backspace,1735660012414
P,l,1735660013424
R,l,1735660013505
P,p,1735660013609
R,p,1735660013709
P,e,1735660013791
R,e,1735660013945
P,d,1735660014161
R,d,1735660014295
P,Key.space,1735660014344
R,Key.space,1735660014419
P,t,1735660014571
R,t,1735660014658
P,h,1735660014690
R,h,1735660014794
P,e,1735660014869
R,e,1735660014989
P,Key.space,1735660015041
R,Key.space,1735660015107
P,p,1735660016369
R,p,1735660016434
P,l,1735660016603
R,l,1735660016639
P,a,1735660016830
R,a,1735660016952
P,y,1735660017236
R,y,1735660017326
P,e,1735660017532
R,e,1735660017645
P,r,1735660017731
R,r,1735660017811
P,s,1735660017999
R,s,1735660018094
P,Key.space,1735660018170
R,Key.space,1735660018225
P,g,1735660018814
R,g,1735660018880
P,e,1735660019022
R,e,1735660019133
P,t,1735660019446
R,t,1735660019535
P,Key.space,1735660019809
R,Key.space,1735660019878
P,b,1735660020334
R,b,1735660020387
P,e,1735660020771
R,e,1735660020889
P,t,1735660021088
R,t,1735660021180
P,t,1735660021248
R,t,1735660021315
P,e,1735660021399
R,e,1735660021510
P,r,1735660021584
R,r,1735660021660
P,Key.space,1735660021722
R,Key.space,1735660021783
P,a,1735660022534
R,a,1735660022660
P,t,1735660022946
R,t,1735660023018
P,Key.backspace,1735660023890
R,Key.backspace,1735660023991
P,c,1735660024987
R,c,1735660025066
P,a,1735660025182
R,a,1735660025305
P,d,1735660026450
R,d,1735660026545
P,e,1735660026599
R,e,1735660026683
P,m,1735660027001
R,m,1735660027107
P,i,1735660028702
R,i,1735660028804
P,c,1735660029155
R,c,1735660029251
P,a,1735660029316
R,a,1735660029426
P,l,1735660029795
R,l,1735660029843
P,l,1735660030896
R,l,1735660030957
P,y,1735660032154
R,y,1735660032246
P,Key.space,1735660034572
R,Key.space,1735660034623
P,a,1735660035617
R,a,1735660035749
P,n,1735660035939
R,n,1735660036026
P,d,1735660036091
R,d,1735660036199
P,Key.space,1735660036244
R,Key.space,1735660036314
P,a,1735660036629
R,a,1735660036760
P,l,1735660037051
R,l,1735660037113
P,s,1735660037206
R,s,1735660037318
P,o,1735660037419
R,o,1735660037486
P,Key.space,1735660037684
R,Key.space,1735660037781
P,m,1735660041397
R,m,1735660041456
P,a,1735660041504
R,a,1735660041635
P,d,1735660041822
R,d,1735660041922
P,e,1735660041949
R,e,1735660042079
P,Key.space,1735660042106
R,Key.space,1735660042170
P,Key.backspace,1735660048870
R,Key.backspace,1735660048912
P,Key.backspace,1735660048992
R,Key.backspace,1735660049048
P,Key.backspace,1735660049118
R,Key.backspace,1735660049154
P,Key.backspace,1735660049210
R,Key.backspace,1735660049287
P,Key.backspace,1735660049322
R,Key.backspace,1735660049387
P,Key.backspace,1735660049433
R,Key.backspace,1735660049503
P,h,1735660051319
R,h,1735660051394
P,e,1735660051606
R,e,1735660051703
P,l,1735660052091
R,l,1735660052144
P,p,1735660052298
R,p,1735660052347
P,Key.backspace,1735660053616
R,Key.backspace,1735660053691
P,Key.backspace,1735660053750
R,Key.backspace,1735660053817
P,Key.backspace,1735660053878
R,Key.backspace,1735660053939
P,Key.backspace,1735660054722
R,Key.backspace,1735660054816
P,Key.space,1735660055305
R,Key.space,1735660055361
P,h,1735660056600
R,h,1735660056691
P,e,1735660057176
R,e,1735660057306
P,l,1735660057490
R,l,1735660057579
P,p,1735660057683
R,p,1735660057775
P,e,1735660058076
R,e,1735660058236
P,d,1735660058250
R,d,1735660058379
P,Key.space,1735660058389
R,Key.space,1735660058452
P,t,1735660058681
R,t,1735660058763
P,h,1735660058815
