Press or Release,Key,Time
P,Key.shift,1735660005089
R,Key.shift,1735660005481
P,t,1735660005554
R,t,1735660005614
P,e,1735660005843
R,e,1735660005959
P,n,1735660005977
R,n,1735660006089
P,s,1735660006304
R,s,1735660006457
P,i,1735660006550
R,i,1735660006660
P,o,1735660006757
R,o,1735660006867
P,n,1735660007028
R,n,1735660007128
P,Key.space,1735660007242
R,Key.space,1735660007341
P,c,1735660007544
R,c,1735660007656
P,a,1735660007738
R,a,1735660007873
P,n,1735660007984
R,n,1735660008099
P,Key.space,1735660008209
R,Key.space,1735660008313
P,y,1735660008516
R,y,1735660008609
P,o,1735660009037
R,o,1735660009147
P,u,1735660009283
R,u,1735660009385
P,Key.space,1735660009558
R,Key.space,1735660009654
P,f,1735660009871
R,f,1735660010039
P,e,1735660010165
R,e,1735660010308
P,e,1735660010385
R,e,1735660010557
P,l,1735660010589
R,l,1735660010697
P,Key.space,1735660010878
R,Key.space,1735660010966
P,Key.space,1735660019460
R,Key.space,1735660019571
P,Key.shift,1735660020256
R,Key.shift,1735660020479
P,t,1735660020488
R,t,1735660020594
P,r,1735660020786
R,r,1735660020871
P,u,1735660021379
R,u,1735660021484
P,m,1735660021679
R,m,1735660021788
P,p,1735660022202
R,p,1735660022304
P,Key.space,1735660022485
R,Key.space,1735660022591
P,a,1735660022686
R,a,1735660022836
P,n,1735660022872
R,n,1735660022971
P,d,1735660023116
P,Key.space,1735660023232
R,d,1735660023247
R,Key.space,1735660023340
P,Key.shift,1735660023617
P,V,1735660023844
R,Key.shift,1735660023845
R,V,1735660023949
P,a,1735660024061
R,a,1735660024209
P,n,1735660024378
R,n,1735660024501
P,c,1735660024703
R,c,1735660024818
P,e,1735660024924
P,Key.space,1735660025051
R,e,1735660025078
R,Key.space,1735660025177
P,Key.shift,1735660025426
P,C,1735660025632
R,Key.shift,1735660025656
R,C,1735660025739
P,a,1735660025930
R,a,1735660026092
P,l,1735660026249
R,l,1735660026348
P,l,1735660026446
R,l,1735660026697
P,i,1735660026698
R,i,1735660026764
P,n,1735660026935
R,n,1735660027038
P,g,1735660027235
R,g,1735660027308
P,Key.space,1735660027490
R,Key.space,1735660027593
P,Key.shift,1735660027804
P,Z,1735660028128
R,Key.shift,1735660028152
R,Z,1735660028249
P,e,1735660028576
R,e,1735660028712
P,l,1735660028799
P,e,1735660028881
R,l,1735660028925
R,e,1735660029062
P,n,1735660029205
R,n,1735660029307
P,s,1735660029544
R,s,1735660029672
P,k,1735660030338
R,k,1735660030463
P,y,1735660030758
R,y,1735660030891
P,y,1735660030929
R,y,1735660031049
P,Key.space,1735660031261
R,Key.space,1735660031461
P,',1735660035964
R,',1735660036101
P,Key.space,1735660036307
R,Key.space,1735660036363
P,d,1735660036672
R,d,1735660036828
P,i,1735660036855
R,i,1735660036953
P,s,1735660037021
R,s,1735660037162
P,r,1735660037906
R,r,1735660038012
P,e,1735660038071
R,e,1735660038236
P,s,1735660038351
R,s,1735660038525
P,p,1735660038764
R,p,1735660038930
P,e,1735660038948
R,e,1735660039069
P,c,1735660039231
R,c,1735660039352
P,t,1735660039514
R,t,1735660039615
P,f,1735660040016
R,f,1735660040176
P,u,1735660040384
R,u,1735660040498
P,l,1735660040662
R,l,1735660040782
P,Key.space,1735660040956
R,Key.space,1735660041068
P,i,1735660041263
R,i,1735660041358
P,n,1735660041496
R,n,1735660041603
P,Key.space,1735660041716
R,Key.space,1735660041817
P,t,1735660042022
R,t,1735660042097
P,h,1735660042208
R,h,1735660042318
P,e,1735660042396
P,Key.space,1735660042537
R,e,1735660042557
R,Key.space,1735660042639
P,o,1735660042941
R,o,1735660043057
P,v,1735660043399
R,v,1735660043494
P,a,1735660043599
R,a,1735660043753
P,l,1735660043963
R,l,1735660044072
P,Key.space,1735660044210
R,Key.space,1735660044303
P,o,1735660044494
R,o,1735660044586
P,f,1735660044816
R,f,1735660044916
P,f,1735660044991
R,f,1735660045173
P,i,1735660045177
R,i,1735660045289
P,c,1735660045500
R,c,1735660045609
P,e,1735660045672
R,e,1735660045833
P,Key.space,1735660045858
R,Key.space,1735660045968
P,',1735660049449
R,',1735660049581
P,Key.space,1735660049742
R,Key.space,1735660049838
P,Key.space,1735660058468
R,Key.space,1735660058581
P,s,1735660058685
R,s,1735660058834
P,h,1735660059307
R,h,1735660059409
P,o,1735660059601
R,o,1735660059701
P,w,1735660059834
R,w,1735660059977
P,s,1735660060237
R,s,1735660060410
P,Key.space,1735660060442
R,Key.space,1735660060582
P,h,1735660061112
R,h,1735660061221
P,o,1735660061520
R,o,1735660061627
P,w,1735660061857
P,Key.space,1735660062035
R,w,1735660062037
R,Key.space,1735660062145
P,d,1735660062321
P,e,1735660062480
R,d,1735660062558
R,e,1735660062651
P,l,1735660062801
R,l,1735660062931
P,i,1735660063074
R,i,1735660063170
P,g,1735660063386
R,g,1735660063500
P,a,1735660063524
R,a,1735660063692
P,t,1735660063740
R,t,1735660063841
P,e,1735660063947
R,e,1735660064100
P,Key.space,1735660064100
R,Key.space,1735660064268
P,Key.space,1735660072021
R,Key.space,1735660072160
P,g,1735660072400
R,g,1735660072508
P,l,1735660072805
R,l,1735660072906
P,o,1735660073014
R,o,1735660073104
P,b,1735660073289
R,b,1735660073400
P,a,1735660073554
R,a,1735660073663
P,l,1735660073700
R,l,1735660073810
P,Key.space,1735660073964
R,Key.space,1735660074067
P,d,1735660074233
R,d,1735660074381
P,i,1735660074447
R,i,1735660074576
P,p,1735660074745
R,p,1735660074848
P,l,1735660074984
R,l,1735660075108
P,o,1735660075212
R,o,1735660075308
P,m,1735660075456
R,m,1735660075567
P,a,1735660075638
R,a,1735660075794
P,c,1735660075938
R,c,1735660076049
P,e,1735660076139
P,Key.space,1735660076268
R,e,1735660076286
R,Key.space,1735660076411
P,Key.backspace,1735660077894
R,Key.backspace,1735660077988
P,Key.backspace,1735660078067
R,Key.backspace,1735660078156
P,y,1735660078469
R,y,1735660078570
P,Key.space,1735660078724
