Press or Release,Key,Time
P,T,1735660002192
R,T,1735660002285
P,H,1735660002430
R,H,1735660002518
P,E,1735660002677
R,E,1735660002782
P,Key.space,1735660002862
R,Key.space,1735660002943
P,T,1735660003141
R,T,1735660003233
P,R,1735660003397
R,R,1735660003503
P,U,1735660003813
R,U,1735660003898
P,M,1735660004231
R,M,1735660004293
P,P,1735660004478
R,P,1735660004550
P,M,1735660005046
R,M,1735660005141
P,Key.backspace,1735660006341
R,Key.backspace,1735660006412
P,Key.space,1735660007886
R,Key.space,1735660007932
P,M,1735660008148
R,M,1735660008221
P,E,1735660008437
R,E,1735660008541
P,E,1735660008649
R,E,1735660008709
P,T,1735660008861
R,T,1735660008974
P,I,1735660009143
R,I,1735660009214
P,N,1735660009400
R,N,1735660009470
P,G,1735660009661
R,G,1735660009758
P,Key.space,1735660009975
R,Key.space,1735660010076
P,I,1735660010893
R,I,1735660010948
P,S,1735660011156
R,S,1735660011285
P,Key.space,1735660011374
R,Key.space,1735660011445
P,V,1735660011653
R,V,1735660011734
P,E,1735660011872
R,E,1735660012037
P,R,1735660012037
R,R,1735660012134
P,Y,1735660012385
R,Y,1735660012457
P,Key.space,1735660012662
R,Key.space,1735660012744
P,R,1735660013045
R,R,1735660013136
P,E,1735660013270
R,E,1735660013365
P,S,1735660013741
R,S,1735660013839
P,P,1735660014325
R,P,1735660014413
P,O,1735660014565
R,O,1735660014645
P,N,1735660014934
R,N,1735660015013
P,S,1735660016172
R,S,1735660016271
P,I,1735660016430
R,I,1735660016479
P,V,1735660016683
R,V,1735660016742
P,E,1735660017061
R,E,1735660017181
P,Key.space,1735660017562
R,Key.space,1735660017669
P,T,1735660022383
R,T,1735660022478
P,O,1735660022606
R,O,1735660022701
P,Key.space,1735660022889
R,Key.space,1735660022973
P,M,1735660023127
R,M,1735660023229
P,A,1735660023293
R,A,1735660023445
P,K,1735660023557
R,K,1735660023653
P,E,1735660023725
R,E,1735660023836
P,Key.space,1735660023909
R,Key.space,1735660023997
P,O,1735660024169
R,O,1735660024246
P,N,1735660024421
R,N,1735660024494
P,Key.space,1735660024663
R,Key.space,1735660024733
P,E,1735660028501
R,E,1735660028602
P,V,1735660028957
R,V,1735660029030
P,E,1735660029306
R,E,1735660029319
P,R,1735660029467
R,R,1735660029513
P,Y,1735660029755
R,Y,1735660029784
P,Key.space,1735660030014
R,Key.space,1735660030071
P,P,1735660030342
R,P,1735660030446
P,O,1735660030550
R,O,1735660030624
P,L,1735660030765
R,L,1735660030855
P,I,1735660031022
R,I,1735660031102
P,T,1735660034375
R,T,1735660034477
P,I,1735660034680
R,I,1735660034774
P,C,1735660034936
R,C,1735660035021
P,S,1735660035224
R,S,1735660035333
P,Key.comma,1735660035813
R,Key.comma,1735660035894
P,Key.backspace,1735660036519
R,Key.backspace,1735660036598
P,.,1735660036936
R,.,1735660037005
P,Key.space,1735660037173
R,Key.space,1735660037253
P,T,1735660037400
R,T,1735660037512
P,H,1735660037638
R,H,1735660037702
P,E,1735660037858
R,E,1735660037992
P,Key.space,1735660038069
