Press or Release,Key,Time
P,A,1735660006349
R,A,1735660006429
P,Key.caps_lock,1735660006554
P,Key.space,1735660006663
R,Key.caps_lock,1735660006689
R,Key.space,1735660006756
P,h,1735660006912
R,h,1735660006975
P,w,1735660007053
R,w,1735660007144
P,a,1735660007378
R,a,1735660007520
P,Key.backspace,1735660008397
R,Key.backspace,1735660008507
P,Key.backspace,1735660008554
R,Key.backspace,1735660008640
P,Key.backspace,1735660008718
R,Key.backspace,1735660008792
P,h,1735660010311
R,h,1735660010374
P,e,1735660010545
R,e,1735660010639
P,a,1735660010796
R,a,1735660010906
P,t,1735660010984
R,t,1735660011041
P,e,1735660011120
R,e,1735660011190
P,d,1735660011362
R,d,1735660011473
P,Key.space,1735660011504
R,Key.space,1735660011605
P,a,1735660013470
R,a,1735660013587
P,r,1735660013798
R,r,1735660013857
P,g,1735660014044
R,g,1735660014125
P,u,1735660014281
R,u,1735660014358
P,m,1735660014608
R,m,1735660014691
P,e,1735660014926
R,e,1735660015021
P,b,1735660015209
R,b,1735660015275
P,Key.backspace,1735660015838
R,Key.backspace,1735660015924
P,n,1735660016174
R,n,1735660016272
P,t,1735660016429
R,t,1735660016491
P,Key.space,1735660016553
R,Key.space,1735660016685
P,e,1735660017788
R,e,1735660017841
P,r,1735660017982
R,r,1735660018072
P,u,1735660018260
R,u,1735660018325
P,p,1735660018481
R,p,1735660018541
P,t,1735660018791
R,t,1735660018903
P,e,1735660019044
R,e,1735660019128
P,d,1735660020394
R,d,1735660020474
P,Key.space,1735660020599
R,Key.space,1735660020673
P,b,1735660020986
R,b,1735660021040
P,e,1735660021181
R,e,1735660021413
P,t,1735660021491
R,t,1735660021540
P,w,1735660021735
R,w,1735660021853
P,e,1735660022025
R,e,1735660022122
P,e,1735660022247
R,e,1735660022321
P,n,1735660022556
R,n,1735660022596
P,Key.space,1735660022690
R,Key.space,1735660022772
P,Key.caps_lock,1735660028152
R,Key.caps_lock,1735660028228
P,U,1735660028401
R,U,1735660028455
P,S,1735660028614
R,S,1735660028721
P,Key.space,1735660028815
R,Key.space,1735660028922
P,Key.caps_lock,1735660029047
R,Key.caps_lock,1735660029141
P,p,1735660029266
R,p,1735660029339
P,Key.caps_lock,1735660029464
R,Key.caps_lock,1735660029652
P,Key.backspace,1735660030532
R,Key.backspace,1735660030588
P,P,1735660030917
R,P,1735660030989
P,Key.caps_lock,1735660031772
R,Key.caps_lock,1735660031850
P,r,1735660032135
R,r,1735660032207
P,e,1735660032316
R,e,1735660032421
P,s,1735660032561
R,s,1735660032655
P,i,1735660032765
R,i,1735660032815
P,d,1735660033028
R,d,1735660033105
P,e,1735660033214
R,e,1735660033304
P,n,1735660033414
R,n,1735660033506
P,t,1735660033695
R,t,1735660033790
P,Key.space,1735660033821
R,Key.space,1735660033922
P,Key.caps_lock,1735660034344
R,Key.caps_lock,1735660034455
P,D,1735660034783
R,D,1735660034841
P,Key.caps_lock,1735660034935
R,Key.caps_lock,1735660035091
P,o,1735660035138
R,o,1735660035194
P,n,1735660035397
R,n,1735660035473
P,a,1735660035535
R,a,1735660035641
P,l,1735660035741
R,l,1735660035786
P,d,1735660035978
R,d,1735660036088
P,Key.space,1735660036166
R,Key.space,1735660036287
P,Key.caps_lock,1735660036318
R,Key.caps_lock,1735660036443
P,T,1735660036584
P,Key.caps_lock,1735660036600
R,T,1735660036658
R,Key.caps_lock,1735660036736
P,r,1735660036830
R,r,1735660036905
P,u,1735660037343
R,u,1735660037422
P,m,1735660037851
R,m,1735660037907
P,p,1735660038095
R,p,1735660038127
P,Key.comma,1735660038469
R,Key.comma,1735660038555
P,Key.space,1735660038837
R,Key.space,1735660038923
P,Key.caps_lock,1735660039533
R,Key.caps_lock,1735660039659
P,V,1735660039735
R,V,1735660039805
P,Key.caps_lock,1735660039821
R,Key.caps_lock,1735660039961
P,i,1735660040008
R,i,1735660040054
P,c,1735660040322
R,c,1735660040406
P,e,1735660040453
R,e,1735660040586
P,Key.space,1735660040648
R,Key.space,1735660040738
P,Key.caps_lock,1735660041020
R,Key.caps_lock,1735660041160
P,P,1735660041396
R,P,1735660041473
P,Key.caps_lock,1735660041552
R,Key.caps_lock,1735660041718
P,r,1735660041787
R,r,1735660041872
P,e,1735660041950
R,e,1735660042053
P,s,1735660042194
R,s,1735660042304
P,i,1735660042446
R,i,1735660042507
P,d,1735660042632
R,d,1735660042706
P,e,1735660042847
R,e,1735660042922
P,n,1735660043031
R,n,1735660043105
P,t,1735660043324
R,t,1735660043354
P,Key.space,1735660043405
R,Key.space,1735660043505
P,Key.caps_lock,1735660043818
R,Key.caps_lock,1735660043943
P,V,1735660044241
R,V,1735660044305
P,Key.backspace,1735660044902
R,Key.backspace,1735660044957
P,J,1735660045355
R,J,1735660045406
P,D,1735660045851
R,D,1735660045886
P,Key.space,1735660045985
R,Key.space,1735660046041
P,V,1735660046306
R,V,1735660046388
P,Key.caps_lock,1735660046420
R,Key.caps_lock,1735660046545
P,a,1735660046670
R,a,1735660046771
P,n,1735660046833
R,n,1735660046907
P,c,1735660047095
R,c,1735660047171
P,e,1735660047204
R,e,1735660047336
P,Key.space,1735660047617
R,Key.space,1735660047735
P,a,1735660048132
R,a,1735660048270
P,n,1735660048395
R,n,1735660048503
P,d,1735660048519
R,d,1735660048668
P,Key.space,1735660048715
R,Key.space,1735660048821
P,Key.caps_lock,1735660049449
R,Key.caps_lock,1735660049605
P,U,1735660049774
R,U,1735660049839
P,Key.caps_lock,1735660049887
R,Key.caps_lock,1735660050011
P,k,1735660050043
R,k,1735660050123
P,r,1735660050482
R,r,1735660050573
P,a,1735660050682
R,a,1735660050804
P,i,1735660050882
R,i,1735660050941
P,n,1735660052336
R,n,1735660052407
P,i,1735660052782
R,i,1735660052834
P,n,1735660053059
R,n,1735660053123
P,a,1735660053185
R,a,1735660053319
P,Key.space,1735660053616
R,Key.space,1735660053711
P,Key.backspace,1735660054672
R,Key.backspace,1735660054741
P,Key.backspace,1735660054835
R,Key.backspace,1735660054937
P,Key.backspace,1735660054984
R,Key.backspace,1735660055087
P,a,1735660056934
R,a,1735660057021
P,n,1735660057131
R,n,1735660057208
P,Key.space,1735660057286
R,Key.space,1735660057356
P,Key.caps_lock,1735660058626
R,Key.caps_lock,1735660058704
P,P,1735660058751
R,P,1735660058838
P,Key.caps_lock,1735660058853
R,Key.caps_lock,1735660059010
P,r,1735660059135
R,r,1735660059206
P,e,1735660059284
R,e,1735660059387
P,d,1735660059574
R,d,1735660059671
P,Key.backspace,1735660060176
R,Key.backspace,1735660060242
P,s,1735660060305
R,s,1735660060465
P,i,1735660060762
R,i,1735660060840
P,d,1735660061168
R,d,1735660061238
P,e,1735660061349
R,e,1735660061469
P,n,1735660061610
R,n,1735660061723
P,t,1735660061836
R,t,1735660061922
P,Key.space,1735660061985
R,Key.space,1735660062087
P,Key.caps_lock,1735660062932
R,Key.caps_lock,1735660062995
P,V,1735660065144
R,V,1735660065237
P,Key.caps_lock,1735660065331
R,Key.caps_lock,1735660065456
P,o,1735660065503
R,o,1735660065572
P,l,1735660065666
R,l,1735660065770
P,o,1735660065879
R,o,1735660065951
P,d,1735660068168
R,d,1735660068286
P,y,1735660069335
R,y,1735660069422
P,m,1735660071958
R,m,1735660072035
P,y,1735660072353
R,y,1735660072422
P,r,1735660074648
R,r,1735660074737
P,Key.space,1735660074862
R,Key.space,1735660074987
P,Key.caps_lock,1735660075299
R,Key.caps_lock,1735660075473
P,Z,1735660075717
R,Z,1735660075803
P,Key.caps_lock,1735660075850
R,Key.caps_lock,1735660075991
P,e,1735660076225
R,e,1735660076304
P,l,1735660076570
R,l,1735660076653
P,e,1735660076747
R,e,1735660076821
P,n,1735660078485
R,n,1735660078588
P,s,1735660080813
R,s,1735660080878
P,k,1735660083162
R,k,1735660083239
P,y,1735660083536
R,y,1735660083606
P,y,1735660083684
R,y,1735660083772
P,Key.space,1735660083881
R,Key.space,1735660083987
P,d,1735660085734
R,d,1735660085836
P,u,1735660086054
R,u,1735660086122
P,r,1735660086294
R,r,1735660086403
P,i,1735660086544
R,i,1735660086624
P,n,1735660086781
R,n,1735660086870
P,g,1735660087042
R,g,1735660087105
P,Key.space,1735660087167
R,Key.space,1735660087305
P,a,1735660088334
R,a,1735660088455
P,Key.space,1735660088581
R,Key.space,1735660088654
P,m,1735660088756
R,m,1735660088818
P,e,1735660088900
R,e,1735660089001
P,e,1735660089126
R,e,1735660089234
P,t,1735660089375
R,t,1735660089469
P,i,1735660089563
R,i,1735660089638
P,n,1735660089818
R,n,1735660089905
P,g,1735660090046
R,g,1735660090105
P,Key.space,1735660090183
R,Key.space,1735660090307
P,i,1735660092062
R,i,1735660092138
P,n,1735660092388
R,n,1735660092453
P,Key.space,1735660092547
R,Key.space,1735660092634
P,t,1735660092782
R,t,1735660092831
P,h,1735660092917
R,h,1735660093019
P,e,1735660093081
R,e,1735660093185
P,Key.space,1735660093216
R,Key.space,1735660093306
P,Key.caps_lock,1735660095341
R,Key.caps_lock,1735660095483
P,W,1735660095702
R,W,1735660095727
P,Key.caps_lock,1735660095868
R,Key.caps_lock,1735660095993
P,h,1735660096055
R,h,1735660096124
P,i,1735660096265
R,i,1735660096354
P,t,1735660096557
R,t,1735660096637
P,e,1735660096683
R,e,1735660096785
P,Key.space,1735660096816
R,Key.space,1735660096956
P,Key.caps_lock,1735660097561
R,Key.caps_lock,1735660097670
P,H,1735660097749
R,H,1735660097808
P,Key.caps_lock,1735660097855
P,o,1735660097996
R,Key.caps_lock,1735660098013
R,o,1735660098076
P,u,1735660098200
R,u,1735660098287
P,s,1735660098365
R,s,1735660098471
P,e,1735660098549
R,e,1735660098668
P,Key.space,1735660098699
R,Key.space,1735660098827
P,Key.caps_lock,1735660098916
R,Key.caps_lock,1735660099026
P,O,1735660099088
R,O,1735660099187
P,Key.caps_lock,1735660099234
R,Key.caps_lock,1735660099343
P,v,1735660099499
R,v,1735660099586
P,a,1735660099602
R,a,1735660099757
P,l,1735660099820
R,l,1735660099909
P,Key.space,1735660099971
R,Key.space,1735660100121
P,Key.caps_lock,1735660100136
R,Key.caps_lock,1735660100277
P,O,1735660100340
R,O,1735660100405
P,Key.caps_lock,1735660100468
R,Key.caps_lock,1735660100593
P,f,1735660100827
R,f,1735660100887
P,f,1735660100981
R,f,1735660101054
P,i,1735660101226
R,i,1735660101304
P,c,1735660101554
R,c,1735660101624
P,e,1735660101671
R,e,1735660101802
P,.,1735660102005
R,.,1735660102069
