Press or Release,Key,Time
P,a,1735660003280
P,w,1735660003281
P,e,1735660003282
P,r,1735660003283
P,Key.shift,1735660003288
P,H,1735660003288
P,Key.space,1735660003303
R,Key.shift,1735660003351
R,a,1735660003352
R,w,1735660003352
R,e,1735660003352
R,H,1735660003352
R,r,1735660003400
R,Key.space,1735660003455
P,a,1735660003542
P,Key.shift,1735660003575
P,E,1735660003575
P,R,1735660003576
P,L,1735660003670
R,a,1735660003712
R,E,1735660003712
R,R,1735660003712
R,Key.shift,1735660003718
P,Key.space,1735660003735
R,L,1735660003767
R,Key.space,1735660003887
P,e,1735660003943
P,Key.shift,1735660003960
P,J,1735660003983
R,J,1735660003999
P,H,1735660004040
P,Key.space,1735660004042
R,Key.shift,1735660004087
R,e,1735660004087
R,H,1735660004088
R,Key.space,1735660004143
P,e,1735660004304
P,Key.space,1735660004305
P,r,1735660004319
R,r,1735660004335
R,e,1735660004431
R,Key.space,1735660004432
P,h,1735660004559
R,h,1735660004575
P,e,1735660004662
P,h,1735660004767
P,Key.space,1735660004768
R,e,1735660004806
R,h,1735660004831
R,Key.space,1735660004887
P,l,1735660004911
R,l,1735660005071
P,e,1735660005072
P,Key.shift,1735660005104
P,Key.space,1735660005104
R,e,1735660005248
R,Key.shift,1735660005255
R,Key.space,1735660005256
P,k,1735660005256
P,j,1735660005311
R,k,1735660005351
R,j,1735660005352
P,h,1735660005374
R,h,1735660005432
P,e,1735660005470
P,Key.shift,1735660005496
P,T,1735660005496
R,T,1735660005511
P,Key.space,1735660005550
R,e,1735660005623
R,Key.shift,1735660005670
R,Key.space,1735660005720
P,k,1735660005815
P,Key.shift,1735660005871
P,J,1735660005871
R,J,1735660005894
P,E,1735660005895
R,k,1735660005919
P,H,1735660005943
P,N,1735660005944
R,H,1735660005966
R,N,1735660005968
P,Key.space,1735660005976
R,Key.shift,1735660006055
R,E,1735660006055
R,Key.space,1735660006072
P,k,1735660006127
P,Key.space,1735660006206
R,k,1735660006224
P,e,1735660006271
R,Key.space,1735660006287
P,Key.shift,1735660006287
P,Key.space,1735660006368
R,Key.shift,1735660006463
R,e,1735660006463
R,Key.space,1735660006590
P,k,1735660006631
P,e,1735660006679
P,j,1735660006680
P,Key.shift,1735660006687
R,k,1735660006727
R,j,1735660006727
P,Key.space,1735660006774
R,Key.shift,1735660006839
R,e,1735660006839
R,Key.space,1735660006871
P,Key.space,1735660006943
R,Key.space,1735660007056
P,e,1735660007150
P,Key.space,1735660007239
R,e,1735660007335
P,l,1735660007407
R,Key.space,1735660007416
P,j,1735660007470
R,l,1735660007567
R,j,1735660007631
P,e,1735660007631
P,t,1735660007655
R,t,1735660007678
P,Key.space,1735660007727
P,k,1735660007766
R,e,1735660007791
R,k,1735660007839
R,Key.space,1735660007911
P,k,1735660008031
P,a,1735660008055
P,j,1735660008071
P,e,1735660008087
R,k,1735660008134
R,j,1735660008167
P,Key.shift,1735660008167
P,H,1735660008167
R,H,1735660008207
P,R,1735660008207
P,Key.space,1735660008214
R,Key.shift,1735660008255
R,a,1735660008270
R,e,1735660008312
R,R,1735660008312
R,Key.space,1735660008312
P,Key.space,1735660008400
R,Key.space,1735660008496
P,e,1735660008550
P,Key.shift,1735660008576
P,Key.space,1735660008591
R,Key.shift,1735660008703
R,e,1735660008704
R,Key.space,1735660008704
P,j,1735660008704
P,k,1735660008705
P,l,1735660008706
R,k,1735660008774
R,l,1735660008775
P,n,1735660008775
R,j,1735660008790
R,n,1735660008839
P,Key.shift,1735660008937
P,E,1735660008937
P,Key.space,1735660008983
R,Key.shift,1735660009071
R,E,1735660009071
R,Key.space,1735660009167
P,j,1735660009255
P,n,1735660009343
R,j,1735660009382
P,Key.shift,1735660009383
P,E,1735660009383
R,n,1735660009400
P,Key.space,1735660009478
R,Key.shift,1735660009575
R,E,1735660009575
R,Key.space,1735660009719
P,e,1735660009775
P,Key.shift,1735660009799
P,T,1735660009800
P,Key.space,1735660009864
R,e,1735660009944
R,T,1735660009944
P,J,1735660009945
R,Key.shift,1735660009952
P,l,1735660009952
R,Key.space,1735660009975
R,l,1735660010023
R,J,1735660010047
P,e,1735660010185
P,Key.shift,1735660010224
P,T,1735660010224
P,Key.space,1735660010225
R,Key.shift,1735660010344
R,e,1735660010344
R,T,1735660010344
R,Key.space,1735660010414
P,j,1735660010535
P,Key.shift,1735660010560
P,E,1735660010560
R,j,1735660010632
P,N,1735660010632
R,N,1735660010647
P,Key.space,1735660010648
P,T,1735660010680
R,Key.shift,1735660010751
R,E,1735660010752
R,Key.space,1735660010752
R,T,1735660010766
P,Key.space,1735660010799
R,Key.space,1735660010943
P,e,1735660010999
P,Key.shift,1735660011031
P,T,1735660011031
R,T,1735660011048
P,Key.space,1735660011057
P,T,1735660011072
R,e,1735660011127
R,Key.space,1735660011183
R,T,1735660011183
P,H,1735660011183
R,Key.shift,1735660011192
R,H,1735660011248
P,Key.shift,1735660011351
P,E,1735660011368
P,Key.space,1735660011407
R,E,1735660011455
R,Key.shift,1735660011535
R,Key.space,1735660011574
P,k,1735660011599
R,k,1735660011615
P,j,1735660011654
P,k,1735660011656
P,l,1735660011679
R,j,1735660011774
R,k,1735660011775
R,l,1735660011775
P,Key.shift,1735660011775
P,H,1735660011775
P,E,1735660011791
R,H,1735660011806
P,Key.space,1735660011855
R,Key.shift,1735660011928
R,E,1735660011928
R,Key.space,1735660012126
P,e,1735660012208
P,Key.shift,1735660012224
P,Key.space,1735660012296
R,Key.shift,1735660012367
R,e,1735660012368
R,Key.space,1735660012470
P,k,1735660012471
P,l,1735660012472
P,j,1735660012526
R,k,1735660012599
R,l,1735660012600
P,h,1735660012600
R,j,1735660012623
P,Key.shift,1735660012655
P,E,1735660012656
R,h,1735660012679
P,T,1735660012734
R,Key.shift,1735660012784
