Press or Release,Key,Time
P,T,1735660003601
R,T,1735660003728
P,H,1735660003840
R,H,1735660003929
P,W,1735660004201
R,W,1735660004337
P,Key.backspace,1735660004714
R,Key.backspace,1735660004778
P,E,1735660004945
R,E,1735660005065
P,Key.space,1735660005200
R,Key.space,1735660005305
P,W,1735660005660
R,W,1735660005745
P,A,1735660005916
R,A,1735660006085
P,T,1735660006290
R,T,1735660006393
P,C,1735660006554
R,C,1735660006641
P,H,1735660006857
R,H,1735660006948
P,Key.space,1735660007107
R,Key.space,1735660007209
P,C,1735660007371
R,C,1735660007454
P,O,1735660007649
R,O,1735660007729
P,A,1735660007955
R,A,1735660008097
P,C,1735660013339
R,C,1735660013417
P,H,1735660013767
R,H,1735660013842
P,Key.space,1735660014011
R,Key.space,1735660014081
P,C,1735660014360
R,C,1735660014449
P,A,1735660014624
R,A,1735660014777
P,R,1735660015161
R,R,1735660015232
P,T,1735660015368
R,T,1735660015496
P,W,1735660015704
R,W,1735660015795
P,Key.backspace,1735660016481
R,Key.backspace,1735660016530
P,E,1735660016921
R,E,1735660017009
P,R,1735660017145
R,R,1735660017241
P,Key.space,1735660017650
R,Key.space,1735660017737
P,M,1735660017937
R,M,1735660018041
P,O,1735660018217
R,O,1735660018306
P,V,1735660018568
R,V,1735660018656
P,I,1735660018825
R,I,1735660018918
P,E,1735660019099
R,E,1735660019223
P,Key.space,1735660019337
R,Key.space,1735660019405
P,I,1735660019761
R,I,1735660019832
P,S,1735660019976
R,S,1735660020107
P,Key.space,1735660020200
R,Key.space,1735660020289
P,A,1735660020401
R,A,1735660020529
P,N,1735660020640
R,N,1735660020682
P,Key.space,1735660020856
R,Key.space,1735660020889
P,G,1735660024896
R,G,1735660024976
P,E,1735660025241
R,E,1735660025353
P,N,1735660025417
R,N,1735660025537
P,E,1735660025643
R,E,1735660025769
P,R,1735660025913
R,R,1735660026000
P,A,1735660026193
R,A,1735660026336
P,L,1735660026569
R,L,1735660026649
P,Key.space,1735660026824
R,Key.space,1735660026880
P,T,1735660027102
R,T,1735660027209
P,H,1735660027400
R,H,1735660027497
P,I,1735660027629
R,I,1735660027712
P,N,1735660027883
R,N,1735660027985
P,G,1735660028105
R,G,1735660028208
P,S,1735660028537
R,S,1735660028688
P,Key.space,1735660028732
R,Key.space,1735660028833
P,T,1735660029051
R,T,1735660029160
P,O,1735660029296
R,O,1735660029361
P,Key.space,1735660029664
R,Key.space,1735660029753
P,E,1735660031105
R,E,1735660031192
P,A,1735660031520
R,A,1735660031641
P,S,1735660031736
R,S,1735660031864
P,Y,1735660032119
R,Y,1735660032192
P,Key.space,1735660032408
R,Key.space,1735660032488
P,T,1735660032608
R,T,1735660032712
P,O,1735660032895
R,O,1735660032968
P,Key.space,1735660033209
R,Key.space,1735660033313
P,E,1735660033441
R,E,1735660033552
P,Key.backspace,1735660034769
R,Key.backspace,1735660034832
P,U,1735660035217
R,U,1735660035307
P,N,1735660035626
R,N,1735660035696
P,D,1735660036041
R,D,1735660036128
P,E,1735660036297
R,E,1735660036386
P,R,1735660036504
R,R,1735660036596
P,S,1735660036865
R,S,1735660036960
P,T,1735660037249
R,T,1735660037344
P,A,1735660037530
R,A,1735660037595
P,N,1735660037754
R,N,1735660037856
P,D,1735660038032
R,D,1735660038136
P,Key.space,1735660038264
R,Key.space,1735660038368
P,I,1735660038551
R,I,1735660038640
P,S,1735660038864
R,S,1735660038947
P,Key.space,1735660039056
R,Key.space,1735660039168
P,A,1735660039276
R,A,1735660039392
P,N,1735660039464
R,N,1735660039540
P,Key.space,1735660039672
R,Key.space,1735660039758
P,G,1735660042603
R,G,1735660042610
P,O,1735660042826
R,O,1735660042993
P,O,1735660042994
R,O,1735660043094
P,D,1735660043300
R,D,1735660043440
P,Key.space,1735660043544
R,Key.space,1735660043659
P,C,1735660045224
R,C,1735660045312
P,R,1735660045496
R,R,1735660045578
P,E,1735660045728
R,E,1735660045801
P,A,1735660046111
R,A,1735660046208
P,T,1735660046345
R,T,1735660046432
P,I,1735660046879
R,I,1735660046971
P,O,1735660047093
R,O,1735660047200
P,N,1735660047327
R,N,1735660047424
P,Key.space,1735660047568
R,Key.space,1735660047681
P,S,1735660047855
R,S,1735660048042
P,T,1735660048126
R,T,1735660048224
P,O,1735660048408
R,O,1735660048568
P,R,1735660048847
R,R,1735660048911
P,Y,1735660049160
R,Y,1735660049216
P,Key.comma,1735660050056
R,Key.comma,1735660050113
P,Key.backspace,1735660050568
R,Key.backspace,1735660050624
P,.,1735660050944
R,.,1735660051037
P,Key.space,1735660051367
R,Key.space,1735660051423
P,Key.space,1735660051543
R,Key.space,1735660051591
P,T,1735660051735
R,T,1735660051856
P,H,1735660051936
R,H,1735660052009
P,I,1735660052127
R,I,1735660052177
P,S,1735660052368
R,S,1735660052484
