Press or Release,Key,Time
P,Key.shift,1735660014883
P,O,1735660015548
R,Key.shift,1735660015581
R,O,1735660015645
P,u,1735660015787
R,u,1735660015866
P,r,1735660016122
R,r,1735660016283
P,Key.space,1735660016316
R,Key.space,1735660016410
P,Key.shift,1735660016798
R,Key.shift,1735660017165
P,d,1735660017403
R,d,1735660017470
P,e,1735660017580
R,e,1735660017643
P,p,1735660018059
R,p,1735660018107
P,p,1735660018219
R,p,1735660018251
P,Key.backspace,1735660018779
R,Key.backspace,1735660018843
P,Key.backspace,1735660018939
R,Key.backspace,1735660018987
P,e,1735660019866
R,e,1735660020058
P,p,1735660020155
R,p,1735660020218
P,e,1735660020394
R,e,1735660020539
P,s,1735660020715
R,s,1735660020843
P,t,1735660020860
R,t,1735660020941
P,Key.space,1735660021099
R,Key.space,1735660021194
P,f,1735660021691
R,f,1735660021755
P,e,1735660021883
R,e,1735660021946
P,a,1735660022045
R,a,1735660022203
P,r,1735660022394
R,r,1735660022475
P,Key.space,1735660023629
R,Key.space,1735660023708
P,i,1735660023884
R,i,1735660023946
P,s,1735660024044
R,s,1735660024171
P,Key.space,1735660024219
R,Key.space,1735660024282
P,n,1735660029483
R,n,1735660029564
P,o,1735660029691
R,o,1735660029771
P,t,1735660029964
R,t,1735660030026
P,Key.space,1735660030154
R,Key.space,1735660030251
P,t,1735660030413
R,t,1735660030459
P,h,1735660030570
R,h,1735660030671
P,a,1735660030714
P,t,1735660030826
R,a,1735660030858
R,t,1735660030890
P,Key.space,1735660031035
R,Key.space,1735660031114
P,w,1735660031325
R,w,1735660031385
P,e,1735660031482
R,e,1735660031551
P,Key.space,1735660032058
R,Key.space,1735660032139
P,a,1735660032218
R,a,1735660032363
P,r,1735660032378
R,r,1735660032442
P,e,1735660032571
R,e,1735660032619
P,Key.space,1735660032795
R,Key.space,1735660032874
P,i,1735660033323
R,i,1735660033387
P,n,1735660033531
R,n,1735660033595
P,a,1735660033755
R,a,1735660033918
P,d,1735660034027
R,d,1735660034106
P,e,1735660034186
R,e,1735660034266
P,q,1735660034826
R,q,1735660034971
P,u,1735660035018
R,u,1735660035114
P,a,1735660035179
R,a,1735660035326
P,t,1735660035354
R,t,1735660035419
P,e,1735660035562
R,e,1735660035626
P,Key.space,1735660035834
R,Key.space,1735660035883
P,Key.comma,1735660037754
R,Key.comma,1735660037820
P,Key.space,1735660037932
R,Key.space,1735660037994
P,o,1735660038203
R,o,1735660038281
P,u,1735660038667
R,u,1735660038731
P,r,1735660039066
R,r,1735660039194
P,Key.space,1735660039274
R,Key.space,1735660039354
P,d,1735660039547
R,d,1735660039612
P,e,1735660039712
R,e,1735660039772
P,e,1735660039838
R,e,1735660039915
P,p,1735660040187
R,p,1735660040266
P,e,1735660040379
R,e,1735660040490
P,s,1735660040650
R,s,1735660040778
P,t,1735660040796
R,t,1735660040865
P,Key.space,1735660041018
R,Key.space,1735660041114
P,f,1735660042467
R,f,1735660042523
P,e,1735660042651
R,e,1735660042718
P,a,1735660042778
R,a,1735660042922
P,r,1735660042970
R,r,1735660043050
P,Key.space,1735660043242
R,Key.space,1735660043323
P,i,1735660043499
R,i,1735660043562
P,s,1735660043659
R,s,1735660043786
P,Key.space,1735660043818
R,Key.space,1735660043882
P,t,1735660045611
R,t,1735660045678
P,h,1735660045789
R,h,1735660045866
P,a,1735660045898
R,a,1735660046043
