Press or Release,Key,Time
P,j,1735660002037
P,k,1735660002059
P,h,1735660002071
R,k,1735660002083
R,j,1735660002103
P,d,1735660002113
R,h,1735660002185
P,g,1735660002238
R,d,1735660002283
P,h,1735660002293
R,g,1735660002402
R,h,1735660002458
P,i,1735660002474
P,o,1735660002476
P,g,1735660002534
R,o,1735660002561
P,h,1735660002577
R,i,1735660002596
P,d,1735660002684
R,g,1735660002713
R,h,1735660002729
P,o,1735660002748
P,i,1735660002762
P,g,1735660002819
P,h,1735660002836
R,o,1735660002846
R,d,1735660002862
R,i,1735660002863
P,i,1735660002952
R,h,1735660002979
P,o,1735660002986
R,g,1735660002999
P,d,1735660003012
R,o,1735660003110
R,i,1735660003118
P,Key.space,1735660003119
R,d,1735660003147
P,g,1735660003177
R,g,1735660003252
R,Key.space,1735660003375
P,o,1735660003417
P,i,1735660003438
P,j,1735660003552
R,o,1735660003566
P,d,1735660003580
R,i,1735660003598
P,g,1735660003671
P,i,1735660003672
R,j,1735660003673
R,d,1735660003685
P,o,1735660003704
R,g,1735660003775
R,o,1735660003792
R,i,1735660003807
P,d,1735660003843
P,g,1735660003912
P,i,1735660003914
P,o,1735660003944
R,d,1735660003975
R,o,1735660004035
R,i,1735660004049
P,j,1735660004050
R,g,1735660004123
R,j,1735660004137
P,d,1735660004155
P,i,1735660004175
P,o,1735660004176
P,g,1735660004243
R,d,1735660004288
R,o,1735660004317
R,i,1735660004336
R,g,1735660004414
P,i,1735660004415
P,d,1735660004438
P,o,1735660004456
P,g,1735660004562
R,o,1735660004571
R,d,1735660004617
R,g,1735660004678
R,i,1735660004710
P,d,1735660004815
P,i,1735660004844
P,o,1735660004845
P,g,1735660004904
R,d,1735660004960
R,o,1735660004976
R,i,1735660004991
P,j,1735660005006
R,j,1735660005021
P,i,1735660005081
P,o,1735660005098
R,g,1735660005113
P,d,1735660005142
R,i,1735660005222
R,o,1735660005222
P,g,1735660005247
R,d,1735660005302
P,Key.space,1735660005342
R,Key.space,1735660005450
R,g,1735660005463
P,Key.space,1735660006881
R,Key.space,1735660006970
P,h,1735660007183
P,i,1735660007196
R,h,1735660007239
P,d,1735660007303
R,i,1735660007419
P,g,1735660007438
R,d,1735660007464
P,o,1735660007511
P,i,1735660007527
R,g,1735660007586
P,d,1735660007614
R,i,1735660007630
R,o,1735660007676
P,g,1735660007721
R,d,1735660007770
P,i,1735660007770
P,o,1735660007779
R,g,1735660007885
P,d,1735660007904
R,i,1735660007920
R,o,1735660007930
P,Key.space,1735660007946
P,g,1735660008051
R,d,1735660008094
R,Key.space,1735660008157
R,g,1735660008215
P,d,1735660008245
P,h,1735660008305
P,g,1735660008365
R,d,1735660008394
P,o,1735660008411
P,i,1735660008429
R,h,1735660008442
R,i,1735660008504
