Press or Release,Key,Time
P,I,1735660008451
R,I,1735660008560
P,Key.space,1735660008660
R,Key.space,1735660008810
P,L,1735660008877
P,I,1735660009026
R,L,1735660009050
R,I,1735660009146
P,K,1735660009266
R,K,1735660009393
P,E,1735660009436
R,E,1735660009535
P,Key.space,1735660009571
R,Key.space,1735660009722
P,T,1735660009785
R,T,1735660009889
P,O,1735660009922
P,Key.space,1735660010075
R,O,1735660010099
R,Key.space,1735660010251
P,S,1735660010314
R,S,1735660010410
P,H,1735660010467
R,H,1735660010578
P,A,1735660010594
R,A,1735660010723
P,R,1735660011154
R,R,1735660011259
P,E,1735660011401
R,E,1735660011530
P,Key.space,1735660011563
R,Key.space,1735660011681
P,M,1735660011891
R,M,1735660012003
P,Y,1735660012139
R,Y,1735660012251
P,Key.space,1735660012330
R,Key.space,1735660012475
P,P,1735660012745
R,P,1735660012899
P,E,1735660012979
R,E,1735660013083
P,R,1735660013194
R,R,1735660013283
P,S,1735660013795
R,S,1735660013882
P,O,1735660013922
R,O,1735660014043
P,N,1735660014147
R,N,1735660014291
P,A,1735660014337
R,A,1735660014418
P,L,1735660014459
P,Key.space,1735660014581
R,L,1735660014611
R,Key.space,1735660014634
P,I,1735660015258
R,I,1735660015387
P,N,1735660015470
R,N,1735660015533
P,F,1735660016723
R,F,1735660016803
P,R,1735660016931
R,R,1735660017059
P,O,1735660017267
R,O,1735660017434
P,=,1735660018636
R,=,1735660018714
P,=,1735660018835
R,=,1735660018963
P,Key.backspace,1735660019467
R,Key.backspace,1735660019553
P,Key.backspace,1735660019659
R,Key.backspace,1735660019747
P,Key.backspace,1735660019979
R,Key.backspace,1735660020051
P,Key.backspace,1735660020163
R,Key.backspace,1735660020274
P,O,1735660021363
R,O,1735660021520
P,R,1735660021539
R,R,1735660021617
P,M,1735660021835
R,M,1735660021979
P,A,1735660022011
R,A,1735660022122
P,T,1735660022323
R,T,1735660022419
P,I,1735660022731
R,I,1735660022801
P,O,1735660022890
P,N,1735660023065
R,O,1735660023068
R,N,1735660023131
P,Key.space,1735660023235
R,Key.space,1735660023363
P,A,1735660023451
R,A,1735660023611
P,N,1735660023635
R,N,1735660023754
P,D,1735660023923
R,D,1735660023995
P,Key.space,1735660024033
R,Key.space,1735660024179
P,S,1735660024661
R,S,1735660024765
P,A,1735660024804
R,A,1735660024995
P,D,1735660025363
R,D,1735660025410
P,D,1735660025506
R,D,1735660025596
