Press or Release,Key,Time
P,t,1735660003864
R,t,1735660003908
P,i,1735660004213
R,i,1735660004268
P,s,1735660004403
P,Key.space,1735660004508
R,s,1735660004533
R,Key.space,1735660004569
P,m,1735660004874
R,m,1735660004943
P,o,1735660005104
R,o,1735660005163
P,v,1735660005284
R,v,1735660005403
P,i,1735660005424
R,i,1735660005483
P,e,1735660005533
R,e,1735660005648
P,Key.space,1735660005689
R,Key.space,1735660005743
P,c,1735660006303
R,c,1735660006464
P,l,1735660006464
R,l,1735660006503
P,i,1735660006648
R,i,1735660006688
P,p,1735660006809
R,p,1735660006843
P,Key.space,1735660006988
R,Key.space,1735660007043
P,o,1735660007193
R,o,1735660007223
P,Key.backspace,1735660008248
R,Key.backspace,1735660008328
P,i,1735660009303
R,i,1735660009364
P,s,1735660009453
R,s,1735660009568
P,Key.space,1735660009593
R,Key.space,1735660009663
P,c,1735660010048
R,c,1735660010149
P,o,1735660010149
R,o,1735660010198
P,Key.caps_lock,1735660010364
P,A,1735660010364
R,Key.caps_lock,1735660010389
R,A,1735660010468
P,R,1735660010524
R,R,1735660010564
P,Key.backspace,1735660011483
R,Key.backspace,1735660011549
P,Key.backspace,1735660011643
R,Key.backspace,1735660011709
P,Key.caps_lock,1735660012300
R,Key.caps_lock,1735660012443
P,a,1735660012789
R,a,1735660012903
P,c,1735660013083
R,c,1735660013188
P,h,1735660013223
R,h,1735660013258
P,Key.space,1735660013403
R,Key.space,1735660013484
P,c,1735660013658
R,c,1735660013728
P,a,1735660013808
R,a,1735660013923
P,r,1735660013928
R,r,1735660013963
P,t,1735660014123
R,t,1735660014169
P,e,1735660014204
R,e,1735660014303
P,r,1735660014318
R,r,1735660014368
P,Key.space,1735660014508
R,Key.space,1735660014563
P,m,1735660014794
R,m,1735660014834
P,o,1735660015063
R,o,1735660015118
P,v,1735660015249
R,v,1735660015338
P,i,1735660015408
R,i,1735660015448
P,e,1735660015493
R,e,1735660015623
P,Key.space,1735660015663
R,Key.space,1735660015703
P,c,1735660015909
P,l,1735660016028
R,c,1735660016068
R,l,1735660016088
P,i,1735660016228
R,i,1735660016268
P,p,1735660016389
R,p,1735660016443
P,Key.space,1735660016669
R,Key.space,1735660016713
P,a,1735660017143
R,a,1735660017283
P,n,1735660017334
R,n,1735660017384
P,d,1735660017468
R,d,1735660017604
P,Key.space,1735660017604
R,Key.space,1735660017653
P,i,1735660017823
R,i,1735660017869
P,Key.space,1735660018013
R,Key.space,1735660018083
P,r,1735660018283
R,r,1735660018319
P,e,1735660018378
R,e,1735660018484
P,a,1735660018604
R,a,1735660018713
P,l,1735660018743
R,l,1735660018788
P,l,1735660018858
R,l,1735660018934
P,y,1735660019083
R,y,1735660019128
P,Key.space,1735660019268
R,Key.space,1735660019327
P,e,1735660019404
R,e,1735660019508
P,n,1735660019514
