Press or Release,Key,Time
P,a,1735660002041
P,Key.ctrl,1735660002088
R,a,1735660002202
R,Key.ctrl,1735660002298
P,Key.ctrl,1735660002906
P,a,1735660003050
R,a,1735660003130
R,Key.ctrl,1735660003145
P,=,1735660003705
R,=,1735660003768
P,Key.space,1735660003784
R,Key.space,1735660003848
P,Key.backspace,1735660004842
R,Key.backspace,1735660004889
P,Key.backspace,1735660005002
R,Key.backspace,1735660005049
P,Key.backspace,1735660005129
R,Key.backspace,1735660005273
P,=,1735660005658
R,=,1735660005705
P,Key.backspace,1735660005742
R,Key.backspace,1735660005748
P,Key.shift,1735660005748
P,T,1735660005753
R,T,1735660005759
R,Key.shift,1735660005759
P,h,1735660005770
R,h,1735660005771
P,i,1735660005786
R,i,1735660005788
P,s,1735660005803
R,s,1735660005805
P,Key.space,1735660005817
R,Key.space,1735660005819
P,m,1735660005833
R,m,1735660005835
P,e,1735660005849
R,e,1735660005850
P,e,1735660005866
R,e,1735660005867
P,t,1735660005879
R,t,1735660005880
P,i,1735660005895
R,i,1735660005897
P,n,1735660005911
R,n,1735660005913
P,g,1735660005927
R,g,1735660005928
P,Key.space,1735660005943
R,Key.space,1735660005944
P,b,1735660005958
R,b,1735660005959
P,r,1735660005974
R,r,1735660005975
P,o,1735660005990
R,o,1735660005991
P,u,1735660006006
R,u,1735660006007
P,g,1735660006023
R,g,1735660006024
P,h,1735660006038
R,h,1735660006039
P,t,1735660006054
R,t,1735660006055
P,Key.space,1735660006069
R,Key.space,1735660006070
P,t,1735660006084
R,t,1735660006086
P,o,1735660006100
R,o,1735660006102
P,g,1735660006116
R,g,1735660006117
P,e,1735660006131
R,e,1735660006132
P,t,1735660006147
R,t,1735660006148
P,h,1735660006163
R,h,1735660006164
P,e,1735660006177
R,e,1735660006178
P,r,1735660006192
R,r,1735660006194
P,Key.space,1735660006208
R,Key.space,1735660006209
P,a,1735660006224
R,a,1735660006225
P,Key.space,1735660006239
R,Key.space,1735660006240
P,w,1735660006255
R,w,1735660006256
P,i,1735660006271
R,i,1735660006272
P,d,1735660006286
R,d,1735660006287
P,e,1735660006305
R,e,1735660006308
P,Key.space,1735660006319
R,Key.space,1735660006321
P,a,1735660006335
R,a,1735660006338
P,r,1735660006351
R,r,1735660006354
P,r,1735660006367
R,r,1735660006370
P,a,1735660006385
R,a,1735660006388
P,y,1735660006400
R,y,1735660006403
P,Key.space,1735660006414
R,Key.space,1735660006418
P,o,1735660006428
R,o,1735660006430
P,f,1735660006444
R,f,1735660006446
P,Key.space,1735660006459
R,Key.space,1735660006461
P,w,1735660006475
R,w,1735660006477
P,o,1735660006491
R,o,1735660006493
P,r,1735660006506
R,r,1735660006508
P,l,1735660006521
R,l,1735660006523
P,d,1735660006538
R,d,1735660006539
P,Key.space,1735660006553
R,Key.space,1735660006555
P,l,1735660006569
R,l,1735660006571
P,e,1735660006586
R,e,1735660006588
P,a,1735660006601
R,a,1735660006602
P,d,1735660006616
R,d,1735660006618
P,e,1735660006632
R,e,1735660006634
P,r,1735660006648
R,r,1735660006649
P,s,1735660006664
R,s,1735660006667
P,Key.comma,1735660006678
R,Key.comma,1735660006679
P,Key.space,1735660006694
R,Key.space,1735660006697
P,f,1735660006710
R,f,1735660006713
P,r,1735660006728
R,r,1735660006731
P,o,1735660006745
R,o,1735660006749
P,m,1735660006756
R,m,1735660006758
P,Key.space,1735660006772
R,Key.space,1735660006774
P,t,1735660006788
R,t,1735660006790
P,h,1735660006804
R,h,1735660006806
P,e,1735660006820
R,e,1735660006822
P,Key.space,1735660006836
R,Key.space,1735660006838
P,Key.shift,1735660006851
P,U,1735660006853
R,U,1735660006855
R,Key.shift,1735660006855
P,.,1735660006860
R,.,1735660006862
P,Key.shift,1735660006883
P,S,1735660006884
R,S,1735660006886
R,Key.shift,1735660006886
P,.,1735660006890
R,.,1735660006891
P,Key.space,1735660006913
R,Key.space,1735660006915
P,Key.shift,1735660006929
P,P,1735660006930
R,P,1735660006932
R,Key.shift,1735660006932
P,r,1735660006943
R,r,1735660006946
P,e,1735660006960
R,e,1735660006962
P,s,1735660006976
R,s,1735660006978
P,i,1735660006992
R,i,1735660006994
P,d,1735660007008
R,d,1735660007010
P,e,1735660007024
R,e,1735660007026
P,n,1735660007039
R,n,1735660007041
P,t,1735660007055
R,t,1735660007057
P,Key.space,1735660007071
R,Key.space,1735660007073
P,t,1735660007087
R,t,1735660007089
P,o,1735660007104
R,o,1735660007106
P,Key.space,1735660007118
R,Key.space,1735660007119
P,Key.shift,1735660007134
P,E,1735660007134
R,E,1735660007137
R,Key.shift,1735660007138
P,u,1735660007143
R,u,1735660007145
P,r,1735660007166
R,r,1735660007168
P,o,1735660007180
R,o,1735660007182
P,p,1735660007197
R,p,1735660007199
P,e,1735660007212
R,e,1735660007213
P,a,1735660007228
R,a,1735660007229
P,n,1735660007243
R,n,1735660007246
P,Key.space,1735660007258
R,Key.space,1735660007260
P,l,1735660007271
R,l,1735660007272
P,e,1735660007286
R,e,1735660007288
P,a,1735660007304
R,a,1735660007306
P,d,1735660007318
R,d,1735660007320
P,e,1735660007327
R,e,1735660007329
P,r,1735660007344
R,r,1735660007346
P,s,1735660007359
R,s,1735660007360
P,Key.space,1735660007374
R,Key.space,1735660007376
P,a,1735660007398
R,a,1735660007400
P,n,1735660007413
R,n,1735660007414
P,d,1735660007428
R,d,1735660007430
P,Key.space,1735660007443
R,Key.space,1735660007445
P,t,1735660007459
R,t,1735660007461
P,h,1735660007471
R,h,1735660007472
P,e,1735660007487
R,e,1735660007489
P,Key.space,1735660007507
R,Key.space,1735660007509
P,Key.shift,1735660007523
P,U,1735660007525
R,U,1735660007528
R,Key.shift,1735660007528
P,k,1735660007537
R,k,1735660007539
P,r,1735660007554
R,r,1735660007556
P,a,1735660007569
R,a,1735660007571
P,i,1735660007586
R,i,1735660007587
P,n,1735660007598
R,n,1735660007600
P,i,1735660007616
R,i,1735660007618
P,a,1735660007631
R,a,1735660007633
P,n,1735660007647
R,n,1735660007649
P,Key.space,1735660007663
R,Key.space,1735660007665
P,Key.shift,1735660007678
P,P,1735660007679
R,P,1735660007681
R,Key.shift,1735660007681
P,r,1735660007693
R,r,1735660007695
P,e,1735660007708
R,e,1735660007710
P,s,1735660007724
R,s,1735660007726
P,i,1735660007740
R,i,1735660007742
P,d,1735660007756
R,d,1735660007757
P,e,1735660007771
R,e,1735660007773
P,n,1735660007787
R,n,1735660007789
P,t,1735660007803
R,t,1735660007805
P,.,1735660007818
R,.,1735660007820
P,Key.space,1735660007834
R,Key.space,1735660007836
P,Key.space,1735660007850
R,Key.space,1735660007852
P,Key.shift,1735660007868
P,I,1735660007869
R,I,1735660007871
R,Key.shift,1735660007871
P,t,1735660007883
R,t,1735660007885
P,Key.space,1735660007897
R,Key.space,1735660007899
P,w,1735660007913
R,w,1735660007914
P,a,1735660007928
R,a,1735660007929
P,s,1735660007943
R,s,1735660007945
P,Key.space,1735660007959
R,Key.space,1735660007961
P,a,1735660007979
R,a,1735660007982
P,Key.space,1735660007990
R,Key.space,1735660007992
P,p,1735660008006
R,p,1735660008008
P,o,1735660008023
R,o,1735660008025
P,w,1735660008037
R,w,1735660008039
P,e,1735660008054
R,e,1735660008055
P,r,1735660008068
R,r,1735660008070
P,f,1735660008083
R,f,1735660008085
P,u,1735660008098
R,u,1735660008100
P,l,1735660008114
R,l,1735660008116
P,Key.space,1735660008130
R,Key.space,1735660008131
P,d,1735660008145
R,d,1735660008148
P,e,1735660008163
R,e,1735660008165
P,m,1735660008177
R,m,1735660008179
P,o,1735660008194
R,o,1735660008195
P,n,1735660008208
R,n,1735660008210
P,s,1735660008225
R,s,1735660008227
P,t,1735660008240
R,t,1735660008242
P,r,1735660008255
R,r,1735660008257
P,a,1735660008271
R,a,1735660008273
P,t,1735660008286
R,t,1735660008288
P,i,1735660008303
R,i,1735660008305
P,o,1735660008317
R,o,1735660008318
P,n,1735660008333
R,n,1735660008335
P,Key.space,1735660008348
R,Key.space,1735660008350
P,o,1735660008364
R,o,1735660008366
P,f,1735660008379
R,f,1735660008380
P,Key.space,1735660008394
R,Key.space,1735660008396
P,t,1735660008410
R,t,1735660008412
P,h,1735660008426
R,h,1735660008428
P,e,1735660008443
R,e,1735660008446
P,Key.space,1735660008457
R,Key.space,1735660008458
P,s,1735660008472
R,s,1735660008474
P,h,1735660008488
R,h,1735660008490
P,i,1735660008504
R,i,1735660008507
P,f,1735660008518
R,f,1735660008520
P,t,1735660008534
R,t,1735660008536
P,Key.space,1735660008550
R,Key.space,1735660008552
P,i,1735660008567
R,i,1735660008569
P,n,1735660008583
R,n,1735660008586
P,Key.space,1735660008597
R,Key.space,1735660008598
P,a,1735660008612
R,a,1735660008614
P,l,1735660008628
R,l,1735660008630
P,l,1735660008644
R,l,1735660008647
P,i,1735660008659
R,i,1735660008660
P,a,1735660008674
R,a,1735660008676
P,n,1735660008690
R,n,1735660008692
P,c,1735660008707
R,c,1735660008708
P,e,1735660008724
R,e,1735660008727
P,s,1735660008738
R,s,1735660008740
P,Key.space,1735660008753
R,Key.space,1735660008754
P,a,1735660008768
R,a,1735660008770
P,n,1735660008785
R,n,1735660008787
P,d,1735660008799
R,d,1735660008801
P,Key.space,1735660008815
R,Key.space,1735660008817
P,t,1735660008830
R,t,1735660008832
P,h,1735660008847
R,h,1735660008848
P,e,1735660008864
R,e,1735660008867
P,Key.space,1735660008877
R,Key.space,1735660008879
P,c,1735660008893
R,c,1735660008895
P,o,1735660008909
R,o,1735660008910
P,l,1735660008925
R,l,1735660008926
P,l,1735660008939
R,l,1735660008940
P,e,1735660008955
R,e,1735660008957
P,c,1735660008972
R,c,1735660008973
P,t,1735660008987
R,t,1735660008989
P,i,1735660009003
R,i,1735660009005
P,v,1735660009018
R,v,1735660009020
P,e,1735660009035
R,e,1735660009037
P,Key.space,1735660009051
R,Key.space,1735660009053
P,e,1735660009067
R,e,1735660009069
P,f,1735660009083
R,f,1735660009086
P,f,1735660009099
R,f,1735660009101
P,o,1735660009114
R,o,1735660009116
P,r,1735660009130
R,r,1735660009132
P,t,1735660009147
R,t,1735660009148
P,Key.space,1735660009161
R,Key.space,1735660009165
P,t,1735660009177
