Press or Release,Key,Time
P,c,1735660025941
R,c,1735660026036
P,o,1735660026482
R,o,1735660026579
P,a,1735660026659
R,a,1735660026835
P,c,1735660026933
R,c,1735660027027
P,h,1735660027443
R,h,1735660027523
P,Key.space,1735660028746
R,Key.space,1735660028840
P,c,1735660029158
R,c,1735660029235
P,a,1735660029284
R,a,1735660029460
P,r,1735660029987
R,r,1735660030068
P,t,1735660030211
R,t,1735660030292
P,e,1735660030419
R,e,1735660030548
P,r,1735660030564
R,r,1735660030644
P,Key.space,1735660031267
R,Key.space,1735660031346
P,i,1735660032051
R,i,1735660032132
P,s,1735660032387
R,s,1735660032482
P,Key.space,1735660032579
R,Key.space,1735660032674
P,Key.space,1735660032883
R,Key.space,1735660032947
P,s,1735660032982
R,s,1735660033091
P,p,1735660033890
R,p,1735660033972
P,o,1735660034291
R,o,1735660034390
P,r,1735660034666
R,r,1735660034770
P,t,1735660034850
R,t,1735660034932
P,s,1735660035109
R,s,1735660035221
P,Key.space,1735660036051
R,Key.space,1735660036130
P,d,1735660036596
R,d,1735660036665
P,r,1735660036814
R,r,1735660036868
P,a,1735660036964
R,a,1735660037109
P,m,1735660037285
R,m,1735660037382
P,a,1735660037427
R,a,1735660037572
P,Key.space,1735660037651
R,Key.space,1735660037731
P,f,1735660038968
R,f,1735660039092
P,l,1735660039269
R,l,1735660039363
P,i,1735660039511
R,i,1735660039588
P,m,1735660039764
R,m,1735660039875
P,Key.space,1735660040692
R,Key.space,1735660040772
P,r,1735660041301
R,r,1735660041380
P,e,1735660041509
R,e,1735660041592
P,l,1735660042037
R,l,1735660042133
P,e,1735660042423
R,e,1735660042499
P,a,1735660042599
R,a,1735660042736
P,s,1735660043043
R,s,1735660043124
P,e,1735660043267
R,e,1735660043346
P,d,1735660043460
R,d,1735660043558
P,Key.space,1735660044435
R,Key.space,1735660044515
P,Key.space,1735660056374
R,Key.space,1735660056490
P,i,1735660056727
R,i,1735660056825
P,n,1735660057028
R,n,1735660057108
P,Key.space,1735660057283
R,Key.space,1735660057364
P,2,1735660057796
R,2,1735660057896
P,0,1735660058036
R,0,1735660058105
P,0,1735660058184
R,0,1735660058277
P,5,1735660058420
R,5,1735660058500
P,Key.space,1735660087510
R,Key.space,1735660087609
P,d,1735660087898
R,d,1735660088030
P,i,1735660088278
R,i,1735660088391
P,r,1735660088695
R,r,1735660088806
P,e,1735660088902
R,e,1735660089041
P,c,1735660089242
R,c,1735660089337
P,e,1735660089544
P,t,1735660089673
R,e,1735660089720
R,t,1735660089796
P,d,1735660090215
R,d,1735660090310
P,Key.space,1735660092471
R,Key.space,1735660092551
P,b,1735660093367
R,b,1735660093448
P,y,1735660093650
R,y,1735660093719
P,Key.space,1735660093877
R,Key.space,1735660093992
P,t,1735660094198
R,t,1735660094380
P,o,1735660094519
R,o,1735660094597
P,m,1735660094777
R,m,1735660094886
P,a,1735660094967
R,a,1735660095127
P,s,1735660095228
R,s,1735660095285
P,Key.space,1735660096279
R,Key.space,1735660096380
P,c,1735660096904
R,c,1735660096986
P,a,1735660097032
R,a,1735660097194
P,r,1735660097256
R,r,1735660097321
P,t,1735660097703
R,t,1735660097799
P,e,1735660097879
R,e,1735660097977
P,r,1735660098038
R,r,1735660098103
P,Key.space,1735660112361
R,Key.space,1735660112471
P,a,1735660112744
R,a,1735660112839
P,n,1735660112918
R,n,1735660113031
P,d,1735660113305
R,d,1735660113433
P,Key.space,1735660113528
R,Key.space,1735660113610
P,s,1735660113784
R,s,1735660113913
P,t,1735660114047
R,t,1735660114136
P,a,1735660114217
R,a,1735660114327
P,r,1735660114777
R,r,1735660114887
P,t,1735660115000
R,t,1735660115083
P,i,1735660115656
R,i,1735660115754
P,n,1735660115847
R,n,1735660115953
P,g,1735660119687
R,g,1735660119785
P,Key.space,1735660122376
R,Key.space,1735660122488
P,s,1735660122935
R,s,1735660123079
P,a,1735660123193
R,a,1735660123323
P,m,1735660123402
R,m,1735660123496
P,u,1735660123695
R,u,1735660123768
P,e,1735660124424
R,e,1735660124568
P,l,1735660124681
R,l,1735660124774
P,.,1735660126279
R,.,1735660126359
P,t,1735660126738
R,t,1735660126810
P,s,1735660128698
R,s,1735660128791
P,Key.space,1735660131912
R,Key.space,1735660132073
P,t,1735660132408
R,t,1735660132522
P,e,1735660132626
R,e,1735660132745
P,l,1735660133015
R,l,1735660133098
