Press or Release,Key,Time
P,Key.shift,1735660003938
P,W,1735660004035
R,Key.shift,1735660004086
R,W,1735660004130
P,i,1735660004368
P,l,1735660004436
R,i,1735660004472
R,l,1735660004528
P,l,1735660004606
R,l,1735660004697
P,Key.space,1735660005192
R,Key.space,1735660005304
P,Key.shift,1735660005577
P,S,1735660005654
R,Key.shift,1735660005725
R,S,1735660005753
P,m,1735660005757
P,i,1735660005885
R,m,1735660005901
R,i,1735660005973
P,t,1735660006120
R,t,1735660006191
P,h,1735660006248
R,h,1735660006385
P,Key.space,1735660006387
R,Key.space,1735660006493
P,w,1735660006712
R,w,1735660006819
P,a,1735660006902
P,s,1735660007006
R,a,1735660007066
R,s,1735660007106
P,Key.space,1735660007162
R,Key.space,1735660007245
P,o,1735660007727
P,u,1735660007774
R,o,1735660007842
R,u,1735660007878
P,t,1735660007886
R,t,1735660007982
P,Key.space,1735660007989
P,o,1735660008094
R,Key.space,1735660008114
R,o,1735660008191
P,f,1735660008208
R,f,1735660008305
P,Key.space,1735660008306
R,Key.space,1735660008402
P,l,1735660008503
R,l,1735660008595
P,i,1735660008696
P,n,1735660008788
R,i,1735660008829
R,n,1735660008877
P,e,1735660008949
R,e,1735660009052
P,.,1735660009620
R,.,1735660009683
P,Key.space,1735660009718
R,Key.space,1735660009750
P,Key.space,1735660009845
R,Key.space,1735660009893
P,Key.shift,1735660010007
P,G,1735660010227
R,Key.shift,1735660010244
R,G,1735660010247
P,i,1735660010332
R,i,1735660010404
P,v,1735660010807
R,v,1735660010874
P,e,1735660010901
R,e,1735660010987
P,n,1735660011024
P,Key.space,1735660011106
R,n,1735660011119
R,Key.space,1735660011187
P,t,1735660011264
P,h,1735660011332
R,t,1735660011348
R,h,1735660011383
P,a,1735660011453
P,t,1735660011515
P,Key.space,1735660011584
R,a,1735660011600
R,t,1735660011602
P,i,1735660011706
R,Key.space,1735660011708
R,i,1735660011778
P,t,1735660011849
R,t,1735660011909
P,',1735660012429
R,',1735660012519
P,s,1735660012574
R,s,1735660012652
P,Key.space,1735660012698
R,Key.space,1735660012791
P,a,1735660012938
P,Key.space,1735660013046
R,a,1735660013066
R,Key.space,1735660013160
P,j,1735660014058
R,j,1735660014160
P,o,1735660014202
R,o,1735660014322
P,k,1735660014487
R,k,1735660014548
P,e,1735660014567
R,e,1735660014656
P,Key.space,1735660014754
R,Key.space,1735660014858
P,a,1735660014876
P,n,1735660014964
R,a,1735660014967
R,n,1735660015028
P,d,1735660015056
R,d,1735660015120
P,Key.space,1735660015139
R,Key.space,1735660015232
P,e,1735660016628
R,e,1735660016702
P,v,1735660016802
R,v,1735660016865
P,e,1735660016968
P,r,1735660017028
R,e,1735660017070
R,r,1735660017118
P,y,1735660017139
R,y,1735660017247
P,o,1735660018063
P,n,1735660018134
R,o,1735660018201
R,n,1735660018218
P,e,1735660018236
R,e,1735660018304
P,Key.space,1735660018340
