Press or Release,Key,Time
P,Key.shift,1735660003001
P,T,1735660003175
R,T,1735660003335
R,Key.shift,1735660003384
P,h,1735660003479
R,h,1735660003639
P,e,1735660003656
R,e,1735660003767
P,Key.space,1735660003767
R,Key.space,1735660003895
P,Key.shift,1735660003991
P,U,1735660004184
R,Key.shift,1735660004247
R,U,1735660004296
P,k,1735660004440
R,k,1735660004551
P,r,1735660004583
R,r,1735660004711
P,a,1735660004775
P,i,1735660004823
R,a,1735660004887
R,i,1735660004935
P,n,1735660005001
R,n,1735660005127
P,e,1735660005208
R,e,1735660005367
P,Key.space,1735660005448
R,Key.space,1735660005527
P,p,1735660006487
R,p,1735660006664
P,r,1735660006727
R,r,1735660006920
P,e,1735660006936
R,e,1735660007015
P,s,1735660007192
R,s,1735660007320
P,i,1735660007352
P,d,1735660007448
R,i,1735660007466
R,d,1735660007527
P,e,1735660007719
R,e,1735660007799
P,n,1735660007863
R,n,1735660007991
P,t,1735660008631
R,t,1735660008743
P,Key.space,1735660008856
R,Key.space,1735660008951
P,d,1735660011047
R,d,1735660011160
P,e,1735660011271
R,e,1735660011384
P,c,1735660011511
R,c,1735660011655
P,l,1735660011752
P,a,1735660011896
R,l,1735660011911
R,a,1735660012087
P,r,1735660012087
R,r,1735660012263
P,e,1735660012280
R,e,1735660012344
P,s,1735660012504
R,s,1735660012631
P,Key.space,1735660012727
R,Key.space,1735660012840
P,a,1735660012871
R,a,1735660013032
P,b,1735660013688
R,b,1735660013816
P,o,1735660013879
P,u,1735660014023
R,o,1735660014055
R,u,1735660014135
P,t,1735660014185
R,t,1735660014280
P,Key.space,1735660014311
R,Key.space,1735660014407
P,t,1735660014487
P,h,1735660014552
R,t,1735660014615
R,h,1735660014663
P,e,1735660014743
R,e,1735660014823
P,Key.space,1735660014872
R,Key.space,1735660014951
P,c,1735660014983
R,c,1735660015144
P,a,1735660015176
R,a,1735660015303
P,u,1735660015399
R,u,1735660015543
P,s,1735660015544
P,e,1735660015656
R,s,1735660015690
R,e,1735660015767
P,s,1735660015895
R,s,1735660016023
P,Key.space,1735660016055
R,Key.space,1735660016152
P,i,1735660016199
R,i,1735660016247
P,n,1735660016359
R,n,1735660016504
P,Key.space,1735660016567
R,Key.space,1735660016647
P,t,1735660016695
P,h,1735660016824
R,t,1735660016843
R,h,1735660016919
P,e,1735660016968
R,e,1735660017128
P,i,1735660017128
P,r,1735660017144
R,i,1735660017239
R,r,1735660017256
P,Key.space,1735660017335
R,Key.space,1735660017431
P,c,1735660018280
R,c,1735660018408
P,o,1735660018440
P,u,1735660018600
R,o,1735660018647
R,u,1735660018712
P,Key.backspace,1735660019176
R,Key.backspace,1735660019287
P,Key.backspace,1735660019384
R,Key.backspace,1735660019480
P,Key.backspace,1735660019720
R,Key.backspace,1735660019834
P,Key.backspace,1735660019911
R,Key.backspace,1735660020007
P,Key.backspace,1735660020087
R,Key.backspace,1735660020167
P,Key.backspace,1735660020248
R,Key.backspace,1735660020344
P,Key.backspace,1735660020408
R,Key.backspace,1735660020647
P,Key.backspace,1735660020743
R,Key.backspace,1735660020856
P,Key.backspace,1735660020919
R,Key.backspace,1735660020999
P,h,1735660021928
R,h,1735660022009
P,i,1735660022072
R,i,1735660022184
P,s,1735660022184
R,s,1735660022280
P,Key.space,1735660022327
R,Key.space,1735660022408
P,c,1735660022552
R,c,1735660022679
P,o,1735660022680
R,o,1735660023032
P,o,1735660023080
R,o,1735660023383
P,Key.backspace,1735660024184
R,Key.backspace,1735660024312
P,u,1735660024536
R,u,1735660024632
P,n,1735660024776
R,n,1735660024887
P,t,1735660025383
R,t,1735660025479
P,r,1735660025576
R,r,1735660025704
P,y,1735660025768
R,y,1735660025880
P,Key.space,1735660025943
R,Key.space,1735660026039
P,d,1735660026392
R,d,1735660026552
P,u,1735660026552
R,u,1735660026663
P,r,1735660026695
R,r,1735660026839
P,i,1735660026951
R,i,1735660027079
P,g,1735660027335
R,g,1735660027400
P,Key.backspace,1735660029016
R,Key.backspace,1735660029144
P,Key.backspace,1735660029255
R,Key.backspace,1735660029355
P,i,1735660030488
R,i,1735660030615
P,n,1735660030696
R,n,1735660030824
P,g,1735660030840
R,g,1735660030984
P,Key.space,1735660031015
R,Key.space,1735660031111
P,Key.shift,1735660031367
P,T,1735660031673
R,Key.shift,1735660031752
R,T,1735660031785
P,h,1735660031848
R,h,1735660031976
P,i,1735660032024
P,r,1735660032135
R,i,1735660032169
R,r,1735660032249
P,d,1735660032408
R,d,1735660032520
P,Key.space,1735660032552
R,Key.space,1735660032665
P,w,1735660032760
R,w,1735660032904
P,o,1735660032936
R,o,1735660033064
P,r,1735660033128
R,r,1735660033272
P,l,1735660033288
P,d,1735660033432
R,l,1735660033447
R,d,1735660033543
P,Key.space,1735660033592
R,Key.space,1735660033672
P,w,1735660033799
R,w,1735660033895
P,a,1735660033976
P,r,1735660034087
R,a,1735660034136
R,r,1735660034199
P,.,1735660034295
R,.,1735660034488
P,Key.space,1735660034616
R,Key.space,1735660034728
P,Key.shift,1735660034954
P,T,1735660035064
R,Key.shift,1735660035161
P,h,1735660035176
R,T,1735660035192
R,h,1735660035303
P,e,1735660036264
R,e,1735660036360
P,Key.space,1735660036456
R,Key.space,1735660036552
P,v,1735660036616
R,v,1735660036760
P,c,1735660036888
R,c,1735660037032
P,e,1735660037192
R,e,1735660037320
P,Key.space,1735660037514
R,Key.space,1735660037595
P,p,1735660037912
R,p,1735660038087
P,r,1735660038168
R,r,1735660038344
P,Key.backspace,1735660038488
R,Key.backspace,1735660038600
P,Key.backspace,1735660038872
R,Key.backspace,1735660038968
P,Key.backspace,1735660039080
R,Key.backspace,1735660039160
